TIMESTAMP,RECORD,WS_ms_S_WVT,WindDir_D1_WVT,WindDir_SD1_WVT,WS_ms_Max,AirTC_Avg,NR_Wm2_Avg,RH_Avg
TS,RN,meters/second,Deg,Deg,meters/second,Deg C,W/m�,%
,,WVc,WVc,WVc,Max,Avg,Avg,Avg
2009-05-18 12:25:00,0,1.203,196.8,22.88,2.261,0.478,106.3,32.44
2009-05-18 12:30:00,1,0,0,0,0,1.622,154.5,29.51
2009-05-18 12:35:00,2,0,0,0,0,1.272,137.7,30.26
2009-05-18 12:40:00,3,0,0,0,0,1.386,136.7,30.73
2009-05-18 12:45:00,4,0,0,0,0,2.427,188,31.76
2009-05-18 12:50:00,5,0,0,0,0,4.082,180,26.82
2009-05-18 12:55:00,6,0,0,0,0,2.017,172,28.81
2009-05-18 13:00:00,7,0,0,0,0,0.77,196,31.24
2009-05-18 13:05:00,8,0,0,0,0,0.675,233,30.88
2009-05-18 13:10:00,9,0,0,0,0,1.277,198.2,35.54
2009-05-18 13:15:00,10,0,0,0,0,1.305,167.9,30.62
2009-05-18 13:20:00,11,0,0,0,0,0.959,228.5,32.45
2009-05-18 13:25:00,12,0,0,0,0,0.95,247,29.43
2009-05-18 13:30:00,13,0,0,0,0,1.296,280.8,29.77
2009-05-18 13:35:00,14,0,0,0,0,1.74,263.7,29.71
2009-05-18 13:40:00,15,0,0,0,0,2.055,261.9,29.12
2009-05-18 13:45:00,16,0,0,0,0,2.411,256,28.12
2009-05-18 13:50:00,17,0,0,0,0,1.8,258.9,29.94
2009-05-18 13:55:00,18,0,0,0,0,1.451,295.2,29.67
2009-05-18 14:00:00,19,0,0,0,0,1.662,278.3,26.28
2009-05-18 14:05:00,20,0,0,0,0,1.942,283.6,26.96
2009-05-18 14:10:00,21,0,0,0,0,2,281.6,26.23
2009-05-18 14:15:00,22,0,0,0,0,1.918,326.6,24.81
2009-05-18 14:20:00,23,0,0,0,0,1.795,317.9,24.55
2009-05-18 14:25:00,24,0,0,0,0,1.809,286.8,26.17
2009-05-18 14:30:00,25,0,0,0,0,1.754,319.6,23.75
2009-05-18 14:35:00,26,0,0,0,0,1.641,350.9,23.28
2009-05-18 14:40:00,27,0,0,0,0,2.481,350.2,24.54
2009-05-18 14:45:00,28,0,0,0,0,2.645,387.4,25.57
2009-05-18 14:50:00,29,0,0,0,0,3.402,335,23.45
2009-05-18 14:55:00,30,0,0,0,0,2.753,375.9,24.53
2009-05-18 15:00:00,31,0,0,0,0,2.915,346.7,27.04
2009-05-18 15:05:00,32,0,0,0,0,2.522,367.1,24.79
2009-05-18 15:10:00,33,0,0,0,0,2.541,375.3,25.99
2009-05-18 15:15:00,34,0,0,0,0,2.787,349.7,26.28
2009-05-18 15:20:00,35,0,0,0,0,2.664,360.7,25.34
2009-05-18 15:25:00,36,0,0,0,0,2.798,385.3,25.83
2009-05-18 15:30:00,37,0,0,0,0,3.371,361.5,26.27
2009-05-18 15:35:00,38,0,0,0,0,2.298,352.9,24.32
2009-05-18 15:40:00,39,0,0,0,0,2.018,397.1,24.51
2009-05-18 15:45:00,40,0,0,0,0,2.485,368.2,26.03
2009-05-18 15:50:00,41,0,0,0,0,3.337,416.1,23.79
2009-05-18 15:55:00,42,0,0,0,0,3.572,411.5,23.45
2009-05-18 16:00:00,43,0,0,0,0,4.449,371.2,24.81
2009-05-18 16:05:00,44,0,0,0,0,2.847,370.7,24.9
2009-05-18 16:10:00,45,0,0,0,0,2.445,386.4,24.5
2009-05-18 16:15:00,46,0,0,0,0,2.632,371.7,25.68
2009-05-18 16:20:00,47,0,0,0,0,3.864,392.4,22.2
2009-05-18 16:25:00,48,0,0,0,0,3.261,418.6,24.41
2009-05-18 16:30:00,49,0,0,0,0,3.509,358.7,24.17
2009-05-18 16:35:00,50,0,0,0,0,3.391,344.4,23.8
2009-05-18 16:40:00,51,0,0,0,0,3.979,363.7,24.45
2009-05-18 16:45:00,52,0,0,0,0,4.136,330.6,26.9
2009-05-18 16:50:00,53,0,0,0,0,3.808,319.2,25.72
2009-05-18 16:55:00,54,0,0,0,0,3.175,314.5,25.15
2009-05-18 17:00:00,55,0,0,0,0,2.554,341.8,25.35
2009-05-18 17:05:00,56,0,0,0,0,2.554,340,25.24
2009-05-18 17:10:00,57,0,0,0,0,2.417,330.9,22.66
2009-05-18 17:15:00,58,0,0,0,0,2.367,306.9,23.14
2009-05-18 17:20:00,59,0,0,0,0,2.496,312.9,22.93
2009-05-18 17:25:00,60,0,0,0,0,2.759,355.2,21.41
2009-05-18 17:30:00,61,0,0,0,0,3.215,305.4,23.86
2009-05-18 17:35:00,62,0,0,0,0,2.911,291,21.89
2009-05-18 17:40:00,63,0,0,0,0,2.962,318.7,19.59
2009-05-18 17:45:00,64,0,0,0,0,3.199,272.5,22.04
2009-05-18 17:50:00,65,0,0,0,0,2.903,242.9,23.67
2009-05-18 17:55:00,66,0,0,0,0,2.45,308.7,21.35
2009-05-18 18:00:00,67,0,0,0,0,2.958,266.8,24.29
2009-05-18 18:05:00,68,0,0,0,0,2.648,239,24.79
2009-05-18 18:10:00,69,0,0,0,0,2.408,237.7,25.94
2009-05-18 18:15:00,70,0,0,0,0,2.382,261.3,23.39
2009-05-18 18:20:00,71,0,0,0,0,2.314,234.8,24.19
2009-05-18 18:25:00,72,0,0,0,0,2.03,208.8,24.27
2009-05-18 18:30:00,73,0,0,0,0,2.192,209.7,23.99
2009-05-18 18:35:00,74,0,0,0,0,2.793,206,26.43
2009-05-18 18:40:00,75,0,0,0,0,3.134,195.8,21.6
2009-05-18 18:45:00,76,0,0,0,0,2.442,185,24.22
2009-05-18 18:50:00,77,0,0,0,0,2.518,185.9,24.48
2009-05-18 18:55:00,78,0,0,0,0,3.548,181.9,24.24
2009-05-18 19:00:00,79,0,0,0,0,5.026,174.7,21.2
2009-05-18 19:05:00,80,0,0,0,0,4.991,173.8,21.15
2009-05-18 19:10:00,81,0,0,0,0,3.562,155.9,20.99
2009-05-18 19:15:00,82,0,0,0,0,3.338,152.1,20.93
2009-05-18 19:20:00,83,0,0,0,0,3.875,156.7,20.39
2009-05-18 19:25:00,84,0,0,0,0,3.595,143.6,20.67
2009-05-18 19:30:00,85,0,0,0,0,3.477,137.4,21.09
2009-05-18 19:35:00,86,0,0,0,0,4.08,120.2,21.43
2009-05-18 19:40:00,87,0,0,0,0,3.018,117.6,23.06
2009-05-18 19:45:00,88,0,0,0,0,1.664,108.5,26.9
2009-05-18 19:50:00,89,0,0,0,0,1.126,100.5,27.33
2009-05-18 19:55:00,90,0,0,0,0,1.048,93.9,26.02
2009-05-18 20:00:00,91,0,0,0,0,1.032,74.11,27.93
2009-05-18 20:05:00,92,0,0,0,0,0.756,-15.71,27.38
2009-05-18 20:10:00,93,0,0,0,0,0.189,-62.45,27.99
2009-05-18 20:15:00,94,0,0,0,0,0.055,-63.65,26.59
2009-05-18 20:20:00,95,0,0,0,0,-0.044,-63.84,27.95
2009-05-18 20:25:00,96,0,0,0,0,-0.119,-64.06,25.48
2009-05-18 20:30:00,97,0,0,0,0,-0.094,-64.6,26.77
2009-05-18 20:35:00,98,0,0,0,0,-0.16,-63.97,26.07
2009-05-18 20:40:00,99,0,0,0,0,-0.215,-66.45,26.6
2009-05-18 20:45:00,100,0,0,0,0,-0.286,-66.94,27.92
2009-05-18 20:50:00,101,0,0,0,0,-0.409,-68.66,29.28
2009-05-18 20:55:00,102,0,0,0,0,-0.526,-67.96,28.7
2009-05-18 21:00:00,103,0,0,0,0,-0.564,-70.85,27.91
2009-05-18 21:05:00,104,0,0,0,0,-0.586,-71.4,27.89
2009-05-18 21:10:00,105,0,0,0,0,-0.669,-70.96,27.51
2009-05-18 21:15:00,106,0,0,0,0,-0.544,-67.79,24.84
2009-05-18 21:20:00,107,0,0,0,0,-0.485,-70.76,28.51
2009-05-18 21:25:00,108,0,0,0,0,-0.549,-71.82,30.6
