TIMESTAMP,RECORD,WS_ms_S_WVT,WindDir_D1_WVT,WindDir_SD1_WVT,WS_ms_Max,AirTC_Avg,NR_Wm2_Avg,RH_Avg
TS,RN,meters/second,Deg,Deg,meters/second,Deg C,W/m�,%
,,WVc,WVc,WVc,Max,Avg,Avg,Avg
2008-06-17 16:05:00,0,0,360,0,0.003,8.7,806,46.24
2008-06-17 16:10:00,1,0,0,0,0,8.96,809,44.95
2008-06-17 16:15:00,2,0,0,0,0,9.02,806,45.39
2008-06-17 16:20:00,3,0,0,0,0,9.17,754,44.18
2008-06-17 16:25:00,4,0,0,0,0,8.78,732,46.11
2008-06-17 16:30:00,5,0,0,0,0,9.65,560.3,54.6
2008-06-17 16:35:00,6,0,0,0,0,9.57,408.8,59.5
2008-06-17 16:40:00,7,0,0,0,0,8.29,306.9,62.04
2008-06-17 16:45:00,8,0,0,0,0,7.813,466,65.57
2008-06-17 16:50:00,9,0,0,0,0,7.826,326,65.11
2008-06-17 16:55:00,10,0,0,0,0,7.485,396.6,65.81
2008-06-17 17:00:00,11,0,0,0,0,7.114,251.6,67.47
2008-06-17 17:05:00,12,0,0,0,0,6.79,138.8,68.45
2008-06-17 17:10:00,13,0,0,0,0,6.65,447.9,69.71
2008-06-17 17:15:00,14,0,0,0,0,7.124,205,67.82
2008-06-17 17:20:00,15,0,0,0,0,6.569,226.9,67.84
2008-06-17 17:25:00,16,0,0,0,0,7.039,480.6,68.73
2008-06-17 17:30:00,17,0,0,0,0,7.522,452.6,67.31
2008-06-17 17:35:00,18,0,0,0,0,7.505,433.4,65.47
2008-06-17 17:40:00,19,0,0,0,0,7.437,289.3,65.71
2008-06-17 17:45:00,20,0,0,0,0,7.602,329.1,64.92
2008-06-17 17:50:00,21,0,0,0,0,7.569,377.5,63.79
2008-06-17 17:55:00,22,0,0,0,0,7.53,296.3,64.01
2008-06-17 18:00:00,23,0,0,0,0,7.396,389.5,62.91
2008-06-17 18:05:00,24,0,0,0,0,7.392,398.5,62.49
2008-06-17 18:10:00,25,0,0,0,0,8.15,388.2,59.21
2008-06-17 18:15:00,26,0,0,0,0,9.07,365.4,57.24
2008-06-17 18:20:00,27,0,0,0,0,8.86,334.1,57.37
2008-06-17 18:25:00,28,0,0,0,0,7.113,324.9,63.07
2008-06-17 18:30:00,29,0,0,0,0,7.958,286.2,60.98
2008-06-17 18:35:00,30,0,0,0,0,8.43,292.2,58.05
2008-06-17 18:40:00,31,0,0,0,0,8.32,278.7,59.21
2008-06-17 18:45:00,32,0,0,0,0,8.63,254.3,57
2008-06-17 18:50:00,33,0,0,0,0,9.15,278.6,54.37
2008-06-17 18:55:00,34,0,0,0,0,9.33,243.2,55.16
2008-06-17 19:00:00,35,0,0,0,0,9.41,245,54.03
2008-06-17 19:05:00,36,0,0,0,0,9.89,244.9,52.8
2008-06-17 19:10:00,37,0,0,0,0,9.84,236.1,53.5
2008-06-17 19:15:00,38,0,0,0,0,9.33,217.9,56.14
2008-06-17 19:20:00,39,0,0,0,0,9.37,254.5,55.02
2008-06-17 19:25:00,40,0,0,0,0,8.76,284.9,55.94
2008-06-17 19:30:00,41,0,0,0,0,8.42,108.3,58.27
2008-06-17 19:35:00,42,0,0,0,0,7.234,55.16,61.9
2008-06-17 19:40:00,43,0,0,0,0,7.35,203.6,59.86
2008-06-17 19:45:00,44,0,0,0,0,7.761,31.2,59.7
2008-06-17 19:50:00,45,0,0,0,0,7.431,107.9,61.31
2008-06-17 19:55:00,46,0,0,0,0,6.98,97.4,64.01
2008-06-17 20:00:00,47,0,0,0,0,7.783,101,60.08
2008-06-17 20:05:00,48,0,0,0,0,8.23,146.5,59.4
2008-06-17 20:10:00,49,0,0,0,0,9.21,153.4,54.1
2008-06-17 20:15:00,50,0,0,0,0,8.79,92.7,55.99
2008-06-17 20:20:00,51,0,0,0,0,8.92,180.4,54.58
2008-06-17 20:25:00,52,0,0,0,0,7.76,-1.245,59.61
2008-06-17 20:30:00,53,0,0,0,0,6.164,-10.83,66.85
2008-06-17 20:35:00,54,0,0,0,0,5.732,-5.24,68.93
2008-06-17 20:40:00,55,0,0,0,0,5.565,2.655,68.96
2008-06-17 20:45:00,56,0,0,0,0,5.49,20.23,70.06
2008-06-17 20:50:00,57,0,0,0,0,5.486,19.01,69.39
2008-06-17 20:55:00,58,0,0,0,0,5.526,38.19,69.17
2008-06-17 21:00:00,59,0,0,0,0,5.485,29.89,69.63
2008-06-17 21:05:00,60,0,0,0,0,5.392,24.3,72.06
2008-06-17 21:10:00,61,0,0,0,0,5.2,22.33,74.16
2008-06-17 21:15:00,62,0,0,0,0,5.014,21.43,76.23
2008-06-17 21:20:00,63,0,0,0,0,4.917,22.35,76.26
2008-06-17 21:25:00,64,0,0,0,0,4.909,24.66,76.24
2008-06-17 21:30:00,65,0,0,0,0,4.862,14.62,76.46
2008-06-17 21:35:00,66,0,0,0,0,4.737,13.07,78.36
2008-06-17 21:40:00,67,0,0,0,0,4.633,16.64,78.78
2008-06-17 21:45:00,68,0,0,0,0,4.49,6.182,79.36
2008-06-17 21:50:00,69,0,0,0,0,4.355,-3.126,80
2008-06-17 21:55:00,70,0,0,0,0,4.239,-5.923,80.8
2008-06-17 22:00:00,71,0,0,0,0,4.145,-8.32,81
2008-06-17 22:05:00,72,0,0,0,0,3.825,-38.24,81.9
2008-06-17 22:10:00,73,0,0,0,0,2.937,-33.28,86.5
2008-06-17 22:15:00,74,0,0,0,0,2.375,-35.05,88.1
2008-06-17 22:20:00,75,0,0,0,0,1.892,-59.38,90
2008-06-17 22:25:00,76,0,0,0,0,1.819,-49.86,91.5
2008-06-17 22:30:00,77,0,0,0,0,1.574,-22.88,92.2
2008-06-17 22:35:00,78,0,0,0,0,0.768,-23.82,95.7
2008-06-17 22:40:00,79,0,0,0,0,0.622,-31.04,97.6
2008-06-17 22:45:00,80,0,0,0,0,0.697,-30.78,97.7
2008-06-17 22:50:00,81,0,0,0,0,0.809,-38.31,97.7
2008-06-17 22:55:00,82,0,0,0,0,1.018,-40.78,97.1
2008-06-17 23:00:00,83,0,0,0,0,1.183,-44.19,96.6
2008-06-17 23:05:00,84,0,0,0,0,1.309,-47.3,96.2
2008-06-17 23:10:00,85,0,0,0,0,1.312,-67.27,96.1
2008-06-17 23:15:00,86,0,0,0,0,1.372,-35.87,95.8
2008-06-17 23:20:00,87,0,0,0,0,1.384,-13.48,96.1
2008-06-17 23:25:00,88,0,0,0,0,1.267,-12.54,96.5
2008-06-17 23:30:00,89,0,0,0,0,1.339,-15.59,97
2008-06-17 23:35:00,90,0,0,0,0,1.392,-18.13,97.2
2008-06-17 23:40:00,91,0,0,0,0,1.348,-22.6,97.2
2008-06-17 23:45:00,92,0,0,0,0,1.356,-53.13,97.1
2008-06-17 23:50:00,93,0,0,0,0,1.23,-48.99,96.5
2008-06-17 23:55:00,94,0,0,0,0,1.166,-53.91,96.4
2008-06-18 00:00:00,95,0,0,0,0,1.125,-43.47,96.3
2008-06-18 00:05:00,96,0,0,0,0,1.148,-35.92,96.1
2008-06-18 00:10:00,97,0,0,0,0,1.227,-32.74,95.6
2008-06-18 00:15:00,98,0,0,0,0,1.268,-56.9,95.6
2008-06-18 00:20:00,99,0,0,0,0,1.215,-39.52,95.4
2008-06-18 00:25:00,100,0,0,0,0,1.145,-36.11,95.6
2008-06-18 00:30:00,101,0,0,0,0,1.243,-21.36,95.7
2008-06-18 00:35:00,102,0,0,0,0,1.347,-24.09,95.4
2008-06-18 00:40:00,103,0,0,0,0,1.352,-25.05,95.6
2008-06-18 00:45:00,104,0,0,0,0,1.299,-16.66,95.8
2008-06-18 00:50:00,105,0,0,0,0,1.326,-18.96,95.7
2008-06-18 00:55:00,106,0,0,0,0,1.428,-38.75,95.9
2008-06-18 01:00:00,107,0,0,0,0,1.419,-29.03,96.5
2008-06-18 01:05:00,108,0,0,0,0,1.42,-21.88,96.1
