"TOA5","5211","CR1000","5211","CR1000.Std.10","CRD:may7_07_TRANSECT1.CR1","14114","FiveMin"
"TIMESTAMP","RECORD","WS_ms_S_WVT","WindDir_D1_WVT","WindDir_SD1_WVT","WS_ms_Max","AirTC_Avg","NR_Wm2_Avg","CNR_Wm2_Avg","RH_Avg"
"TS","RN","meters/second","Deg","Deg","meters/second","Deg C","W/m²","Watts/meter²","%"
"","","WVc","WVc","WVc","Max","Avg","Avg","Avg","Avg"
"2007-05-18 13:15:00",0,0.48,151.4,0.01,0.96,-0.086,86.9,86.9,66.84
"2007-05-18 13:20:00",1,0.463,102.8,62.11,0.797,0.902,74.49,74.49,62.59
"2007-05-18 13:25:00",2,0.568,152.1,31.27,1.094,1.558,71.65,71.65,61.31
"2007-05-18 13:30:00",3,0.163,121.3,12.04,0.457,2.016,68.03,68.03,58.9
"2007-05-18 13:35:00",4,0.899,129.1,20.64,1.578,1.495,33.03,33.03,60.46
"2007-05-18 13:40:00",5,0.5,170.3,20.82,1.104,1.189,52.58,52.58,62.27
"2007-05-18 13:45:00",6,0.544,36.48,12.49,0.951,1.124,16.57,16.57,60.05
"2007-05-18 13:50:00",7,0.474,11.95,10.38,0.634,-0.162,38.53,38.53,63.57
"2007-05-18 13:55:00",8,0.548,64.01,15.49,0.787,-0.432,61,61,62.79
"2007-05-18 14:00:00",9,0.743,211,11.8,1.398,-0.627,59.12,59.12,64.21
"2007-05-18 14:05:00",10,1.126,251.1,22.26,1.8,-2.041,66.78,66.78,66.83
"2007-05-18 14:10:00",11,0.998,251.5,15.13,1.326,-2.636,81.4,81.4,65.69
"2007-05-18 14:15:00",12,1.504,231.7,5.634,1.976,-2.823,43.32,43.32,67.29
"2007-05-18 14:20:00",13,0.785,242.6,41.73,1.31,-2.586,50.03,50.03,67.78
"2007-05-18 14:25:00",14,0.674,273.7,29.05,1.666,-1.605,63,63,63.29
"2007-05-18 14:30:00",15,1.104,253.8,5.97,1.555,-2.728,88.1,88.1,66.03
"2007-05-18 14:35:00",16,2.012,226.6,9.87,2.443,-2.817,18.65,18.65,70.39
"2007-05-18 14:40:00",17,2.092,233.6,13.44,2.943,-3.293,67.18,67.18,70.88
"2007-05-18 14:45:00",18,1.36,193.9,30.71,1.895,-2.233,56.48,56.48,68.64
"2007-05-18 14:50:00",19,1.291,207.7,24.37,1.869,-1.026,36.61,36.61,61.92
"2007-05-18 14:55:00",20,1.353,216.8,22.95,2.28,-1.824,45.74,45.74,65.87
"2007-05-18 15:00:00",21,0.757,121.6,52.15,1.218,-0.062,80.5,80.5,59.23
"2007-05-18 15:05:00",22,0.728,69.14,20.26,1.359,-0.402,68.88,68.88,59.87
"2007-05-18 15:10:00",23,0.978,50.04,9.75,1.343,-1.281,55.83,55.83,61.98
"2007-05-18 15:15:00",24,0.533,54.88,12.63,0.748,-1.032,65.19,65.19,62.66
"2007-05-18 15:20:00",25,0.191,82.3,2.818,0.804,-0.509,61.48,61.48,60.92
"2007-05-18 15:25:00",26,0.514,79.45,25.37,0.82,1.274,69.07,69.07,55.14
"2007-05-18 15:30:00",27,0.594,51.94,29.41,0.996,0.28,49.2,49.2,57.93
"2007-05-18 15:35:00",28,1.07,93.2,13.76,1.473,-1.113,37.3,37.3,63.27
"2007-05-18 15:40:00",29,0.437,96.8,13.36,0.98,-0.741,66.15,66.15,63.51
"2007-05-18 15:45:00",30,0.351,72.61,17.27,0.683,-0.152,62.62,62.62,60.02
"2007-05-18 15:50:00",31,0.097,7.679,27.78,0.493,0.816,61.3,61.3,56.98
"2007-05-18 15:55:00",32,0.769,95.8,6.047,1.088,0.53,62.88,62.88,57.45
"2007-05-18 16:00:00",33,0.657,75.44,8.27,0.889,-0.849,64.17,64.17,63.69
"2007-05-18 16:05:00",34,0.34,73.12,29.27,0.967,-0.504,81.1,81.1,64.3
