"TOA5","5211","CR1000","5211","CR1000.Std.10","CRD:may7_07_TRANSECT1.CR1","14114","HalfHour"
"TIMESTAMP","RECORD","DT","TCDT","BP"
"TS","RN","","","hPa(mb)"
"","","Smp","Smp","Smp"
"2007-05-18 13:30:00",0,1.289,1.294,776.1
"2007-05-18 14:00:00",1,1.29,1.287,776.1
"2007-05-18 14:30:00",2,1.288,1.281,776
"2007-05-18 15:00:00",3,1.29,1.29,775.9
"2007-05-18 15:30:00",4,1.29,1.29,775.9
"2007-05-18 16:00:00",5,1.29,1.288,775.9
"2007-05-18 16:30:00",6,1.29,1.294,775.9
"2007-05-18 17:00:00",7,1.293,1.287,775.7
"2007-05-18 17:30:00",8,1.302,1.298,775.5
"2007-05-18 18:00:00",9,1.314,1.311,775.4
"2007-05-18 18:30:00",10,1.317,1.318,775.3
"2007-05-18 19:00:00",11,1.307,1.304,775.3
"2007-05-18 19:30:00",12,1.318,1.312,775.3
"2007-05-18 20:00:00",13,1.319,1.314,775.2
"2007-05-18 20:30:00",14,1.317,1.313,775.1
"2007-05-18 21:00:00",15,1.32,1.313,775.2
"2007-05-18 21:30:00",16,1.318,1.31,775.1
"2007-05-18 22:00:00",17,1.325,1.316,775
"2007-05-18 22:30:00",18,1.325,1.316,775.1
"2007-05-18 23:00:00",19,1.327,1.317,775.1
"2007-05-18 23:30:00",20,1.326,1.315,775.1
"2007-05-19 00:00:00",21,1.333,1.321,775
"2007-05-19 00:30:00",22,1.326,1.315,774.9
"2007-05-19 01:00:00",23,1.325,1.313,774.8
"2007-05-19 01:30:00",24,1.334,1.322,774.7
"2007-05-19 02:00:00",25,1.324,1.312,774.8
"2007-05-19 02:30:00",26,1.325,1.313,774.7
"2007-05-19 03:00:00",27,1.336,1.323,774.7
"2007-05-19 03:30:00",28,1.318,1.306,774.7
"2007-05-19 04:00:00",29,1.333,1.32,774.6
"2007-05-19 04:30:00",30,1.328,1.315,774.5
"2007-05-19 05:00:00",31,1.33,1.318,774.3
"2007-05-19 05:30:00",32,1.319,1.307,774.3
"2007-05-19 06:00:00",33,1.318,1.306,774.3
"2007-05-19 06:30:00",34,1.295,1.284,774.2
"2007-05-19 07:00:00",35,1.322,1.311,774.3
"2007-05-19 07:30:00",36,1.323,1.315,774.1
"2007-05-19 08:00:00",37,1.319,1.312,774.2
"2007-05-19 08:30:00",38,1.307,1.304,774.2
"2007-05-19 09:00:00",39,1.3,1.297,774.2
"2007-05-19 09:30:00",40,1.292,1.302,774.3
