"TOA5","5211","CR1000","5211","CR1000.Std.10","CRD:may7_07_TRANSECT1.CR1","14114","Health"
"TIMESTAMP","RECORD","Batt_Volt_Max","Batt_Volt_Min","Batt_Volt_TMn","Batt_Volt_Avg","Panel_Temp_Max","Panel_Temp_TMx","Panel_Temp_Min","Panel_Temp_Avg"
"TS","RN","Volts","Volts","Volts","Volts","Deg C","Deg C","Deg C","Deg C"
"","","Max","Min","TMn","Avg","Max","TMx","Min","Avg"
"2007-05-19 00:00:00",0,14.04,13.02,"2007-05-19 00:00:00",13.79,7.532,"2007-05-18 13:18:30",-5.004,1.804
"2007-05-20 00:00:00",1,14.19,12.77,"2007-05-19 05:30:00",13.59,5.874,"2007-05-19 14:32:00",-7.704,-1.253
"2007-05-21 00:00:00",2,14.11,12.8,"2007-05-20 05:30:00",13.6,4.816,"2007-05-20 14:51:00",-4.765,-0.553
"2007-05-22 00:00:00",3,14.05,12.81,"2007-05-21 05:30:00",13.56,8.1,"2007-05-21 13:24:30",-2.955,1.841
"2007-05-23 00:00:00",4,14.05,12.81,"2007-05-22 05:30:00",13.54,9.37,"2007-05-22 12:38:30",-2.912,2.463
"2007-05-24 00:00:00",5,14.08,12.8,"2007-05-23 05:30:00",13.55,7.268,"2007-05-23 14:40:30",-3.127,1.564
"2007-05-25 00:00:00",6,14,12.8,"2007-05-24 05:30:00",13.48,10.06,"2007-05-24 17:38:30",-2.205,4.284
"2007-05-26 00:00:00",7,13.91,12.82,"2007-05-25 05:30:00",13.46,11.68,"2007-05-25 16:25:30",0.436,5.585
"2007-05-27 00:00:00",8,14.03,12.79,"2007-05-26 05:30:00",13.56,5.637,"2007-05-26 14:39:00",-3.622,0.95
"2007-05-28 00:00:00",9,14.13,12.77,"2007-05-27 06:00:00",13.6,5.268,"2007-05-27 15:42:00",-4.916,-0.963
"2007-05-29 00:00:00",10,14.19,12.76,"2007-05-28 05:30:00",13.65,3.807,"2007-05-28 13:13:30",-7.372,-2.25
"2007-05-30 00:00:00",11,14.17,12.77,"2007-05-29 05:30:00",13.6,6.439,"2007-05-29 17:42:30",-6.796,-0.638
"2007-05-31 00:00:00",12,14.07,12.78,"2007-05-30 06:30:00",13.62,3.292,"2007-05-30 11:36:30",-3.622,-0.687
"2007-06-01 00:00:00",13,14.09,12.81,"2007-05-31 05:00:00",13.63,5.074,"2007-05-31 16:36:00",-4.485,-0.323
"2007-06-02 00:00:00",14,14.02,12.81,"2007-06-01 05:30:00",13.52,10.22,"2007-06-01 16:42:30",-4.139,3.442
"2007-06-03 00:00:00",15,14,12.79,"2007-06-02 05:30:00",13.56,6.963,"2007-06-02 12:14:00",-1.523,1.511
"2007-06-04 00:00:00",16,14.05,12.79,"2007-06-03 05:30:00",13.55,8.79,"2007-06-03 13:57:00",-2.763,2.414
"2007-06-05 00:00:00",17,13.88,12.83,"2007-06-04 06:30:00",13.51,7.225,"2007-06-04 10:14:30",1.947,4.719
"2007-06-06 00:00:00",18,13.96,12.81,"2007-06-05 05:30:00",13.47,11.24,"2007-06-05 19:16:30",0.436,5.408
"2007-06-07 00:00:00",19,13.92,12.81,"2007-06-06 05:30:00",13.49,10.38,"2007-06-06 12:57:00",-0.436,5.017
"2007-06-08 00:00:00",20,14.13,12.78,"2007-06-07 05:00:00",13.7,0.011,"2007-06-07 16:42:00",-5.047,-2.318
"2007-06-09 00:00:00",21,14.19,12.76,"2007-06-08 05:30:00",13.62,4.021,"2007-06-08 19:35:30",-7.727,-1.734
"2007-06-10 00:00:00",22,14.05,12.78,"2007-06-09 05:30:00",13.52,7.882,"2007-06-09 16:26:00",-4.031,2.74
"2007-06-11 00:00:00",23,13.9,12.81,"2007-06-10 05:30:00",13.49,10.27,"2007-06-10 17:37:30",0.777,5.022
"2007-06-12 00:00:00",24,13.91,12.81,"2007-06-11 05:29:30",13.49,9.52,"2007-06-11 13:08:30",0.82,4.838
"2007-06-13 00:00:00",25,13.95,12.79,"2007-06-12 05:00:00",13.51,8.83,"2007-06-12 18:43:30",0.522,4.095
"2007-06-14 00:00:00",26,13.94,12.79,"2007-06-13 05:29:30",13.48,9.62,"2007-06-13 17:35:00",0.608,4.117
"2007-06-15 00:00:00",27,13.95,12.79,"2007-06-14 05:30:00",13.53,6.613,"2007-06-14 15:45:00",0.097,3.112
"2007-06-16 00:00:00",28,13.94,12.79,"2007-06-15 05:30:00",13.49,5.097,"2007-06-15 14:39:30",1.118,2.538
"2007-06-17 00:00:00",29,13.92,12.78,"2007-06-16 06:30:00",13.43,6.265,"2007-06-16 15:44:30",0.863,2.947
"2007-06-18 00:00:00",30,13.93,12.79,"2007-06-17 05:59:30",13.52,9.03,"2007-06-17 15:19:30",1.224,3.641
"2007-06-19 00:00:00",31,13.88,12.81,"2007-06-18 05:30:00",13.48,9.41,"2007-06-18 12:50:00",1.288,4.817
"2007-06-20 00:00:00",32,13.89,12.82,"2007-06-19 05:30:00",13.48,10.16,"2007-06-19 17:06:30",2.544,5.778
"2007-06-21 00:00:00",33,13.93,12.79,"2007-06-20 05:30:00",13.53,8.46,"2007-06-20 13:14:30",0.266,3.983
"2007-06-22 00:00:00",34,13.91,12.81,"2007-06-21 05:29:30",13.51,8.21,"2007-06-21 17:22:30",2.076,4.64
"2007-06-23 00:00:00",35,13.89,12.81,"2007-06-22 05:00:00",13.48,10.81,"2007-06-22 15:32:30",2.033,5.981
"2007-06-24 00:00:00",36,13.87,12.79,"2007-06-23 06:00:00",13.43,9.62,"2007-06-23 19:26:30",2.096,5.764
"2007-06-25 00:00:00",37,13.87,12.78,"2007-06-24 06:00:00",13.4,9.52,"2007-06-24 18:01:00",1.861,5.208
