"TOA5","5211","CR1000","5211","CR1000.Std.10","CRD:Aug02_06_Transect1.CR1","31267","HalfHour"
"TIMESTAMP","RECORD","DT","TCDT","BP"
"TS","RN","","","hPa(mb)"
"","","Smp","Smp","Smp"
"2006-08-14 15:00:00",0,1.759,1.778,780.7
"2006-08-14 15:30:00",1,1.756,1.77,780.7
"2006-08-14 16:00:00",2,1.754,1.771,780.7
"2006-08-14 16:30:00",3,1.753,1.77,780.9
"2006-08-14 17:00:00",4,1.757,1.773,780.7
"2006-08-14 17:30:00",5,1.759,1.775,780.7
"2006-08-14 18:00:00",6,1.761,1.778,780.7
"2006-08-14 18:30:00",7,1.758,1.776,780.7
"2006-08-14 19:00:00",8,1.758,1.778,780.7
"2006-08-14 19:30:00",9,1.766,1.778,780.6
"2006-08-14 20:00:00",10,1.765,1.775,780.8
"2006-08-14 20:30:00",11,1.766,1.774,780.8
"2006-08-14 21:00:00",12,1.767,1.774,780.8
"2006-08-14 21:30:00",13,1.768,1.773,780.8
"2006-08-14 22:00:00",14,1.769,1.774,781
"2006-08-14 22:30:00",15,1.77,1.774,781
"2006-08-14 23:00:00",16,1.769,1.772,781.1
"2006-08-14 23:30:00",17,1.772,1.773,781
"2006-08-15 00:00:00",18,1.772,1.774,780.9
"2006-08-15 00:30:00",19,1.769,1.771,781
"2006-08-15 01:00:00",20,1.769,1.773,780.9
"2006-08-15 01:30:00",21,1.77,1.774,781
"2006-08-15 02:00:00",22,1.769,1.773,780.8
"2006-08-15 02:30:00",23,1.772,1.775,780.7
"2006-08-15 03:00:00",24,1.772,1.775,780.5
"2006-08-15 03:30:00",25,1.769,1.774,780.3
"2006-08-15 04:00:00",26,1.77,1.773,780.1
"2006-08-15 04:30:00",27,1.778,1.779,780
"2006-08-15 05:00:00",28,1.774,1.776,779.9
"2006-08-15 05:30:00",29,1.772,1.77,779.6
"2006-08-15 06:00:00",30,1.771,1.769,779.6
"2006-08-15 06:30:00",31,1.768,1.773,779.4
"2006-08-15 07:00:00",32,1.773,1.774,779.4
"2006-08-15 07:30:00",33,1.768,1.775,779.3
"2006-08-15 08:00:00",34,1.764,1.772,779
"2006-08-15 08:30:00",35,1.767,1.775,778.9
"2006-08-15 09:00:00",36,1.763,1.773,778.8
"2006-08-15 09:30:00",37,1.772,1.773,778.9
"2006-08-15 10:00:00",38,1.766,1.771,779
"2006-08-15 10:30:00",39,1.758,1.77,778.8
"2006-08-15 11:00:00",40,1.767,1.773,779.1
