"TOA5","5211","CR1000","5211","CR1000.Std.10","CRD:Aug02_06_Transect1.CR1","31267","Health"
"TIMESTAMP","RECORD","Batt_Volt_Max","Batt_Volt_Min","Batt_Volt_TMn","Batt_Volt_Avg","Panel_Temp_Max","Panel_Temp_TMx","Panel_Temp_Min","Panel_Temp_Avg"
"TS","RN","Volts","Volts","Volts","Volts","Deg C","Deg C","Deg C","Deg C"
"","","Max","Min","TMn","Avg","Max","TMx","Min","Avg"
"2006-08-15 00:00:00",0,13.79,12.87,"2006-08-15 00:00:00",13.42,8.28,"2006-08-14 14:54:00",1.053,5.836
"2006-08-16 00:00:00",1,13.93,12.77,"2006-08-15 07:00:00",13.4,7.114,"2006-08-15 19:04:00",-0.969,2.777
"2006-08-17 00:00:00",2,13.95,12.78,"2006-08-16 07:00:00",13.38,7.686,"2006-08-16 16:50:00",0.287,3.244
"2006-08-18 00:00:00",3,13.99,12.77,"2006-08-17 07:00:00",13.39,5.225,"2006-08-17 19:33:30",-0.307,1.938
"2006-08-19 00:00:00",4,13.96,12.77,"2006-08-18 06:00:00",13.39,6.439,"2006-08-18 17:37:00",-0.307,2.97
"2006-08-20 00:00:00",5,13.94,12.77,"2006-08-19 07:00:00",13.4,4.945,"2006-08-19 12:15:00",0.138,2.351
"2006-08-21 00:00:00",6,14.02,12.76,"2006-08-20 07:00:00",13.37,5.291,"2006-08-20 17:34:00",-2.013,1.311
"2006-08-22 00:00:00",7,13.91,12.77,"2006-08-21 07:00:00",13.35,5.397,"2006-08-21 19:10:00",0.097,2.79
"2006-08-23 00:00:00",8,14,12.75,"2006-08-22 07:00:00",13.38,7.421,"2006-08-22 14:25:30",-3.17,2.708
"2006-08-24 00:00:00",9,13.98,12.76,"2006-08-23 07:30:00",13.37,5.268,"2006-08-23 18:16:00",-0.5,2.003
"2006-08-25 00:00:00",10,14.01,12.74,"2006-08-24 06:59:30",13.35,5.614,"2006-08-24 16:18:30",-2.955,1.012
"2006-08-26 00:00:00",11,14,12.76,"2006-08-25 07:30:00",13.35,5.377,"2006-08-25 18:17:00",-0.224,1.889
"2006-08-27 00:00:00",12,13.98,12.76,"2006-08-26 07:00:00",13.41,2.758,"2006-08-26 15:21:00",-1.523,0.956
"2006-08-28 00:00:00",13,14.05,12.74,"2006-08-27 07:30:00",13.43,1.692,"2006-08-27 17:48:00",-3.021,-0.926
"2006-08-29 00:00:00",14,14.01,12.75,"2006-08-28 07:30:00",13.4,3.892,"2006-08-28 13:39:30",-1.672,0.492
"2006-08-30 00:00:00",15,14.01,12.75,"2006-08-29 07:30:00",13.35,6.025,"2006-08-29 18:20:30",-1.844,0.708
"2006-08-31 00:00:00",16,14.03,12.73,"2006-08-30 06:30:00",13.37,5.16,"2006-08-30 16:27:30",-4.182,0.212
"2006-09-01 00:00:00",17,14.06,12.74,"2006-08-31 07:00:00",13.39,1.543,"2006-08-31 15:02:00",-2.998,-1.189
"2006-09-02 00:00:00",18,14.02,12.75,"2006-09-01 06:30:00",13.4,5.44,"2006-09-01 17:54:00",-2.442,0.534
"2006-09-03 00:00:00",19,14.09,12.73,"2006-09-02 07:00:00",13.39,4.342,"2006-09-02 13:48:00",-4.916,-0.589
"2006-09-04 00:00:00",20,14.05,12.74,"2006-09-03 07:30:00",13.39,4.213,"2006-09-03 15:06:30",-3.364,-0.551
"2006-09-05 00:00:00",21,14,12.75,"2006-09-04 08:00:00",13.34,1.861,"2006-09-04 14:21:00",-1.609,0.163
"2006-09-06 00:00:00",22,14,12.75,"2006-09-05 07:30:00",13.39,3.142,"2006-09-05 17:32:30",-2.892,0.156
"2006-09-07 00:00:00",23,14.06,12.73,"2006-09-06 07:30:00",13.35,0.501,"2006-09-06 13:39:00",-4.051,-1.83
"2006-09-08 00:00:00",24,14.05,12.74,"2006-09-07 07:30:00",13.37,4.021,"2006-09-07 16:40:30",-3.859,-0.428
"2006-09-09 00:00:00",25,14.04,12.72,"2006-09-08 07:30:00",13.37,3.206,"2006-09-08 14:12:30",-5.854,-1.456
"2006-09-10 00:00:00",26,14.07,12.75,"2006-09-09 07:00:00",13.39,4.213,"2006-09-09 15:51:00",-3.513,-0.961
"2006-09-11 00:00:00",27,14.05,12.74,"2006-09-10 07:30:00",13.39,1.5,"2006-09-10 13:10:00",-3.407,-0.959
"2006-09-12 00:00:00",28,14.04,12.74,"2006-09-11 08:00:00",13.36,2.288,"2006-09-11 14:06:00",-3.021,-0.973
"2006-09-13 00:00:00",29,14.01,12.75,"2006-09-12 08:00:00",13.36,2.544,"2006-09-12 15:59:00",-2.248,-0.521
"2006-09-14 00:00:00",30,14.01,12.75,"2006-09-13 08:00:00",13.34,4.342,"2006-09-13 15:54:00",-1.993,0.386
"2006-09-15 00:00:00",31,14.04,12.73,"2006-09-14 07:30:00",13.3,6.875,"2006-09-14 15:43:00",-3.836,0.898
"2006-09-16 00:00:00",32,13.99,12.74,"2006-09-15 07:30:00",13.29,7.421,"2006-09-15 16:04:00",-2.763,1.378
"2006-09-17 00:00:00",33,14.04,12.72,"2006-09-16 08:00:00",13.35,3.569,"2006-09-16 16:03:00",-5.743,-1.425
"2006-09-18 00:00:00",34,13.99,12.71,"2006-09-17 07:00:00",13.26,3.87,"2006-09-17 15:35:00",-6.27,-1.657
"2006-09-19 00:00:00",35,14.07,12.72,"2006-09-18 08:00:00",13.37,1.33,"2006-09-18 15:45:30",-4.419,-1.555
"2006-09-20 00:00:00",36,14.07,12.73,"2006-09-19 08:00:00",13.34,-0.777,"2006-09-19 14:41:00",-4.722,-2.758
"2006-09-21 00:00:00",37,14.07,12.72,"2006-09-20 08:00:00",13.31,4.127,"2006-09-20 15:16:30",-4.268,-1.255
