"TOA5","5211","CR1000","5211","CR1000.Std.10","CRD:may7_07_TRANSECT1.CR1","14114","HalfHour"
"TIMESTAMP","RECORD","DT","TCDT","BP"
"TS","RN","","","hPa(mb)"
"","","Smp","Smp","Smp"
"2007-09-03 14:30:00",5186,1.783,1.793,774.8
"2007-09-03 15:00:00",5187,1.789,1.797,774.7
"2007-09-03 15:30:00",5188,1.788,1.803,774.5
"2007-09-03 16:00:00",5189,1.788,1.8,774.4
"2007-09-03 16:30:00",5190,1.79,1.805,774.2
"2007-09-03 17:00:00",5191,1.784,1.799,774.2
"2007-09-03 17:30:00",5192,1.786,1.805,774
"2007-09-03 18:00:00",5193,1.786,1.801,773.9
"2007-09-03 18:30:00",5194,1.787,1.799,773.8
"2007-09-03 19:00:00",5195,1.789,1.801,773.8
"2007-09-03 19:30:00",5196,1.792,1.804,773.8
"2007-09-03 20:00:00",5197,1.793,1.8,773.7
"2007-09-03 20:30:00",5198,1.794,1.799,773.6
"2007-09-03 21:00:00",5199,1.795,1.799,773.7
"2007-09-03 21:30:00",5200,1.796,1.8,773.6
"2007-09-03 22:00:00",5201,1.797,1.799,773.6
"2007-09-03 22:30:00",5202,1.799,1.799,773.4
"2007-09-03 23:00:00",5203,1.799,1.8,773.3
"2007-09-03 23:30:00",5204,1.8,1.801,773.1
"2007-09-04 00:00:00",5205,1.8,1.8,772.9
"2007-09-04 00:30:00",5206,1.801,1.799,772.8
"2007-09-04 01:00:00",5207,1.802,1.8,772.7
"2007-09-04 01:30:00",5208,1.803,1.8,772.4
"2007-09-04 02:00:00",5209,1.805,1.801,772.2
"2007-09-04 02:30:00",5210,1.803,1.8,771.9
"2007-09-04 03:00:00",5211,1.805,1.8,771.8
"2007-09-04 03:30:00",5212,1.806,1.802,771.5
"2007-09-04 04:00:00",5213,1.808,1.803,771.1
"2007-09-04 04:30:00",5214,1.809,1.802,770.7
"2007-09-04 05:00:00",5215,1.808,1.802,770.5
"2007-09-04 05:30:00",5216,1.81,1.803,770.1
"2007-09-04 06:00:00",5217,1.81,1.802,769.9
"2007-09-04 06:30:00",5218,1.814,1.804,769.6
"2007-09-04 07:00:00",5219,1.815,1.805,769.5
"2007-09-04 07:30:00",5220,1.816,1.806,769.3
"2007-09-04 08:00:00",5221,1.818,1.808,769.1
"2007-09-04 08:30:00",5222,1.82,1.808,769.1
"2007-09-04 09:00:00",5223,1.816,1.804,768.9
"2007-09-04 09:30:00",5224,1.816,1.805,768.8
