"TOA5","5211","CR1000","5211","CR1000.Std.10","CRD:may7_07_TRANSECT1.CR1","14114","Health"
"TIMESTAMP","RECORD","Batt_Volt_Max","Batt_Volt_Min","Batt_Volt_TMn","Batt_Volt_Avg","Panel_Temp_Max","Panel_Temp_TMx","Panel_Temp_Min","Panel_Temp_Avg"
"TS","RN","Volts","Volts","Volts","Volts","Deg C","Deg C","Deg C","Deg C"
"","","Max","Min","TMn","Avg","Max","TMx","Min","Avg"
"2007-09-04 00:00:00",108,14.04,12.7,"2007-09-03 07:30:00",13.35,6.744,"2007-09-03 17:44:00",-2.912,1.286
"2007-09-05 00:00:00",109,14.07,12.67,"2007-09-04 08:00:00",13.41,-0.947,"2007-09-04 14:48:30",-3.965,-2.461
"2007-09-06 00:00:00",110,14.05,12.7,"2007-09-05 07:30:00",13.42,2.779,"2007-09-05 14:02:00",-3.256,-0.544
"2007-09-07 00:00:00",111,14.07,12.68,"2007-09-06 07:30:00",13.41,3.142,"2007-09-06 14:31:30",-4.528,-0.881
"2007-09-08 00:00:00",112,14.06,12.69,"2007-09-07 07:30:00",13.37,5.246,"2007-09-07 16:55:30",-3.407,-0.229
"2007-09-09 00:00:00",113,13.86,12.72,"2007-09-08 08:00:00",13.21,9.84,"2007-09-08 17:38:30",-2.228,4.121
"2007-09-10 00:00:00",114,13.78,12.78,"2007-09-09 08:00:00",13.3,10.36,"2007-09-09 13:33:00",5.528,7.873
"2007-09-11 00:00:00",115,13.87,12.75,"2007-09-10 09:00:00",13.27,8.88,"2007-09-10 16:34:30",0.863,4.524
"2007-09-12 00:00:00",116,13.99,12.71,"2007-09-11 07:30:00",13.35,9.48,"2007-09-11 15:17:00",-1.629,3.779
"2007-09-13 00:00:00",117,13.8,12.78,"2007-09-12 07:30:00",13.3,13.54,"2007-09-12 13:31:00",3.463,8.73
"2007-09-14 00:00:00",118,13.84,12.76,"2007-09-13 08:00:00",13.34,8.3,"2007-09-13 00:00:30",1.159,5.858
"2007-09-15 00:00:00",119,13.95,12.72,"2007-09-14 08:00:00",13.32,4.493,"2007-09-14 13:03:00",-2.698,1.397
"2007-09-16 00:00:00",120,14.02,12.69,"2007-09-15 07:00:00",13.37,0.863,"2007-09-15 14:04:30",-2.827,-1.307
"2007-09-17 00:00:00",121,14.08,12.67,"2007-09-16 08:00:00",13.42,1.629,"2007-09-16 15:06:00",-4.485,-2.207
"2007-09-18 00:00:00",122,14.12,12.66,"2007-09-17 08:00:00",13.43,1.543,"2007-09-17 15:07:30",-5.723,-3.226
"2007-09-19 00:00:00",123,14.22,12.64,"2007-09-18 08:00:00",13.44,3.206,"2007-09-18 14:56:30",-8.8,-3.407
"2007-09-20 00:00:00",124,13.96,12.71,"2007-09-19 08:00:00",13.31,5.16,"2007-09-19 16:40:30",-3.342,0.525
"2007-09-21 00:00:00",125,14.12,12.66,"2007-09-20 08:00:00",13.4,2.93,"2007-09-20 15:34:30",-5.418,-1.677
"2007-09-22 00:00:00",126,14.09,12.67,"2007-09-21 08:00:00",13.43,0.691,"2007-09-21 15:58:00",-4.896,-2.825
"2007-09-23 00:00:00",127,14.21,12.65,"2007-09-22 08:00:00",13.48,-3.385,"2007-09-22 13:34:30",-8.51,-6.291
"2007-09-24 00:00:00",128,14.14,12.63,"2007-09-23 08:30:00",13.4,-3.299,"2007-09-23 16:35:30",-9.07,-5.995
"2007-09-25 00:00:00",129,14.08,12.66,"2007-09-24 08:00:00",13.38,1.821,"2007-09-24 15:47:00",-5.854,-2.759
"2007-09-26 00:00:00",130,14.09,12.68,"2007-09-25 08:30:00",13.41,0.436,"2007-09-25 15:35:00",-5.418,-2.809
"2007-09-27 00:00:00",131,14.14,12.66,"2007-09-26 08:30:00",13.42,-3.321,"2007-09-26 15:46:00",-6.247,-4.861
"2007-09-28 00:00:00",132,14.15,12.65,"2007-09-27 08:30:00",13.44,-2.72,"2007-09-27 15:08:00",-8.62,-5.634
"2007-09-29 00:00:00",133,14.29,12.61,"2007-09-28 08:00:00",13.52,-4.074,"2007-09-28 15:54:30",-11.93,-8.09
"2007-09-30 00:00:00",134,14.22,12.62,"2007-09-29 08:30:00",13.39,-0.436,"2007-09-29 15:17:30",-10.37,-6.556
"2007-10-01 00:00:00",135,14.27,12.61,"2007-09-30 08:00:00",13.45,0.117,"2007-09-30 16:18:00",-10.65,-5.681
"2007-10-02 00:00:00",136,14.17,12.66,"2007-10-01 08:30:00",13.45,-2.849,"2007-10-01 16:10:30",-7.304,-5.316
"2007-10-03 00:00:00",137,14.15,12.66,"2007-10-02 08:30:00",13.41,-1.311,"2007-10-02 16:54:00",-7.438,-5.321
"2007-10-04 00:00:00",138,14.22,12.65,"2007-10-03 08:00:00",13.45,-4.528,"2007-10-03 14:17:30",-10.98,-7.638
"2007-10-05 00:00:00",139,14.38,12.59,"2007-10-04 08:30:00",13.5,-6.841,"2007-10-04 15:49:30",-13.98,-10.17
"2007-10-06 00:00:00",140,14.21,12.64,"2007-10-05 09:00:00",13.42,-5.612,"2007-10-05 14:30:30",-8.87,-7.617
"2007-10-07 00:00:00",141,14.23,12.65,"2007-10-06 08:30:00",13.44,-2.827,"2007-10-06 14:08:00",-9.55,-7.26
"2007-10-08 00:00:00",142,14.32,12.62,"2007-10-07 08:30:00",13.48,-3.428,"2007-10-07 16:25:30",-15.44,-10.13
"2007-10-09 00:00:00",143,14.44,12.57,"2007-10-08 08:30:00",13.5,-3.922,"2007-10-08 14:52:30",-16.54,-11.9
"2007-10-10 00:00:00",144,14.37,12.6,"2007-10-09 08:30:00",13.45,-2.869,"2007-10-09 14:42:30",-13.49,-9.47
"2007-10-11 00:00:00",145,14.28,12.62,"2007-10-10 09:00:00",13.43,-5.897,"2007-10-10 15:01:00",-12.65,-9.89
