"TOA5","5211","CR1000","5211","CR1000.Std.10","CRD:apr08_cancreek_T1.CR1","21176","HalfHour"
"TIMESTAMP","RECORD","DT","BP","Rain_mm_Tot"
"TS","RN","m","hPa(mb)","mm"
"","","Smp","Smp","Tot"
"2008-06-17 16:30:00",0,1.803,780,0
"2008-06-17 17:00:00",1,1.804,780.1,0
"2008-06-17 17:30:00",2,1.808,780,0
"2008-06-17 18:00:00",3,1.815,779.9,0
"2008-06-17 18:30:00",4,1.814,779.8,0
"2008-06-17 19:00:00",5,1.813,779.8,0
"2008-06-17 19:30:00",6,1.812,779.9,0
"2008-06-17 20:00:00",7,1.812,779.9,0
"2008-06-17 20:30:00",8,1.814,780,0
"2008-06-17 21:00:00",9,1.814,779.9,0
"2008-06-17 21:30:00",10,1.817,780,0
"2008-06-17 22:00:00",11,1.818,780.1,0
"2008-06-17 22:30:00",12,1.83,780.7,0.8
"2008-06-17 23:00:00",13,1.826,780.7,0.7
"2008-06-17 23:30:00",14,1.826,780.7,0.5
"2008-06-18 00:00:00",15,1.827,781,0.8
"2008-06-18 00:30:00",16,1.826,781,1
"2008-06-18 01:00:00",17,1.826,781.1,0.4
"2008-06-18 01:30:00",18,1.825,781.2,0.3
"2008-06-18 02:00:00",19,1.827,781.1,0.4
"2008-06-18 02:30:00",20,1.827,781.2,0.2
"2008-06-18 03:00:00",21,1.826,781.1,0.4
"2008-06-18 03:30:00",22,1.827,781.2,0.3
"2008-06-18 04:00:00",23,1.825,781,0
"2008-06-18 04:30:00",24,1.825,780.9,0
"2008-06-18 05:00:00",25,1.826,780.9,0
"2008-06-18 05:30:00",26,1.826,780.8,0
"2008-06-18 06:00:00",27,1.824,780.8,0
"2008-06-18 06:30:00",28,1.824,780.9,0
"2008-06-18 07:00:00",29,1.822,780.8,0
"2008-06-18 07:30:00",30,1.822,780.8,0
"2008-06-18 08:00:00",31,1.822,780.7,0
"2008-06-18 08:30:00",32,1.82,780.7,0
"2008-06-18 09:00:00",33,1.822,781,0
"2008-06-18 09:30:00",34,1.817,781,0
"2008-06-18 10:00:00",35,1.818,781,0
"2008-06-18 10:30:00",36,1.819,781.1,0
"2008-06-18 11:00:00",37,1.819,781.2,0
"2008-06-18 11:30:00",38,1.82,781,0
"2008-06-18 12:00:00",39,1.822,781,0
"2008-06-18 12:30:00",40,1.817,781,0
"2008-06-18 13:00:00",41,1.818,781,0.1
"2008-06-18 13:30:00",42,1.823,781,0
"2008-06-18 14:00:00",43,1.817,780.7,0
"2008-06-18 14:30:00",44,1.811,781,0
"2008-06-18 15:00:00",45,1.813,780.9,0
"2008-06-18 15:30:00",46,1.814,781,0
"2008-06-18 16:00:00",47,1.814,781.1,0
"2008-06-18 16:30:00",48,1.822,781.2,1.4
"2008-06-18 17:00:00",49,1.819,781.3,0.4
"2008-06-18 17:30:00",50,1.812,781.2,0
"2008-06-18 18:00:00",51,1.817,781.1,0
"2008-06-18 18:30:00",52,1.815,781.1,0
"2008-06-18 19:00:00",53,1.817,781.1,0
"2008-06-18 19:30:00",54,1.818,781.1,0
"2008-06-18 20:00:00",55,1.822,781.1,0
"2008-06-18 20:30:00",56,1.822,781.2,0.3
"2008-06-18 21:00:00",57,1.821,781.4,0.8
"2008-06-18 21:30:00",58,1.823,781.4,0.1
"2008-06-18 22:00:00",59,1.821,781.5,0
"2008-06-18 22:30:00",60,1.822,781.5,0
"2008-06-18 23:00:00",61,1.821,781.4,0
"2008-06-18 23:30:00",62,1.822,781.6,0
"2008-06-19 00:00:00",63,1.821,781.6,0
"2008-06-19 00:30:00",64,1.823,781.7,0
"2008-06-19 01:00:00",65,1.822,781.8,0.1
"2008-06-19 01:30:00",66,1.822,781.6,0
"2008-06-19 02:00:00",67,1.823,781.5,0
"2008-06-19 02:30:00",68,1.824,781.5,0.1
"2008-06-19 03:00:00",69,1.823,781.5,0
"2008-06-19 03:30:00",70,1.824,781.5,0.2
"2008-06-19 04:00:00",71,1.825,781.5,0.1
"2008-06-19 04:30:00",72,1.825,781.6,0.3
"2008-06-19 05:00:00",73,1.826,781.4,0
"2008-06-19 05:30:00",74,1.827,781.4,0.2
"2008-06-19 06:00:00",75,1.827,781.4,0.1
"2008-06-19 06:30:00",76,1.827,781.4,0.1
"2008-06-19 07:00:00",77,1.827,781.3,0.1
"2008-06-19 07:30:00",78,1.826,781.4,0.1
"2008-06-19 08:00:00",79,1.826,781.6,0.1
"2008-06-19 08:30:00",80,1.823,781.6,0.1
"2008-06-19 09:00:00",81,1.823,781.7,0
"2008-06-19 09:30:00",82,1.827,781.7,0.2
"2008-06-19 10:00:00",83,1.825,781.7,0.3
"2008-06-19 10:30:00",84,1.822,781.7,0
"2008-06-19 11:00:00",85,1.821,781.7,0.1
"2008-06-19 11:30:00",86,1.823,781.8,0
"2008-06-19 12:00:00",87,1.818,781.7,0.3
"2008-06-19 12:30:00",88,1.824,781.7,0.2
"2008-06-19 13:00:00",89,1.822,781.9,0.3
"2008-06-19 13:30:00",90,1.821,781.9,0.2
"2008-06-19 14:00:00",91,1.819,782,0.3
"2008-06-19 14:30:00",92,1.821,781.9,0.4
"2008-06-19 15:00:00",93,1.822,781.9,0.4
"2008-06-19 15:30:00",94,1.82,781.8,0
"2008-06-19 16:00:00",95,1.818,781.6,0
"2008-06-19 16:30:00",96,1.815,781.5,0
"2008-06-19 17:00:00",97,1.821,781.5,0
"2008-06-19 17:30:00",98,1.82,781.3,0
"2008-06-19 18:00:00",99,1.824,781.3,0
"2008-06-19 18:30:00",100,1.821,781.2,0
"2008-06-19 19:00:00",101,1.819,781.2,0.2
"2008-06-19 19:30:00",102,1.819,781.1,0.1
"2008-06-19 20:00:00",103,1.816,781.1,0
"2008-06-19 20:30:00",104,1.82,781.1,0
"2008-06-19 21:00:00",105,1.82,781.1,0.6
"2008-06-19 21:30:00",106,1.821,781.1,0.1
"2008-06-19 22:00:00",107,1.819,781.2,0.1
"2008-06-19 22:30:00",108,1.82,781.2,0.1
"2008-06-19 23:00:00",109,1.82,781.2,0
"2008-06-19 23:30:00",110,1.82,781.4,0.1
"2008-06-20 00:00:00",111,1.82,781.2,0
"2008-06-20 00:30:00",112,1.819,781.2,0.2
"2008-06-20 01:00:00",113,1.822,781.3,0.4
"2008-06-20 01:30:00",114,1.821,781.1,0.2
"2008-06-20 02:00:00",115,1.823,781.3,0.2
"2008-06-20 02:30:00",116,1.823,781.1,0.6
"2008-06-20 03:00:00",117,1.826,781,1.3
"2008-06-20 03:30:00",118,1.828,781,0.8
"2008-06-20 04:00:00",119,1.826,780.8,0.6
"2008-06-20 04:30:00",120,1.829,780.9,0.6
"2008-06-20 05:00:00",121,1.834,780.9,0
"2008-06-20 05:30:00",122,1.832,780.8,0
