"TOA5","5211","CR1000","5211","CR1000.Std.10","CRD:apr08_cancreek_T1.CR1","21176","Health"
"TIMESTAMP","RECORD","Batt_Volt_Max","Batt_Volt_Min","Batt_Volt_TMn","Batt_Volt_Avg","Panel_Temp_Max","Panel_Temp_TMx","Panel_Temp_Min","Panel_Temp_Avg"
"TS","RN","Volts","Volts","Volts","Volts","Deg C","Deg C","Deg C","Deg C"
"","","Max","Min","TMn","Avg","Max","TMx","Min","Avg"
"2008-06-18 00:00:00",0,13.8,13.22,"2008-06-18 00:00:00",13.62,11.27,"2008-06-17 16:32:30",1.606,7.319
"2008-06-19 00:00:00",1,13.92,12.76,"2008-06-18 05:30:00",13.52,7.729,"2008-06-18 15:07:30",0.714,3.957
"2008-06-20 00:00:00",2,13.93,12.76,"2008-06-19 06:00:00",13.54,6.048,"2008-06-19 16:50:00",1.457,3.407
"2008-06-21 00:00:00",3,13.96,12.75,"2008-06-20 06:00:00",13.51,8.5,"2008-06-20 18:42:30",0.352,3.519
"2008-06-22 00:00:00",4,13.97,12.75,"2008-06-21 05:30:00",13.57,6.199,"2008-06-21 13:13:30",-0.35,2.941
"2008-06-23 00:00:00",5,14,12.74,"2008-06-22 06:00:00",13.59,5.16,"2008-06-22 18:45:30",-1.268,1.62
"2008-06-24 00:00:00",6,13.99,12.77,"2008-06-23 06:00:00",13.63,2.503,"2008-06-23 16:14:00",-0.841,0.797
"2008-06-25 00:00:00",7,14.06,12.81,"2008-06-24 05:30:00",13.62,5.7,"2008-06-24 18:09:00",-3.213,1.46
"2008-06-26 00:00:00",8,14.02,12.76,"2008-06-25 05:30:00",13.55,8.02,"2008-06-25 18:37:00",-2.72,3.171
"2008-06-27 00:00:00",9,14,12.75,"2008-06-26 05:30:00",13.58,6.787,"2008-06-26 13:39:30",-1.159,3.083
"2008-06-28 00:00:00",10,14.01,12.82,"2008-06-27 05:30:00",13.64,4.236,"2008-06-27 18:09:30",-1.394,1.536
"2008-06-29 00:00:00",11,14.07,12.76,"2008-06-28 05:30:00",13.66,2.395,"2008-06-28 15:07:00",-4.225,-0.777
"2008-06-30 00:00:00",12,14.15,12.77,"2008-06-29 06:00:00",13.64,5.96,"2008-06-29 19:14:00",-6.139,0.301
"2008-07-01 00:00:00",13,14.06,12.78,"2008-06-30 05:30:00",13.6,7.356,"2008-06-30 15:42:30",-2.955,2.152
"2008-07-02 00:00:00",14,13.99,12.77,"2008-07-01 06:00:00",13.56,6.199,"2008-07-01 17:54:30",-1.268,2.141
"2008-07-03 00:00:00",15,14.02,12.77,"2008-07-02 05:30:00",13.51,11.22,"2008-07-02 20:12:00",-1.907,4.82
"2008-07-04 00:00:00",16,13.87,12.78,"2008-07-03 05:30:00",13.45,13.75,"2008-07-03 16:44:30",2.46,8.55
"2008-07-05 00:00:00",17,13.76,12.79,"2008-07-04 05:30:00",13.41,13.38,"2008-07-04 11:21:00",4.966,8.64
"2008-07-06 00:00:00",18,13.87,12.73,"2008-07-05 06:00:00",13.47,10.36,"2008-07-05 19:37:00",2.695,5.819
"2008-07-07 00:00:00",19,13.91,12.79,"2008-07-06 05:30:00",13.57,6.547,"2008-07-06 17:49:30",-0.267,4.132
"2008-07-08 00:00:00",20,14.06,12.73,"2008-07-07 05:59:30",13.61,5.354,"2008-07-07 18:03:30",-3.342,0.782
"2008-07-09 00:00:00",21,14.02,12.77,"2008-07-08 05:30:00",13.64,4.064,"2008-07-08 12:38:00",-3.385,0.099
"2008-07-10 00:00:00",22,13.99,12.73,"2008-07-09 06:00:00",13.57,6.265,"2008-07-09 14:11:30",-1.629,2.054
"2008-07-11 00:00:00",23,13.87,12.78,"2008-07-10 06:00:00",13.49,12.49,"2008-07-10 16:50:00",1.457,6.653
"2008-07-12 00:00:00",24,13.92,12.72,"2008-07-11 06:00:00",13.48,10.31,"2008-07-11 19:41:30",0.352,4.716
"2008-07-13 00:00:00",25,13.9,12.71,"2008-07-12 07:00:00",13.43,9.12,"2008-07-12 16:11:30",1.99,4.211
"2008-07-14 00:00:00",26,13.87,12.77,"2008-07-13 06:00:00",13.47,11.93,"2008-07-13 16:43:30",3.079,6.262
"2008-07-15 00:00:00",27,13.85,12.74,"2008-07-14 06:00:00",13.44,11.84,"2008-07-14 17:10:30",3.678,7.206
"2008-07-16 00:00:00",28,13.94,12.74,"2008-07-15 06:00:00",13.52,9.46,"2008-07-15 15:52:00",0.863,4.676
"2008-07-17 00:00:00",29,13.85,12.76,"2008-07-16 06:00:00",13.45,12.02,"2008-07-16 15:57:00",2.245,7.591
"2008-07-18 00:00:00",30,13.88,12.75,"2008-07-17 06:00:00",13.51,10.16,"2008-07-17 14:57:00",0.648,5.481
"2008-07-19 00:00:00",31,13.98,12.72,"2008-07-18 06:30:00",13.56,2.844,"2008-07-18 17:21:00",-1.202,0.907
"2008-07-20 00:00:00",32,14.07,12.72,"2008-07-19 06:00:00",13.65,3.956,"2008-07-19 13:09:00",-3.385,-0.273
"2008-07-21 00:00:00",33,14.04,12.79,"2008-07-20 06:00:00",13.59,5.031,"2008-07-20 15:05:00",-2.763,0.505
"2008-07-22 00:00:00",34,14.03,12.71,"2008-07-21 06:00:00",13.58,5.548,"2008-07-21 15:19:00",-2.698,1.884
"2008-07-23 00:00:00",35,13.99,12.75,"2008-07-22 06:30:00",13.6,4.945,"2008-07-22 17:46:30",-1.288,1.747
"2008-07-24 00:00:00",36,14.06,12.71,"2008-07-23 06:30:00",13.57,3.612,"2008-07-23 18:27:30",-2.635,0.337
"2008-07-25 00:00:00",37,14.04,12.73,"2008-07-24 06:30:00",13.61,0.117,"2008-07-24 11:26:30",-1.95,-0.925
"2008-07-26 00:00:00",38,14,12.69,"2008-07-25 06:30:00",13.56,1.821,"2008-07-25 19:29:00",-2.655,-0.092
