"TOA5","5211","CR1000","5211","CR1000.Std.10","CRD:apr08_cancreek_T1.CR1","21176","HalfHour"
"TIMESTAMP","RECORD","DT","BP","Rain_mm_Tot"
"TS","RN","m","hPa(mb)","mm"
"","","Smp","Smp","Tot"
"2009-05-18 12:30:00",0,1.849,781.9,0
"2009-05-18 13:00:00",1,1.857,781.8,0
"2009-05-18 13:30:00",2,1.859,781.8,0
"2009-05-18 14:00:00",3,1.861,781.5,0
"2009-05-18 14:30:00",4,1.864,781.2,0
"2009-05-18 15:00:00",5,1.857,781.1,0
"2009-05-18 15:30:00",6,1.863,781,0
"2009-05-18 16:00:00",7,1.862,780.8,0
"2009-05-18 16:30:00",8,1.867,780.5,0
"2009-05-18 17:00:00",9,1.853,780.3,0
"2009-05-18 17:30:00",10,1.861,780.2,0
"2009-05-18 18:00:00",11,1.854,779.8,0
"2009-05-18 18:30:00",12,1.865,779.7,0
"2009-05-18 19:00:00",13,1.872,779.6,0
"2009-05-18 19:30:00",14,1.872,779.3,0
"2009-05-18 20:00:00",15,1.871,779.2,0
"2009-05-18 20:30:00",16,1.868,778.9,0
"2009-05-18 21:00:00",17,1.87,778.6,0
"2009-05-18 21:30:00",18,1.868,778.4,0
"2009-05-18 22:00:00",19,1.874,778.3,0
"2009-05-18 22:30:00",20,1.869,778.3,0
"2009-05-18 23:00:00",21,1.872,778.3,0
"2009-05-18 23:30:00",22,1.869,778.2,0
"2009-05-19 00:00:00",23,1.871,778.2,0
"2009-05-19 00:30:00",24,1.872,778.1,0
"2009-05-19 01:00:00",25,1.871,777.8,0
"2009-05-19 01:30:00",26,1.871,777.6,0
"2009-05-19 02:00:00",27,1.872,777.5,0
"2009-05-19 02:30:00",28,1.873,777.5,0
"2009-05-19 03:00:00",29,1.872,777.3,0
"2009-05-19 03:30:00",30,1.872,777.1,0
"2009-05-19 04:00:00",31,1.875,777,0
"2009-05-19 04:30:00",32,1.876,776.9,0
"2009-05-19 05:00:00",33,1.872,776.6,0
"2009-05-19 05:30:00",34,1.873,776.4,0
"2009-05-19 06:00:00",35,1.873,776.2,0
"2009-05-19 06:30:00",36,1.873,776,0
"2009-05-19 07:00:00",37,1.872,775.9,0
"2009-05-19 07:30:00",38,1.873,775.9,0
"2009-05-19 08:00:00",39,1.874,775.8,0
"2009-05-19 08:30:00",40,1.864,775.6,0
"2009-05-19 09:00:00",41,1.867,775.7,0
"2009-05-19 09:30:00",42,1.869,775.6,0
"2009-05-19 10:00:00",43,1.858,775.5,0
"2009-05-19 10:30:00",44,1.859,775.4,0
"2009-05-19 11:00:00",45,1.857,775.4,0
"2009-05-19 11:30:00",46,1.863,775.4,0
"2009-05-19 12:00:00",47,1.86,775.5,0
"2009-05-19 12:30:00",48,1.85,775.4,0
"2009-05-19 13:00:00",49,1.858,775.4,0
"2009-05-19 13:30:00",50,1.854,775.4,0
"2009-05-19 14:00:00",51,1.851,775.4,0
"2009-05-19 14:30:00",52,1.861,775.2,0
"2009-05-19 15:00:00",53,1.857,775.2,0
"2009-05-19 15:30:00",54,1.861,775.2,0
"2009-05-19 16:00:00",55,1.863,775.2,0
"2009-05-19 16:30:00",56,1.861,775.2,0
"2009-05-19 17:00:00",57,1.861,775.2,0
"2009-05-19 17:30:00",58,1.863,775.1,0
"2009-05-19 18:00:00",59,1.862,775,0
"2009-05-19 18:30:00",60,1.863,775,0
"2009-05-19 19:00:00",61,1.863,775,0
"2009-05-19 19:30:00",62,1.862,775,0
"2009-05-19 20:00:00",63,1.864,775.1,0
"2009-05-19 20:30:00",64,1.867,775,0
"2009-05-19 21:00:00",65,1.867,775.1,0
"2009-05-19 21:30:00",66,1.867,775.3,0
"2009-05-19 22:00:00",67,1.867,775.3,0
"2009-05-19 22:30:00",68,1.871,775.5,0
"2009-05-19 23:00:00",69,1.87,775.5,0
"2009-05-19 23:30:00",70,1.87,775.6,0
"2009-05-20 00:00:00",71,1.87,775.6,0
"2009-05-20 00:30:00",72,1.87,775.6,0
"2009-05-20 01:00:00",73,1.871,775.6,0
"2009-05-20 01:30:00",74,1.872,775.6,0
"2009-05-20 02:00:00",75,1.87,775.6,0
"2009-05-20 02:30:00",76,1.87,775.6,0
"2009-05-20 03:00:00",77,1.871,775.7,0
"2009-05-20 03:30:00",78,1.869,775.6,0
"2009-05-20 04:00:00",79,1.872,775.7,0
"2009-05-20 04:30:00",80,1.871,775.7,0
"2009-05-20 05:00:00",81,1.869,775.6,0
"2009-05-20 05:30:00",82,1.867,775.6,0
"2009-05-20 06:00:00",83,1.867,775.7,0
"2009-05-20 06:30:00",84,1.872,775.9,0
"2009-05-20 07:00:00",85,1.873,776,0
"2009-05-20 07:30:00",86,1.873,776,0
"2009-05-20 08:00:00",87,1.871,776,0
"2009-05-20 08:30:00",88,1.873,776.1,0
"2009-05-20 09:00:00",89,1.865,776.4,0
"2009-05-20 09:30:00",90,1.867,776.6,0
"2009-05-20 10:00:00",91,1.869,776.8,0
"2009-05-20 10:30:00",92,1.856,776.9,0
"2009-05-20 11:00:00",93,1.865,776.7,0
"2009-05-20 11:30:00",94,1.865,777,0
"2009-05-20 12:00:00",95,1.85,777.1,0
"2009-05-20 12:30:00",96,1.871,777.3,0
"2009-05-20 13:00:00",97,1.873,777.6,0
"2009-05-20 13:30:00",98,1.87,777.7,0
"2009-05-20 14:00:00",99,1.867,777.8,0
"2009-05-20 14:30:00",100,1.864,777.8,0
"2009-05-20 15:00:00",101,1.868,778,0
"2009-05-20 15:30:00",102,1.865,778.1,0
"2009-05-20 16:00:00",103,1.865,778.2,0
"2009-05-20 16:30:00",104,1.865,778.2,0
"2009-05-20 17:00:00",105,1.865,778.3,0
"2009-05-20 17:30:00",106,1.87,778.4,0
"2009-05-20 18:00:00",107,1.868,778.5,0
"2009-05-20 18:30:00",108,1.87,778.5,0
"2009-05-20 19:00:00",109,1.872,778.7,0
"2009-05-20 19:30:00",110,1.873,778.7,0
"2009-05-20 20:00:00",111,1.875,778.8,0
"2009-05-20 20:30:00",112,1.875,778.9,0
"2009-05-20 21:00:00",113,1.878,779.3,0
"2009-05-20 21:30:00",114,1.877,779.3,0
"2009-05-20 22:00:00",115,1.878,779.6,0
"2009-05-20 22:30:00",116,1.878,779.8,0
"2009-05-20 23:00:00",117,1.878,779.8,0
"2009-05-20 23:30:00",118,1.878,779.7,0
"2009-05-21 00:00:00",119,1.876,779.9,0
"2009-05-21 00:30:00",120,1.878,780,0
"2009-05-21 01:00:00",121,1.872,779.9,0
"2009-05-21 01:30:00",122,1.872,779.9,0
"2009-05-21 02:00:00",123,1.877,779.9,0
"2009-05-21 02:30:00",124,1.876,780,0
"2009-05-21 03:00:00",125,1.878,780,0
"2009-05-21 03:30:00",126,1.881,780.1,0
