"TOA5","5211","CR1000","5211","CR1000.Std.10","CRD:apr08_cancreek_T1.CR1","21176","Health"
"TIMESTAMP","RECORD","Batt_Volt_Max","Batt_Volt_Min","Batt_Volt_TMn","Batt_Volt_Avg","Panel_Temp_Max","Panel_Temp_TMx","Panel_Temp_Min","Panel_Temp_Avg"
"TS","RN","Volts","Volts","Volts","Volts","Deg C","Deg C","Deg C","Deg C"
"","","Max","Min","TMn","Avg","Max","TMx","Min","Avg"
"2009-05-19 00:00:00",0,13.97,13.45,"2009-05-19 00:00:00",13.81,5.765,"2009-05-18 17:49:00",-4.333,2.84
"2009-05-20 00:00:00",1,14.14,12.82,"2009-05-19 05:30:00",13.62,7.686,"2009-05-19 17:27:30",-5.94,0.966
"2009-05-21 00:00:00",2,14.09,12.82,"2009-05-20 05:30:00",13.67,5.203,"2009-05-20 11:24:00",-5.199,-0.281
"2009-05-22 00:00:00",3,14.18,12.85,"2009-05-21 05:30:00",13.72,1.351,"2009-05-21 11:10:00",-7.327,-2.346
"2009-05-23 00:00:00",4,14.19,12.86,"2009-05-22 05:30:00",13.72,2.503,"2009-05-22 19:06:00",-8.55,-2.353
"2009-05-24 00:00:00",5,14.19,12.83,"2009-05-23 05:30:00",13.72,2.331,"2009-05-23 16:21:00",-7.46,-2.288
"2009-05-25 00:00:00",6,14.16,12.89,"2009-05-24 05:30:00",13.71,2.779,"2009-05-24 17:45:00",-6.489,-0.773
"2009-05-26 00:00:00",7,14.01,12.84,"2009-05-25 05:30:00",13.63,7.049,"2009-05-25 17:46:30",-1.652,2.162
"2009-05-27 00:00:00",8,13.94,12.82,"2009-05-26 05:30:00",13.6,8.06,"2009-05-26 18:23:30",0.648,3.9
"2009-05-28 00:00:00",9,13.99,12.8,"2009-05-27 05:30:00",13.62,5.591,"2009-05-27 16:25:00",-2.998,2.217
"2009-05-29 00:00:00",10,14.09,12.81,"2009-05-28 06:00:00",13.65,8.35,"2009-05-28 15:30:30",-4.505,0.589
"2009-05-30 00:00:00",11,14.18,12.86,"2009-05-29 05:30:00",13.71,7.29,"2009-05-29 14:09:30",-7.395,-1.107
"2009-05-31 00:00:00",12,14.13,12.92,"2009-05-30 05:30:00",13.73,3.764,"2009-05-30 18:21:30",-5.264,-1.141
"2009-06-01 00:00:00",13,14.12,12.88,"2009-05-31 05:30:00",13.64,9.44,"2009-05-31 18:59:30",-5.461,1.557
"2009-06-02 00:00:00",14,13.94,12.78,"2009-06-01 05:30:00",13.51,12.28,"2009-06-01 19:03:00",0.734,6.281
"2009-06-03 00:00:00",15,13.85,12.78,"2009-06-02 05:30:00",13.44,15,"2009-06-02 18:58:30",3.526,9.15
"2009-06-04 00:00:00",16,13.8,12.76,"2009-06-03 05:30:00",13.42,15.29,"2009-06-03 18:16:30",5.311,10.47
"2009-06-05 00:00:00",17,13.76,12.78,"2009-06-04 06:00:00",13.42,16.09,"2009-06-04 18:35:00",6.635,11.06
"2009-06-06 00:00:00",18,13.72,12.77,"2009-06-05 05:00:00",13.41,15.75,"2009-06-05 17:11:30",8.48,11.84
"2009-06-07 00:00:00",19,13.82,12.75,"2009-06-06 05:30:00",13.42,12.6,"2009-06-06 18:54:00",4.837,8.38
"2009-06-08 00:00:00",20,13.85,12.74,"2009-06-07 05:30:00",13.47,13.73,"2009-06-07 19:06:00",3.978,8.21
"2009-06-09 00:00:00",21,13.89,12.75,"2009-06-08 05:30:00",13.45,14.23,"2009-06-08 17:46:30",2.46,8.38
"2009-06-10 00:00:00",22,13.79,12.74,"2009-06-09 05:30:00",13.42,15.26,"2009-06-09 18:48:00",5.051,9.71
"2009-06-11 00:00:00",23,13.85,12.71,"2009-06-10 07:30:00",13.33,13.52,"2009-06-10 19:23:30",3.741,7.142
"2009-06-12 00:00:00",24,13.87,12.73,"2009-06-11 05:30:00",13.47,12.65,"2009-06-11 16:55:00",2.93,7.634
"2009-06-13 00:00:00",25,13.91,12.76,"2009-06-12 05:30:00",13.58,6.852,"2009-06-12 14:45:00",-2.248,3.793
"2009-06-14 00:00:00",26,14.06,12.83,"2009-06-13 05:00:00",13.66,5.354,"2009-06-13 18:28:30",-3.599,0.441
"2009-06-15 00:00:00",27,14.04,12.81,"2009-06-14 05:30:00",13.58,7.993,"2009-06-14 17:21:30",-4.614,1.429
"2009-06-16 00:00:00",28,14.03,12.77,"2009-06-15 05:30:00",13.59,7.575,"2009-06-15 17:20:00",-2.162,2.618
"2009-06-17 00:00:00",29,13.96,12.73,"2009-06-16 06:00:00",13.57,5.44,"2009-06-16 14:36:30",0.181,2.026
"2009-06-18 00:00:00",30,13.94,12.82,"2009-06-17 05:30:00",13.62,6.416,"2009-06-17 09:43:00",-1.01,3.176
"2009-06-19 00:00:00",31,14.08,12.83,"2009-06-18 05:30:00",13.65,4.685,"2009-06-18 15:07:30",-3.965,0.792
"2009-06-20 00:00:00",32,14.05,12.84,"2009-06-19 05:30:00",13.64,7.311,"2009-06-19 18:33:00",-2.635,2.044
"2009-06-21 00:00:00",33,14.07,12.82,"2009-06-20 05:30:00",13.64,6.832,"2009-06-20 17:05:00",-3.513,1.616
"2009-06-22 00:00:00",34,14.12,12.82,"2009-06-21 05:30:00",13.64,7.378,"2009-06-21 19:15:30",-4.808,1.405
"2009-06-23 00:00:00",35,14.05,12.83,"2009-06-22 05:30:00",13.64,4.88,"2009-06-22 14:38:30",-2.892,1.261
"2009-06-24 00:00:00",36,14.07,12.76,"2009-06-23 06:00:00",13.62,5.16,"2009-06-23 18:13:30",-3.622,0.114
"2009-06-25 00:00:00",37,14.16,12.82,"2009-06-24 05:30:00",13.66,6.373,"2009-06-24 19:13:30",-6.511,0.3
