"TOA5","5211","CR1000","5211","CR1000.Std.10","CRD:apr08_cancreek_T1.CR1","21176","Health"
"TIMESTAMP","RECORD","Batt_Volt_Max","Batt_Volt_Min","Batt_Volt_TMn","Batt_Volt_Avg","Panel_Temp_Max","Panel_Temp_TMx","Panel_Temp_Min","Panel_Temp_Avg"
"TS","RN","Volts","Volts","Volts","Volts","Deg C","Deg C","Deg C","Deg C"
"","","Max","Min","TMn","Avg","Max","TMx","Min","Avg"
"2008-09-12 00:00:00",86,14.06,12.66,"2008-09-11 07:30:00",13.46,3.486,"2008-09-11 15:13:00",-4.462,-0.474
"2008-09-13 00:00:00",87,14.05,12.65,"2008-09-12 07:30:00",13.47,2.887,"2008-09-12 17:00:30",-4.096,-0.723
"2008-09-14 00:00:00",88,14.02,12.67,"2008-09-13 08:00:00",13.41,4.622,"2008-09-13 15:29:30",-2.655,0.091
"2008-09-15 00:00:00",89,14,12.67,"2008-09-14 08:00:00",13.38,5.377,"2008-09-14 13:39:00",-4.008,0.997
"2008-09-16 00:00:00",90,14.04,12.65,"2008-09-15 08:00:00",13.45,3.807,"2008-09-15 14:57:30",-2.892,-0.39
"2008-09-17 00:00:00",91,14.06,12.65,"2008-09-16 08:00:00",13.43,3.999,"2008-09-16 14:09:30",-3.622,-0.291
"2008-09-18 00:00:00",92,13.98,12.67,"2008-09-17 07:30:00",13.43,3.206,"2008-09-17 16:29:00",-3.493,0.486
"2008-09-19 00:00:00",93,14.05,12.64,"2008-09-18 08:30:00",13.38,3.357,"2008-09-18 15:46:30",-4.548,-1.457
"2008-09-20 00:00:00",94,14.11,12.62,"2008-09-19 08:00:00",13.41,0.903,"2008-09-19 16:03:30",-5.678,-2.658
"2008-09-21 00:00:00",95,14.12,12.62,"2008-09-20 08:00:00",13.5,-1.46,"2008-09-20 15:32:00",-6.204,-3.8
"2008-09-22 00:00:00",96,14.23,12.6,"2008-09-21 08:00:00",13.5,-0.012,"2008-09-21 15:38:00",-8.96,-5.114
"2008-09-23 00:00:00",97,14.21,12.61,"2008-09-22 08:00:00",13.51,-1.311,"2008-09-22 13:18:30",-8.76,-5.776
"2008-09-24 00:00:00",98,14.16,12.63,"2008-09-23 08:30:00",13.45,-0.201,"2008-09-23 16:18:00",-8.08,-4.622
"2008-09-25 00:00:00",99,14.24,12.59,"2008-09-24 08:00:00",13.5,-0.542,"2008-09-24 15:37:30",-9.25,-5.428
"2008-09-26 00:00:00",100,14.2,12.61,"2008-09-25 08:00:00",13.51,-0.671,"2008-09-25 16:23:30",-7.951,-4.723
"2008-09-27 00:00:00",101,14.18,12.61,"2008-09-26 08:30:00",13.46,-1.801,"2008-09-26 15:03:30",-7.594,-5.24
"2008-09-28 00:00:00",102,14.18,12.61,"2008-09-27 08:00:00",13.47,-3.45,"2008-09-27 16:10:30",-7.815,-5.61
"2008-09-29 00:00:00",103,14.14,12.62,"2008-09-28 08:00:00",13.47,-2.549,"2008-09-28 15:29:30",-6.907,-5.035
"2008-09-30 00:00:00",104,14.24,12.6,"2008-09-29 08:30:00",13.5,-4.788,"2008-09-29 16:04:30",-9.78,-7.297
"2008-10-01 00:00:00",105,14.05,12.64,"2008-09-30 09:00:00",13.36,1.416,"2008-09-30 15:08:30",-6.466,-2.755
"2008-10-02 00:00:00",106,14.1,12.65,"2008-10-01 08:30:00",13.44,3.014,"2008-10-01 15:43:00",-5.047,-2.398
"2008-10-03 00:00:00",107,14.07,12.65,"2008-10-02 08:30:00",13.4,0.946,"2008-10-02 15:02:00",-4.939,-2.215
"2008-10-04 00:00:00",108,14.16,12.67,"2008-10-03 08:30:00",13.45,-1.225,"2008-10-03 00:16:30",-9.28,-4.052
"2008-10-05 00:00:00",109,14.27,12.6,"2008-10-04 08:30:00",13.52,-3.321,"2008-10-04 14:41:30",-11.18,-8.22
"2008-10-06 00:00:00",110,14.28,12.59,"2008-10-05 08:30:00",13.51,-2.549,"2008-10-05 12:42:00",-11.72,-8.17
"2008-10-07 00:00:00",111,14.33,12.57,"2008-10-06 08:30:00",13.6,-7.483,"2008-10-06 17:21:30",-13.86,-10.79
"2008-10-08 00:00:00",112,14.38,12.56,"2008-10-07 08:30:00",13.57,-4.008,"2008-10-07 14:05:30",-14.67,-10.85
"2008-10-09 00:00:00",113,14.37,12.55,"2008-10-08 09:00:00",13.5,-4.831,"2008-10-08 15:42:00",-15.9,-11.47
"2008-10-10 00:00:00",114,14.38,12.55,"2008-10-09 08:30:00",13.57,-6.532,"2008-10-09 23:45:00",-16.34,-11.1
"2008-10-11 00:00:00",115,14.05,12.65,"2008-10-10 09:00:00",13.39,-0.969,"2008-10-10 14:23:00",-6.995,-3.253
"2008-10-12 00:00:00",116,14.13,12.63,"2008-10-11 08:30:00",13.43,-0.563,"2008-10-11 12:38:30",-6.665,-4.331
"2008-10-13 00:00:00",117,14.17,12.63,"2008-10-12 08:30:00",13.45,-3.385,"2008-10-12 15:45:00",-9.43,-6.077
"2008-10-14 00:00:00",118,14.24,12.6,"2008-10-13 08:30:00",13.49,-6.489,"2008-10-13 13:56:30",-10.05,-8.93
"2008-10-15 00:00:00",119,14.29,12.58,"2008-10-14 09:00:00",13.47,-6.466,"2008-10-14 21:30:30",-11.18,-8.71
"2008-10-16 00:00:00",120,14.21,12.61,"2008-10-15 09:00:00",13.42,-5.592,"2008-10-15 15:49:30",-8.76,-7.239
"2008-10-17 00:00:00",121,14.26,12.6,"2008-10-16 09:00:00",13.46,-1.245,"2008-10-16 15:04:00",-11.72,-8.2
"2008-10-18 00:00:00",122,14.27,12.59,"2008-10-17 09:00:00",13.43,-2.655,"2008-10-17 15:03:30",-10.98,-9.14
