"TOA5","5211","CR1000","5211","CR1000.Std.10","CRD:ins_jul0309_apr08_cancreek_T1.CR1","21176","Health"
"TIMESTAMP","RECORD","Batt_Volt_Max","Batt_Volt_Min","Batt_Volt_TMn","Batt_Volt_Avg","Panel_Temp_Max","Panel_Temp_TMx","Panel_Temp_Min","Panel_Temp_Avg"
"TS","RN","Volts","Volts","Volts","Volts","Deg C","Deg C","Deg C","Deg C"
"","","Max","Min","TMn","Avg","Max","TMx","Min","Avg"
"2009-08-05 00:00:00",0,13.66,13.07,"2009-08-05 00:00:00",13.52,14.37,"2009-08-04 19:30:00",5.031,11.65
"2009-08-06 00:00:00",1,13.81,12.68,"2009-08-05 06:00:00",13.33,15.31,"2009-08-05 17:59:30",3.827,9.91
"2009-08-07 00:00:00",2,13.77,12.69,"2009-08-06 06:30:00",13.38,12.93,"2009-08-06 16:45:30",3.87,8.44
"2009-08-08 00:00:00",3,13.86,12.68,"2009-08-07 07:00:00",13.39,9.46,"2009-08-07 14:45:00",2.758,5.482
"2009-08-09 00:00:00",4,13.87,12.65,"2009-08-08 07:00:00",13.36,7.905,"2009-08-08 12:59:30",2.715,4.866
"2009-08-10 00:00:00",5,13.92,12.68,"2009-08-09 06:30:00",13.46,10.09,"2009-08-09 18:13:30",0.989,5.282
"2009-08-11 00:00:00",6,13.98,12.66,"2009-08-10 06:30:00",13.49,3.935,"2009-08-10 16:11:30",-0.224,1.439
"2009-08-12 00:00:00",7,13.98,12.63,"2009-08-11 07:30:00",13.48,3.764,"2009-08-11 19:35:30",-0.947,1.184
"2009-08-13 00:00:00",8,14.01,12.7,"2009-08-12 06:30:00",13.53,7.532,"2009-08-12 15:09:00",-1.758,3.02
"2009-08-14 00:00:00",9,14.02,12.67,"2009-08-13 06:30:00",13.5,7.311,"2009-08-13 16:16:30",-2.205,2.674
"2009-08-15 00:00:00",10,13.94,12.66,"2009-08-14 07:00:00",13.44,9.39,"2009-08-14 17:56:30",-0.158,3.938
"2009-08-16 00:00:00",11,13.87,12.68,"2009-08-15 07:00:00",13.38,10.4,"2009-08-15 17:47:30",2.566,5.751
"2009-08-17 00:00:00",12,13.87,12.68,"2009-08-16 07:00:00",13.42,8.13,"2009-08-16 18:48:30",1.841,5.08
"2009-08-18 00:00:00",13,13.92,12.65,"2009-08-17 07:30:00",13.45,6.199,"2009-08-17 16:12:30",0.903,3.291
"2009-08-19 00:00:00",14,13.94,12.67,"2009-08-18 06:30:00",13.47,8.1,"2009-08-18 15:09:00",0.436,3.805
"2009-08-20 00:00:00",15,14.03,12.65,"2009-08-19 06:30:00",13.48,6.766,"2009-08-19 16:02:30",-2.483,1.675
"2009-08-21 00:00:00",16,13.96,12.63,"2009-08-20 07:30:00",13.41,2.93,"2009-08-20 13:47:30",-0.457,0.825
"2009-08-22 00:00:00",17,13.93,12.66,"2009-08-21 07:00:00",13.43,9.57,"2009-08-21 16:56:30",0.82,4.596
"2009-08-23 00:00:00",18,13.84,12.67,"2009-08-22 07:30:00",13.31,10.72,"2009-08-22 17:09:00",3.486,5.725
"2009-08-24 00:00:00",19,13.91,12.65,"2009-08-23 07:00:00",13.4,6.918,"2009-08-23 17:46:00",-0.075,3.477
"2009-08-25 00:00:00",20,14.01,12.63,"2009-08-24 07:30:00",13.49,0.415,"2009-08-24 12:05:30",-2.013,-0.954
"2009-08-26 00:00:00",21,14.05,12.64,"2009-08-25 07:30:00",13.5,3.4,"2009-08-25 17:51:30",-3.193,-0.141
"2009-08-27 00:00:00",22,14.02,12.65,"2009-08-26 07:00:00",13.49,4.622,"2009-08-26 15:08:00",-1.993,0.754
"2009-08-28 00:00:00",23,14.02,12.62,"2009-08-27 07:30:00",13.47,0.309,"2009-08-27 11:50:00",-2.784,-1.417
"2009-08-29 00:00:00",24,13.99,12.62,"2009-08-28 08:00:00",13.42,3.228,"2009-08-28 16:33:00",-1.715,0.436
"2009-08-30 00:00:00",25,13.98,12.64,"2009-08-29 07:30:00",13.42,2.93,"2009-08-29 16:02:00",-0.712,0.729
"2009-08-31 00:00:00",26,13.98,12.63,"2009-08-30 07:30:00",13.35,5.831,"2009-08-30 18:35:30",-0.734,1.174
"2009-09-01 00:00:00",27,13.97,12.65,"2009-08-31 07:00:00",13.39,9.97,"2009-08-31 17:32:00",-0.522,4.289
"2009-09-02 00:00:00",28,13.9,12.66,"2009-09-01 07:30:00",13.37,9.62,"2009-09-01 17:58:30",1.523,5.369
"2009-09-03 00:00:00",29,13.87,12.68,"2009-09-02 07:00:00",13.37,8.94,"2009-09-02 17:40:00",-0.181,4.845
"2009-09-04 00:00:00",30,14,12.64,"2009-09-03 07:00:00",13.42,6.482,"2009-09-03 14:24:00",-1.119,2.189
"2009-09-05 00:00:00",31,13.96,12.64,"2009-09-04 08:00:00",13.38,2.182,"2009-09-04 19:08:30",-0.35,0.687
"2009-09-06 00:00:00",32,13.97,12.64,"2009-09-05 08:00:00",13.37,4.299,"2009-09-05 15:47:30",-0.522,1.468
"2009-09-07 00:00:00",33,13.98,12.65,"2009-09-06 07:30:00",13.38,8.21,"2009-09-06 16:48:30",-0.522,3.129
"2009-09-08 00:00:00",34,13.94,12.66,"2009-09-07 07:30:00",13.37,8.13,"2009-09-07 13:49:00",-0.969,3.627
"2009-09-09 00:00:00",35,14.04,12.62,"2009-09-08 07:30:00",13.42,5.765,"2009-09-08 14:39:00",-2.291,1.387
"2009-09-10 00:00:00",36,14.03,12.63,"2009-09-09 08:00:00",13.43,3.592,"2009-09-09 15:48:30",-2.763,0.438
"2009-09-11 00:00:00",37,14.02,12.62,"2009-09-10 08:30:00",13.33,-0.224,"2009-09-10 16:42:00",-2.248,-1.282
