"TOA5","5211","CR1000","5211","CR1000.Std.10","CRD:Canada_Creek_July2010.CR1","21176","HalfHour"
"TIMESTAMP","RECORD","DT","BP","Rain_mm_Tot"
"TS","RN","m","hPa(mb)","mm"
"","","Smp","Smp","Tot"
"2010-07-28 17:00:00",0,1.751,781.4,0
"2010-07-28 17:30:00",1,1.751,781.4,0
"2010-07-28 18:00:00",2,1.748,781.4,0
"2010-07-28 18:30:00",3,1.749,781.2,0
"2010-07-28 19:00:00",4,1.748,781.3,0
"2010-07-28 19:30:00",5,1.754,781.4,0
"2010-07-28 20:00:00",6,1.753,781.4,0
"2010-07-28 20:30:00",7,1.756,781.4,0
"2010-07-28 21:00:00",8,1.756,781.5,0
"2010-07-28 21:30:00",9,1.755,781.5,0
"2010-07-28 22:00:00",10,1.755,781.6,0
"2010-07-28 22:30:00",11,1.757,781.6,0
"2010-07-28 23:00:00",12,1.757,781.6,0
"2010-07-28 23:30:00",13,1.753,781.8,0
"2010-07-29 00:00:00",14,1.754,781.8,0
"2010-07-29 00:30:00",15,1.756,781.9,0
"2010-07-29 01:00:00",16,1.757,781.9,0
"2010-07-29 01:30:00",17,1.757,781.9,0
"2010-07-29 02:00:00",18,1.758,781.9,0
"2010-07-29 02:30:00",19,1.756,781.8,0
"2010-07-29 03:00:00",20,1.756,781.7,0
"2010-07-29 03:30:00",21,1.756,781.9,0
"2010-07-29 04:00:00",22,1.754,781.9,0
"2010-07-29 04:30:00",23,1.76,781.9,0
"2010-07-29 05:00:00",24,1.761,781.7,0
"2010-07-29 05:30:00",25,1.759,781.7,0
"2010-07-29 06:00:00",26,1.76,781.7,0
"2010-07-29 06:30:00",27,1.757,781.6,0
"2010-07-29 07:00:00",28,1.757,781.7,0
"2010-07-29 07:30:00",29,1.756,781.7,0
"2010-07-29 08:00:00",30,1.753,781.6,0
"2010-07-29 08:30:00",31,1.758,781.7,0
"2010-07-29 09:00:00",32,1.758,781.8,0
"2010-07-29 09:30:00",33,1.753,781.8,0
"2010-07-29 10:00:00",34,1.755,782,0
"2010-07-29 10:30:00",35,1.741,782.1,0
"2010-07-29 11:00:00",36,1.756,782.3,0
"2010-07-29 11:30:00",37,1.749,782.4,0
"2010-07-29 12:00:00",38,1.749,782.5,0
"2010-07-29 12:30:00",39,1.745,782.6,0
"2010-07-29 13:00:00",40,1.749,782.9,0
"2010-07-29 13:30:00",41,1.753,782.9,0
"2010-07-29 14:00:00",42,1.745,782.9,0
"2010-07-29 14:30:00",43,1.732,782.9,0
"2010-07-29 15:00:00",44,1.747,783,0
"2010-07-29 15:30:00",45,1.745,783,0
"2010-07-29 16:00:00",46,1.748,783.1,0
"2010-07-29 16:30:00",47,1.739,783,0
"2010-07-29 17:00:00",48,1.744,782.9,0
"2010-07-29 17:30:00",49,1.753,782.8,0
"2010-07-29 18:00:00",50,1.745,782.9,0
"2010-07-29 18:30:00",51,1.748,782.9,0
"2010-07-29 19:00:00",52,1.749,782.8,0
"2010-07-29 19:30:00",53,1.755,782.8,0
"2010-07-29 20:00:00",54,1.756,783,0
"2010-07-29 20:30:00",55,1.762,783,0
"2010-07-29 21:00:00",56,1.754,783.1,0
"2010-07-29 21:30:00",57,1.755,783.2,0
"2010-07-29 22:00:00",58,1.755,783.3,0
"2010-07-29 22:30:00",59,1.753,783.5,0
"2010-07-29 23:00:00",60,1.757,783.6,0
"2010-07-29 23:30:00",61,1.752,783.7,0
"2010-07-30 00:00:00",62,1.751,783.8,0
"2010-07-30 00:30:00",63,1.753,783.8,0
"2010-07-30 01:00:00",64,1.752,783.9,0
"2010-07-30 01:30:00",65,1.752,783.9,0
"2010-07-30 02:00:00",66,1.75,783.9,0
"2010-07-30 02:30:00",67,1.752,784.1,0
"2010-07-30 03:00:00",68,1.752,784.1,0
"2010-07-30 03:30:00",69,1.753,784.1,0
"2010-07-30 04:00:00",70,1.753,784.2,0
"2010-07-30 04:30:00",71,1.755,784.2,0
"2010-07-30 05:00:00",72,1.754,784.2,0
"2010-07-30 05:30:00",73,1.762,784.2,0
"2010-07-30 06:00:00",74,1.753,784.2,0
"2010-07-30 06:30:00",75,1.755,783.9,0
"2010-07-30 07:00:00",76,1.756,783.9,0
"2010-07-30 07:30:00",77,1.751,783.9,0
"2010-07-30 08:00:00",78,1.75,783.8,0
"2010-07-30 08:30:00",79,1.75,783.9,0
"2010-07-30 09:00:00",80,1.745,783.9,0
"2010-07-30 09:30:00",81,1.746,784.1,0
"2010-07-30 10:00:00",82,1.75,784,0
"2010-07-30 10:30:00",83,1.744,784.1,0
"2010-07-30 11:00:00",84,1.739,784,0
"2010-07-30 11:30:00",85,1.745,783.9,0
"2010-07-30 12:00:00",86,1.734,784.2,0
"2010-07-30 12:30:00",87,1.742,784.1,0
"2010-07-30 13:00:00",88,1.738,784.1,0
"2010-07-30 13:30:00",89,1.735,784.1,0
"2010-07-30 14:00:00",90,1.735,784.1,0
"2010-07-30 14:30:00",91,1.747,784,0
"2010-07-30 15:00:00",92,1.743,784,0
"2010-07-30 15:30:00",93,1.743,784,0
"2010-07-30 16:00:00",94,1.741,783.8,0
"2010-07-30 16:30:00",95,1.74,783.8,0
"2010-07-30 17:00:00",96,1.746,783.5,0
"2010-07-30 17:30:00",97,1.747,783.5,0
"2010-07-30 18:00:00",98,1.738,783.3,0
"2010-07-30 18:30:00",99,1.738,783.1,0
"2010-07-30 19:00:00",100,1.74,783,0
"2010-07-30 19:30:00",101,1.744,783,0
"2010-07-30 20:00:00",102,1.748,783,0
"2010-07-30 20:30:00",103,1.751,782.9,0
"2010-07-30 21:00:00",104,1.753,782.8,0
"2010-07-30 21:30:00",105,1.756,782.9,0
"2010-07-30 22:00:00",106,1.75,782.6,0
"2010-07-30 22:30:00",107,1.748,782.7,0
"2010-07-30 23:00:00",108,1.751,782.7,0
"2010-07-30 23:30:00",109,1.753,782.7,0
"2010-07-31 00:00:00",110,1.753,782.7,0
"2010-07-31 00:30:00",111,1.752,782.5,0
"2010-07-31 01:00:00",112,1.754,782.5,0
"2010-07-31 01:30:00",113,1.754,782.4,0
"2010-07-31 02:00:00",114,1.757,782.4,0
"2010-07-31 02:30:00",115,1.754,782.2,0
"2010-07-31 03:00:00",116,1.749,782.1,0
"2010-07-31 03:30:00",117,1.748,782,0
"2010-07-31 04:00:00",118,1.751,781.8,0
"2010-07-31 04:30:00",119,1.751,781.5,0
"2010-07-31 05:00:00",120,1.753,781.3,0
"2010-07-31 05:30:00",121,1.753,781.2,0
"2010-07-31 06:00:00",122,1.755,780.9,0
"2010-07-31 06:30:00",123,1.754,780.7,0
"2010-07-31 07:00:00",124,1.753,780.8,0
"2010-07-31 07:30:00",125,1.754,780.7,0
"2010-07-31 08:00:00",126,1.753,780.7,0
