"TOA5","5211","CR1000","5211","CR1000.Std.10","CRD:Canada_Creek_May2011.CR1","21176","HalfHour"
"TIMESTAMP","RECORD","DT","BP","Rain_mm_Tot"
"TS","RN","m","hPa(mb)","mm"
"","","Smp","Smp","Tot"
"2011-05-14 11:00:00",0,1.34,777.2,0
"2011-05-14 11:30:00",1,1.368,777,0
"2011-05-14 12:00:00",2,1.35,776.8,0
"2011-05-14 12:30:00",3,1.349,776.6,0
"2011-05-14 13:00:00",4,1.34,776.4,0
"2011-05-14 13:30:00",5,1.352,776.2,0
"2011-05-14 14:00:00",6,1.358,776,0
"2011-05-14 14:30:00",7,1.353,775.8,0
"2011-05-14 15:00:00",8,1.353,775.5,0
"2011-05-14 15:30:00",9,1.366,775.4,0
"2011-05-14 16:00:00",10,1.376,775.2,0
"2011-05-14 16:30:00",11,1.373,774.9,0
"2011-05-14 17:00:00",12,1.372,774.9,0
"2011-05-14 17:30:00",13,1.371,774.6,0
"2011-05-14 18:00:00",14,1.373,774.5,0
"2011-05-14 18:30:00",15,1.372,774.4,0
"2011-05-14 19:00:00",16,1.373,774.1,0
"2011-05-14 19:30:00",17,1.373,773.9,0
"2011-05-14 20:00:00",18,1.375,773.8,0
"2011-05-14 20:30:00",19,1.375,773.6,0
"2011-05-14 21:00:00",20,1.376,773.5,0
"2011-05-14 21:30:00",21,1.379,773.4,0
"2011-05-14 22:00:00",22,1.378,773.3,0
"2011-05-14 22:30:00",23,1.382,773.1,0
"2011-05-14 23:00:00",24,1.38,773,0
"2011-05-14 23:30:00",25,1.386,772.7,0
"2011-05-15 00:00:00",26,1.379,772.5,0
"2011-05-15 00:30:00",27,1.38,772.5,0
"2011-05-15 01:00:00",28,1.385,772.3,0
"2011-05-15 01:30:00",29,1.374,772.2,0
"2011-05-15 02:00:00",30,1.379,771.9,0
"2011-05-15 02:30:00",31,1.38,771.9,0
"2011-05-15 03:00:00",32,1.375,771.7,0
"2011-05-15 03:30:00",33,1.377,771.4,0
"2011-05-15 04:00:00",34,1.378,771.1,0
"2011-05-15 04:30:00",35,1.383,771,0
"2011-05-15 05:00:00",36,1.382,770.7,0
"2011-05-15 05:30:00",37,1.385,770.4,0
"2011-05-15 06:00:00",38,1.382,770.3,0
"2011-05-15 06:30:00",39,1.382,770.2,0
"2011-05-15 07:00:00",40,1.382,770.1,0
"2011-05-15 07:30:00",41,1.392,769.9,0
"2011-05-15 08:00:00",42,1.39,769.8,0
"2011-05-15 08:30:00",43,1.375,769.6,0
"2011-05-15 09:00:00",44,1.374,769.5,0
"2011-05-15 09:30:00",45,1.375,769.5,0
"2011-05-15 10:00:00",46,1.372,769.3,0
"2011-05-15 10:30:00",47,1.373,769.3,0
"2011-05-15 11:00:00",48,1.371,769,0
"2011-05-15 11:30:00",49,1.374,768.9,0
"2011-05-15 12:00:00",50,1.368,768.7,0
"2011-05-15 12:30:00",51,1.375,768.4,0
"2011-05-15 13:00:00",52,1.369,768.3,0
"2011-05-15 13:30:00",53,1.37,768.2,0
"2011-05-15 14:00:00",54,1.371,768.1,0
"2011-05-15 14:30:00",55,1.375,768,0
"2011-05-15 15:00:00",56,1.367,767.9,0
"2011-05-15 15:30:00",57,1.373,767.9,0
"2011-05-15 16:00:00",58,1.371,767.6,0
"2011-05-15 16:30:00",59,1.372,767.5,0
"2011-05-15 17:00:00",60,1.377,767.3,0
"2011-05-15 17:30:00",61,1.381,767.2,0
"2011-05-15 18:00:00",62,1.382,767.2,0
"2011-05-15 18:30:00",63,1.379,767.1,0
"2011-05-15 19:00:00",64,1.381,767.1,0
"2011-05-15 19:30:00",65,1.383,767.1,0
"2011-05-15 20:00:00",66,1.382,766.7,0
"2011-05-15 20:30:00",67,1.386,766.8,0
"2011-05-15 21:00:00",68,1.389,766.7,0
"2011-05-15 21:30:00",69,1.386,766.9,0
"2011-05-15 22:00:00",70,1.389,766.7,0
"2011-05-15 22:30:00",71,1.39,766.6,0
"2011-05-15 23:00:00",72,1.389,766.5,0
"2011-05-15 23:30:00",73,1.388,766.3,0
"2011-05-16 00:00:00",74,1.386,766,0
"2011-05-16 00:30:00",75,1.388,765.6,0
"2011-05-16 01:00:00",76,1.384,765.3,0
"2011-05-16 01:30:00",77,1.387,765.1,0
"2011-05-16 02:00:00",78,1.381,765.1,0
"2011-05-16 02:30:00",79,1.388,765,0
"2011-05-16 03:00:00",80,1.383,764.7,0
"2011-05-16 03:30:00",81,1.391,764.5,0
"2011-05-16 04:00:00",82,1.387,764.4,0
"2011-05-16 04:30:00",83,1.391,764.4,0
"2011-05-16 05:00:00",84,1.391,764.6,0
"2011-05-16 05:30:00",85,1.392,764.6,0
"2011-05-16 06:00:00",86,1.396,764.1,0
"2011-05-16 06:30:00",87,1.394,763.9,0
"2011-05-16 07:00:00",88,1.394,763.9,0
"2011-05-16 07:30:00",89,1.391,763.6,0
"2011-05-16 08:00:00",90,1.388,763.5,0
"2011-05-16 08:30:00",91,1.387,763.5,0
"2011-05-16 09:00:00",92,1.383,763.5,0
"2011-05-16 09:30:00",93,1.384,763.4,0
"2011-05-16 10:00:00",94,1.383,763.5,0
"2011-05-16 10:30:00",95,1.387,763.6,0
"2011-05-16 11:00:00",96,1.387,763.7,0
"2011-05-16 11:30:00",97,1.388,763.7,0
"2011-05-16 12:00:00",98,1.385,764,0
"2011-05-16 12:30:00",99,1.39,764,0
"2011-05-16 13:00:00",100,1.386,763.9,0
"2011-05-16 13:30:00",101,1.385,764,0
"2011-05-16 14:00:00",102,1.383,764.3,0
"2011-05-16 14:30:00",103,1.381,764.5,0
"2011-05-16 15:00:00",104,1.384,764.8,0
"2011-05-16 15:30:00",105,1.375,764.8,0
"2011-05-16 16:00:00",106,1.388,765.3,0
"2011-05-16 16:30:00",107,1.381,765.4,0
"2011-05-16 17:00:00",108,1.379,765.5,0
"2011-05-16 17:30:00",109,1.377,765.9,0
"2011-05-16 18:00:00",110,1.381,765.9,0
"2011-05-16 18:30:00",111,1.383,766,0
"2011-05-16 19:00:00",112,1.386,766.1,0
"2011-05-16 19:30:00",113,1.387,766.2,0
"2011-05-16 20:00:00",114,1.389,766.6,0
"2011-05-16 20:30:00",115,1.388,766.7,0
"2011-05-16 21:00:00",116,1.39,767,0
"2011-05-16 21:30:00",117,1.391,767.2,0
"2011-05-16 22:00:00",118,1.392,767.4,0
"2011-05-16 22:30:00",119,1.394,767.3,0
"2011-05-16 23:00:00",120,1.392,767.7,0
"2011-05-16 23:30:00",121,1.392,767.7,0
"2011-05-17 00:00:00",122,1.395,767.9,0
"2011-05-17 00:30:00",123,1.394,768,0
"2011-05-17 01:00:00",124,1.39,768,0
"2011-05-17 01:30:00",125,1.391,768.1,0
"2011-05-17 02:00:00",126,1.39,768.1,0
