"TOA5","5211","CR1000","5211","CR1000.Std.10","CRD:Canada_Creek_May2011.CR1","21176","Health"
"TIMESTAMP","RECORD","Batt_Volt_Max","Batt_Volt_Min","Batt_Volt_TMn","Batt_Volt_Avg","Panel_Temp_Max","Panel_Temp_TMx","Panel_Temp_Min","Panel_Temp_Avg"
"TS","RN","Volts","Volts","Volts","Volts","Deg C","Deg C","Deg C","Deg C"
"","","Max","Min","TMn","Avg","Max","TMx","Min","Avg"
"2011-05-15 00:00:00",0,14.14,13.54,"2011-05-15 00:00:00",13.87,5.637,"2011-05-14 14:54:30",-9.91,0.967
"2011-05-16 00:00:00",1,14.28,12.86,"2011-05-15 06:00:00",13.7,5.896,"2011-05-15 13:10:30",-10.33,-2.593
"2011-05-17 00:00:00",2,14.26,12.81,"2011-05-16 06:00:00",13.67,6.524,"2011-05-16 17:20:30",-9.66,-1.619
"2011-05-18 00:00:00",3,14.15,12.75,"2011-05-17 06:00:00",13.56,12.53,"2011-05-17 14:45:30",-6.247,2.319
"2011-05-19 00:00:00",4,13.99,12.75,"2011-05-18 06:00:00",13.62,4.299,"2011-05-18 15:13:30",-0.755,1.464
"2011-05-20 00:00:00",5,14.05,12.76,"2011-05-19 06:00:00",13.7,0.691,"2011-05-19 10:56:00",-3.556,-1.315
"2011-05-21 00:00:00",6,14.15,12.77,"2011-05-20 06:00:00",13.66,5.311,"2011-05-20 17:12:30",-5.919,-0.797
"2011-05-22 00:00:00",7,14.12,12.79,"2011-05-21 05:30:00",13.66,7.95,"2011-05-21 13:07:00",-5.287,-0.107
"2011-05-23 00:00:00",8,14.08,12.77,"2011-05-22 06:00:00",13.65,7.225,"2011-05-22 13:58:30",-3.579,0.646
"2011-05-24 00:00:00",9,14.18,12.81,"2011-05-23 05:30:00",13.66,9.17,"2011-05-23 14:06:30",-6.972,0.415
"2011-05-25 00:00:00",10,13.99,12.82,"2011-05-24 06:00:00",13.63,8.68,"2011-05-24 13:51:30",-0.947,2.168
"2011-05-26 00:00:00",11,14.03,12.77,"2011-05-25 05:30:00",13.65,3.526,"2011-05-25 11:18:30",-2.291,0.137
"2011-05-27 00:00:00",12,14.1,12.78,"2011-05-26 05:30:00",13.6,8.52,"2011-05-26 13:13:30",-4.528,3.019
"2011-05-28 00:00:00",13,13.85,12.75,"2011-05-27 06:30:00",13.51,10.54,"2011-05-27 15:31:30",2.993,5.537
"2011-05-29 00:00:00",14,13.91,12.8,"2011-05-28 05:30:00",13.5,13,"2011-05-28 14:47:30",1.821,7.309
"2011-05-30 00:00:00",15,13.94,12.75,"2011-05-29 05:30:00",13.5,11.93,"2011-05-29 12:18:30",0.522,6.313
"2011-05-31 00:00:00",16,13.88,12.74,"2011-05-30 06:00:00",13.5,11.2,"2011-05-30 17:23:30",2.352,5.972
"2011-06-01 00:00:00",17,13.84,12.74,"2011-05-31 05:30:00",13.48,12.98,"2011-05-31 13:12:00",3.314,7.515
"2011-06-02 00:00:00",18,13.9,12.76,"2011-06-01 05:30:00",13.49,11.84,"2011-06-01 13:22:30",1.947,6.846
"2011-06-03 00:00:00",19,13.88,12.72,"2011-06-02 06:00:00",13.52,8.5,"2011-06-02 18:02:30",2.331,4.992
"2011-06-04 00:00:00",20,13.96,12.7,"2011-06-03 06:00:00",13.54,7.993,"2011-06-03 15:14:30",0.415,3.731
"2011-06-05 00:00:00",21,14.01,12.75,"2011-06-04 06:00:00",13.65,3.678,"2011-06-04 15:43:00",-1.821,0.95
"2011-06-06 00:00:00",22,14.04,12.77,"2011-06-05 06:00:00",13.65,3.978,"2011-06-05 15:16:30",-2.463,0.481
"2011-06-07 00:00:00",23,14.04,12.8,"2011-06-06 05:30:00",13.7,4.084,"2011-06-06 15:05:30",-2.334,0.642
"2011-06-08 00:00:00",24,14.05,12.81,"2011-06-07 05:30:00",13.59,9.1,"2011-06-07 17:33:00",-2.72,3.575
"2011-06-09 00:00:00",25,13.96,12.74,"2011-06-08 06:00:00",13.6,7.839,"2011-06-08 12:10:00",-1.076,3.087
"2011-06-10 00:00:00",26,14.02,12.73,"2011-06-09 06:30:00",13.64,5.7,"2011-06-09 14:29:00",-2.013,0.987
"2011-06-11 00:00:00",27,14.01,12.87,"2011-06-10 05:30:00",13.67,5.097,"2011-06-10 11:49:30",-1.887,1.517
"2011-06-12 00:00:00",28,14.02,12.81,"2011-06-11 05:30:00",13.65,7.444,"2011-06-11 11:54:00",-2.142,2.139
"2011-06-13 00:00:00",29,14.08,12.89,"2011-06-12 05:30:00",13.69,6.287,"2011-06-12 10:27:30",-4.225,1.22
"2011-06-14 00:00:00",30,14.1,12.84,"2011-06-13 05:30:00",13.65,6.177,"2011-06-13 13:04:00",-4.548,1.29
"2011-06-15 00:00:00",31,14.08,12.79,"2011-06-14 06:00:00",13.64,5.68,"2011-06-14 15:24:00",-4.074,0.7
"2011-06-16 00:00:00",32,14.07,12.89,"2011-06-15 05:30:00",13.67,6.091,"2011-06-15 15:43:30",-2.978,1.494
"2011-06-17 00:00:00",33,14.07,12.85,"2011-06-16 05:30:00",13.67,5.44,"2011-06-16 17:44:30",-4.008,0.643
"2011-06-18 00:00:00",34,14.08,12.85,"2011-06-17 05:00:00",13.66,4.428,"2011-06-17 16:00:00",-4.939,0.505
"2011-06-19 00:00:00",35,13.96,12.77,"2011-06-18 06:00:00",13.6,6.33,"2011-06-18 13:47:30",-0.755,2.484
"2011-06-20 00:00:00",36,13.97,12.75,"2011-06-19 06:00:00",13.59,5.743,"2011-06-19 13:56:30",0.393,2.355
"2011-06-21 00:00:00",37,13.99,12.73,"2011-06-20 06:00:00",13.58,6.199,"2011-06-20 13:52:30",-0.692,2.59
