"TOA5","5211","CR1000","5211","CR1000.Std.10","CRD:Canada_Creek_September2011.CR1","36023","Health"
"TIMESTAMP","RECORD","Batt_Volt_Max","Batt_Volt_Min","Batt_Volt_TMn","Batt_Volt_Avg","Panel_Temp_Max","Panel_Temp_TMx","Panel_Temp_Min","Panel_Temp_Avg"
"TS","RN","Volts","Volts","Volts","Volts","Deg C","Deg C","Deg C","Deg C"
"","","Max","Min","TMn","Avg","Max","TMx","Min","Avg"
"2011-09-09 00:00:00",0,13.92,13.15,"2011-09-09 00:00:00",13.68,5.7,"2011-09-08 14:39:00",-2.549,1.977
"2011-09-10 00:00:00",1,14.06,12.59,"2011-09-09 07:30:00",13.49,1.5,"2011-09-09 13:01:30",-3.364,-1.366
"2011-09-11 00:00:00",2,14.05,12.6,"2011-09-10 07:30:00",13.45,5.246,"2011-09-10 14:18:30",-3.794,-0.056
"2011-09-12 00:00:00",3,14.07,12.58,"2011-09-11 07:30:00",13.39,6.57,"2011-09-11 13:44:30",-3.879,0.536
"2011-09-13 00:00:00",4,14.03,12.58,"2011-09-12 07:30:00",13.37,9.15,"2011-09-12 14:13:30",-3.256,2.404
"2011-09-14 00:00:00",5,13.99,12.61,"2011-09-13 08:00:00",13.43,4.15,"2011-09-13 17:07:30",-1.202,0.764
"2011-09-15 00:00:00",6,13.99,12.61,"2011-09-14 08:00:00",13.39,1.947,"2011-09-14 18:07:30",-3.064,-0.359
"2011-09-16 00:00:00",7,14.11,12.58,"2011-09-15 07:30:00",13.47,2.695,"2011-09-15 15:50:00",-5.569,-2.057
"2011-09-17 00:00:00",8,14.17,12.56,"2011-09-16 08:00:00",13.49,0.714,"2011-09-16 13:54:30",-7.438,-3.779
"2011-09-18 00:00:00",9,14.16,12.56,"2011-09-17 08:00:00",13.5,0.458,"2011-09-17 17:05:00",-7.063,-3.62
"2011-09-19 00:00:00",10,14.13,12.57,"2011-09-18 08:00:00",13.46,2.63,"2011-09-18 13:26:00",-6.952,-3.031
"2011-09-20 00:00:00",11,14.11,12.59,"2011-09-19 08:30:00",13.44,-0.861,"2011-09-19 15:04:00",-5.047,-3.259
"2011-09-21 00:00:00",12,14.08,12.58,"2011-09-20 08:00:00",13.39,-0.479,"2011-09-20 16:45:30",-4.462,-2.999
"2011-09-22 00:00:00",13,14.09,12.58,"2011-09-21 08:30:00",13.39,0.926,"2011-09-21 16:07:30",-4.593,-2.663
"2011-09-23 00:00:00",14,14.07,12.61,"2011-09-22 08:00:00",13.44,0.031,"2011-09-22 16:31:00",-8.11,-3.054
"2011-09-24 00:00:00",15,14.14,12.58,"2011-09-23 08:00:00",13.46,1.032,"2011-09-23 16:47:00",-6.819,-3.927
"2011-09-25 00:00:00",16,14.14,12.58,"2011-09-24 08:00:00",13.48,-0.35,"2011-09-24 14:11:30",-9.25,-4.752
"2011-09-26 00:00:00",17,14.23,12.56,"2011-09-25 08:00:00",13.47,2.715,"2011-09-25 14:59:00",-9.82,-5.209
"2011-09-27 00:00:00",18,14.28,12.53,"2011-09-26 08:00:00",13.51,1.798,"2011-09-26 13:34:30",-11,-6.203
"2011-09-28 00:00:00",19,14.24,12.55,"2011-09-27 08:00:00",13.47,1.373,"2011-09-27 15:05:30",-9.55,-5.837
"2011-09-29 00:00:00",20,14.26,12.54,"2011-09-28 08:00:00",13.5,-3.879,"2011-09-28 14:29:30",-10.3,-7.104
"2011-09-30 00:00:00",21,14.21,12.55,"2011-09-29 08:30:00",13.46,1.181,"2011-09-29 14:35:00",-9.21,-6.011
"2011-10-01 00:00:00",22,14.27,12.54,"2011-09-30 08:30:00",13.5,-2.526,"2011-09-30 12:40:00",-10.44,-6.977
"2011-10-02 00:00:00",23,14.24,12.54,"2011-10-01 08:30:00",13.5,-3.213,"2011-10-01 16:17:00",-10.33,-7.355
"2011-10-03 00:00:00",24,14.28,12.53,"2011-10-02 08:30:00",13.49,-1.95,"2011-10-02 13:33:00",-10.95,-7.374
"2011-10-04 00:00:00",25,14.26,12.53,"2011-10-03 08:30:00",13.46,0.203,"2011-10-03 15:04:30",-11.11,-7.022
"2011-10-05 00:00:00",26,14.22,12.55,"2011-10-04 08:30:00",13.45,1.373,"2011-10-04 14:37:00",-10.67,-5.811
"2011-10-06 00:00:00",27,14.27,12.53,"2011-10-05 08:30:00",13.44,1.075,"2011-10-05 15:44:00",-11.3,-6.389
"2011-10-07 00:00:00",28,14.17,12.57,"2011-10-06 08:00:00",13.41,-1.629,"2011-10-06 12:35:30",-7.86,-5.469
"2011-10-08 00:00:00",29,14.18,12.58,"2011-10-07 08:30:00",13.45,-1.97,"2011-10-07 13:16:30",-7.815,-5.179
"2011-10-09 00:00:00",30,14.24,12.54,"2011-10-08 08:30:00",13.42,-1.586,"2011-10-08 14:33:30",-9.57,-6.741
"2011-10-10 00:00:00",31,14.3,12.54,"2011-10-09 08:30:00",13.46,-1.5,"2011-10-09 14:10:30",-12.39,-7.859
"2011-10-11 00:00:00",32,14.27,12.53,"2011-10-10 08:30:00",13.4,-3.17,"2011-10-10 15:41:00",-12.36,-8.76
"2011-10-12 00:00:00",33,14.24,12.54,"2011-10-11 09:00:00",13.41,-2.248,"2011-10-11 14:57:30",-9.73,-7.411
"2011-10-13 00:00:00",34,14.27,12.55,"2011-10-12 09:00:00",13.45,-2.205,"2011-10-12 16:23:00",-13.61,-9.17
"2011-10-14 00:00:00",35,14.35,12.51,"2011-10-13 08:30:00",13.47,0.393,"2011-10-13 14:31:00",-14.74,-9.45
"2011-10-15 00:00:00",36,14.24,12.57,"2011-10-14 08:30:00",13.41,-2.079,"2011-10-14 16:07:30",-12.77,-6.911
"2011-10-16 00:00:00",37,14.2,12.57,"2011-10-15 09:00:00",13.41,-4.311,"2011-10-15 02:38:30",-8.35,-6.101
