"TOA5","5211","CR1000","5211","CR1000.Std.10","CRD:Canada_Creek_July2012.CR1","21176","Health"
"TIMESTAMP","RECORD","Batt_Volt_Max","Batt_Volt_Min","Batt_Volt_TMn","Batt_Volt_Avg","Panel_Temp_Max","Panel_Temp_TMx","Panel_Temp_Min","Panel_Temp_Avg"
"TS","RN","Volts","Volts","Volts","Volts","Deg C","Deg C","Deg C","Deg C"
"","","Max","Min","TMn","Avg","Max","TMx","Min","Avg"
"2012-08-04 00:00:00",0,13.95,13.36,"2012-08-04 00:00:00",13.78,7.268,"2012-08-03 13:15:30",0.117,3.392
"2012-08-05 00:00:00",1,14.05,12.69,"2012-08-04 06:30:00",13.57,6.308,"2012-08-04 15:30:30",-2.892,1.908
"2012-08-06 00:00:00",2,14.02,12.65,"2012-08-05 06:30:00",13.53,4.794,"2012-08-05 16:15:30",-1.586,0.97
"2012-08-07 00:00:00",3,13.97,12.61,"2012-08-06 07:30:00",13.5,4.514,"2012-08-06 15:07:30",-0.861,1.722
"2012-08-08 00:00:00",4,13.96,12.64,"2012-08-07 06:30:00",13.45,12.21,"2012-08-07 15:54:00",0.074,5.539
"2012-08-09 00:00:00",5,13.89,12.63,"2012-08-08 06:30:00",13.44,8.59,"2012-08-08 13:09:00",1.712,4.99
"2012-08-10 00:00:00",6,13.97,12.61,"2012-08-09 07:00:00",13.52,4.514,"2012-08-09 00:00:30",0.181,2.115
"2012-08-11 00:00:00",7,13.88,12.66,"2012-08-10 07:00:00",13.45,8.39,"2012-08-10 17:22:30",2.672,5.066
"2012-08-12 00:00:00",8,13.9,12.63,"2012-08-11 07:00:00",13.45,8.19,"2012-08-11 18:18:30",2.672,4.58
"2012-08-13 00:00:00",9,13.95,12.61,"2012-08-12 07:30:00",13.42,9.82,"2012-08-12 17:31:30",0.608,4.749
"2012-08-14 00:00:00",10,13.89,12.61,"2012-08-13 07:30:00",13.36,7.774,"2012-08-13 19:06:00",1.755,4.289
"2012-08-15 00:00:00",11,13.92,12.63,"2012-08-14 06:30:00",13.38,12.77,"2012-08-14 15:07:00",1.543,7.076
"2012-08-16 00:00:00",12,13.88,12.62,"2012-08-15 06:30:00",13.34,12.28,"2012-08-15 14:21:30",2.438,7.348
"2012-08-17 00:00:00",13,13.91,12.62,"2012-08-16 06:30:00",13.36,11.08,"2012-08-16 14:18:30",1.075,6.091
"2012-08-18 00:00:00",14,13.9,12.6,"2012-08-17 07:00:00",13.38,8.44,"2012-08-17 15:28:30",-0.585,3.482
"2012-08-19 00:00:00",15,13.97,12.62,"2012-08-18 07:00:00",13.44,7.794,"2012-08-18 17:28:00",-0.244,3.388
"2012-08-20 00:00:00",16,13.85,12.64,"2012-08-19 07:00:00",13.37,10.77,"2012-08-19 14:33:30",-0.181,6.268
"2012-08-21 00:00:00",17,13.91,12.62,"2012-08-20 07:00:00",13.42,10.63,"2012-08-20 13:03:30",0.203,5.032
"2012-08-22 00:00:00",18,13.93,12.61,"2012-08-21 07:30:00",13.39,5.896,"2012-08-21 14:43:30",-0.267,2.412
"2012-08-23 00:00:00",19,13.95,12.6,"2012-08-22 07:00:00",13.4,6.656,"2012-08-22 16:35:00",0.436,2.723
"2012-08-24 00:00:00",20,13.99,12.6,"2012-08-23 07:00:00",13.41,9.91,"2012-08-23 14:13:30",-0.777,3.792
"2012-08-25 00:00:00",21,14.03,12.59,"2012-08-24 07:00:00",13.42,8.26,"2012-08-24 14:32:00",-2.142,2.58
"2012-08-26 00:00:00",22,13.97,12.6,"2012-08-25 07:30:00",13.37,5.851,"2012-08-25 18:58:30",-0.032,2.087
"2012-08-27 00:00:00",23,14.02,12.61,"2012-08-26 07:00:00",13.42,8.66,"2012-08-26 14:18:30",-1.778,4.094
"2012-08-28 00:00:00",24,13.85,12.66,"2012-08-27 07:00:00",13.32,13.26,"2012-08-27 12:26:00",-0.904,6.382
"2012-08-29 00:00:00",25,14.12,12.56,"2012-08-28 07:30:00",13.51,-0.904,"2012-08-28 00:00:30",-4.831,-3.174
"2012-08-30 00:00:00",26,14.11,12.62,"2012-08-29 07:00:00",13.45,7.421,"2012-08-29 15:05:30",-5.395,1.26
"2012-08-31 00:00:00",27,13.93,12.61,"2012-08-30 07:00:00",13.34,10.45,"2012-08-30 14:56:00",1.096,5.401
"2012-09-01 00:00:00",28,13.88,12.64,"2012-08-31 07:30:00",13.37,8.61,"2012-08-31 16:17:30",1.096,4.501
"2012-09-02 00:00:00",29,14.03,12.61,"2012-09-01 07:29:30",13.48,4.493,"2012-09-01 14:46:30",-2.291,0.505
"2012-09-03 00:00:00",30,14.05,12.6,"2012-09-02 07:30:00",13.48,4.385,"2012-09-02 14:53:00",-2.912,0.41
"2012-09-04 00:00:00",31,13.92,12.62,"2012-09-03 07:00:00",13.43,7.245,"2012-09-03 14:29:00",-1.95,2.879
"2012-09-05 00:00:00",32,13.99,12.6,"2012-09-04 07:30:00",13.44,6.787,"2012-09-04 14:28:30",-1.053,2.71
"2012-09-06 00:00:00",33,13.88,12.65,"2012-09-05 09:00:00",13.34,8.21,"2012-09-05 13:02:30",-1.437,4.023
"2012-09-07 00:00:00",34,14.07,12.58,"2012-09-06 07:30:00",13.46,3.978,"2012-09-06 15:07:30",-3.536,-0.641
"2012-09-08 00:00:00",35,14.1,12.56,"2012-09-07 08:00:00",13.44,-1.801,"2012-09-07 16:27:30",-4.745,-3.381
"2012-09-09 00:00:00",36,14.15,12.57,"2012-09-08 07:30:00",13.51,-0.884,"2012-09-08 13:31:00",-6.247,-4.093
"2012-09-10 00:00:00",37,14.14,12.59,"2012-09-09 07:30:00",13.57,-3.041,"2012-09-09 13:40:30",-6.841,-4.716
