"TOA5","5211","CR1000","5211","CR1000.Std.10","CRD:Canada_Creek_May2013.CR1","36023","Health"
"TIMESTAMP","RECORD","Batt_Volt_Max","Batt_Volt_Min","Batt_Volt_TMn","Batt_Volt_Avg","Panel_Temp_Max","Panel_Temp_TMx","Panel_Temp_Min","Panel_Temp_Avg"
"TS","RN","Volts","Volts","Volts","Volts","Deg C","Deg C","Deg C","Deg C"
"","","Max","Min","TMn","Avg","Max","TMx","Min","Avg"
"2013-06-03 00:00:00",0,13.83,13.36,"2013-06-03 00:00:00",13.69,10.06,"2013-06-02 14:33:30",2.139,6.218
"2013-06-04 00:00:00",1,14.02,12.96,"2013-06-03 05:30:00",13.72,3.292,"2013-06-03 13:50:00",-2.763,0.343
"2013-06-05 00:00:00",2,14.12,13.14,"2013-06-04 05:30:00",13.81,2.011,"2013-06-04 14:11:00",-4.722,-1.593
"2013-06-06 00:00:00",3,14.15,13.19,"2013-06-05 05:30:00",13.79,3.741,"2013-06-05 18:10:00",-5.809,-1.507
"2013-06-07 00:00:00",4,14.06,13.08,"2013-06-06 06:30:00",13.7,4.385,"2013-06-06 17:48:00",-6.247,-0.886
"2013-06-08 00:00:00",5,14.01,13.03,"2013-06-07 06:00:00",13.69,5.896,"2013-06-07 16:40:00",-1.096,1.537
"2013-06-09 00:00:00",6,14,13.08,"2013-06-08 05:30:00",13.72,5.68,"2013-06-08 12:32:30",-0.927,1.62
"2013-06-10 00:00:00",7,13.92,13.08,"2013-06-09 06:00:00",13.63,8.97,"2013-06-09 18:23:00",1.096,4.983
"2013-06-11 00:00:00",8,13.93,13.03,"2013-06-10 05:30:00",13.59,12.02,"2013-06-10 14:52:30",1.457,6.291
"2013-06-12 00:00:00",9,13.95,13.03,"2013-06-11 06:00:00",13.64,6.897,"2013-06-11 17:59:00",0.777,3.829
"2013-06-13 00:00:00",10,13.97,13.01,"2013-06-12 06:00:00",13.69,6.613,"2013-06-12 18:55:30",0.097,2.722
"2013-06-14 00:00:00",11,14.01,13.06,"2013-06-13 05:59:30",13.75,3.978,"2013-06-13 15:47:00",-1.225,0.606
"2013-06-15 00:00:00",12,14.07,13.17,"2013-06-14 05:30:00",13.7,10.22,"2013-06-14 12:06:00",-3.107,3.684
"2013-06-16 00:00:00",13,13.94,13.03,"2013-06-15 05:30:00",13.54,13.82,"2013-06-15 15:55:00",1.181,8.29
"2013-06-17 00:00:00",14,13.77,12.96,"2013-06-16 05:30:00",13.47,15.36,"2013-06-16 15:11:00",6.547,11.02
"2013-06-18 00:00:00",15,13.9,12.87,"2013-06-17 06:00:00",13.51,11.66,"2013-06-17 14:35:00",1.778,7.477
"2013-06-19 00:00:00",16,14.01,12.92,"2013-06-18 06:00:00",13.7,2.46,"2013-06-18 18:47:00",-1.076,0.746
"2013-06-20 00:00:00",17,13.97,13.11,"2013-06-19 05:30:00",13.6,11.77,"2013-06-19 19:44:30",0.16,6.584
"2013-06-21 00:00:00",18,13.9,12.95,"2013-06-20 05:30:00",13.59,9.97,"2013-06-20 18:11:00",2.672,5.884
"2013-06-22 00:00:00",19,13.91,13,"2013-06-21 05:30:00",13.55,13.28,"2013-06-21 16:42:00",2.225,8.13
"2013-06-23 00:00:00",20,13.85,13.01,"2013-06-22 05:30:00",13.55,12.65,"2013-06-22 16:34:00",3.807,8.04
"2013-06-24 00:00:00",21,13.9,12.98,"2013-06-23 06:00:00",13.56,10.88,"2013-06-23 17:01:00",2.46,6.924
"2013-06-25 00:00:00",22,13.89,12.96,"2013-06-24 06:00:00",13.47,16.09,"2013-06-24 17:37:30",2.374,10.21
"2013-06-26 00:00:00",23,13.73,12.86,"2013-06-25 06:00:00",13.4,16.49,"2013-06-25 14:12:00",7.598,12.47
"2013-06-27 00:00:00",24,13.73,12.76,"2013-06-26 06:30:00",13.39,14.75,"2013-06-26 17:43:30",7.378,10.85
"2013-06-28 00:00:00",25,13.71,12.84,"2013-06-27 06:00:00",13.41,17.24,"2013-06-27 16:43:30",7.686,11.93
"2013-06-29 00:00:00",26,13.74,12.83,"2013-06-28 06:00:00",13.47,10.63,"2013-06-28 16:04:30",6.068,8.8
"2013-06-30 00:00:00",27,13.84,12.95,"2013-06-29 07:00:00",13.48,14.06,"2013-06-29 17:20:30",3.827,8.93
"2013-07-01 00:00:00",28,13.88,12.88,"2013-06-30 06:00:00",13.48,13.05,"2013-06-30 13:27:30",2.652,8.24
"2013-07-02 00:00:00",29,13.93,12.91,"2013-07-01 06:00:00",13.59,10.04,"2013-07-01 14:21:30",1.394,5.428
"2013-07-03 00:00:00",30,13.93,13.07,"2013-07-02 05:30:00",13.66,7.028,"2013-07-02 16:41:30",1.672,3.883
"2013-07-04 00:00:00",31,14.01,13.03,"2013-07-03 06:00:00",13.67,8.28,"2013-07-03 16:14:30",-0.947,3.197
"2013-07-05 00:00:00",32,14.05,13.1,"2013-07-04 05:30:00",13.65,8.83,"2013-07-04 16:40:00",-2.612,3.452
"2013-07-06 00:00:00",33,14,13.04,"2013-07-05 05:30:00",13.65,9.35,"2013-07-05 18:46:00",-1.182,3.645
"2013-07-07 00:00:00",34,13.97,13.07,"2013-07-06 05:30:00",13.6,10.63,"2013-07-06 15:32:00",0.203,5.455
"2013-07-08 00:00:00",35,13.99,13.01,"2013-07-07 05:30:00",13.65,7.378,"2013-07-07 15:56:00",-0.307,3.239
"2013-07-09 00:00:00",36,13.99,12.98,"2013-07-08 06:30:00",13.66,6.766,"2013-07-08 15:25:00",-0.542,2.615
"2013-07-10 00:00:00",37,14.04,13.07,"2013-07-09 05:30:00",13.73,3.956,"2013-07-09 18:02:30",-2.056,0.483
"2013-07-11 00:00:00",38,14.02,13.07,"2013-07-10 06:00:00",13.71,8.21,"2013-07-10 14:01:00",-1.609,2.162
