"TOA5","4342","CR1000","4342","CR1000.Std.10","CRD:may7_07_TRANSECT2.CR1","23775","Health"
"TIMESTAMP","RECORD","Batt_Volt_Max","Batt_Volt_Min","Batt_Volt_TMn","Batt_Volt_Avg","Panel_Temp_Max","Panel_Temp_TMx","Panel_Temp_Min","Panel_Temp_Avg"
"TS","RN","Volts","Volts","Volts","Volts","Deg C","Deg C","Deg C","Deg C"
"","","Max","Min","TMn","Avg","Max","TMx","Min","Avg"
"2007-09-04 00:00:00",107,13.99,12.64,"2007-09-03 07:30:00",13.38,3.443,"2007-09-03 17:17:30",-3.15,-0.149
"2007-09-05 00:00:00",108,14.04,12.64,"2007-09-04 08:00:00",13.43,-1.268,"2007-09-04 00:39:30",-3.342,-2.422
"2007-09-06 00:00:00",109,14.02,12.64,"2007-09-05 07:30:00",13.41,1.159,"2007-09-05 15:45:00",-3.965,-1.682
"2007-09-07 00:00:00",110,14.03,12.63,"2007-09-06 07:30:00",13.38,5.246,"2007-09-06 14:14:00",-4.788,-0.933
"2007-09-08 00:00:00",111,14,12.65,"2007-09-07 07:30:00",13.36,3.314,"2007-09-07 16:06:30",-3.45,-0.739
"2007-09-09 00:00:00",112,13.85,12.66,"2007-09-08 08:59:30",13.22,8.75,"2007-09-08 17:19:00",-2.869,3.371
"2007-09-10 00:00:00",113,13.78,12.71,"2007-09-09 07:30:00",13.27,11.31,"2007-09-09 16:02:00",2.63,6.864
"2007-09-11 00:00:00",114,13.86,12.71,"2007-09-10 08:00:00",13.23,9.35,"2007-09-10 16:21:30",-0.244,4.171
"2007-09-12 00:00:00",115,13.88,12.65,"2007-09-11 08:00:00",13.26,9.26,"2007-09-11 18:20:30",-1.735,3.315
"2007-09-13 00:00:00",116,13.77,12.69,"2007-09-12 08:00:00",13.21,13.09,"2007-09-12 13:54:00",2.95,7.522
"2007-09-14 00:00:00",117,13.83,12.71,"2007-09-13 08:00:00",13.31,7.202,"2007-09-13 00:05:30",1.118,4.816
"2007-09-15 00:00:00",118,13.91,12.66,"2007-09-14 08:00:00",13.27,4.771,"2007-09-14 16:36:00",-3.064,1.369
"2007-09-16 00:00:00",119,13.99,12.63,"2007-09-15 08:00:00",13.35,-0.522,"2007-09-15 14:13:30",-3.385,-1.962
"2007-09-17 00:00:00",120,14,12.61,"2007-09-16 08:30:00",13.3,0.797,"2007-09-16 15:10:00",-4.571,-2.664
"2007-09-18 00:00:00",121,14.1,12.6,"2007-09-17 08:00:00",13.42,-2.357,"2007-09-17 16:13:00",-6.907,-4.925
"2007-09-19 00:00:00",122,14.15,12.58,"2007-09-18 08:00:00",13.43,0.608,"2007-09-18 15:24:30",-8.8,-4.58
"2007-09-20 00:00:00",123,14.01,12.64,"2007-09-19 08:00:00",13.33,4.816,"2007-09-19 17:06:30",-3.816,-0.793
"2007-09-21 00:00:00",124,14.07,12.62,"2007-09-20 08:00:00",13.38,1.181,"2007-09-20 15:22:30",-5.854,-2.631
"2007-09-22 00:00:00",125,14.07,12.62,"2007-09-21 08:00:00",13.39,-1.159,"2007-09-21 14:55:30",-6.62,-3.861
"2007-09-23 00:00:00",126,14.19,12.58,"2007-09-22 08:30:00",13.44,-4.245,"2007-09-22 16:36:30",-9.1,-7.39
"2007-09-24 00:00:00",127,14.16,12.58,"2007-09-23 08:00:00",13.42,-4.593,"2007-09-23 17:02:30",-9.64,-6.906
"2007-09-25 00:00:00",128,14.03,12.61,"2007-09-24 08:30:00",13.34,0.287,"2007-09-24 15:16:30",-5.919,-3.547
"2007-09-26 00:00:00",129,14.06,12.62,"2007-09-25 08:30:00",13.38,1.373,"2007-09-25 17:43:00",-7.216,-3.531
"2007-09-27 00:00:00",130,14.14,12.6,"2007-09-26 08:00:00",13.43,-4.419,"2007-09-26 15:54:30",-7.815,-6.154
"2007-09-28 00:00:00",131,14.16,12.6,"2007-09-27 08:30:00",13.43,-5.178,"2007-09-27 15:04:30",-9.37,-6.629
"2007-09-29 00:00:00",132,14.2,12.57,"2007-09-28 08:00:00",13.47,-4.311,"2007-09-28 15:52:30",-10.67,-8.07
"2007-09-30 00:00:00",133,14.17,12.58,"2007-09-29 08:30:00",13.38,-3.642,"2007-09-29 15:33:00",-9.32,-7.027
"2007-10-01 00:00:00",134,14.22,12.56,"2007-09-30 08:30:00",13.42,-1.394,"2007-09-30 13:14:30",-11.14,-6.658
"2007-10-02 00:00:00",135,14.12,12.59,"2007-10-01 09:00:00",13.39,-3.45,"2007-10-01 16:45:00",-6.972,-5.738
"2007-10-03 00:00:00",136,14.14,12.59,"2007-10-02 08:30:00",13.41,-5.33,"2007-10-02 15:14:30",-8.17,-6.718
"2007-10-04 00:00:00",137,14.21,12.58,"2007-10-03 09:00:00",13.41,-7.838,"2007-10-03 14:44:30",-11,-8.71
"2007-10-05 00:00:00",138,14.28,12.54,"2007-10-04 08:30:00",13.44,-8.19,"2007-10-04 16:37:30",-13.71,-10.82
"2007-10-06 00:00:00",139,14.16,12.57,"2007-10-05 09:00:00",13.25,-7.194,"2007-10-05 15:22:00",-9.28,-8.4
"2007-10-07 00:00:00",140,14.17,12.56,"2007-10-06 08:30:00",13.27,-7.35,"2007-10-06 14:18:30",-10.05,-8.8
"2007-10-08 00:00:00",141,14.28,12.52,"2007-10-07 09:00:00",13.33,-9.39,"2007-10-07 17:13:00",-14.22,-11.91
"2007-10-09 00:00:00",142,14.35,12.5,"2007-10-08 09:00:00",13.39,-2.763,"2007-10-08 17:07:00",-16.6,-11.95
"2007-10-10 00:00:00",143,14.29,12.54,"2007-10-09 09:00:00",13.46,-5.178,"2007-10-09 16:05:30",-13.47,-10.42
"2007-10-11 00:00:00",144,14.21,12.57,"2007-10-10 09:00:00",13.4,-6.489,"2007-10-10 17:20:00",-13.39,-10.02
