"TOA5","4342","CR1000","4342","CR1000.Std.10","CRD:may7_07_TRANSECT2.CR1","23775","HalfHour"
"TIMESTAMP","RECORD","DT","TCDT","BP"
"TS","RN","","","hPa(mb)"
"","","Smp","Smp","Smp"
"2007-05-19 11:00:00",0,1.331,1.319,770.9
"2007-05-19 11:30:00",1,1.331,1.32,770.9
"2007-05-19 12:00:00",2,1.326,1.326,771
"2007-05-19 12:30:00",3,1.319,1.319,771.1
"2007-05-19 13:00:00",4,1.321,1.314,771.1
"2007-05-19 13:30:00",5,1.331,1.323,771.1
"2007-05-19 14:00:00",6,1.318,1.308,771.2
"2007-05-19 14:30:00",7,1.317,1.312,771.3
"2007-05-19 15:00:00",8,1.316,1.313,771.3
"2007-05-19 15:30:00",9,1.319,1.314,771.2
"2007-05-19 16:00:00",10,1.322,1.311,771.3
"2007-05-19 16:30:00",11,1.327,1.316,771.4
"2007-05-19 17:00:00",12,1.323,1.315,771.4
"2007-05-19 17:30:00",13,1.324,1.326,771.4
"2007-05-19 18:00:00",14,1.326,1.323,771.5
"2007-05-19 18:30:00",15,1.33,1.323,771.5
"2007-05-19 19:00:00",16,1.336,1.331,771.5
"2007-05-19 19:30:00",17,1.333,1.322,771.5
"2007-05-19 20:00:00",18,1.332,1.321,771.8
"2007-05-19 20:30:00",19,1.332,1.322,771.8
"2007-05-19 21:00:00",20,1.33,1.32,772
"2007-05-19 21:30:00",21,1.329,1.318,772.1
"2007-05-19 22:00:00",22,1.328,1.317,772.1
"2007-05-19 22:30:00",23,1.329,1.318,772.3
"2007-05-19 23:00:00",24,1.328,1.316,772.5
"2007-05-19 23:30:00",25,1.327,1.316,772.6
"2007-05-20 00:00:00",26,1.33,1.318,772.7
"2007-05-20 00:30:00",27,1.328,1.317,772.7
"2007-05-20 01:00:00",28,1.331,1.32,772.8
"2007-05-20 01:30:00",29,1.333,1.322,773.1
"2007-05-20 02:00:00",30,1.328,1.317,773.1
"2007-05-20 02:30:00",31,1.327,1.316,773.2
"2007-05-20 03:00:00",32,1.329,1.318,773.4
"2007-05-20 03:30:00",33,1.328,1.317,773.5
"2007-05-20 04:00:00",34,1.327,1.316,773.5
"2007-05-20 04:30:00",35,1.328,1.318,773.5
"2007-05-20 05:00:00",36,1.328,1.318,773.6
"2007-05-20 05:30:00",37,1.327,1.317,773.6
"2007-05-20 06:00:00",38,1.327,1.317,773.7
"2007-05-20 06:30:00",39,1.327,1.317,773.8
"2007-05-20 07:00:00",40,1.332,1.32,773.9
