"TOA5","4342","CR1000","4342","CR1000.Std.10","CRD:may7_07_TRANSECT2.CR1","23775","Health"
"TIMESTAMP","RECORD","Batt_Volt_Max","Batt_Volt_Min","Batt_Volt_TMn","Batt_Volt_Avg","Panel_Temp_Max","Panel_Temp_TMx","Panel_Temp_Min","Panel_Temp_Avg"
"TS","RN","Volts","Volts","Volts","Volts","Deg C","Deg C","Deg C","Deg C"
"","","Max","Min","TMn","Avg","Max","TMx","Min","Avg"
"2007-05-20 00:00:00",0,14.04,12.97,"2007-05-20 00:00:00",13.83,4.107,"2007-05-19 15:32:30",-5.373,-0.03
"2007-05-21 00:00:00",1,14.09,12.76,"2007-05-20 05:30:00",13.56,5.225,"2007-05-20 17:40:30",-5.612,-1.174
"2007-05-22 00:00:00",2,14.01,12.77,"2007-05-21 05:30:00",13.5,8.83,"2007-05-21 15:42:30",-3.579,1.998
"2007-05-23 00:00:00",3,13.98,12.77,"2007-05-22 05:30:00",13.57,2.993,"2007-05-22 16:52:30",-2.526,0.218
"2007-05-24 00:00:00",4,14.05,12.76,"2007-05-23 05:30:00",13.57,3.292,"2007-05-23 16:18:30",-3.685,-0.212
"2007-05-25 00:00:00",5,13.92,12.78,"2007-05-24 05:30:00",13.48,8.86,"2007-05-24 13:00:30",-1.202,3.74
"2007-05-26 00:00:00",6,13.92,12.78,"2007-05-25 05:30:00",13.5,9.68,"2007-05-25 12:50:30",-0.606,3.851
"2007-05-27 00:00:00",7,14.04,12.77,"2007-05-26 05:30:00",13.6,1.821,"2007-05-26 09:57:00",-4.096,-0.49
"2007-05-28 00:00:00",8,14.1,12.74,"2007-05-27 05:30:00",13.62,1.649,"2007-05-27 18:58:30",-5.461,-2.576
"2007-05-29 00:00:00",9,14.16,12.71,"2007-05-28 05:30:00",13.68,-1.735,"2007-05-28 15:57:30",-8.26,-4.634
"2007-05-30 00:00:00",10,14.14,12.74,"2007-05-29 05:30:00",13.65,0.352,"2007-05-29 17:55:30",-7.993,-3.298
"2007-05-31 00:00:00",11,14.04,12.75,"2007-05-30 06:30:00",13.59,-1.374,"2007-05-30 15:00:30",-4.074,-2.413
"2007-06-01 00:00:00",12,14.1,12.77,"2007-05-31 05:00:00",13.65,1.096,"2007-05-31 17:39:30",-6.116,-2.461
"2007-06-02 00:00:00",13,14,12.77,"2007-06-01 05:00:00",13.56,5.051,"2007-06-01 11:46:30",-3.708,1.372
"2007-06-03 00:00:00",14,13.96,12.77,"2007-06-02 05:30:00",13.56,3.165,"2007-06-02 14:52:30",-1.331,0.908
"2007-06-04 00:00:00",15,14,12.76,"2007-06-03 05:30:00",13.55,5.182,"2007-06-03 15:55:00",-2.741,1.295
"2007-06-05 00:00:00",16,13.84,12.8,"2007-06-04 06:00:00",13.49,6.005,"2007-06-04 10:13:30",2.268,4.166
"2007-06-06 00:00:00",17,13.9,12.78,"2007-06-05 05:30:00",13.46,10.47,"2007-06-05 14:28:30",1.032,5.091
"2007-06-07 00:00:00",18,13.89,12.77,"2007-06-06 05:30:00",13.5,6.351,"2007-06-06 13:30:00",-1.033,3.9
"2007-06-08 00:00:00",19,14.04,12.73,"2007-06-07 06:00:00",13.61,1.437,"2007-06-07 17:25:00",-5.547,-1.467
"2007-06-09 00:00:00",20,14.12,12.72,"2007-06-08 05:29:30",13.61,1.821,"2007-06-08 20:17:00",-7.505,-2.703
"2007-06-10 00:00:00",21,13.96,12.74,"2007-06-09 05:30:00",13.48,8.79,"2007-06-09 16:39:30",-3.751,3.047
"2007-06-11 00:00:00",22,13.9,12.76,"2007-06-10 05:00:00",13.45,10.79,"2007-06-10 15:49:30",-0.052,5.17
"2007-06-12 00:00:00",23,13.92,12.75,"2007-06-11 05:30:00",13.45,8.77,"2007-06-11 12:48:30",0.138,3.725
"2007-06-13 00:00:00",24,13.93,12.76,"2007-06-12 05:00:00",13.49,7.552,"2007-06-12 17:40:30",-0.095,3.086
"2007-06-14 00:00:00",25,13.94,12.75,"2007-06-13 05:30:00",13.53,7.311,"2007-06-13 18:46:00",0.16,2.754
"2007-06-15 00:00:00",26,13.95,12.75,"2007-06-14 05:30:00",13.51,7.905,"2007-06-14 15:36:00",-0.267,2.17
"2007-06-16 00:00:00",27,13.94,12.75,"2007-06-15 06:00:00",13.44,6.787,"2007-06-15 16:05:00",0.352,2.307
"2007-06-17 00:00:00",28,13.93,12.73,"2007-06-16 06:30:00",13.47,5.291,"2007-06-16 15:15:00",0.436,2.048
"2007-06-18 00:00:00",29,13.92,12.75,"2007-06-17 06:00:00",13.46,10.13,"2007-06-17 14:49:30",0.734,3.479
"2007-06-19 00:00:00",30,13.89,12.77,"2007-06-18 05:30:00",13.47,9.66,"2007-06-18 12:30:30",1.159,4.228
"2007-06-20 00:00:00",31,13.85,12.78,"2007-06-19 05:30:00",13.48,8.77,"2007-06-19 17:03:30",2.395,4.993
"2007-06-21 00:00:00",32,13.91,12.75,"2007-06-20 05:30:00",13.51,7.18,"2007-06-20 12:29:30",0.287,2.89
"2007-06-22 00:00:00",33,13.9,12.77,"2007-06-21 05:30:00",13.5,6.396,"2007-06-21 16:39:00",1.543,3.54
"2007-06-23 00:00:00",34,13.86,12.77,"2007-06-22 05:00:00",13.43,11.45,"2007-06-22 16:51:30",1.053,6.405
"2007-06-24 00:00:00",35,13.85,12.75,"2007-06-23 06:00:00",13.36,10.99,"2007-06-23 13:57:00",1.586,5.903
"2007-06-25 00:00:00",36,13.85,12.72,"2007-06-24 05:30:00",13.39,10.29,"2007-06-24 14:31:00",1.138,5.007
"2007-06-26 00:00:00",37,13.88,12.75,"2007-06-25 05:30:00",13.44,6.875,"2007-06-25 17:40:30",1.861,3.308
