"TOA5","4342","CR1000","4342","CR1000.Std.10","CRD:Aug02_06_Transect2.CR1","32015","HalfHour"
"TIMESTAMP","RECORD","DT","TCDT","BP"
"TS","RN","","","hPa(mb)"
"","","Smp","Smp","Smp"
"2006-08-08 18:00:00",0,1.309,1.322,775.1
"2006-08-08 18:30:00",1,1.311,1.324,775.1
"2006-08-08 19:00:00",2,1.312,1.324,775.1
"2006-08-08 19:30:00",3,1.317,1.324,775.5
"2006-08-08 20:00:00",4,1.313,1.321,775.8
"2006-08-08 20:30:00",5,1.313,1.321,775.6
"2006-08-08 21:00:00",6,1.315,1.32,774.1
"2006-08-08 21:30:00",7,1.314,1.32,774.5
"2006-08-08 22:00:00",8,1.319,1.323,772.2
"2006-08-08 22:30:00",9,1.316,1.321,774.5
"2006-08-08 23:00:00",10,1.315,1.321,775.7
"2006-08-08 23:30:00",11,1.315,1.321,776.3
"2006-08-09 00:00:00",12,1.316,1.322,776.2
"2006-08-09 00:30:00",13,1.315,1.322,775.4
"2006-08-09 01:00:00",14,1.315,1.322,775.3
"2006-08-09 01:30:00",15,1.317,1.323,774
"2006-08-09 02:00:00",16,1.317,1.323,772.9
"2006-08-09 02:30:00",17,1.316,1.323,774.1
"2006-08-09 03:00:00",18,1.315,1.323,774.4
"2006-08-09 03:30:00",19,1.317,1.323,772.1
"2006-08-09 04:00:00",20,1.318,1.324,770
"2006-08-09 04:30:00",21,1.319,1.324,772
"2006-08-09 05:00:00",22,1.319,1.324,772.8
"2006-08-09 05:30:00",23,1.319,1.323,772.5
"2006-08-09 06:00:00",24,1.32,1.324,770.3
"2006-08-09 06:30:00",25,1.322,1.323,770.1
"2006-08-09 07:00:00",26,1.319,1.321,770.3
"2006-08-09 07:30:00",27,1.316,1.32,770.1
"2006-08-09 08:00:00",28,1.316,1.32,771.6
"2006-08-09 08:30:00",29,1.313,1.321,773.7
"2006-08-09 09:00:00",30,1.316,1.321,774.7
"2006-08-09 09:30:00",31,1.317,1.324,776.7
"2006-08-09 10:00:00",32,1.313,1.319,777.4
"2006-08-09 10:30:00",33,1.314,1.321,779.1
"2006-08-09 11:00:00",34,1.315,1.321,777.7
"2006-08-09 11:30:00",35,1.311,1.32,778.2
"2006-08-09 12:00:00",36,1.312,1.326,782.6
"2006-08-09 12:30:00",37,1.309,1.321,784.8
"2006-08-09 13:00:00",38,1.307,1.319,783.8
"2006-08-09 13:30:00",39,1.31,1.321,782.6
"2006-08-09 14:00:00",40,1.308,1.321,784.1
