"TOA5","4342","CR1000","4342","CR1000.Std.10","CRD:Aug02_06_Transect2.CR1","32015","Health"
"TIMESTAMP","RECORD","Batt_Volt_Max","Batt_Volt_Min","Batt_Volt_TMn","Batt_Volt_Avg","Panel_Temp_Max","Panel_Temp_TMx","Panel_Temp_Min","Panel_Temp_Avg"
"TS","RN","Volts","Volts","Volts","Volts","Deg C","Deg C","Deg C","Deg C"
"","","Max","Min","TMn","Avg","Max","TMx","Min","Avg"
"2006-08-09 00:00:00",0,13.83,12.8,"2006-08-09 00:00:00",13.27,7.421,"2006-08-08 18:22:30",1.904,3.766
"2006-08-10 00:00:00",1,13.88,12.72,"2006-08-09 07:00:00",13.33,6.656,"2006-08-09 18:47:00",-0.095,3.284
"2006-08-11 00:00:00",2,13.87,12.73,"2006-08-10 06:30:00",13.31,8.5,"2006-08-10 15:20:30",-0.158,4.025
"2006-08-12 00:00:00",3,13.92,12.73,"2006-08-11 06:30:00",13.39,6.897,"2006-08-11 16:17:00",-0.947,2.514
"2006-08-13 00:00:00",4,13.91,12.75,"2006-08-12 06:00:00",13.41,3.935,"2006-08-12 13:02:00",0.117,2.007
"2006-08-14 00:00:00",5,13.94,12.73,"2006-08-13 07:30:00",13.29,6.504,"2006-08-13 18:44:30",-0.884,1.741
"2006-08-15 00:00:00",6,13.92,12.72,"2006-08-14 06:30:00",13.35,6.94,"2006-08-14 16:52:00",-0.777,2.638
"2006-08-16 00:00:00",7,13.91,12.72,"2006-08-15 06:30:00",13.39,4.923,"2006-08-15 19:06:30",-0.904,1.762
"2006-08-17 00:00:00",8,13.9,12.73,"2006-08-16 07:00:00",13.36,6.57,"2006-08-16 16:01:00",-0.307,2.764
"2006-08-18 00:00:00",9,13.93,12.73,"2006-08-17 07:00:00",13.36,3.443,"2006-08-17 19:10:00",-0.542,1.443
"2006-08-19 00:00:00",10,13.91,12.72,"2006-08-18 07:00:00",13.34,6.832,"2006-08-18 15:53:00",-1.48,2.784
"2006-08-20 00:00:00",11,13.87,12.73,"2006-08-19 07:30:00",13.33,6.091,"2006-08-19 17:59:30",-1.394,2.748
"2006-08-21 00:00:00",12,13.97,12.71,"2006-08-20 07:00:00",13.33,4.493,"2006-08-20 19:03:30",-1.927,0.613
"2006-08-22 00:00:00",13,13.9,12.72,"2006-08-21 07:30:00",13.3,5.614,"2006-08-21 19:10:30",-0.904,1.959
"2006-08-23 00:00:00",14,13.93,12.7,"2006-08-22 07:00:00",13.32,6.091,"2006-08-22 14:44:00",-2.698,1.936
"2006-08-24 00:00:00",15,13.93,12.72,"2006-08-23 07:00:00",13.33,3.635,"2006-08-23 19:09:30",-1.202,0.988
"2006-08-25 00:00:00",16,13.97,12.7,"2006-08-24 07:00:00",13.32,5.203,"2006-08-24 16:19:00",-3.021,0.43
"2006-08-26 00:00:00",17,13.96,12.71,"2006-08-25 07:00:00",13.32,4.771,"2006-08-25 19:13:30",-0.841,1.036
"2006-08-27 00:00:00",18,13.96,12.72,"2006-08-26 06:30:00",13.37,1.606,"2006-08-26 00:00:30",-2.079,0.257
"2006-08-28 00:00:00",19,14,12.69,"2006-08-27 07:30:00",13.35,1.5,"2006-08-27 15:15:00",-3.385,-1.065
"2006-08-29 00:00:00",20,13.98,12.7,"2006-08-28 07:00:00",13.35,2.033,"2006-08-28 13:55:00",-2.377,-0.933
"2006-08-30 00:00:00",21,14,12.71,"2006-08-29 06:30:00",13.39,2.374,"2006-08-29 16:28:00",-2.4,-0.616
"2006-08-31 00:00:00",22,13.97,12.69,"2006-08-30 07:00:00",13.33,2.417,"2006-08-30 13:40:00",-4.051,-1.069
"2006-09-01 00:00:00",23,14.04,12.69,"2006-08-31 07:30:00",13.36,-0.095,"2006-08-31 17:14:00",-3.321,-1.932
"2006-09-02 00:00:00",24,14.01,12.7,"2006-09-01 07:00:00",13.38,2.288,"2006-09-01 18:16:00",-3.299,-1.115
"2006-09-03 00:00:00",25,14.03,12.69,"2006-09-02 07:00:00",13.38,2.288,"2006-09-02 14:10:30",-4.896,-1.345
"2006-09-04 00:00:00",26,14.02,12.69,"2006-09-03 07:30:00",13.36,2.758,"2006-09-03 14:54:30",-4.074,-1.162
"2006-09-05 00:00:00",27,13.97,12.71,"2006-09-04 08:00:00",13.29,1.245,"2006-09-04 17:21:30",-1.735,-0.373
"2006-09-06 00:00:00",28,14.01,12.69,"2006-09-05 07:30:00",13.34,3.42,"2006-09-05 16:05:00",-4.117,-0.806
"2006-09-07 00:00:00",29,14.03,12.69,"2006-09-06 08:00:00",13.32,-1.331,"2006-09-06 19:24:00",-3.965,-2.535
"2006-09-08 00:00:00",30,13.99,12.69,"2006-09-07 08:00:00",13.29,0.436,"2006-09-07 18:14:30",-3.642,-1.57
"2006-09-09 00:00:00",31,14.07,12.66,"2006-09-08 08:00:00",13.32,0.203,"2006-09-08 15:34:30",-6.532,-3.085
"2006-09-10 00:00:00",32,14.06,12.69,"2006-09-09 07:30:00",13.36,-0.649,"2006-09-09 13:21:00",-4.268,-2.718
"2006-09-11 00:00:00",33,14.01,12.69,"2006-09-10 08:00:00",13.33,0.074,"2006-09-10 16:39:30",-4.031,-1.829
"2006-09-12 00:00:00",34,13.98,12.7,"2006-09-11 08:00:00",13.31,1.861,"2006-09-11 13:37:30",-3.084,-1.306
"2006-09-13 00:00:00",35,14,12.7,"2006-09-12 07:30:00",13.35,0.393,"2006-09-12 15:33:30",-2.655,-1.771
"2006-09-14 00:00:00",36,13.98,12.7,"2006-09-13 08:00:00",13.34,1.543,"2006-09-13 14:12:30",-2.869,-0.927
"2006-09-15 00:00:00",37,14,12.68,"2006-09-14 08:00:00",13.28,4.193,"2006-09-14 13:17:00",-5.025,-0.342
