"TOA5","4342","CR1000","4342","CR1000.Std.10","CRD:apr08_dukerv2_T2.CR1","51102","FiveMin"
"TIMESTAMP","RECORD","WS_ms_S_WVT","WindDir_D1_WVT","WindDir_SD1_WVT","WS_ms_Max","AirTC_Avg","NR_Wm2_Avg","RH_Avg"
"TS","RN","meters/second","Deg","Deg","meters/second","Deg C","W/m²","%"
"","","WVc","WVc","WVc","Max","Avg","Avg","Avg"
"2008-06-17 17:10:00",0,4.494,123.8,2.916,5.439,4.455,420,0.68
"2008-06-17 17:15:00",1,5.091,127.2,15.8,6.559,4.412,338.4,0.68
"2008-06-17 17:20:00",2,3.861,126.3,19.05,4.41,4.44,209.3,0.68
"2008-06-17 17:25:00",3,5.015,117.3,10.28,6.265,4.454,481.4,0.68
"2008-06-17 17:30:00",4,4.182,149.2,17.95,5.504,4.894,556.8,0.68
"2008-06-17 17:35:00",5,3.987,160.4,20.06,4.528,5.816,504.1,0.68
"2008-06-17 17:40:00",6,4.255,131.6,21.2,5.681,5.388,424.1,0.68
"2008-06-17 17:45:00",7,4.696,134,20.04,5.576,5.091,436.1,0.68
"2008-06-17 17:50:00",8,4.298,119.6,7.508,5.707,5.091,391.2,0.68
"2008-06-17 17:55:00",9,4.144,124.6,12.88,5.851,4.993,378.3,0.68
"2008-06-17 18:00:00",10,5.023,118.4,5.805,5.37,4.707,361,0.68
"2008-06-17 18:05:00",11,5.27,123.5,4.358,5.873,4.706,354.1,0.68
"2008-06-17 18:10:00",12,5.427,122.2,5.403,6.043,4.642,346.8,0.68
"2008-06-17 18:15:00",13,6,122.6,5.055,6.406,4.663,335.8,0.68
"2008-06-17 18:20:00",14,5.731,125.5,5.131,6.801,4.746,333.3,0.68
"2008-06-17 18:25:00",15,5.056,126.2,6.097,5.664,4.919,332.6,0.68
"2008-06-17 18:30:00",16,5.448,119.6,3.753,5.854,5.013,316.6,0.68
"2008-06-17 18:35:00",17,5.735,125.1,4.261,6.141,5.007,315.2,0.68
"2008-06-17 18:40:00",18,6.344,122.8,6.118,6.863,4.883,310.7,0.68
"2008-06-17 18:45:00",19,5.7,123.4,4.67,6.37,4.874,300.8,0.68
"2008-06-17 18:50:00",20,4.493,118.7,4.829,5.37,5.035,308.5,0.68
"2008-06-17 18:55:00",21,3.874,117.2,8.69,4.377,5.169,198,0.68
"2008-06-17 19:00:00",22,3.8,109.6,7.589,4.234,4.89,42.34,0.68
"2008-06-17 19:05:00",23,4.204,121.3,7.728,4.802,4.813,168,0.68
"2008-06-17 19:10:00",24,4.513,125.7,6.278,5.775,4.899,101,0.68
"2008-06-17 19:15:00",25,4.12,127.8,10.59,4.773,4.873,98.2,0.68
"2008-06-17 19:20:00",26,3.92,126.2,5.336,4.142,5.175,155.5,0.68
"2008-06-17 19:25:00",27,3.377,123.7,9.39,3.812,5.279,125.3,0.68
"2008-06-17 19:30:00",28,2.561,131.2,12.63,3.103,5.398,90.2,0.68
"2008-06-17 19:35:00",29,1.949,159.1,9.73,2.208,5.48,65.92,0.68
"2008-06-17 19:40:00",30,1.268,170.4,17.64,1.555,5.627,90.1,0.68
"2008-06-17 19:45:00",31,2.308,165.7,14.32,2.976,5.621,128.5,0.68
"2008-06-17 19:50:00",32,2.27,154.9,13.72,3.198,5.682,150.8,0.68
"2008-06-17 19:55:00",33,2.276,149.7,3.73,2.754,5.559,152.6,0.68
"2008-06-17 20:00:00",34,2.656,156.4,6.825,3.12,5.944,284.5,0.68
"2008-06-17 20:05:00",35,2.916,154.4,2.708,3.139,6.123,125.7,0.68
"2008-06-17 20:10:00",36,2.494,153.1,4.348,2.93,5.738,31.5,0.68
"2008-06-17 20:15:00",37,1.581,137.4,15.25,2.078,5.521,10.42,0.68
"2008-06-17 20:20:00",38,4.156,122.7,7.449,5.393,5.182,5.799,0.68
"2008-06-17 20:25:00",39,4.113,124.1,7.057,4.76,4.84,7.355,0.68
"2008-06-17 20:30:00",40,3.234,128.5,4.931,3.721,4.837,7.832,0.68
"2008-06-17 20:35:00",41,3.206,131.9,5.431,4.031,4.811,15.46,0.68
"2008-06-17 20:40:00",42,3.962,122.4,2.43,4.56,4.804,21.59,0.68
"2008-06-17 20:45:00",43,4.197,124.2,5.783,4.681,4.679,13.88,0.68
"2008-06-17 20:50:00",44,4.147,125.2,7.629,4.505,4.706,12.58,0.68
"2008-06-17 20:55:00",45,3.935,119.1,13.81,4.315,4.687,5.422,0.68
"2008-06-17 21:00:00",46,3.864,111.6,8.35,4.439,4.506,-0.853,0.68
