"TOA5","4342","CR1000","4342","CR1000.Std.10","CRD:apr08_dukerv2_T2.CR1","51102","HalfHour"
"TIMESTAMP","RECORD","DT","BP","Rain_mm_Tot"
"TS","RN","m","hPa(mb)","mm"
"","","Smp","Smp","Tot"
"2008-06-17 17:30:00",0,1.308,777.2,0
"2008-06-17 18:00:00",1,1.304,776.8,0
"2008-06-17 18:30:00",2,1.303,776.5,0
"2008-06-17 19:00:00",3,1.315,777,0
"2008-06-17 19:30:00",4,1.308,777,0
"2008-06-17 20:00:00",5,1.303,777,0
"2008-06-17 20:30:00",6,1.308,777.1,0
"2008-06-17 21:00:00",7,1.308,777,0
"2008-06-17 21:30:00",8,1.313,777.4,0.1
"2008-06-17 22:00:00",9,1.312,777.5,0.5
"2008-06-17 22:30:00",10,1.312,777.7,0.1
"2008-06-17 23:00:00",11,1.313,777.8,0
"2008-06-17 23:30:00",12,1.312,777.8,0
"2008-06-18 00:00:00",13,1.312,778,0
"2008-06-18 00:30:00",14,1.316,777.9,0.2
"2008-06-18 01:00:00",15,1.314,777.8,0.3
"2008-06-18 01:30:00",16,1.316,777.6,0
"2008-06-18 02:00:00",17,1.314,777.9,0
"2008-06-18 02:30:00",18,1.314,777.9,0
"2008-06-18 03:00:00",19,1.311,778.1,0.2
"2008-06-18 03:30:00",20,1.312,778.1,0
"2008-06-18 04:00:00",21,1.31,778,0
"2008-06-18 04:30:00",22,1.31,777.9,0
"2008-06-18 05:00:00",23,1.312,777.5,0
"2008-06-18 05:30:00",24,1.313,777.8,0
"2008-06-18 06:00:00",25,1.311,778.1,0
"2008-06-18 06:30:00",26,1.312,778.1,0.1
"2008-06-18 07:00:00",27,1.31,778.3,0.3
"2008-06-18 07:30:00",28,1.309,778.4,0
"2008-06-18 08:00:00",29,1.311,779.3,0
"2008-06-18 08:30:00",30,1.311,779.8,0
"2008-06-18 09:00:00",31,1.315,779.8,0
"2008-06-18 09:30:00",32,1.313,780.3,0
"2008-06-18 10:00:00",33,1.311,781.3,0
"2008-06-18 10:30:00",34,1.309,782.8,0
"2008-06-18 11:00:00",35,1.313,782.8,0
"2008-06-18 11:30:00",36,1.312,781.9,0
"2008-06-18 12:00:00",37,1.31,781.1,0
"2008-06-18 12:30:00",38,1.308,783.2,0
"2008-06-18 13:00:00",39,1.306,789,0
"2008-06-18 13:30:00",40,1.306,792.8,0
"2008-06-18 14:00:00",41,1.308,788,0
"2008-06-18 14:30:00",42,1.307,784.1,0
"2008-06-18 15:00:00",43,1.304,788.2,0
"2008-06-18 15:30:00",44,1.304,789,0
"2008-06-18 16:00:00",45,1.311,783.1,0
"2008-06-18 16:30:00",46,1.306,782.3,0.1
"2008-06-18 17:00:00",47,1.297,787.3,0
"2008-06-18 17:30:00",48,1.303,788.8,0
"2008-06-18 18:00:00",49,1.308,778,0.1
"2008-06-18 18:30:00",50,1.307,778.2,0
"2008-06-18 19:00:00",51,1.305,778.4,0
"2008-06-18 19:30:00",52,1.304,778.2,0
"2008-06-18 20:00:00",53,1.309,778.1,0
"2008-06-18 20:30:00",54,1.308,778.4,0.5
"2008-06-18 21:00:00",55,1.308,778.6,0
"2008-06-18 21:30:00",56,1.307,778.5,0
"2008-06-18 22:00:00",57,1.307,778.6,0
"2008-06-18 22:30:00",58,1.308,778.6,0
"2008-06-18 23:00:00",59,1.307,778.7,0.1
"2008-06-18 23:30:00",60,1.307,778.7,0
"2008-06-19 00:00:00",61,1.308,778.8,0.1
"2008-06-19 00:30:00",62,1.308,779,0.1
"2008-06-19 01:00:00",63,1.307,779,0
"2008-06-19 01:30:00",64,1.308,778.8,0.1
"2008-06-19 02:00:00",65,1.308,778.7,0
"2008-06-19 02:30:00",66,1.308,778.7,0.2
"2008-06-19 03:00:00",67,1.308,778.6,0.1
"2008-06-19 03:30:00",68,1.309,778.7,0.2
"2008-06-19 04:00:00",69,1.31,778.7,0.2
"2008-06-19 04:30:00",70,1.31,778.7,0.2
"2008-06-19 05:00:00",71,1.312,778.6,0.2
"2008-06-19 05:30:00",72,1.31,778.6,0.2
"2008-06-19 06:00:00",73,1.312,778.6,0.3
"2008-06-19 06:30:00",74,1.313,779.5,0.1
"2008-06-19 07:00:00",75,1.312,778.8,0.1
"2008-06-19 07:30:00",76,1.312,778.6,0.2
"2008-06-19 08:00:00",77,1.311,778.3,0.2
"2008-06-19 08:30:00",78,1.31,778.7,0.2
"2008-06-19 09:00:00",79,1.311,779,0.1
"2008-06-19 09:30:00",80,1.309,779,0.1
"2008-06-19 10:00:00",81,1.309,779.5,0.1
"2008-06-19 10:30:00",82,1.311,781.7,0
"2008-06-19 11:00:00",83,1.309,782.5,0.1
"2008-06-19 11:30:00",84,1.309,782.4,0.1
"2008-06-19 12:00:00",85,1.309,783.6,0.2
"2008-06-19 12:30:00",86,1.309,783.6,0.1
"2008-06-19 13:00:00",87,1.304,784.6,0.2
"2008-06-19 13:30:00",88,1.309,784.8,0.4
"2008-06-19 14:00:00",89,1.306,784.1,0.4
"2008-06-19 14:30:00",90,1.308,784.4,0.1
"2008-06-19 15:00:00",91,1.305,785.3,0.2
"2008-06-19 15:30:00",92,1.306,785.8,0.3
"2008-06-19 16:00:00",93,1.303,787,0.1
"2008-06-19 16:30:00",94,1.307,788.3,0
"2008-06-19 17:00:00",95,1.304,788.3,0.2
"2008-06-19 17:30:00",96,1.303,787.9,0.1
"2008-06-19 18:00:00",97,1.303,786.3,0.1
"2008-06-19 18:30:00",98,1.302,788.4,0.2
"2008-06-19 19:00:00",99,1.303,788.6,0
"2008-06-19 19:30:00",100,1.303,787.6,0
"2008-06-19 20:00:00",101,1.307,785.4,0.2
"2008-06-19 20:30:00",102,1.304,784.4,0.6
"2008-06-19 21:00:00",103,1.305,784.3,0.1
"2008-06-19 21:30:00",104,1.305,783.7,0
"2008-06-19 22:00:00",105,1.307,783.4,0.2
"2008-06-19 22:30:00",106,1.306,783.3,0.1
"2008-06-19 23:00:00",107,1.306,783.2,0.1
"2008-06-19 23:30:00",108,1.307,782.9,0.1
"2008-06-20 00:00:00",109,1.308,782.5,0.1
"2008-06-20 00:30:00",110,1.308,782.1,0.2
"2008-06-20 01:00:00",111,1.31,782,0.2
"2008-06-20 01:30:00",112,1.307,781.6,0.2
"2008-06-20 02:00:00",113,1.307,781.2,0.4
"2008-06-20 02:30:00",114,1.306,780.8,0.4
"2008-06-20 03:00:00",115,1.306,780.8,0.4
"2008-06-20 03:30:00",116,1.308,781,0.2
"2008-06-20 04:00:00",117,1.306,781,0.2
"2008-06-20 04:30:00",118,1.308,781.3,0.3
"2008-06-20 05:00:00",119,1.308,779.9,1.8
"2008-06-20 05:30:00",120,1.307,779.6,0.7
"2008-06-20 06:00:00",121,1.307,779.6,0.9
