"TOA5","4342","CR1000","4342","CR1000.Std.10","CRD:apr08_dukerv2_T2.CR1","51102","Health"
"TIMESTAMP","RECORD","Batt_Volt_Max","Batt_Volt_Min","Batt_Volt_TMn","Batt_Volt_Avg","Panel_Temp_Max","Panel_Temp_TMx","Panel_Temp_Min","Panel_Temp_Avg"
"TS","RN","Volts","Volts","Volts","Volts","Deg C","Deg C","Deg C","Deg C"
"","","Max","Min","TMn","Avg","Max","TMx","Min","Avg"
"2008-06-18 00:00:00",0,13.86,13.29,"2008-06-18 00:00:00",13.64,7.487,"2008-06-17 17:44:30",1.735,5.129
"2008-06-19 00:00:00",1,13.91,12.8,"2008-06-18 05:29:30",13.57,7.993,"2008-06-18 13:46:30",-0.095,2.636
"2008-06-20 00:00:00",2,13.93,12.75,"2008-06-19 06:00:00",13.53,4.771,"2008-06-19 19:18:00",0.373,2.281
"2008-06-21 00:00:00",3,13.9,12.75,"2008-06-20 05:30:00",13.48,7.751,"2008-06-20 14:22:30",0.969,3.553
"2008-06-22 00:00:00",4,13.88,12.76,"2008-06-21 05:30:00",13.56,5.722,"2008-06-21 13:10:00",0.458,3.057
"2008-06-23 00:00:00",5,13.98,12.73,"2008-06-22 06:00:00",13.59,2.907,"2008-06-22 18:44:00",-1.609,0.569
"2008-06-24 00:00:00",6,13.99,12.8,"2008-06-23 05:30:00",13.65,3.978,"2008-06-23 15:12:30",-1.672,0.601
"2008-06-25 00:00:00",7,14.01,12.81,"2008-06-24 05:30:00",13.63,3.764,"2008-06-24 17:20:00",-3.493,0.284
"2008-06-26 00:00:00",8,13.96,12.77,"2008-06-25 05:30:00",13.56,6.59,"2008-06-25 17:38:30",-3.15,2.351
"2008-06-27 00:00:00",9,13.93,12.78,"2008-06-26 05:30:00",13.58,5.097,"2008-06-26 15:14:00",-0.947,2.169
"2008-06-28 00:00:00",10,13.99,12.81,"2008-06-27 05:30:00",13.61,4.902,"2008-06-27 18:36:00",-3.45,0.543
"2008-06-29 00:00:00",11,14.03,12.77,"2008-06-28 05:30:00",13.64,3.334,"2008-06-28 17:01:00",-3.902,-0.932
"2008-06-30 00:00:00",12,14.03,12.77,"2008-06-29 06:00:00",13.61,4.064,"2008-06-29 17:22:30",-5.962,-0.08
"2008-07-01 00:00:00",13,13.96,12.8,"2008-06-30 06:00:00",13.6,5.765,"2008-06-30 15:58:30",-2.506,1.675
"2008-07-02 00:00:00",14,13.95,12.78,"2008-07-01 05:59:30",13.54,6.439,"2008-07-01 15:30:00",-1.268,2.307
"2008-07-03 00:00:00",15,13.92,12.77,"2008-07-02 06:00:00",13.52,9.08,"2008-07-02 17:44:00",-2.677,3.988
"2008-07-04 00:00:00",16,13.8,12.77,"2008-07-03 05:30:00",13.44,13.16,"2008-07-03 19:15:00",2.225,7.682
"2008-07-05 00:00:00",17,13.73,12.76,"2008-07-04 05:30:00",13.39,12.56,"2008-07-04 13:34:00",3.935,8.21
"2008-07-06 00:00:00",18,13.83,12.69,"2008-07-05 06:00:00",13.47,8.23,"2008-07-05 18:55:00",2.374,4.828
"2008-07-07 00:00:00",19,13.88,12.77,"2008-07-06 06:00:00",13.54,5.591,"2008-07-06 10:15:00",-0.692,3.372
"2008-07-08 00:00:00",20,14.02,12.74,"2008-07-07 06:00:00",13.6,3.463,"2008-07-07 15:56:30",-3.902,0.047
"2008-07-09 00:00:00",21,13.97,12.74,"2008-07-08 06:00:00",13.61,2.801,"2008-07-08 11:47:30",-3.859,-0.266
"2008-07-10 00:00:00",22,13.94,12.71,"2008-07-09 07:00:00",13.52,4.299,"2008-07-09 19:18:30",-1.586,1.187
"2008-07-11 00:00:00",23,13.84,12.74,"2008-07-10 06:00:00",13.46,11.04,"2008-07-10 15:35:00",2.139,5.646
"2008-07-12 00:00:00",24,13.88,12.7,"2008-07-11 06:30:00",13.45,8.92,"2008-07-11 19:43:30",1.075,4.146
"2008-07-13 00:00:00",25,13.89,12.69,"2008-07-12 06:30:00",13.42,7.774,"2008-07-12 15:39:00",0.883,3.391
"2008-07-14 00:00:00",26,13.84,12.75,"2008-07-13 06:00:00",13.47,10.83,"2008-07-13 16:32:00",2.225,5.34
"2008-07-15 00:00:00",27,13.82,12.73,"2008-07-14 06:00:00",13.44,9.88,"2008-07-14 17:34:00",3.036,5.701
"2008-07-16 00:00:00",28,13.91,12.68,"2008-07-15 06:00:00",13.48,8.86,"2008-07-15 21:12:00",-0.138,3.583
"2008-07-17 00:00:00",29,13.79,12.73,"2008-07-16 06:00:00",13.41,11.45,"2008-07-16 17:03:30",1.692,6.921
"2008-07-18 00:00:00",30,13.86,12.7,"2008-07-17 06:00:00",13.48,6.852,"2008-07-17 15:07:00",-0.416,4.233
"2008-07-19 00:00:00",31,13.96,12.68,"2008-07-18 06:30:00",13.54,1.798,"2008-07-18 18:18:30",-1.629,0.034
"2008-07-20 00:00:00",32,14.04,12.74,"2008-07-19 05:59:30",13.68,0.458,"2008-07-19 17:20:30",-3.556,-1.743
"2008-07-21 00:00:00",33,14.02,12.79,"2008-07-20 06:30:00",13.59,4.213,"2008-07-20 16:37:30",-4.074,-0.284
"2008-07-22 00:00:00",34,13.95,12.73,"2008-07-21 06:00:00",13.55,6.57,"2008-07-21 16:57:00",-2.677,1.564
"2008-07-23 00:00:00",35,13.98,12.75,"2008-07-22 06:30:00",13.58,4.966,"2008-07-22 17:55:00",-2.869,1.042
"2008-07-24 00:00:00",36,14,12.71,"2008-07-23 06:30:00",13.55,6.222,"2008-07-23 19:32:00",-2.463,1.044
"2008-07-25 00:00:00",37,13.99,12.7,"2008-07-24 06:30:00",13.59,-0.012,"2008-07-24 00:00:30",-2.869,-1.333
