"TOA5","4342","CR1000","4342","CR1000.Std.10","CRD:apr08_dukerv2_T2.CR1","51102","FiveMin"
"TIMESTAMP","RECORD","WS_ms_S_WVT","WindDir_D1_WVT","WindDir_SD1_WVT","WS_ms_Max","AirTC_Avg","NR_Wm2_Avg","RH_Avg"
"TS","RN","meters/second","Deg","Deg","meters/second","Deg C","W/m²","%"
"","","WVc","WVc","WVc","Max","Avg","Avg","Avg"
"2009-05-18 13:15:00",0,1.72,101.9,14.54,2.058,-1.579,106.7,2.475
"2009-05-18 13:20:00",1,1.937,102.9,12.01,2.319,-1.422,103.2,2.408
"2009-05-18 13:25:00",2,1.935,88.3,8.55,2.45,-1.421,105.4,3.673
"2009-05-18 13:30:00",3,1.604,109,19.45,2.1,-1.189,120.8,3.459
"2009-05-18 13:35:00",4,0.83,112.8,35.2,1.784,-0.189,135.1,3.779
"2009-05-18 13:40:00",5,0.226,96.3,12.85,0.862,0.935,128.8,2.01
"2009-05-18 13:45:00",6,0.424,170.8,39.38,1.147,3.072,138.3,0.612
"2009-05-18 13:50:00",7,0.596,100.5,22.53,1.496,2.463,133.2,0.66
"2009-05-18 13:55:00",8,0.984,163.2,20.73,1.307,2.345,136.4,0.68
"2009-05-18 14:00:00",9,0.452,140.9,37.55,1.009,2.787,135.6,0.68
"2009-05-18 14:05:00",10,0.644,142.3,40.88,1.104,3.35,144.1,0.68
"2009-05-18 14:10:00",11,0.771,100.1,41.78,1.545,2.514,130.2,0.68
"2009-05-18 14:15:00",12,0.577,81,14.38,0.98,1.143,140,0.68
"2009-05-18 14:20:00",13,0.296,83.4,13.98,1.15,1.389,142.3,0.68
"2009-05-18 14:25:00",14,0.058,301.5,10.93,0.291,3.479,144,0.68
"2009-05-18 14:30:00",15,0.392,40.05,49.22,1.297,3.35,149.4,7.664
"2009-05-18 14:35:00",16,1.306,122,35.07,1.646,1.221,146,10.16
"2009-05-18 14:40:00",17,0.957,98.6,20.07,1.343,1.815,145,7.582
"2009-05-18 14:45:00",18,0.58,91.6,11.21,1.065,1.454,134.4,7.62
"2009-05-18 14:50:00",19,0.626,134.3,30.32,1.156,1.947,147.1,8.86
"2009-05-18 14:55:00",20,1.442,98.9,24.06,1.918,1.284,153.3,3.121
"2009-05-18 15:00:00",21,1.932,140.1,21.67,2.261,1.016,165.6,0.558
"2009-05-18 15:05:00",22,1.811,169.6,20.87,2.561,2.115,149.4,0.68
"2009-05-18 15:10:00",23,1.45,145.4,14.73,1.957,2.071,148.7,0.68
"2009-05-18 15:15:00",24,1.274,151.5,15.42,1.705,2.129,158.6,0.68
"2009-05-18 15:20:00",25,1.511,186.5,15.9,1.859,2.712,160.9,0.68
"2009-05-18 15:25:00",26,0.625,135.7,52.7,1.401,1.938,138,0.68
"2009-05-18 15:30:00",27,0,0,0,0,3.929,154.6,0.68
"2009-05-18 15:35:00",28,0.587,111.5,31.57,0.947,4.634,146.8,0.68
"2009-05-18 15:40:00",29,1.114,116.2,27.38,1.62,2.462,141.2,0.68
"2009-05-18 15:45:00",30,1.008,126.4,17.89,1.561,1.72,149.7,0.68
"2009-05-18 15:50:00",31,0.648,128.9,19.96,1.444,2.452,142.7,7.089
"2009-05-18 15:55:00",32,0.679,130.5,23.64,1.323,3.423,147.3,5.158
"2009-05-18 16:00:00",33,1.066,128.6,33.35,1.676,2.79,142.6,0.68
"2009-05-18 16:05:00",34,1.152,111.1,10.12,1.646,1.773,138.8,0.68
"2009-05-18 16:10:00",35,1.097,99.2,9.76,1.411,1.166,133.4,0.68
"2009-05-18 16:15:00",36,0.694,98.7,20.13,0.967,1.463,139.4,0.677
"2009-05-18 16:20:00",37,0.859,153.6,21.78,1.418,2.524,140.3,0.68
"2009-05-18 16:25:00",38,1.299,173.8,9.01,2.025,3.95,154.4,0.68
"2009-05-18 16:30:00",39,1.709,212.8,16.75,2.31,3.049,164.1,0.68
"2009-05-18 16:35:00",40,0.891,202,5.211,1.535,2.232,135.5,0.68
"2009-05-18 16:40:00",41,1.708,201.3,4.342,2.78,2.598,165.7,0.68
"2009-05-18 16:45:00",42,2.602,208.5,5.174,2.822,0.601,180.3,10.5
"2009-05-18 16:50:00",43,2.283,204.2,3.458,2.362,0.307,163.9,12.93
"2009-05-18 16:55:00",44,1.887,204.2,3.363,2.244,0.586,153.2,12.43
"2009-05-18 17:00:00",45,1.27,203.1,3.028,1.46,1.295,138.1,10.8
"2009-05-18 17:05:00",46,1.331,199,3.831,2.313,2.143,143.2,11.03
