"TOA5","4342","CR1000","4342","CR1000.Std.10","CRD:apr08_dukerv2_T2.CR1","51102","HalfHour"
"TIMESTAMP","RECORD","DT","BP","Rain_mm_Tot"
"TS","RN","m","hPa(mb)","mm"
"","","Smp","Smp","Tot"
"2009-05-18 13:30:00",0,1.122,779,0
"2009-05-18 14:00:00",1,1.119,778.8,0
"2009-05-18 14:30:00",2,1.121,778.5,0
"2009-05-18 15:00:00",3,1.124,778.4,0
"2009-05-18 15:30:00",4,1.126,778.3,0
"2009-05-18 16:00:00",5,1.128,778.1,0
"2009-05-18 16:30:00",6,1.13,778,0
"2009-05-18 17:00:00",7,1.131,777.7,0
"2009-05-18 17:30:00",8,1.132,777.4,0
"2009-05-18 18:00:00",9,1.133,777.2,0
"2009-05-18 18:30:00",10,1.134,776.9,0
"2009-05-18 19:00:00",11,1.134,776.9,0
"2009-05-18 19:30:00",12,1.135,776.6,0
"2009-05-18 20:00:00",13,1.136,776.5,0
"2009-05-18 20:30:00",14,1.135,776.2,0
"2009-05-18 21:00:00",15,1.137,775.9,0
"2009-05-18 21:30:00",16,1.136,775.7,0
"2009-05-18 22:00:00",17,1.135,775.6,0
"2009-05-18 22:30:00",18,1.138,775.6,0
"2009-05-18 23:00:00",19,1.138,775.7,0
"2009-05-18 23:30:00",20,1.138,775.5,0
"2009-05-19 00:00:00",21,1.141,775.4,0
"2009-05-19 00:30:00",22,1.138,775.2,0
"2009-05-19 01:00:00",23,1.14,775.2,0
"2009-05-19 01:30:00",24,1.141,775,0
"2009-05-19 02:00:00",25,1.146,774.9,0
"2009-05-19 02:30:00",26,1.143,774.6,0
"2009-05-19 03:00:00",27,1.144,774.5,0
"2009-05-19 03:30:00",28,1.145,774.3,0
"2009-05-19 04:00:00",29,1.149,774.1,0
"2009-05-19 04:30:00",30,1.148,774.1,0
"2009-05-19 05:00:00",31,1.144,773.9,0
"2009-05-19 05:30:00",32,1.145,773.7,0
"2009-05-19 06:00:00",33,1.142,773.5,0
"2009-05-19 06:30:00",34,1.146,773.2,0
"2009-05-19 07:00:00",35,1.141,773.1,0
"2009-05-19 07:30:00",36,1.147,773,0
"2009-05-19 08:00:00",37,1.144,773.1,0
"2009-05-19 08:30:00",38,1.14,773.1,0
"2009-05-19 09:00:00",39,1.142,772.9,0
"2009-05-19 09:30:00",40,1.14,772.8,0
"2009-05-19 10:00:00",41,1.139,772.7,0
"2009-05-19 10:30:00",42,1.139,772.7,0
"2009-05-19 11:00:00",43,1.139,772.7,0
"2009-05-19 11:30:00",44,1.137,772.7,0
"2009-05-19 12:00:00",45,1.138,772.7,0
"2009-05-19 12:30:00",46,1.137,772.6,0
"2009-05-19 13:00:00",47,1.138,772.6,0
"2009-05-19 13:30:00",48,1.139,772.4,0
"2009-05-19 14:00:00",49,1.14,772.4,0
"2009-05-19 14:30:00",50,1.141,772.3,0
"2009-05-19 15:00:00",51,1.148,772.4,0
"2009-05-19 15:30:00",52,1.142,772.3,0
"2009-05-19 16:00:00",53,1.143,772.4,0
"2009-05-19 16:30:00",54,1.143,772.3,0
"2009-05-19 17:00:00",55,1.143,772.3,0
"2009-05-19 17:30:00",56,1.144,772.1,0
"2009-05-19 18:00:00",57,1.144,772.3,0
"2009-05-19 18:30:00",58,1.147,772.2,0
"2009-05-19 19:00:00",59,1.151,772.2,0
"2009-05-19 19:30:00",60,1.152,772.2,0
"2009-05-19 20:00:00",61,1.148,772.2,0
"2009-05-19 20:30:00",62,1.15,772.2,0
"2009-05-19 21:00:00",63,1.149,772.3,0
"2009-05-19 21:30:00",64,1.15,772.4,0
"2009-05-19 22:00:00",65,1.15,772.6,0
"2009-05-19 22:30:00",66,1.155,772.6,0
"2009-05-19 23:00:00",67,1.153,772.6,0
"2009-05-19 23:30:00",68,1.154,772.9,0
"2009-05-20 00:00:00",69,1.155,772.9,0
"2009-05-20 00:30:00",70,1.154,772.9,0
"2009-05-20 01:00:00",71,1.152,772.9,0
"2009-05-20 01:30:00",72,1.158,773,0
"2009-05-20 02:00:00",73,1.156,772.8,0
"2009-05-20 02:30:00",74,1.159,772.8,0
"2009-05-20 03:00:00",75,1.159,772.9,0
"2009-05-20 03:30:00",76,1.155,772.9,0
"2009-05-20 04:00:00",77,1.155,772.9,0
"2009-05-20 04:30:00",78,1.155,772.9,0
"2009-05-20 05:00:00",79,1.151,773,0
"2009-05-20 05:30:00",80,1.153,772.9,0
"2009-05-20 06:00:00",81,1.155,773,0
"2009-05-20 06:30:00",82,1.154,773.2,0
"2009-05-20 07:00:00",83,1.155,773.1,0
"2009-05-20 07:30:00",84,1.156,773.3,0
"2009-05-20 08:00:00",85,1.157,773.3,0
"2009-05-20 08:30:00",86,1.153,773.5,0
"2009-05-20 09:00:00",87,1.153,773.5,0
"2009-05-20 09:30:00",88,1.155,773.5,0
"2009-05-20 10:00:00",89,1.154,774,0
"2009-05-20 10:30:00",90,1.155,774,0
"2009-05-20 11:00:00",91,1.154,773.9,0
"2009-05-20 11:30:00",92,1.155,774.2,0
"2009-05-20 12:00:00",93,1.155,774.2,0
"2009-05-20 12:30:00",94,1.156,774.4,0
"2009-05-20 13:00:00",95,1.163,774.5,0
"2009-05-20 13:30:00",96,1.158,774.9,0
"2009-05-20 14:00:00",97,1.158,774.9,0
"2009-05-20 14:30:00",98,1.157,774.9,0
"2009-05-20 15:00:00",99,1.158,775,0
"2009-05-20 15:30:00",100,1.158,775.2,0
"2009-05-20 16:00:00",101,1.159,775.4,0
"2009-05-20 16:30:00",102,1.16,775.2,0
"2009-05-20 17:00:00",103,1.159,775.4,0
"2009-05-20 17:30:00",104,1.159,775.6,0
"2009-05-20 18:00:00",105,1.159,775.6,0
"2009-05-20 18:30:00",106,1.161,775.9,0
"2009-05-20 19:00:00",107,1.161,775.7,0
"2009-05-20 19:30:00",108,1.163,775.7,0
"2009-05-20 20:00:00",109,1.163,775.7,0
"2009-05-20 20:30:00",110,1.164,776,0
"2009-05-20 21:00:00",111,1.165,776.2,0
"2009-05-20 21:30:00",112,1.166,776.5,0
"2009-05-20 22:00:00",113,1.167,776.7,0
"2009-05-20 22:30:00",114,1.169,776.8,0
"2009-05-20 23:00:00",115,1.169,776.8,0
"2009-05-20 23:30:00",116,1.167,776.9,0
"2009-05-21 00:00:00",117,1.168,776.8,0
"2009-05-21 00:30:00",118,1.169,777.1,0
"2009-05-21 01:00:00",119,1.166,777.1,0
"2009-05-21 01:30:00",120,1.171,777.1,0
"2009-05-21 02:00:00",121,1.168,777.1,0
"2009-05-21 02:30:00",122,1.168,777.2,0
"2009-05-21 03:00:00",123,1.169,777.2,0
"2009-05-21 03:30:00",124,1.171,777.2,0
"2009-05-21 04:00:00",125,1.168,777.2,0
"2009-05-21 04:30:00",126,1.17,777.3,0
