"TOA5","4342","CR1000","4342","CR1000.Std.10","CRD:apr08_dukerv2_T2.CR1","51102","Health"
"TIMESTAMP","RECORD","Batt_Volt_Max","Batt_Volt_Min","Batt_Volt_TMn","Batt_Volt_Avg","Panel_Temp_Max","Panel_Temp_TMx","Panel_Temp_Min","Panel_Temp_Avg"
"TS","RN","Volts","Volts","Volts","Volts","Deg C","Deg C","Deg C","Deg C"
"","","Max","Min","TMn","Avg","Max","TMx","Min","Avg"
"2009-05-19 00:00:00",0,13.97,13.48,"2009-05-19 00:00:00",13.8,5.14,"2009-05-18 16:27:30",-5.113,2.168
"2009-05-20 00:00:00",1,14.11,12.89,"2009-05-19 06:00:00",13.67,3.635,"2009-05-19 11:44:30",-7.083,-1.158
"2009-05-21 00:00:00",2,14.05,12.9,"2009-05-20 05:30:00",13.7,2.245,"2009-05-20 12:32:30",-5.592,-1.46
"2009-05-22 00:00:00",3,14.1,12.89,"2009-05-21 06:00:00",13.74,0.181,"2009-05-21 17:02:30",-6.313,-3.342
"2009-05-23 00:00:00",4,14.11,12.92,"2009-05-22 05:30:00",13.74,0.138,"2009-05-22 17:19:00",-7.171,-3.271
"2009-05-24 00:00:00",5,14.12,12.9,"2009-05-23 05:30:00",13.76,-0.095,"2009-05-23 18:09:00",-7.128,-3.431
"2009-05-25 00:00:00",6,14.11,12.94,"2009-05-24 05:30:00",13.71,2.096,"2009-05-24 18:01:30",-6.62,-1.503
"2009-05-26 00:00:00",7,13.96,12.9,"2009-05-25 05:30:00",13.63,7.729,"2009-05-25 18:02:00",-1.801,2.115
"2009-05-27 00:00:00",8,13.95,12.88,"2009-05-26 05:00:00",13.6,7.51,"2009-05-26 16:04:00",-0.904,3.147
"2009-05-28 00:00:00",9,14,12.81,"2009-05-27 05:30:00",13.62,7.006,"2009-05-27 11:38:30",-3.321,1.472
"2009-05-29 00:00:00",10,14.04,12.87,"2009-05-28 06:00:00",13.66,5.246,"2009-05-28 13:24:30",-5.352,-1.057
"2009-05-30 00:00:00",11,14.14,12.89,"2009-05-29 05:30:00",13.74,1.159,"2009-05-29 14:10:00",-7.993,-3.244
"2009-05-31 00:00:00",12,14.12,12.94,"2009-05-30 05:30:00",13.75,0.863,"2009-05-30 15:49:00",-7.261,-2.381
"2009-06-01 00:00:00",13,14.07,12.93,"2009-05-31 05:30:00",13.67,6.482,"2009-05-31 20:30:30",-6.139,0.31
"2009-06-02 00:00:00",14,13.89,12.87,"2009-06-01 05:30:00",13.54,9.79,"2009-06-01 18:59:30",-0.522,5.396
"2009-06-03 00:00:00",15,13.8,12.83,"2009-06-02 05:30:00",13.48,11.84,"2009-06-02 17:40:00",2.63,7.888
"2009-06-04 00:00:00",16,13.77,12.79,"2009-06-03 05:30:00",13.44,13.85,"2009-06-03 17:05:30",4.451,9.36
"2009-06-05 00:00:00",17,13.74,12.79,"2009-06-04 05:30:00",13.44,12.26,"2009-06-04 17:05:30",5.722,9.32
"2009-06-06 00:00:00",18,13.7,12.79,"2009-06-05 05:00:00",13.43,13.64,"2009-06-05 18:16:30",6.678,10.82
"2009-06-07 00:00:00",19,13.83,12.75,"2009-06-06 05:29:30",13.44,11.79,"2009-06-06 17:50:00",3.549,6.973
"2009-06-08 00:00:00",20,13.83,12.77,"2009-06-07 05:30:00",13.49,12.14,"2009-06-07 19:12:30",2.503,7.192
"2009-06-09 00:00:00",21,13.84,12.78,"2009-06-08 05:29:30",13.48,12.21,"2009-06-08 17:35:00",1.884,7.291
"2009-06-10 00:00:00",22,13.77,12.76,"2009-06-09 05:30:00",13.42,15.14,"2009-06-09 15:24:00",4.471,9.04
"2009-06-11 00:00:00",23,13.82,12.7,"2009-06-10 07:30:00",13.37,10.93,"2009-06-10 17:35:00",3.036,5.99
"2009-06-12 00:00:00",24,13.81,12.7,"2009-06-11 05:30:00",13.45,10.43,"2009-06-11 14:16:30",2.544,6.448
"2009-06-13 00:00:00",25,13.9,12.76,"2009-06-12 05:30:00",13.57,5.334,"2009-06-12 10:30:00",-1.887,2.816
"2009-06-14 00:00:00",26,14.01,12.82,"2009-06-13 05:30:00",13.67,2.758,"2009-06-13 15:37:00",-3.771,-0.45
"2009-06-15 00:00:00",27,13.99,12.84,"2009-06-14 06:00:00",13.59,5.397,"2009-06-14 17:14:30",-4.311,0.904
"2009-06-16 00:00:00",28,13.96,12.79,"2009-06-15 05:30:00",13.57,8.08,"2009-06-15 16:14:30",-2.935,2.543
"2009-06-17 00:00:00",29,13.93,12.74,"2009-06-16 06:00:00",13.57,4.751,"2009-06-16 17:27:00",-0.052,1.177
"2009-06-18 00:00:00",30,13.94,12.86,"2009-06-17 05:30:00",13.62,5.657,"2009-06-17 09:36:00",-1.758,2.079
"2009-06-19 00:00:00",31,14.02,12.83,"2009-06-18 05:30:00",13.65,2.971,"2009-06-18 15:56:00",-4.008,-0.194
"2009-06-20 00:00:00",32,14,12.89,"2009-06-19 05:30:00",13.63,5.68,"2009-06-19 16:36:00",-2.677,1.421
"2009-06-21 00:00:00",33,14,12.81,"2009-06-20 06:00:00",13.62,4.751,"2009-06-20 17:13:00",-3.622,0.603
"2009-06-22 00:00:00",34,14.01,12.85,"2009-06-21 05:30:00",13.64,4.665,"2009-06-21 18:11:00",-4.808,0.196
"2009-06-23 00:00:00",35,13.95,12.87,"2009-06-22 05:30:00",13.65,2.736,"2009-06-22 17:10:30",-2.526,0.311
"2009-06-24 00:00:00",36,14.03,12.77,"2009-06-23 07:00:00",13.63,2.311,"2009-06-23 17:21:00",-3.794,-1.255
"2009-06-25 00:00:00",37,14.07,12.87,"2009-06-24 05:30:00",13.66,4.665,"2009-06-24 18:01:30",-7.395,-0.389
