"TOA5","4342","CR1000","4342","CR1000.Std.10","CRD:apr08_dukerv2_T2.CR1","51102","HalfHour"
"TIMESTAMP","RECORD","DT","BP","Rain_mm_Tot"
"TS","RN","m","hPa(mb)","mm"
"","","Smp","Smp","Tot"
"2008-09-11 11:30:00",0,1.286,766.9,0
"2008-09-11 12:00:00",1,1.284,767.2,0
"2008-09-11 12:30:00",2,1.286,767.1,0
"2008-09-11 13:00:00",3,1.285,767.4,0
"2008-09-11 13:30:00",4,1.284,767.8,0
"2008-09-11 14:00:00",5,1.284,767.7,0
"2008-09-11 14:30:00",6,1.285,767.9,0
"2008-09-11 15:00:00",7,1.285,768,0
"2008-09-11 15:30:00",8,1.283,768.4,0
"2008-09-11 16:00:00",9,1.285,768.5,0
"2008-09-11 16:30:00",10,1.285,768.8,0
"2008-09-11 17:00:00",11,1.286,768.8,0
"2008-09-11 17:30:00",12,1.288,768.8,0
"2008-09-11 18:00:00",13,1.288,769,0
"2008-09-11 18:30:00",14,1.286,769.1,0
"2008-09-11 19:00:00",15,1.287,769.3,0
"2008-09-11 19:30:00",16,1.29,769.5,0
"2008-09-11 20:00:00",17,1.293,769.6,0
"2008-09-11 20:30:00",18,1.289,769.9,0
"2008-09-11 21:00:00",19,1.29,770.1,0
"2008-09-11 21:30:00",20,1.294,770.4,0
"2008-09-11 22:00:00",21,1.293,770.5,0
"2008-09-11 22:30:00",22,1.294,770.7,0
"2008-09-11 23:00:00",23,1.292,770.9,0
"2008-09-11 23:30:00",24,1.293,771.1,0
"2008-09-12 00:00:00",25,1.294,771.2,0
"2008-09-12 00:30:00",26,1.295,771.1,0
"2008-09-12 01:00:00",27,1.295,771.1,0
"2008-09-12 01:30:00",28,1.293,771.3,0
"2008-09-12 02:00:00",29,1.291,771.5,0
"2008-09-12 02:30:00",30,1.296,771.5,0
"2008-09-12 03:00:00",31,1.293,771.2,0
"2008-09-12 03:30:00",32,1.295,771.5,0
"2008-09-12 04:00:00",33,1.293,771.5,0
"2008-09-12 04:30:00",34,1.292,771.6,0
"2008-09-12 05:00:00",35,1.297,771.7,0
"2008-09-12 05:30:00",36,1.293,771.7,0
"2008-09-12 06:00:00",37,1.294,771.9,0
"2008-09-12 06:30:00",38,1.292,772,0
"2008-09-12 07:00:00",39,1.293,771.9,0
"2008-09-12 07:30:00",40,1.295,772.2,0
"2008-09-12 08:00:00",41,1.294,772.3,0
"2008-09-12 08:30:00",42,1.295,772.4,0
"2008-09-12 09:00:00",43,1.294,772.6,0
"2008-09-12 09:30:00",44,1.291,772.8,0
"2008-09-12 10:00:00",45,1.292,772.8,0
"2008-09-12 10:30:00",46,1.289,772.8,0
"2008-09-12 11:00:00",47,1.29,772.9,0
"2008-09-12 11:30:00",48,1.289,773,0
"2008-09-12 12:00:00",49,1.287,773.3,0
"2008-09-12 12:30:00",50,1.288,773.4,0
"2008-09-12 13:00:00",51,1.286,773.7,0
"2008-09-12 13:30:00",52,1.287,773.5,0
"2008-09-12 14:00:00",53,1.286,773.7,0
"2008-09-12 14:30:00",54,1.285,773.8,0
"2008-09-12 15:00:00",55,1.286,774,0
"2008-09-12 15:30:00",56,1.285,774,0
"2008-09-12 16:00:00",57,1.286,774.2,0
"2008-09-12 16:30:00",58,1.285,774.2,0
"2008-09-12 17:00:00",59,1.285,774.2,0
"2008-09-12 17:30:00",60,1.287,774.1,0
"2008-09-12 18:00:00",61,1.287,773.9,0
"2008-09-12 18:30:00",62,1.288,774,0
"2008-09-12 19:00:00",63,1.287,774,0
"2008-09-12 19:30:00",64,1.289,774.1,0
"2008-09-12 20:00:00",65,1.289,773.9,0
"2008-09-12 20:30:00",66,1.289,774,0
"2008-09-12 21:00:00",67,1.293,774,0
"2008-09-12 21:30:00",68,1.293,774.1,0
"2008-09-12 22:00:00",69,1.294,774,0
"2008-09-12 22:30:00",70,1.291,774.2,0
"2008-09-12 23:00:00",71,1.295,774.2,0
"2008-09-12 23:30:00",72,1.294,774.1,0
"2008-09-13 00:00:00",73,1.293,774.1,0
"2008-09-13 00:30:00",74,1.295,774.1,0
"2008-09-13 01:00:00",75,1.293,774.1,0
"2008-09-13 01:30:00",76,1.294,774.3,0
"2008-09-13 02:00:00",77,1.293,774.1,0
"2008-09-13 02:30:00",78,1.293,774,0
"2008-09-13 03:00:00",79,1.294,773.9,0
"2008-09-13 03:30:00",80,1.291,773.8,0
"2008-09-13 04:00:00",81,1.292,773.6,0
"2008-09-13 04:30:00",82,1.292,773.5,0
"2008-09-13 05:00:00",83,1.293,773.4,0
"2008-09-13 05:30:00",84,1.292,773.3,0
"2008-09-13 06:00:00",85,1.293,773.5,0
"2008-09-13 06:30:00",86,1.291,773.7,0
"2008-09-13 07:00:00",87,1.293,773.6,0
"2008-09-13 07:30:00",88,1.294,773.6,0
"2008-09-13 08:00:00",89,1.294,773.5,0
"2008-09-13 08:30:00",90,1.295,773.5,0
"2008-09-13 09:00:00",91,1.296,773.3,0
"2008-09-13 09:30:00",92,1.296,773.3,0
"2008-09-13 10:00:00",93,1.298,773.3,0
"2008-09-13 10:30:00",94,1.301,773.3,0.1
"2008-09-13 11:00:00",95,1.3,773.5,0
"2008-09-13 11:30:00",96,1.295,773.4,0
"2008-09-13 12:00:00",97,1.294,773.3,0
"2008-09-13 12:30:00",98,1.293,773.4,0
"2008-09-13 13:00:00",99,1.293,773.7,0
"2008-09-13 13:30:00",100,1.292,773.8,0
"2008-09-13 14:00:00",101,1.282,773.8,0
"2008-09-13 14:30:00",102,1.284,773.5,0
"2008-09-13 15:00:00",103,1.289,773.3,0
"2008-09-13 15:30:00",104,1.284,773.3,0
"2008-09-13 16:00:00",105,1.288,773.3,0
"2008-09-13 16:30:00",106,1.285,773.5,0
"2008-09-13 17:00:00",107,1.286,773.4,0
"2008-09-13 17:30:00",108,1.285,773.4,0
"2008-09-13 18:00:00",109,1.29,773.1,0
"2008-09-13 18:30:00",110,1.294,773,0
"2008-09-13 19:00:00",111,1.293,772.7,0
"2008-09-13 19:30:00",112,1.295,772.5,0
"2008-09-13 20:00:00",113,1.296,772.6,0
"2008-09-13 20:30:00",114,1.299,772.3,0
"2008-09-13 21:00:00",115,1.294,772.8,0
"2008-09-13 21:30:00",116,1.296,772.5,0
"2008-09-13 22:00:00",117,1.297,772.2,0
"2008-09-13 22:30:00",118,1.297,772.2,0
"2008-09-13 23:00:00",119,1.292,772.1,0
"2008-09-13 23:30:00",120,1.295,772,0
"2008-09-14 00:00:00",121,1.299,771.4,0
"2008-09-14 00:30:00",122,1.297,771.2,0
"2008-09-14 01:00:00",123,1.298,770.6,0
"2008-09-14 01:30:00",124,1.302,770.4,0
"2008-09-14 02:00:00",125,1.301,770.6,0
"2008-09-14 02:30:00",126,1.3,770.6,0
