"TOA5","4342","CR1000","4342","CR1000.Std.10","CRD:apr08_dukerv2_T2.CR1","51102","Health"
"TIMESTAMP","RECORD","Batt_Volt_Max","Batt_Volt_Min","Batt_Volt_TMn","Batt_Volt_Avg","Panel_Temp_Max","Panel_Temp_TMx","Panel_Temp_Min","Panel_Temp_Avg"
"TS","RN","Volts","Volts","Volts","Volts","Deg C","Deg C","Deg C","Deg C"
"","","Max","Min","TMn","Avg","Max","TMx","Min","Avg"
"2008-09-12 00:00:00",0,13.95,13.21,"2008-09-12 00:00:00",13.78,1.416,"2008-09-11 17:07:00",-4.853,-0.587
"2008-09-13 00:00:00",1,14.06,12.61,"2008-09-12 07:30:00",13.47,3.463,"2008-09-12 16:31:00",-5.743,-1.969
"2008-09-14 00:00:00",2,13.99,12.61,"2008-09-13 08:00:00",13.43,2.695,"2008-09-13 14:25:00",-4.182,-1.252
"2008-09-15 00:00:00",3,13.95,12.62,"2008-09-14 08:00:00",13.4,5.311,"2008-09-14 15:20:00",-4.16,0.704
"2008-09-16 00:00:00",4,14.04,12.59,"2008-09-15 08:00:00",13.45,1.97,"2008-09-15 13:30:00",-4.657,-1.376
"2008-09-17 00:00:00",5,13.95,12.62,"2008-09-16 08:00:00",13.43,1.181,"2008-09-16 15:12:00",-3.536,-0.631
"2008-09-18 00:00:00",6,13.94,12.61,"2008-09-17 08:00:00",13.41,3.698,"2008-09-17 16:40:30",-3.879,0.088
"2008-09-19 00:00:00",7,14.06,12.6,"2008-09-18 08:00:00",13.44,2.162,"2008-09-18 17:31:00",-4.765,-2.864
"2008-09-20 00:00:00",8,14.04,12.59,"2008-09-19 08:00:00",13.44,-0.755,"2008-09-19 17:27:00",-5.352,-3.027
"2008-09-21 00:00:00",9,14.12,12.56,"2008-09-20 08:00:00",13.49,-2.506,"2008-09-20 17:30:30",-8.08,-5.142
"2008-09-22 00:00:00",10,14.19,12.57,"2008-09-21 08:00:00",13.51,-1.01,"2008-09-21 13:22:30",-10.28,-6.38
"2008-09-23 00:00:00",11,14.16,12.58,"2008-09-22 08:00:00",13.51,0.585,"2008-09-22 13:35:00",-9.07,-6.28
"2008-09-24 00:00:00",12,14.13,12.59,"2008-09-23 08:00:00",13.5,-2.036,"2008-09-23 17:05:00",-8.78,-5.98
"2008-09-25 00:00:00",13,14.21,12.56,"2008-09-24 08:00:00",13.52,-3.127,"2008-09-24 17:07:30",-10.56,-7.062
"2008-09-26 00:00:00",14,14.14,12.58,"2008-09-25 08:00:00",13.51,-3.278,"2008-09-25 16:17:00",-8.06,-5.904
"2008-09-27 00:00:00",15,14.14,12.57,"2008-09-26 08:29:30",13.48,-2.655,"2008-09-26 15:20:00",-7.838,-5.901
"2008-09-28 00:00:00",16,14.13,12.56,"2008-09-27 08:30:00",13.48,-3.364,"2008-09-27 12:39:30",-8.38,-5.976
"2008-09-29 00:00:00",17,14.12,12.57,"2008-09-28 08:30:00",13.43,-4.096,"2008-09-28 14:39:30",-9.16,-6.108
"2008-09-30 00:00:00",18,14.19,12.55,"2008-09-29 08:30:00",13.45,-6.116,"2008-09-29 16:11:30",-9.66,-8.1
"2008-10-01 00:00:00",19,14.03,12.58,"2008-09-30 08:30:00",13.37,-1.417,"2008-09-30 16:47:30",-6.224,-3.533
"2008-10-02 00:00:00",20,14.05,12.58,"2008-10-01 08:30:00",13.39,-1.907,"2008-10-01 15:32:30",-5.307,-3.775
"2008-10-03 00:00:00",21,14.02,12.6,"2008-10-02 08:30:00",13.39,-0.99,"2008-10-02 22:55:30",-5.133,-2.77
"2008-10-04 00:00:00",22,14.1,12.6,"2008-10-03 09:00:00",13.38,-0.99,"2008-10-03 00:00:30",-9.41,-3.979
"2008-10-05 00:00:00",23,14.21,12.56,"2008-10-04 08:30:00",13.51,-6.335,"2008-10-04 14:49:00",-10.72,-8.75
"2008-10-06 00:00:00",24,14.24,12.55,"2008-10-05 08:30:00",13.52,-4.008,"2008-10-05 15:43:00",-12.08,-9.13
"2008-10-07 00:00:00",25,14.3,12.53,"2008-10-06 08:30:00",13.57,-8.89,"2008-10-06 13:05:30",-13.56,-11.5
"2008-10-08 00:00:00",26,14.27,12.56,"2008-10-07 08:30:00",13.57,-9.21,"2008-10-07 12:55:30",-13.22,-11.69
"2008-10-09 00:00:00",27,14.32,12.52,"2008-10-08 09:00:00",13.54,-7.727,"2008-10-08 14:33:00",-15.77,-12.39
"2008-10-10 00:00:00",28,14.33,12.54,"2008-10-09 09:00:00",13.57,-7.905,"2008-10-09 23:59:00",-16.05,-12.32
"2008-10-11 00:00:00",29,14.05,12.58,"2008-10-10 09:00:00",13.4,-0.373,"2008-10-10 15:07:00",-8.02,-4.491
"2008-10-12 00:00:00",30,14.09,12.56,"2008-10-11 09:00:00",13.4,-3.622,"2008-10-11 15:19:00",-7.815,-5.441
"2008-10-13 00:00:00",31,14.13,12.56,"2008-10-12 09:00:00",13.45,-5.09,"2008-10-12 15:47:00",-9.62,-7.194
"2008-10-14 00:00:00",32,14.23,12.53,"2008-10-13 09:00:00",13.48,-5.962,"2008-10-13 14:16:30",-11.35,-9.26
"2008-10-15 00:00:00",33,14.23,12.52,"2008-10-14 09:00:00",13.48,-7.304,"2008-10-14 18:46:00",-11.51,-9.37
"2008-10-16 00:00:00",34,14.18,12.54,"2008-10-15 09:00:00",13.42,-7.616,"2008-10-15 18:30:00",-9.05,-8.23
"2008-10-17 00:00:00",35,14.22,12.51,"2008-10-16 09:30:00",13.37,-5.657,"2008-10-16 16:19:30",-11.82,-9.69
"2008-10-18 00:00:00",36,14.24,12.52,"2008-10-17 09:30:00",13.46,-7.063,"2008-10-17 16:52:00",-12.6,-10.71
