"TOA5","4342","CR1000","4342","CR1000.Std.10","CRD:ins_jul0309_apr08_dukerv2_T2.CR1","51102","HalfHour"
"TIMESTAMP","RECORD","DT","BP","Rain_mm_Tot"
"TS","RN","m","hPa(mb)","mm"
"","","Smp","Smp","Tot"
"2009-08-04 12:00:00",0,1.277,785,0
"2009-08-04 12:30:00",1,1.283,784.9,0
"2009-08-04 13:00:00",2,1.277,784.9,0
"2009-08-04 13:30:00",3,1.273,784.8,0
"2009-08-04 14:00:00",4,1.274,784.8,0
"2009-08-04 14:30:00",5,1.278,784.4,0
"2009-08-04 15:00:00",6,1.279,784.4,0
"2009-08-04 15:30:00",7,1.277,784,0
"2009-08-04 16:00:00",8,1.281,783.9,0
"2009-08-04 16:30:00",9,1.283,783.9,0
"2009-08-04 17:00:00",10,1.281,783.7,0
"2009-08-04 17:30:00",11,1.283,783.7,0
"2009-08-04 18:00:00",12,1.282,783.4,0
"2009-08-04 18:30:00",13,1.278,783.7,0
"2009-08-04 19:00:00",14,1.282,783.4,0
"2009-08-04 19:30:00",15,1.281,783.2,0
"2009-08-04 20:00:00",16,1.283,782.9,0
"2009-08-04 20:30:00",17,1.284,783.1,0
"2009-08-04 21:00:00",18,1.285,782.7,0
"2009-08-04 21:30:00",19,1.286,782.7,0
"2009-08-04 22:00:00",20,1.288,782.7,0
"2009-08-04 22:30:00",21,1.288,782.5,0
"2009-08-04 23:00:00",22,1.288,782.6,0
"2009-08-04 23:30:00",23,1.287,782.3,0
"2009-08-05 00:00:00",24,1.29,782.2,0
"2009-08-05 00:30:00",25,1.289,781.9,0
"2009-08-05 01:00:00",26,1.29,781.7,0
"2009-08-05 01:30:00",27,1.291,781.7,0
"2009-08-05 02:00:00",28,1.292,781.5,0
"2009-08-05 02:30:00",29,1.289,781.5,0
"2009-08-05 03:00:00",30,1.286,781.3,0
"2009-08-05 03:30:00",31,1.284,781.1,0
"2009-08-05 04:00:00",32,1.285,781,0
"2009-08-05 04:30:00",33,1.286,780.9,0
"2009-08-05 05:00:00",34,1.286,780.9,0
"2009-08-05 05:30:00",35,1.284,780.7,0
"2009-08-05 06:00:00",36,1.284,780.6,0
"2009-08-05 06:30:00",37,1.286,780.5,0
"2009-08-05 07:00:00",38,1.285,780.3,0
"2009-08-05 07:30:00",39,1.285,780.2,0
"2009-08-05 08:00:00",40,1.284,780.3,0
"2009-08-05 08:30:00",41,1.281,780.3,0
"2009-08-05 09:00:00",42,1.281,780.2,0
"2009-08-05 09:30:00",43,1.28,780.1,0
"2009-08-05 10:00:00",44,1.279,780.1,0
"2009-08-05 10:30:00",45,1.274,780.1,0
"2009-08-05 11:00:00",46,1.28,779.9,0
"2009-08-05 11:30:00",47,1.275,779.8,0
"2009-08-05 12:00:00",48,1.275,779.6,0
"2009-08-05 12:30:00",49,1.28,779.6,0
"2009-08-05 13:00:00",50,1.272,779.5,0
"2009-08-05 13:30:00",51,1.27,779.4,0
"2009-08-05 14:00:00",52,1.268,779.3,0
"2009-08-05 14:30:00",53,1.276,779.3,0
"2009-08-05 15:00:00",54,1.275,779.2,0
"2009-08-05 15:30:00",55,1.272,779,0
"2009-08-05 16:00:00",56,1.275,779,0
"2009-08-05 16:30:00",57,1.276,778.8,0
"2009-08-05 17:00:00",58,1.271,778.4,0
"2009-08-05 17:30:00",59,1.274,778.3,0
"2009-08-05 18:00:00",60,1.275,778.2,0
"2009-08-05 18:30:00",61,1.274,778.1,0
"2009-08-05 19:00:00",62,1.276,777.8,0
"2009-08-05 19:30:00",63,1.278,777.7,0
"2009-08-05 20:00:00",64,1.278,777.6,0
"2009-08-05 20:30:00",65,1.282,777.5,0
"2009-08-05 21:00:00",66,1.283,777.3,0
"2009-08-05 21:30:00",67,1.284,777.5,0
"2009-08-05 22:00:00",68,1.284,777.5,0
"2009-08-05 22:30:00",69,1.285,777.3,0
"2009-08-05 23:00:00",70,1.285,777.2,0
"2009-08-05 23:30:00",71,1.286,777.2,0
"2009-08-06 00:00:00",72,1.285,777.1,0
"2009-08-06 00:30:00",73,1.286,776.9,0
"2009-08-06 01:00:00",74,1.286,776.9,0
"2009-08-06 01:30:00",75,1.288,776.7,0
"2009-08-06 02:00:00",76,1.288,776.3,0
"2009-08-06 02:30:00",77,1.289,776.2,0
"2009-08-06 03:00:00",78,1.287,776.1,0
"2009-08-06 03:30:00",79,1.288,775.9,0
"2009-08-06 04:00:00",80,1.288,775.8,0
"2009-08-06 04:30:00",81,1.287,775.6,0
"2009-08-06 05:00:00",82,1.288,775.8,0
"2009-08-06 05:30:00",83,1.29,775.6,0
"2009-08-06 06:00:00",84,1.289,775.5,0
"2009-08-06 06:30:00",85,1.289,775.5,0
"2009-08-06 07:00:00",86,1.288,775.6,0
"2009-08-06 07:30:00",87,1.289,775.8,0
"2009-08-06 08:00:00",88,1.287,775.6,0
"2009-08-06 08:30:00",89,1.286,775.7,0
"2009-08-06 09:00:00",90,1.285,775.7,0
"2009-08-06 09:30:00",91,1.285,775.7,0
"2009-08-06 10:00:00",92,1.284,775.7,0
"2009-08-06 10:30:00",93,1.282,775.6,0
"2009-08-06 11:00:00",94,1.28,775.7,0
"2009-08-06 11:30:00",95,1.284,775.4,0
"2009-08-06 12:00:00",96,1.28,775.6,0
"2009-08-06 12:30:00",97,1.28,775.6,0
"2009-08-06 13:00:00",98,1.281,775.6,0
"2009-08-06 13:30:00",99,1.28,775.6,0
"2009-08-06 14:00:00",100,1.282,775.3,0
"2009-08-06 14:30:00",101,1.282,775.4,0
"2009-08-06 15:00:00",102,1.276,775.4,0
"2009-08-06 15:30:00",103,1.28,775.3,0
"2009-08-06 16:00:00",104,1.279,775.4,0
"2009-08-06 16:30:00",105,1.284,775.2,0
"2009-08-06 17:00:00",106,1.28,775.2,0
"2009-08-06 17:30:00",107,1.281,774.7,0
"2009-08-06 18:00:00",108,1.284,774.6,0
"2009-08-06 18:30:00",109,1.287,774.6,0
"2009-08-06 19:00:00",110,1.285,774.4,0
"2009-08-06 19:30:00",111,1.287,774.2,0
"2009-08-06 20:00:00",112,1.289,774.5,0
"2009-08-06 20:30:00",113,1.29,774.5,0
"2009-08-06 21:00:00",114,1.291,774.6,0
"2009-08-06 21:30:00",115,1.29,774.6,0
"2009-08-06 22:00:00",116,1.291,774.5,0
"2009-08-06 22:30:00",117,1.291,774.4,0
"2009-08-06 23:00:00",118,1.294,774.6,0
"2009-08-06 23:30:00",119,1.295,774.5,0
"2009-08-07 00:00:00",120,1.293,774.5,0
"2009-08-07 00:30:00",121,1.291,774.4,0
"2009-08-07 01:00:00",122,1.292,774.6,0
"2009-08-07 01:30:00",123,1.294,774.6,0
"2009-08-07 02:00:00",124,1.294,774.5,0
"2009-08-07 02:30:00",125,1.294,774.3,0
