"TOA5","4342","CR1000","4342","CR1000.Std.10","CRD:ins_jul0309_apr08_dukerv2_T2.CR1","51102","Health"
"TIMESTAMP","RECORD","Batt_Volt_Max","Batt_Volt_Min","Batt_Volt_TMn","Batt_Volt_Avg","Panel_Temp_Max","Panel_Temp_TMx","Panel_Temp_Min","Panel_Temp_Avg"
"TS","RN","Volts","Volts","Volts","Volts","Deg C","Deg C","Deg C","Deg C"
"","","Max","Min","TMn","Avg","Max","TMx","Min","Avg"
"2009-08-05 00:00:00",0,13.67,13.17,"2009-08-05 00:00:00",13.58,11.06,"2009-08-04 15:25:30",4.945,9.66
"2009-08-06 00:00:00",1,13.7,12.64,"2009-08-05 07:00:00",13.31,14.06,"2009-08-05 13:46:30",3.122,8.93
"2009-08-07 00:00:00",2,13.74,12.64,"2009-08-06 06:30:00",13.34,11.38,"2009-08-06 13:10:00",4.213,7.748
"2009-08-08 00:00:00",3,13.82,12.63,"2009-08-07 07:00:00",13.37,7.641,"2009-08-07 15:14:00",2.395,4.487
"2009-08-09 00:00:00",4,13.83,12.59,"2009-08-08 07:30:00",13.34,6.524,"2009-08-08 16:53:00",2.076,4.124
"2009-08-10 00:00:00",5,13.85,12.61,"2009-08-09 07:00:00",13.4,7.049,"2009-08-09 14:09:30",1.118,4.13
"2009-08-11 00:00:00",6,13.99,12.62,"2009-08-10 06:30:00",13.51,2.865,"2009-08-10 17:26:30",-1.566,-0.077
"2009-08-12 00:00:00",7,13.96,12.62,"2009-08-11 06:30:00",13.52,2.758,"2009-08-11 18:09:30",-1.5,0.35
"2009-08-13 00:00:00",8,13.95,12.65,"2009-08-12 07:00:00",13.47,8.28,"2009-08-12 18:16:00",-2.463,2.337
"2009-08-14 00:00:00",9,13.93,12.64,"2009-08-13 07:00:00",13.45,6.134,"2009-08-13 16:40:30",-2.483,1.929
"2009-08-15 00:00:00",10,13.89,12.63,"2009-08-14 07:00:00",13.43,7.464,"2009-08-14 17:05:30",-0.052,3.304
"2009-08-16 00:00:00",11,13.85,12.63,"2009-08-15 07:00:00",13.36,10.63,"2009-08-15 18:10:30",2.544,5.515
"2009-08-17 00:00:00",12,13.88,12.6,"2009-08-16 07:00:00",13.39,8.17,"2009-08-16 16:17:00",1.159,3.85
"2009-08-18 00:00:00",13,13.85,12.61,"2009-08-17 07:30:00",13.4,6.351,"2009-08-17 15:45:30",0.797,3.357
"2009-08-19 00:00:00",14,13.88,12.62,"2009-08-18 07:00:00",13.39,7.97,"2009-08-18 16:04:30",-0.798,3.394
"2009-08-20 00:00:00",15,13.97,12.58,"2009-08-19 07:00:00",13.43,5.311,"2009-08-19 16:02:30",-2.655,1.234
"2009-08-21 00:00:00",16,13.94,12.57,"2009-08-20 07:30:00",13.38,2.139,"2009-08-20 14:57:00",-1.48,0.421
"2009-08-22 00:00:00",17,13.87,12.62,"2009-08-21 07:00:00",13.36,8.99,"2009-08-21 14:26:30",0.714,3.718
"2009-08-23 00:00:00",18,13.84,12.59,"2009-08-22 07:30:00",13.28,10,"2009-08-22 16:50:30",2.736,4.579
"2009-08-24 00:00:00",19,13.89,12.6,"2009-08-23 07:30:00",13.41,5.591,"2009-08-23 13:17:30",-1.331,2.437
"2009-08-25 00:00:00",20,13.98,12.6,"2009-08-24 07:30:00",13.47,0.989,"2009-08-24 11:57:00",-2.4,-1.142
"2009-08-26 00:00:00",21,14.01,12.62,"2009-08-25 07:30:00",13.51,1.649,"2009-08-25 19:33:30",-3.084,-0.897
"2009-08-27 00:00:00",22,14.01,12.6,"2009-08-26 07:30:00",13.48,2.971,"2009-08-26 14:22:00",-2.806,-0.315
"2009-08-28 00:00:00",23,13.99,12.61,"2009-08-27 07:30:00",13.48,0.648,"2009-08-27 11:30:00",-1.715,-0.907
"2009-08-29 00:00:00",24,13.96,12.59,"2009-08-28 07:30:00",13.44,1.99,"2009-08-28 16:29:00",-1.566,-0.072
"2009-08-30 00:00:00",25,13.94,12.58,"2009-08-29 07:30:00",13.44,1.267,"2009-08-29 17:31:30",-0.712,0.075
"2009-08-31 00:00:00",26,13.96,12.56,"2009-08-30 08:00:00",13.38,5.16,"2009-08-30 16:31:30",-2.013,0.52
"2009-09-01 00:00:00",27,13.88,12.61,"2009-08-31 07:30:00",13.38,7.993,"2009-08-31 16:37:00",-0.224,3.543
"2009-09-02 00:00:00",28,13.86,12.6,"2009-09-01 07:30:00",13.36,8.35,"2009-09-01 16:21:00",0.777,4.58
"2009-09-03 00:00:00",29,13.81,12.61,"2009-09-02 07:30:00",13.35,8.26,"2009-09-02 12:35:30",0.458,4.182
"2009-09-04 00:00:00",30,13.94,12.58,"2009-09-03 07:30:00",13.35,5.16,"2009-09-03 14:40:00",-1.268,1.489
"2009-09-05 00:00:00",31,13.94,12.56,"2009-09-04 08:00:00",13.32,1.159,"2009-09-04 15:11:30",-0.671,0.069
"2009-09-06 00:00:00",32,13.95,12.57,"2009-09-05 07:30:00",13.39,3.099,"2009-09-05 16:09:30",-0.884,0.839
"2009-09-07 00:00:00",33,13.9,12.6,"2009-09-06 08:00:00",13.37,7.993,"2009-09-06 17:37:00",0.031,2.829
"2009-09-08 00:00:00",34,13.89,12.58,"2009-09-07 08:00:00",13.35,6.177,"2009-09-07 13:27:00",-0.841,2.188
"2009-09-09 00:00:00",35,13.95,12.57,"2009-09-08 07:30:00",13.39,4.557,"2009-09-08 17:12:30",-2.036,0.828
"2009-09-10 00:00:00",36,13.99,12.56,"2009-09-09 08:00:00",13.43,1.351,"2009-09-09 13:07:00",-2.506,-0.645
"2009-09-11 00:00:00",37,13.99,12.56,"2009-09-10 09:00:00",13.37,-1.245,"2009-09-10 00:00:30",-2.892,-1.853
