"TOA5","4342","CR1000","4342","CR1000.Std.10","CRD:Duke_River_May2011.CR1","51102","FiveMin"
"TIMESTAMP","RECORD","WS_ms_S_WVT","WindDir_D1_WVT","WindDir_SD1_WVT","WS_ms_Max","AirTC_Avg","NR_Wm2_Avg","RH_Avg"
"TS","RN","meters/second","Deg","Deg","meters/second","Deg C","W/m²","%"
"","","WVc","WVc","WVc","Max","Avg","Avg","Avg"
"2011-05-14 11:35:00",0,0.469,146.5,8.02,0.706,-3.558,73.84,98.1
"2011-05-14 11:40:00",1,0.526,152.9,40.68,2.623,-3.99,83.6,94.5
"2011-05-14 11:45:00",2,0.592,102.6,22.88,1.297,-4.169,77.59,95.6
"2011-05-14 11:50:00",3,0.356,99,6.815,0.787,-4.464,87.6,95.6
"2011-05-14 11:55:00",4,0.208,73.76,10.53,0.644,-3.455,87.2,98
"2011-05-14 12:00:00",5,0.238,94.8,24.39,0.738,-3.431,92.3,96.8
"2011-05-14 12:05:00",6,0.845,83.9,22.82,1.865,-3.762,88.1,94.9
"2011-05-14 12:10:00",7,0.776,97.4,23.97,1.578,-5.011,84.7,93.6
"2011-05-14 12:15:00",8,0.389,74.3,11.95,0.924,-4.719,102.5,95.9
"2011-05-14 12:20:00",9,0.646,53.29,14.19,1.437,-4.741,96.2,95.3
"2011-05-14 12:25:00",10,0.081,64.36,65.36,0.304,-4.142,107.3,98.1
"2011-05-14 12:30:00",11,0.459,145.4,29.04,1.584,-2.688,103.5,99.8
"2011-05-14 12:35:00",12,0.704,107.7,20.64,0.951,-3.34,107.6,95.1
"2011-05-14 12:40:00",13,1.275,101.9,31.23,2.293,-4.633,89.8,91.7
"2011-05-14 12:45:00",14,1.868,99.3,18.58,3.316,-6.026,97.7,90.6
"2011-05-14 12:50:00",15,2.145,99.9,22.24,2.999,-6.663,111.9,92.3
"2011-05-14 12:55:00",16,1.166,123.3,18.87,2.205,-6.336,109.4,94.9
"2011-05-14 13:00:00",17,1.336,83.9,14.75,1.761,-5.911,90.5,94.1
"2011-05-14 13:05:00",18,1.158,73.6,22.8,2.035,-6.259,103.1,92.8
"2011-05-14 13:10:00",19,1.437,148.6,30.12,4.005,-5.259,121.4,95.8
"2011-05-14 13:15:00",20,2.526,152.2,22.65,3.74,-5.439,145.6,93.3
"2011-05-14 13:20:00",21,1.452,144.5,35.01,2.251,-5.108,123.3,94.5
"2011-05-14 13:25:00",22,2.817,119,12.45,3.701,-5.743,119.6,91.4
"2011-05-14 13:30:00",23,3.21,127.6,12.26,3.933,-6.756,131.3,92.4
"2011-05-14 13:35:00",24,3.507,122.2,11.88,4.083,-7.008,124.3,93.3
"2011-05-14 13:40:00",25,2.874,110.2,25.62,3.721,-7.041,98.7,94.2
"2011-05-14 13:45:00",26,3.03,128.1,14.81,4.511,-6.944,113.4,94.3
"2011-05-14 13:50:00",27,3.998,132.6,15.9,4.521,-6.947,173.3,93.9
"2011-05-14 13:55:00",28,4.228,128.8,11.47,5.269,-7.048,158.6,93.7
"2011-05-14 14:00:00",29,4.869,131.5,7.252,5.348,-7.041,155.4,93.7
"2011-05-14 14:05:00",30,5.174,128,8.92,5.726,-7.089,159.7,93.8
"2011-05-14 14:10:00",31,5.493,132.1,5.648,6.517,-7.162,135.8,94
"2011-05-14 14:15:00",32,5.58,127.5,6.879,5.998,-7.192,156.9,93.8
"2011-05-14 14:20:00",33,5.762,126.4,7.031,6.834,-7.253,153.3,93.7
"2011-05-14 14:25:00",34,5.076,131,5.806,5.726,-7.125,162.1,94
"2011-05-14 14:30:00",35,4.39,123.9,6.185,5.132,-7.044,169.2,93.4
"2011-05-14 14:35:00",36,4.665,127.1,5.794,5.25,-7.128,134.9,93.3
"2011-05-14 14:40:00",37,4.071,128,6.784,4.828,-7.135,131.7,93.6
"2011-05-14 14:45:00",38,4.18,131.5,7.483,5.204,-7.037,130.5,93.4
"2011-05-14 14:50:00",39,3.182,137.9,12.33,3.701,-6.638,159,93.3
"2011-05-14 14:55:00",40,4.08,122.6,8.75,4.9,-6.8,154.9,92
"2011-05-14 15:00:00",41,3.636,128.4,6.682,4.554,-6.917,154.7,92.4
"2011-05-14 15:05:00",42,3.472,131.1,9.44,4.524,-6.877,156.5,92.3
"2011-05-14 15:10:00",43,2.923,148,9.79,3.469,-6.569,135,92.6
"2011-05-14 15:15:00",44,2.798,157,11.2,3.107,-5.684,157.3,94.1
"2011-05-14 15:20:00",45,3.307,136.8,9.65,4.028,-5.946,156.4,89.3
