"TOA5","4342","CR1000","4342","CR1000.Std.10","CRD:Duke_River_May2011.CR1","51102","HalfHour"
"TIMESTAMP","RECORD","DT","BP","Rain_mm_Tot"
"TS","RN","m","hPa(mb)","mm"
"","","Smp","Smp","Tot"
"2011-05-14 12:00:00",0,0.77,773.7,0.7
"2011-05-14 12:30:00",1,0.769,773.5,0.9
"2011-05-14 13:00:00",2,0.77,773.4,0.4
"2011-05-14 13:30:00",3,0.77,773,0.4
"2011-05-14 14:00:00",4,0.771,772.6,0.2
"2011-05-14 14:30:00",5,0.771,772.5,0
"2011-05-14 15:00:00",6,0.771,772.4,0
"2011-05-14 15:30:00",7,0.771,772.2,0
"2011-05-14 16:00:00",8,0.771,772.1,0
"2011-05-14 16:30:00",9,0.771,771.9,0
"2011-05-14 17:00:00",10,0.771,771.7,0
"2011-05-14 17:30:00",11,0.772,771.5,0
"2011-05-14 18:00:00",12,0.772,771.3,0
"2011-05-14 18:30:00",13,0.772,771.2,0
"2011-05-14 19:00:00",14,0.774,771.1,0
"2011-05-14 19:30:00",15,0.773,770.8,0
"2011-05-14 20:00:00",16,0.775,770.7,0
"2011-05-14 20:30:00",17,0.774,770.5,0
"2011-05-14 21:00:00",18,0.778,770.3,0
"2011-05-14 21:30:00",19,0.775,770.3,0
"2011-05-14 22:00:00",20,0.778,770.1,0
"2011-05-14 22:30:00",21,0.777,770,0
"2011-05-14 23:00:00",22,0.778,769.9,0
"2011-05-14 23:30:00",23,0.778,769.8,0
"2011-05-15 00:00:00",24,0.778,769.6,0
"2011-05-15 00:30:00",25,0.778,769.6,0
"2011-05-15 01:00:00",26,0.779,769.3,0
"2011-05-15 01:30:00",27,0.778,769.1,0
"2011-05-15 02:00:00",28,0.778,769,0
"2011-05-15 02:30:00",29,0.778,768.9,0
"2011-05-15 03:00:00",30,0.779,768.6,0
"2011-05-15 03:30:00",31,0.779,768.5,0
"2011-05-15 04:00:00",32,0.78,768.2,0
"2011-05-15 04:30:00",33,0.78,768.1,0
"2011-05-15 05:00:00",34,0.781,767.8,0
"2011-05-15 05:30:00",35,0.781,767.6,0
"2011-05-15 06:00:00",36,0.782,767.4,0
"2011-05-15 06:30:00",37,0.781,767.2,0
"2011-05-15 07:00:00",38,0.781,767.1,0
"2011-05-15 07:30:00",39,0.779,767,0
"2011-05-15 08:00:00",40,0.78,766.9,0
"2011-05-15 08:30:00",41,0.779,766.7,0
"2011-05-15 09:00:00",42,0.779,766.7,0.1
"2011-05-15 09:30:00",43,0.78,766.6,0
"2011-05-15 10:00:00",44,0.778,766.4,0
"2011-05-15 10:30:00",45,0.777,766.3,0.2
"2011-05-15 11:00:00",46,0.776,766.1,0.5
"2011-05-15 11:30:00",47,0.777,765.8,0.5
"2011-05-15 12:00:00",48,0.776,765.7,0.4
"2011-05-15 12:30:00",49,0.777,765.4,0
"2011-05-15 13:00:00",50,0.777,765.2,0
"2011-05-15 13:30:00",51,0.777,765.1,0
"2011-05-15 14:00:00",52,0.778,765,0
"2011-05-15 14:30:00",53,0.778,765,0
"2011-05-15 15:00:00",54,0.778,764.9,0
"2011-05-15 15:30:00",55,0.779,764.7,0
"2011-05-15 16:00:00",56,0.779,764.6,0
"2011-05-15 16:30:00",57,0.778,764.6,0
"2011-05-15 17:00:00",58,0.778,764.4,0
"2011-05-15 17:30:00",59,0.779,764.3,0
"2011-05-15 18:00:00",60,0.779,764.2,0
"2011-05-15 18:30:00",61,0.778,764.1,0
"2011-05-15 19:00:00",62,0.781,764.1,0
"2011-05-15 19:30:00",63,0.782,763.9,0
"2011-05-15 20:00:00",64,0.783,763.7,0
"2011-05-15 20:30:00",65,0.781,763.7,0
"2011-05-15 21:00:00",66,0.783,763.6,0
"2011-05-15 21:30:00",67,0.787,763.7,0
"2011-05-15 22:00:00",68,0.784,763.6,0
"2011-05-15 22:30:00",69,0.783,763.4,0
"2011-05-15 23:00:00",70,0.786,763.4,0
"2011-05-15 23:30:00",71,0.788,763.1,0
"2011-05-16 00:00:00",72,0.784,763,0
"2011-05-16 00:30:00",73,0.786,762.7,0
"2011-05-16 01:00:00",74,0.783,762.5,0
"2011-05-16 01:30:00",75,0.788,762.1,0
"2011-05-16 02:00:00",76,0.781,761.9,0
"2011-05-16 02:30:00",77,0.785,761.7,0
"2011-05-16 03:00:00",78,0.782,761.6,0
"2011-05-16 03:30:00",79,0.781,761.5,0
"2011-05-16 04:00:00",80,0.782,761.2,0
"2011-05-16 04:30:00",81,0.788,761.2,0
"2011-05-16 05:00:00",82,0.784,760.9,0
"2011-05-16 05:30:00",83,0.785,761,0
"2011-05-16 06:00:00",84,0.786,761,0
"2011-05-16 06:30:00",85,0.792,760.8,0
"2011-05-16 07:00:00",86,0.786,760.8,0
"2011-05-16 07:30:00",87,0.787,760.6,0
"2011-05-16 08:00:00",88,0.785,760.6,0
"2011-05-16 08:30:00",89,0.787,760.4,0
"2011-05-16 09:00:00",90,0.786,760.3,0
"2011-05-16 09:30:00",91,0.786,760.3,0
"2011-05-16 10:00:00",92,0.785,760.2,0
"2011-05-16 10:30:00",93,0.784,760.4,0
"2011-05-16 11:00:00",94,0.785,760.4,0
"2011-05-16 11:30:00",95,0.785,760.6,0
"2011-05-16 12:00:00",96,0.786,760.3,0
"2011-05-16 12:30:00",97,0.785,760.9,0
"2011-05-16 13:00:00",98,0.785,760.9,0
"2011-05-16 13:30:00",99,0.786,760.8,0
"2011-05-16 14:00:00",100,0.784,761.2,0
"2011-05-16 14:30:00",101,0.784,761.3,0.1
"2011-05-16 15:00:00",102,0.785,761.4,0
"2011-05-16 15:30:00",103,0.785,761.7,0
"2011-05-16 16:00:00",104,0.785,761.8,0
"2011-05-16 16:30:00",105,0.786,762.2,0
"2011-05-16 17:00:00",106,0.785,762.5,0
"2011-05-16 17:30:00",107,0.785,762.5,0
"2011-05-16 18:00:00",108,0.785,762.9,0
"2011-05-16 18:30:00",109,0.785,763,0
"2011-05-16 19:00:00",110,0.785,763.1,0
"2011-05-16 19:30:00",111,0.785,763.1,0
"2011-05-16 20:00:00",112,0.787,763.2,0
"2011-05-16 20:30:00",113,0.787,763.7,0
"2011-05-16 21:00:00",114,0.788,763.7,0
"2011-05-16 21:30:00",115,0.787,763.9,0
"2011-05-16 22:00:00",116,0.789,764.4,0
"2011-05-16 22:30:00",117,0.789,764.4,0
"2011-05-16 23:00:00",118,0.792,764.5,0
"2011-05-16 23:30:00",119,0.789,764.7,0
"2011-05-17 00:00:00",120,0.793,764.9,0
"2011-05-17 00:30:00",121,0.791,765.1,0
"2011-05-17 01:00:00",122,0.791,764.9,0
"2011-05-17 01:30:00",123,0.789,765.2,0
"2011-05-17 02:00:00",124,0.791,765.2,0
"2011-05-17 02:30:00",125,0.789,765.5,0
