"TOA5","4342","CR1000","4342","CR1000.Std.10","CRD:Duke_River_May2011.CR1","51102","Health"
"TIMESTAMP","RECORD","Batt_Volt_Max","Batt_Volt_Min","Batt_Volt_TMn","Batt_Volt_Avg","Panel_Temp_Max","Panel_Temp_TMx","Panel_Temp_Min","Panel_Temp_Avg"
"TS","RN","Volts","Volts","Volts","Volts","Deg C","Deg C","Deg C","Deg C"
"","","Max","Min","TMn","Avg","Max","TMx","Min","Avg"
"2011-05-15 00:00:00",0,14.13,13.53,"2011-05-15 00:00:00",13.97,1.032,"2011-05-14 12:41:00",-10.14,-3.821
"2011-05-16 00:00:00",1,14.26,12.87,"2011-05-15 06:00:00",13.75,0.757,"2011-05-15 17:26:30",-11.84,-5.403
"2011-05-17 00:00:00",2,14.17,12.86,"2011-05-16 06:00:00",13.73,0.84,"2011-05-16 18:45:30",-8.82,-3.899
"2011-05-18 00:00:00",3,14.09,12.82,"2011-05-17 06:00:00",13.66,3.655,"2011-05-17 17:09:30",-6.159,-1.154
"2011-05-19 00:00:00",4,13.95,12.82,"2011-05-18 06:00:00",13.66,1.947,"2011-05-18 14:40:00",-1.139,0.556
"2011-05-20 00:00:00",5,14.01,12.8,"2011-05-19 06:00:00",13.66,-0.734,"2011-05-19 12:59:30",-3.965,-2.047
"2011-05-21 00:00:00",6,14.06,12.67,"2011-05-20 07:00:00",13.57,0.585,"2011-05-20 18:28:30",-5.678,-2.766
"2011-05-22 00:00:00",7,14.05,12.8,"2011-05-21 06:00:00",13.68,1.159,"2011-05-21 14:41:30",-4.44,-1.366
"2011-05-23 00:00:00",8,14.03,12.84,"2011-05-22 05:30:00",13.68,1.947,"2011-05-22 17:52:00",-3.364,-1.27
"2011-05-24 00:00:00",9,14.12,12.85,"2011-05-23 05:30:00",13.68,4.17,"2011-05-23 15:59:00",-6.511,-1.007
"2011-05-25 00:00:00",10,13.96,12.83,"2011-05-24 06:00:00",13.64,3.784,"2011-05-24 16:13:30",-0.99,1.102
"2011-05-26 00:00:00",11,13.98,12.84,"2011-05-25 05:30:00",13.68,1.416,"2011-05-25 12:08:00",-1.844,-0.034
"2011-05-27 00:00:00",12,14.02,12.85,"2011-05-26 05:30:00",13.63,7.817,"2011-05-26 19:08:30",-3.599,1.876
"2011-05-28 00:00:00",13,13.85,12.79,"2011-05-27 06:00:00",13.55,9.55,"2011-05-27 15:08:30",2.033,4.49
"2011-05-29 00:00:00",14,13.87,12.81,"2011-05-28 05:30:00",13.53,8.81,"2011-05-28 13:14:00",0.863,5.546
"2011-05-30 00:00:00",15,13.89,12.76,"2011-05-29 05:30:00",13.49,11.08,"2011-05-29 12:29:00",0.011,6.045
"2011-05-31 00:00:00",16,13.87,12.73,"2011-05-30 05:30:00",13.52,11.27,"2011-05-30 17:21:30",1.373,5.127
"2011-06-01 00:00:00",17,13.81,12.75,"2011-05-31 05:30:00",13.48,10.99,"2011-05-31 15:55:00",2.95,7.047
"2011-06-02 00:00:00",18,13.86,12.74,"2011-06-01 05:30:00",13.5,10.16,"2011-06-01 11:48:00",1.755,6.053
"2011-06-03 00:00:00",19,13.87,12.74,"2011-06-02 05:30:00",13.56,6.048,"2011-06-02 13:03:00",2.076,4.091
"2011-06-04 00:00:00",20,13.92,12.74,"2011-06-03 06:00:00",13.57,5.743,"2011-06-03 16:21:30",0.16,2.828
"2011-06-05 00:00:00",21,14.02,12.79,"2011-06-04 05:30:00",13.67,4.471,"2011-06-04 14:31:00",-3.556,0.126
"2011-06-06 00:00:00",22,13.99,12.86,"2011-06-05 05:30:00",13.65,5.982,"2011-06-05 11:47:30",-2.526,0.625
"2011-06-07 00:00:00",23,14.02,12.84,"2011-06-06 05:30:00",13.68,3.592,"2011-06-06 15:00:30",-3.278,-0.394
"2011-06-08 00:00:00",24,14.02,12.87,"2011-06-07 05:30:00",13.63,7.399,"2011-06-07 18:16:30",-4.16,2.218
"2011-06-09 00:00:00",25,13.91,12.78,"2011-06-08 06:00:00",13.59,8.39,"2011-06-08 11:46:30",-0.585,3.168
"2011-06-10 00:00:00",26,13.97,12.78,"2011-06-09 06:00:00",13.62,10.02,"2011-06-09 14:42:00",-1.844,1.328
"2011-06-11 00:00:00",27,13.99,12.87,"2011-06-10 05:30:00",13.64,8.68,"2011-06-10 16:03:00",-1.821,1.643
"2011-06-12 00:00:00",28,13.96,12.79,"2011-06-11 05:30:00",13.64,5.074,"2011-06-11 12:02:00",-2.912,1.167
"2011-06-13 00:00:00",29,14.07,12.89,"2011-06-12 05:00:00",13.68,3.314,"2011-06-12 14:44:00",-5.113,0.092
"2011-06-14 00:00:00",30,14.04,12.89,"2011-06-13 05:30:00",13.66,5.808,"2011-06-13 10:43:30",-4.505,0.753
"2011-06-15 00:00:00",31,14.02,12.88,"2011-06-14 05:30:00",13.67,5.031,"2011-06-14 18:40:00",-4.031,0.714
"2011-06-16 00:00:00",32,14.06,12.9,"2011-06-15 05:00:00",13.71,3.228,"2011-06-15 17:55:00",-4.657,-0.176
"2011-06-17 00:00:00",33,14.03,12.93,"2011-06-16 05:00:00",13.71,3.185,"2011-06-16 19:59:00",-3.965,-0.293
"2011-06-18 00:00:00",34,14.06,12.91,"2011-06-17 05:00:00",13.68,5.548,"2011-06-17 19:53:30",-5.504,0.611
"2011-06-19 00:00:00",35,13.96,12.87,"2011-06-18 05:30:00",13.62,7.774,"2011-06-18 13:13:00",-1.864,2.1
"2011-06-20 00:00:00",36,13.94,12.82,"2011-06-19 05:30:00",13.6,6.134,"2011-06-19 13:11:30",-0.181,2.295
"2011-06-21 00:00:00",37,13.96,12.79,"2011-06-20 05:30:00",13.6,6.635,"2011-06-20 12:12:30",-1.692,2.651
