"TOA5","4342","CR1000","4342","CR1000.Std.10","CRD:Duke_River_September2011.CR1","36023","HalfHour"
"TIMESTAMP","RECORD","DT","BP","Rain_mm_Tot"
"TS","RN","m","hPa(mb)","mm"
"","","Smp","Smp","Tot"
"2011-09-08 15:00:00",0,1.297,776.1,0
"2011-09-08 15:30:00",1,1.296,775.7,0
"2011-09-08 16:00:00",2,1.295,775.6,0
"2011-09-08 16:30:00",3,1.298,775.3,0
"2011-09-08 17:00:00",4,1.301,775,0
"2011-09-08 17:30:00",5,1.298,774.9,0
"2011-09-08 18:00:00",6,1.299,774.8,0
"2011-09-08 18:30:00",7,1.298,774.4,0
"2011-09-08 19:00:00",8,1.3,773.9,0
"2011-09-08 19:30:00",9,1.299,773.7,0
"2011-09-08 20:00:00",10,1.299,773.7,0
"2011-09-08 20:30:00",11,1.299,773.7,0
"2011-09-08 21:00:00",12,1.299,773.5,0
"2011-09-08 21:30:00",13,1.299,773.1,0
"2011-09-08 22:00:00",14,1.3,772.5,0
"2011-09-08 22:30:00",15,1.302,772,0
"2011-09-08 23:00:00",16,1.301,771.6,0
"2011-09-08 23:30:00",17,1.3,771.3,0
"2011-09-09 00:00:00",18,1.3,771,0
"2011-09-09 00:30:00",19,1.3,770.9,0
"2011-09-09 01:00:00",20,1.299,770.9,0
"2011-09-09 01:30:00",21,1.299,770.9,0
"2011-09-09 02:00:00",22,1.306,770.6,0
"2011-09-09 02:30:00",23,1.306,770.2,0
"2011-09-09 03:00:00",24,1.305,770.5,0
"2011-09-09 03:30:00",25,1.299,770.4,0
"2011-09-09 04:00:00",26,1.284,770.4,0
"2011-09-09 04:30:00",27,1.28,770.4,0
"2011-09-09 05:00:00",28,1.28,770.3,0
"2011-09-09 05:30:00",29,1.279,770.4,0
"2011-09-09 06:00:00",30,1.278,770.6,0
"2011-09-09 06:30:00",31,1.279,770.8,0
"2011-09-09 07:00:00",32,1.279,771.1,0
"2011-09-09 07:30:00",33,1.276,771.5,0
"2011-09-09 08:00:00",34,1.277,771.7,0
"2011-09-09 08:30:00",35,1.273,771.8,0
"2011-09-09 09:00:00",36,1.276,771.9,0
"2011-09-09 09:30:00",37,1.276,772,0
"2011-09-09 10:00:00",38,1.273,772.1,0
"2011-09-09 10:30:00",39,1.274,772.5,0
"2011-09-09 11:00:00",40,1.273,772.8,0
"2011-09-09 11:30:00",41,1.274,773.2,0.7
"2011-09-09 12:00:00",42,1.274,773.6,1.2
"2011-09-09 12:30:00",43,1.279,773.9,0.4
"2011-09-09 13:00:00",44,1.278,774.1,0.1
"2011-09-09 13:30:00",45,1.276,774.4,0
"2011-09-09 14:00:00",46,1.278,774.8,0
"2011-09-09 14:30:00",47,1.278,775,0
"2011-09-09 15:00:00",48,1.279,775.2,0
"2011-09-09 15:30:00",49,1.282,775.6,0
"2011-09-09 16:00:00",50,1.282,775.7,0
"2011-09-09 16:30:00",51,1.283,775.9,0
"2011-09-09 17:00:00",52,1.282,776,0
"2011-09-09 17:30:00",53,1.276,776,0
"2011-09-09 18:00:00",54,1.281,776,0
"2011-09-09 18:30:00",55,1.282,776.2,0
"2011-09-09 19:00:00",56,1.282,776.5,0
"2011-09-09 19:30:00",57,1.28,776.3,0
"2011-09-09 20:00:00",58,1.279,776.6,0
"2011-09-09 20:30:00",59,1.283,776.7,0
"2011-09-09 21:00:00",60,1.282,776.8,0
"2011-09-09 21:30:00",61,1.287,777.1,0
"2011-09-09 22:00:00",62,1.29,777.4,0
"2011-09-09 22:30:00",63,1.291,777.5,0
"2011-09-09 23:00:00",64,1.291,777.7,0
"2011-09-09 23:30:00",65,1.292,777.9,0
"2011-09-10 00:00:00",66,1.292,778,0
"2011-09-10 00:30:00",67,1.289,778.1,0
"2011-09-10 01:00:00",68,1.292,778.3,0
"2011-09-10 01:30:00",69,1.293,778.3,0
"2011-09-10 02:00:00",70,1.295,778.5,0
"2011-09-10 02:30:00",71,1.297,778.6,0
"2011-09-10 03:00:00",72,1.3,778.6,0
"2011-09-10 03:30:00",73,1.298,778.5,0
"2011-09-10 04:00:00",74,1.296,778.5,0
"2011-09-10 04:30:00",75,1.295,778.5,0
"2011-09-10 05:00:00",76,1.289,778.6,0
"2011-09-10 05:30:00",77,1.292,778.6,0
"2011-09-10 06:00:00",78,1.292,778.7,0
"2011-09-10 06:30:00",79,1.293,778.7,0
"2011-09-10 07:00:00",80,1.293,778.7,0
"2011-09-10 07:30:00",81,1.291,778.8,0
"2011-09-10 08:00:00",82,1.288,778.9,0
"2011-09-10 08:30:00",83,1.291,779,0
"2011-09-10 09:00:00",84,1.288,779,0
"2011-09-10 09:30:00",85,1.292,779.1,0
"2011-09-10 10:00:00",86,1.289,779.2,0
"2011-09-10 10:30:00",87,1.288,779.4,0
"2011-09-10 11:00:00",88,1.289,779.5,0
"2011-09-10 11:30:00",89,1.289,779.7,0
"2011-09-10 12:00:00",90,1.287,779.8,0
"2011-09-10 12:30:00",91,1.287,779.9,0
"2011-09-10 13:00:00",92,1.288,779.9,0
"2011-09-10 13:30:00",93,1.292,780,0
"2011-09-10 14:00:00",94,1.29,780,0
"2011-09-10 14:30:00",95,1.296,780,0
"2011-09-10 15:00:00",96,1.296,780.2,0
"2011-09-10 15:30:00",97,1.294,780.3,0
"2011-09-10 16:00:00",98,1.294,780.2,0
"2011-09-10 16:30:00",99,1.294,780.2,0
"2011-09-10 17:00:00",100,1.294,780.1,0
"2011-09-10 17:30:00",101,1.296,780.2,0
"2011-09-10 18:00:00",102,1.295,780.2,0
"2011-09-10 18:30:00",103,1.297,780.2,0
"2011-09-10 19:00:00",104,1.299,780.3,0
"2011-09-10 19:30:00",105,1.299,780.2,0
"2011-09-10 20:00:00",106,1.3,780.2,0
"2011-09-10 20:30:00",107,1.301,780.5,0
"2011-09-10 21:00:00",108,1.3,780.7,0
"2011-09-10 21:30:00",109,1.302,780.8,0
"2011-09-10 22:00:00",110,1.302,781,0
"2011-09-10 22:30:00",111,1.3,781,0
"2011-09-10 23:00:00",112,1.299,781.1,0
"2011-09-10 23:30:00",113,1.301,781.2,0
"2011-09-11 00:00:00",114,1.299,781.3,0
"2011-09-11 00:30:00",115,1.298,781.3,0
"2011-09-11 01:00:00",116,1.302,781.6,0
"2011-09-11 01:30:00",117,1.301,781.6,0
"2011-09-11 02:00:00",118,1.3,781.7,0
"2011-09-11 02:30:00",119,1.3,781.7,0
"2011-09-11 03:00:00",120,1.298,781.7,0
"2011-09-11 03:30:00",121,1.3,781.7,0
"2011-09-11 04:00:00",122,1.3,781.7,0
"2011-09-11 04:30:00",123,1.3,781.6,0
"2011-09-11 05:00:00",124,1.302,781.6,0
"2011-09-11 05:30:00",125,1.299,781.6,0
"2011-09-11 06:00:00",126,1.3,781.6,0
