"TOA5","4342","CR1000","4342","CR1000.Std.10","CRD:Duke_River_September2011.CR1","36023","Health"
"TIMESTAMP","RECORD","Batt_Volt_Max","Batt_Volt_Min","Batt_Volt_TMn","Batt_Volt_Avg","Panel_Temp_Max","Panel_Temp_TMx","Panel_Temp_Min","Panel_Temp_Avg"
"TS","RN","Volts","Volts","Volts","Volts","Deg C","Deg C","Deg C","Deg C"
"","","Max","Min","TMn","Avg","Max","TMx","Min","Avg"
"2011-09-09 00:00:00",0,13.93,13.16,"2011-09-09 00:00:00",13.69,3.185,"2011-09-08 16:10:00",-2.248,0.551
"2011-09-10 00:00:00",1,14.02,12.51,"2011-09-09 07:30:00",13.47,1.245,"2011-09-09 13:37:00",-3.794,-1.664
"2011-09-11 00:00:00",2,14.01,12.52,"2011-09-10 07:30:00",13.43,3.443,"2011-09-10 13:02:30",-5.547,-1.113
"2011-09-12 00:00:00",3,14.01,12.48,"2011-09-11 07:30:00",13.39,2.587,"2011-09-11 16:27:00",-4.636,-1.163
"2011-09-13 00:00:00",4,13.95,12.51,"2011-09-12 07:30:00",13.36,5.788,"2011-09-12 17:17:30",-2.42,1.695
"2011-09-14 00:00:00",5,13.95,12.5,"2011-09-13 08:00:00",13.38,3.892,"2011-09-13 16:05:30",-0.777,0.625
"2011-09-15 00:00:00",6,13.98,12.5,"2011-09-14 08:30:00",13.37,-0.052,"2011-09-14 15:11:30",-4.505,-1.256
"2011-09-16 00:00:00",7,14.09,12.48,"2011-09-15 08:00:00",13.43,1.437,"2011-09-15 16:32:00",-6.929,-3.242
"2011-09-17 00:00:00",8,14.1,12.48,"2011-09-16 08:00:00",13.46,-1.139,"2011-09-16 13:51:00",-6.884,-4.211
"2011-09-18 00:00:00",9,14.1,12.48,"2011-09-17 08:00:00",13.47,-2.526,"2011-09-17 19:06:30",-6.62,-4.509
"2011-09-19 00:00:00",10,14.1,12.47,"2011-09-18 08:00:00",13.43,1.672,"2011-09-18 13:37:30",-6.884,-3.777
"2011-09-20 00:00:00",11,14.08,12.49,"2011-09-19 08:30:00",13.41,-2.655,"2011-09-19 15:09:30",-5.504,-4.056
"2011-09-21 00:00:00",12,14.05,12.49,"2011-09-20 08:00:00",13.42,-2.569,"2011-09-20 16:39:30",-4.397,-3.593
"2011-09-22 00:00:00",13,14.02,12.46,"2011-09-21 09:00:00",13.23,-0.307,"2011-09-21 15:25:00",-5.113,-3.382
"2011-09-23 00:00:00",14,14.08,12.48,"2011-09-22 08:30:00",13.43,-3.17,"2011-09-22 18:15:30",-7.795,-4.892
"2011-09-24 00:00:00",15,14.11,12.5,"2011-09-23 08:00:00",13.46,0.117,"2011-09-23 17:28:30",-7.194,-4.906
"2011-09-25 00:00:00",16,14.13,12.49,"2011-09-24 08:30:00",13.46,-1.715,"2011-09-24 16:13:30",-10.1,-5.796
"2011-09-26 00:00:00",17,14.17,12.47,"2011-09-25 08:00:00",13.47,-0.927,"2011-09-25 16:41:30",-10.42,-6.822
"2011-09-27 00:00:00",18,14.23,12.44,"2011-09-26 08:30:00",13.46,-2.869,"2011-09-26 15:08:30",-11.39,-7.604
"2011-09-28 00:00:00",19,14.21,12.46,"2011-09-27 08:00:00",13.49,-5.09,"2011-09-27 17:51:30",-9.8,-7.829
"2011-09-29 00:00:00",20,14.18,12.45,"2011-09-28 08:30:00",13.49,-6.224,"2011-09-28 16:49:30",-9.39,-7.792
"2011-09-30 00:00:00",21,14.17,12.45,"2011-09-29 08:30:00",13.39,-4.268,"2011-09-29 16:59:30",-9.39,-7.498
"2011-10-01 00:00:00",22,14.23,12.45,"2011-09-30 08:30:00",13.48,-3.879,"2011-09-30 16:11:30",-10.47,-8.16
"2011-10-02 00:00:00",23,14.19,12.45,"2011-10-01 08:30:00",13.48,-6.378,"2011-10-01 16:06:30",-10.03,-8.1
"2011-10-03 00:00:00",24,14.17,12.45,"2011-10-02 08:30:00",13.47,-4.808,"2011-10-02 13:42:00",-9.19,-7.556
"2011-10-04 00:00:00",25,14.16,12.45,"2011-10-03 08:30:00",13.44,-2.442,"2011-10-03 16:02:00",-8.73,-6.653
"2011-10-05 00:00:00",26,14.2,12.45,"2011-10-04 08:30:00",13.45,-1.46,"2011-10-04 16:30:30",-10.74,-7.609
"2011-10-06 00:00:00",27,14.2,12.44,"2011-10-05 08:30:00",13.42,-1.437,"2011-10-05 14:06:00",-10.93,-7.153
"2011-10-07 00:00:00",28,14.16,12.44,"2011-10-06 09:00:00",13.42,-4.679,"2011-10-06 11:53:00",-9.37,-7.264
"2011-10-08 00:00:00",29,14.15,12.47,"2011-10-07 08:30:00",13.41,-1.887,"2011-10-07 15:29:30",-9.05,-6.255
"2011-10-09 00:00:00",30,14.2,12.44,"2011-10-08 08:30:00",13.39,-3.127,"2011-10-08 15:11:30",-10.3,-7.61
"2011-10-10 00:00:00",31,14.26,12.42,"2011-10-09 09:00:00",13.44,-4.939,"2011-10-09 16:21:30",-12.5,-9.25
"2011-10-11 00:00:00",32,14.24,12.42,"2011-10-10 09:00:00",13.42,-6.423,"2011-10-10 14:37:30",-12.6,-10.11
"2011-10-12 00:00:00",33,14.23,12.43,"2011-10-11 09:00:00",13.42,-6.708,"2011-10-11 16:58:30",-10.77,-9.36
"2011-10-13 00:00:00",34,14.24,12.43,"2011-10-12 09:00:00",13.42,-5.526,"2011-10-12 17:08:30",-13.3,-10.18
"2011-10-14 00:00:00",35,14.28,12.42,"2011-10-13 09:00:00",13.46,-3.836,"2011-10-13 14:51:30",-14.17,-10.23
"2011-10-15 00:00:00",36,14.23,12.43,"2011-10-14 09:00:00",13.4,-3.988,"2011-10-14 14:04:00",-12.08,-8.16
