"TOA5","4342","CR1000","4342","CR1000.Std.10","CRD:Duke_River_July2012.CR1","51102","Health"
"TIMESTAMP","RECORD","Batt_Volt_Max","Batt_Volt_Min","Batt_Volt_TMn","Batt_Volt_Avg","Panel_Temp_Max","Panel_Temp_TMx","Panel_Temp_Min","Panel_Temp_Avg"
"TS","RN","Volts","Volts","Volts","Volts","Deg C","Deg C","Deg C","Deg C"
"","","Max","Min","TMn","Avg","Max","TMx","Min","Avg"
"2012-08-04 00:00:00",0,13.95,13.29,"2012-08-04 00:00:00",13.78,5.074,"2012-08-03 13:51:00",-1.394,0.976
"2012-08-05 00:00:00",1,13.98,12.63,"2012-08-04 06:30:00",13.54,3.678,"2012-08-04 16:21:00",-2.998,0.571
"2012-08-06 00:00:00",2,13.99,12.65,"2012-08-05 06:30:00",13.52,4.88,"2012-08-05 15:06:30",-1.97,0.849
"2012-08-07 00:00:00",3,13.95,12.63,"2012-08-06 07:00:00",13.51,3.292,"2012-08-06 18:22:30",-1.119,1.084
"2012-08-08 00:00:00",4,13.87,12.61,"2012-08-07 07:00:00",13.44,7.421,"2012-08-07 16:31:00",0.309,3.753
"2012-08-09 00:00:00",5,13.85,12.61,"2012-08-08 06:30:00",13.42,9.35,"2012-08-08 17:13:30",1.586,5.075
"2012-08-10 00:00:00",6,13.93,12.52,"2012-08-09 08:00:00",13.41,4.213,"2012-08-09 00:00:30",-0.052,1.506
"2012-08-11 00:00:00",7,13.85,12.62,"2012-08-10 07:00:00",13.45,9.3,"2012-08-10 16:57:00",1.755,4.444
"2012-08-12 00:00:00",8,13.88,12.57,"2012-08-11 07:30:00",13.37,7.094,"2012-08-11 18:24:30",1.5,4.051
"2012-08-13 00:00:00",9,13.9,12.54,"2012-08-12 08:00:00",13.36,8.08,"2012-08-12 17:37:00",0.565,4.006
"2012-08-14 00:00:00",10,13.88,12.51,"2012-08-13 07:30:00",13.35,7.159,"2012-08-13 19:34:00",1.075,3.467
"2012-08-15 00:00:00",11,13.84,12.57,"2012-08-14 07:00:00",13.37,11.27,"2012-08-14 16:03:30",1.267,6.099
"2012-08-16 00:00:00",12,13.8,12.54,"2012-08-15 07:00:00",13.33,10.81,"2012-08-15 13:55:30",2.053,6.459
"2012-08-17 00:00:00",13,13.8,12.52,"2012-08-16 07:00:00",13.33,9.35,"2012-08-16 14:15:30",1.138,5.415
"2012-08-18 00:00:00",14,13.85,12.53,"2012-08-17 07:00:00",13.37,6.897,"2012-08-17 15:38:30",0.33,3.396
"2012-08-19 00:00:00",15,13.91,12.52,"2012-08-18 07:30:00",13.39,5.614,"2012-08-18 18:31:30",-0.777,2.038
"2012-08-20 00:00:00",16,13.84,12.56,"2012-08-19 07:00:00",13.34,9.48,"2012-08-19 18:10:30",0.33,5.228
"2012-08-21 00:00:00",17,13.81,12.52,"2012-08-20 07:00:00",13.38,8.13,"2012-08-20 13:18:00",0.883,4.355
"2012-08-22 00:00:00",18,13.95,12.5,"2012-08-21 08:00:00",13.36,2.182,"2012-08-21 16:35:30",-0.075,0.841
"2012-08-23 00:00:00",19,13.96,12.51,"2012-08-22 07:00:00",13.46,3.827,"2012-08-22 18:25:30",-1.096,0.656
"2012-08-24 00:00:00",20,13.88,12.52,"2012-08-23 07:30:00",13.38,6.809,"2012-08-23 14:22:00",-0.563,2.427
"2012-08-25 00:00:00",21,13.89,12.51,"2012-08-24 07:30:00",13.38,6.875,"2012-08-24 12:57:30",-1.46,2.139
"2012-08-26 00:00:00",22,13.95,12.51,"2012-08-25 08:00:00",13.42,3.443,"2012-08-25 17:51:30",-0.904,0.933
"2012-08-27 00:00:00",23,13.95,12.54,"2012-08-26 07:30:00",13.42,6.963,"2012-08-26 19:20:30",-2.013,2.453
"2012-08-28 00:00:00",24,13.77,12.54,"2012-08-27 07:30:00",13.23,12.81,"2012-08-27 12:59:00",-2.314,5.529
"2012-08-29 00:00:00",25,14.11,12.43,"2012-08-28 07:30:00",13.49,-2.291,"2012-08-28 00:01:30",-5.897,-4.959
"2012-08-30 00:00:00",26,14.11,12.58,"2012-08-29 07:30:00",13.47,6.482,"2012-08-29 17:10:30",-7.128,-0.32
"2012-08-31 00:00:00",27,13.85,12.52,"2012-08-30 07:30:00",13.35,8.46,"2012-08-30 16:54:00",0.479,4.619
"2012-09-01 00:00:00",28,13.86,12.52,"2012-08-31 07:30:00",13.36,7.071,"2012-08-31 17:39:00",1.884,4.127
"2012-09-02 00:00:00",29,14.02,12.5,"2012-09-01 07:30:00",13.48,2.438,"2012-09-01 00:00:30",-3.193,-0.943
"2012-09-03 00:00:00",30,14.02,12.52,"2012-09-02 07:30:00",13.46,3.122,"2012-09-02 13:27:00",-4.679,-0.875
"2012-09-04 00:00:00",31,13.92,12.54,"2012-09-03 07:30:00",13.42,6.222,"2012-09-03 18:07:00",-3.556,1.57
"2012-09-05 00:00:00",32,13.97,12.48,"2012-09-04 07:30:00",13.4,3.827,"2012-09-04 15:50:00",-2.162,0.737
"2012-09-06 00:00:00",33,13.84,12.52,"2012-09-05 09:00:00",13.3,8.48,"2012-09-05 13:13:30",-1.351,3.542
"2012-09-07 00:00:00",34,14.01,12.48,"2012-09-06 08:00:00",13.39,2.417,"2012-09-06 14:55:00",-3.751,-0.883
"2012-09-08 00:00:00",35,14.07,12.46,"2012-09-07 08:00:00",13.42,-1.5,"2012-09-07 17:58:30",-4.397,-3.408
"2012-09-09 00:00:00",36,14.1,12.46,"2012-09-08 08:00:00",13.48,-2.42,"2012-09-08 13:56:00",-6.841,-4.58
"2012-09-10 00:00:00",37,14.14,12.49,"2012-09-09 08:00:00",13.5,-5.07,"2012-09-09 00:00:30",-8.02,-6
