"TOA5","4342","CR1000","4342","CR1000.Std.10","CRD:Duke_River_May2013.CR1","36023","Health"
"TIMESTAMP","RECORD","Batt_Volt_Max","Batt_Volt_Min","Batt_Volt_TMn","Batt_Volt_Avg","Panel_Temp_Max","Panel_Temp_TMx","Panel_Temp_Min","Panel_Temp_Avg"
"TS","RN","Volts","Volts","Volts","Volts","Deg C","Deg C","Deg C","Deg C"
"","","Max","Min","TMn","Avg","Max","TMx","Min","Avg"
"2013-06-03 00:00:00",0,13.85,13.39,"2013-06-03 00:00:00",13.71,9.39,"2013-06-02 13:53:00",1.053,5.87
"2013-06-04 00:00:00",1,14.01,12.96,"2013-06-03 05:30:00",13.71,2.288,"2013-06-03 12:10:30",-3.622,-0.41
"2013-06-05 00:00:00",2,14.09,13.03,"2013-06-04 05:30:00",13.77,2.203,"2013-06-04 16:12:00",-5.569,-2.415
"2013-06-06 00:00:00",3,14.1,13.06,"2013-06-05 05:30:00",13.75,1.33,"2013-06-05 18:31:00",-6.62,-2.76
"2013-06-07 00:00:00",4,14.03,13,"2013-06-06 06:00:00",13.69,3.698,"2013-06-06 18:40:00",-6.116,-1.125
"2013-06-08 00:00:00",5,13.98,12.95,"2013-06-07 06:00:00",13.65,5.354,"2013-06-07 15:00:00",-1.586,1.332
"2013-06-09 00:00:00",6,13.97,13.01,"2013-06-08 05:30:00",13.71,1.861,"2013-06-08 12:58:00",-1.394,0.08
"2013-06-10 00:00:00",7,13.93,13.01,"2013-06-09 05:30:00",13.63,8.17,"2013-06-09 16:05:30",-0.373,3.167
"2013-06-11 00:00:00",8,13.9,12.96,"2013-06-10 05:30:00",13.59,8.72,"2013-06-10 17:06:30",0.671,4.406
"2013-06-12 00:00:00",9,13.94,12.91,"2013-06-11 06:30:00",13.64,3.165,"2013-06-11 16:05:30",-0.522,1.075
"2013-06-13 00:00:00",10,13.97,12.97,"2013-06-12 05:30:00",13.68,4.428,"2013-06-12 19:35:30",-1.331,1.388
"2013-06-14 00:00:00",11,13.98,12.98,"2013-06-13 05:30:00",13.68,3.526,"2013-06-13 15:14:30",-1.523,0.457
"2013-06-15 00:00:00",12,14.05,13.02,"2013-06-14 05:00:00",13.67,6.721,"2013-06-14 18:33:30",-4.139,2.107
"2013-06-16 00:00:00",13,13.88,12.96,"2013-06-15 05:30:00",13.53,13.33,"2013-06-15 18:26:00",0.33,7.346
"2013-06-17 00:00:00",14,13.75,12.87,"2013-06-16 05:30:00",13.46,13.09,"2013-06-16 16:14:00",5.874,9.48
"2013-06-18 00:00:00",15,13.86,12.79,"2013-06-17 06:00:00",13.49,9.79,"2013-06-17 00:00:30",1.457,6.201
"2013-06-19 00:00:00",16,14,12.87,"2013-06-18 05:30:00",13.68,3.036,"2013-06-18 21:59:00",-1.394,0.374
"2013-06-20 00:00:00",17,13.9,13,"2013-06-19 05:00:00",13.59,10.16,"2013-06-19 17:44:30",0.863,5.767
"2013-06-21 00:00:00",18,13.82,12.88,"2013-06-20 05:30:00",13.56,8.21,"2013-06-20 18:10:00",2.907,5.645
"2013-06-22 00:00:00",19,13.84,12.93,"2013-06-21 05:30:00",13.5,13.07,"2013-06-21 17:45:00",2.374,7.683
"2013-06-23 00:00:00",20,13.81,12.88,"2013-06-22 05:30:00",13.5,10.81,"2013-06-22 17:20:30",3.526,7.373
"2013-06-24 00:00:00",21,13.84,12.86,"2013-06-23 06:00:00",13.51,9.32,"2013-06-23 17:12:00",2.48,6.334
"2013-06-25 00:00:00",22,13.77,12.85,"2013-06-24 06:00:00",13.43,15.07,"2013-06-24 17:29:00",3.463,9.87
"2013-06-26 00:00:00",23,13.7,12.75,"2013-06-25 06:00:00",13.34,16.74,"2013-06-25 18:07:30",6.852,11.55
"2013-06-27 00:00:00",24,13.72,12.67,"2013-06-26 06:00:00",13.36,15.36,"2013-06-26 17:05:30",6.721,10.33
"2013-06-28 00:00:00",25,13.67,12.79,"2013-06-27 06:00:00",13.37,17.64,"2013-06-27 17:01:00",8.17,12.04
"2013-06-29 00:00:00",26,13.71,12.75,"2013-06-28 05:30:00",13.42,10.77,"2013-06-28 16:17:30",6.57,8.67
"2013-06-30 00:00:00",27,13.77,12.84,"2013-06-29 05:30:00",13.44,11.82,"2013-06-29 14:31:00",4.771,8.28
"2013-07-01 00:00:00",28,13.78,12.78,"2013-06-30 06:00:00",13.46,10.97,"2013-06-30 15:46:30",2.609,7.426
"2013-07-02 00:00:00",29,13.87,12.82,"2013-07-01 06:00:00",13.53,10.29,"2013-07-01 16:37:00",1.586,5.803
"2013-07-03 00:00:00",30,13.95,12.92,"2013-07-02 05:30:00",13.59,8.37,"2013-07-02 16:09:30",-0.436,3.148
"2013-07-04 00:00:00",31,14,12.88,"2013-07-03 06:00:00",13.62,5.397,"2013-07-03 15:14:00",-2.592,1.638
"2013-07-05 00:00:00",32,14.02,12.99,"2013-07-04 05:30:00",13.64,5.765,"2013-07-04 16:51:00",-3.084,2.192
"2013-07-06 00:00:00",33,13.94,12.92,"2013-07-05 05:30:00",13.6,8.08,"2013-07-05 18:46:30",-1.182,3.25
"2013-07-07 00:00:00",34,13.86,12.92,"2013-07-06 06:00:00",13.55,8.63,"2013-07-06 16:33:00",0.648,5.16
"2013-07-08 00:00:00",35,13.91,12.88,"2013-07-07 06:00:00",13.62,5.246,"2013-07-07 16:10:00",-0.244,2.451
"2013-07-09 00:00:00",36,13.96,12.88,"2013-07-08 07:00:00",13.64,4.256,"2013-07-08 17:52:30",-1.139,1.16
"2013-07-10 00:00:00",37,14.02,12.96,"2013-07-09 06:00:00",13.68,1.606,"2013-07-09 17:09:30",-2.892,-0.762
"2013-07-11 00:00:00",38,13.99,12.95,"2013-07-10 06:00:00",13.65,3.978,"2013-07-10 15:29:00",-1.95,0.324
