"Plot Title: H01"
"#","Date Time, GMT+00:00","H08 Temp., °C","H08 High Res. Temp., °C","GCap. RH, %"
1,07/10/12 13:30:43,-2.90,-2.85,103.80
2,07/10/12 14:00:43,-3.37,-3.44,97.00
3,07/10/12 14:30:43,-3.37,-3.23,93.60
4,07/10/12 15:00:43,-2.90,-2.88,93.60
5,07/10/12 15:30:43,-2.90,-2.79,89.50
6,07/10/12 16:00:43,-2.90,-2.88,89.10
7,07/10/12 16:30:43,-2.44,-2.64,87.80
8,07/10/12 17:00:43,-2.90,-2.70,87.80
9,07/10/12 17:30:43,-2.90,-2.70,87.80
10,07/10/12 18:00:43,-2.90,-2.76,88.20
11,07/10/12 18:30:43,-2.90,-3.02,88.20
12,07/10/12 19:00:43,-3.37,-3.14,89.10
13,07/10/12 19:30:43,-3.37,-3.44,91.60
14,07/10/12 20:00:43,-3.37,-3.55,92.00
15,07/10/12 20:30:43,-3.37,-3.55,92.00
16,07/10/12 21:00:43,-3.37,-3.41,88.70
17,07/10/12 21:30:43,-3.37,-3.44,88.20
18,07/10/12 22:00:43,-3.37,-3.35,86.50
19,07/10/12 22:30:43,-3.37,-3.17,80.60
20,07/10/12 23:00:43,-2.90,-3.11,79.70
21,07/10/12 23:30:43,-3.37,-3.14,79.20
22,07/11/12 00:00:43,-3.37,-3.17,78.70
23,07/11/12 00:30:43,-3.37,-3.17,77.80
24,07/11/12 01:00:43,-2.90,-2.99,74.90
25,07/11/12 01:30:43,-4.33,-4.12,80.10
26,07/11/12 02:00:43,-4.33,-4.12,78.20
27,07/11/12 02:30:43,-3.37,-3.26,78.20
28,07/11/12 03:00:43,-3.37,-3.35,79.20
29,07/11/12 03:30:43,-3.37,-3.32,78.20
30,07/11/12 04:00:43,-3.37,-3.38,79.70
31,07/11/12 04:30:43,-3.85,-3.82,82.00
32,07/11/12 05:00:43,-3.85,-3.76,81.50
33,07/11/12 05:30:43,-4.33,-4.55,82.90
34,07/11/12 06:00:43,-4.82,-4.70,83.40
35,07/11/12 06:30:43,-4.33,-4.40,82.00
36,07/11/12 07:00:43,-4.82,-5.00,81.50
37,07/11/12 07:30:43,-5.31,-5.44,81.50
38,07/11/12 08:00:43,-6.31,-6.31,84.30
39,07/11/12 08:30:43,-5.81,-6.03,83.40
40,07/11/12 09:00:43,-5.31,-5.34,76.80
41,07/11/12 09:30:43,-2.90,-2.96,70.90
42,07/11/12 10:00:43,-1.97,-2.15,70.90
43,07/11/12 10:30:43,-1.06,-1.03,65.40
44,07/11/12 11:00:43,0.29,0.12,64.40
45,07/11/12 11:30:43,1.17,1.30,58.70
46,07/11/12 12:00:43,0.73,0.73,62.30
47,07/11/12 12:30:43,1.60,1.63,54.00
48,07/11/12 13:00:43,1.60,1.65,48.90
49,07/11/12 13:30:43,2.03,1.87,52.00
50,07/11/12 14:00:43,2.03,2.11,48.30
51,07/11/12 14:30:43,3.31,3.18,46.30
52,07/11/12 15:00:43,2.46,2.60,38.70
53,07/11/12 15:30:43,2.89,2.99,39.20
54,07/11/12 16:00:43,2.89,2.89,41.20
55,07/11/12 16:30:43,2.89,3.07,42.20
56,07/11/12 17:00:43,3.74,3.81,39.20
57,07/11/12 17:30:43,2.46,2.35,58.70
58,07/11/12 18:00:43,2.46,2.52,53.50
59,07/11/12 18:30:43,3.74,3.89,39.20
60,07/11/12 19:00:43,4.15,4.21,42.20
61,07/11/12 19:30:43,2.89,2.94,43.20
62,07/11/12 20:00:43,2.46,2.49,44.20
63,07/11/12 20:30:43,2.03,1.92,50.90
64,07/11/12 21:00:43,1.60,1.68,49.40
65,07/11/12 21:30:43,1.17,1.22,56.10
66,07/11/12 22:00:43,0.73,0.67,54.60
67,07/11/12 22:30:43,1.17,0.97,54.60
68,07/11/12 23:00:43,0.29,0.45,59.20
69,07/11/12 23:30:43,-0.16,-0.02,58.70
70,07/12/12 00:00:43,0.29,0.23,55.10
71,07/12/12 00:30:43,-0.16,0.06,56.60
72,07/12/12 01:00:43,0.29,0.45,53.00
73,07/12/12 01:30:43,0.73,0.59,55.10
74,07/12/12 02:00:43,0.29,0.20,58.70
75,07/12/12 02:30:43,1.17,1.11,56.10
76,07/12/12 03:00:43,0.73,0.62,59.70
77,07/12/12 03:30:43,0.29,0.34,61.80
78,07/12/12 04:00:43,0.29,0.23,63.80
79,07/12/12 04:30:43,0.29,0.34,64.90
80,07/12/12 05:00:43,0.73,0.89,59.70
81,07/12/12 05:30:43,0.73,0.53,61.80
82,07/12/12 06:00:43,-0.16,-0.16,64.90
83,07/12/12 06:30:43,-0.16,0.04,63.80
84,07/12/12 07:00:43,0.73,0.75,57.10
85,07/12/12 07:30:43,-1.06,-1.14,68.40
86,07/12/12 08:00:43,1.17,1.14,60.80
87,07/12/12 08:30:43,2.46,2.62,54.60
88,07/12/12 09:00:43,2.03,2.25,58.70
89,07/12/12 09:30:43,2.89,3.07,58.70
90,07/12/12 10:00:43,2.89,2.76,59.20
91,07/12/12 10:30:43,4.15,4.36,49.90
92,07/12/12 11:00:43,4.15,4.05,53.00
93,07/12/12 11:30:43,4.15,4.36,48.30
94,07/12/12 12:00:43,4.15,4.31,52.50
95,07/12/12 12:30:43,4.15,4.21,53.00
96,07/12/12 13:00:43,4.15,4.23,54.60
97,07/12/12 13:30:43,3.74,3.94,57.70
98,07/12/12 14:00:43,3.74,3.89,59.20
99,07/12/12 14:30:43,3.74,3.86,62.30
100,07/12/12 15:00:43,3.74,3.86,63.80
101,07/12/12 15:30:43,4.15,4.15,63.80
102,07/12/12 16:00:43,4.15,4.26,63.80
103,07/12/12 16:30:43,4.57,4.39,64.90
104,07/12/12 17:00:43,4.15,4.34,66.40
105,07/12/12 17:30:43,3.74,3.84,69.90
106,07/12/12 18:00:43,4.15,3.97,69.90
107,07/12/12 18:30:43,4.15,4.31,66.40
108,07/12/12 19:00:43,4.15,4.13,68.90
109,07/12/12 19:30:43,4.15,4.05,70.40
110,07/12/12 20:00:43,4.15,4.36,68.90
111,07/12/12 20:30:43,4.15,4.10,72.40
112,07/12/12 21:00:43,3.31,3.52,76.80
113,07/12/12 21:30:43,4.15,4.07,73.40
114,07/12/12 22:00:43,3.74,3.81,75.80
115,07/12/12 22:30:43,3.74,3.71,78.20
116,07/12/12 23:00:43,2.46,2.46,85.20
117,07/12/12 23:30:43,4.57,4.60,72.40
118,07/13/12 00:00:43,4.15,4.07,73.40
119,07/13/12 00:30:43,3.31,3.15,81.10
120,07/13/12 01:00:43,3.74,3.68,75.40
121,07/13/12 01:30:43,4.15,3.97,71.90
122,07/13/12 02:00:43,4.15,4.18,69.40
123,07/13/12 02:30:43,4.15,4.21,68.90
124,07/13/12 03:00:43,3.74,3.86,71.40
125,07/13/12 03:30:43,4.15,4.05,70.40
