"Plot Title: N08H02"
"#","Date Time, GMT+00:00","H08 Temp., °C","H08 High Res. Temp., °C","GCap. RH, %"
1,05/08/12 14:01:26,-9.46,-9.19,78.60
2,05/08/12 14:31:26,-9.46,-9.39,78.60
3,05/08/12 15:01:26,-8.91,-9.15,77.20
4,05/08/12 15:31:26,-9.46,-9.39,78.10
5,05/08/12 16:01:26,-9.46,-9.56,78.60
6,05/08/12 16:31:26,-9.46,-9.39,80.00
7,05/08/12 17:01:26,-9.46,-9.56,79.60
8,05/08/12 17:31:26,-10.01,-9.77,81.40
9,05/08/12 18:01:26,-10.01,-10.01,83.70
10,05/08/12 18:31:26,-10.01,-10.04,80.50
11,05/08/12 19:01:26,-10.01,-10.25,82.80
12,05/08/12 19:31:26,-10.56,-10.43,81.90
13,05/08/12 20:01:26,-10.56,-10.64,80.50
14,05/08/12 20:31:26,-11.13,-10.85,83.30
15,05/08/12 21:01:26,-11.13,-11.02,84.20
16,05/08/12 21:31:26,-11.13,-11.24,87.70
17,05/08/12 22:01:26,-11.13,-11.35,87.70
18,05/08/12 22:31:26,-11.70,-11.45,88.60
19,05/08/12 23:01:26,-11.70,-11.49,87.70
20,05/08/12 23:31:26,-11.70,-11.63,88.20
21,05/09/12 00:01:26,-11.70,-11.74,89.00
22,05/09/12 00:31:26,-11.70,-11.78,89.00
23,05/09/12 01:01:26,-11.70,-11.81,89.50
24,05/09/12 01:31:26,-11.70,-11.96,90.70
25,05/09/12 02:01:26,-11.70,-11.96,90.70
26,05/09/12 02:31:26,-12.29,-12.03,90.70
27,05/09/12 03:01:26,-12.29,-12.07,90.70
28,05/09/12 03:31:26,-12.29,-12.07,90.70
29,05/09/12 04:01:26,-12.29,-12.14,90.70
30,05/09/12 04:31:26,-12.29,-12.14,90.70
31,05/09/12 05:01:26,-12.29,-12.11,90.70
32,05/09/12 05:31:26,-12.29,-12.11,90.70
33,05/09/12 06:01:26,-12.29,-12.07,90.70
34,05/09/12 06:31:26,-12.29,-12.11,90.70
35,05/09/12 07:01:26,-12.29,-12.00,90.70
36,05/09/12 07:31:26,-11.70,-11.89,91.10
37,05/09/12 08:01:26,-11.70,-11.81,90.70
38,05/09/12 08:31:26,-11.13,-11.38,90.70
39,05/09/12 09:01:26,-11.13,-10.99,90.70
40,05/09/12 09:31:26,-9.46,-9.29,90.30
41,05/09/12 10:01:26,-7.33,-7.33,90.30
42,05/09/12 10:31:26,-7.33,-7.37,87.70
43,05/09/12 11:01:26,-8.91,-9.09,86.90
44,05/09/12 11:31:26,-8.91,-8.65,84.20
45,05/09/12 12:01:26,-8.38,-8.42,83.70
46,05/09/12 12:31:26,-7.85,-7.59,79.10
47,05/09/12 13:01:26,-6.82,-6.88,75.20
48,05/09/12 13:31:26,-7.33,-7.46,73.30
49,05/09/12 14:01:26,-6.31,-6.53,71.30
50,05/09/12 14:31:26,-7.33,-7.08,67.20
51,05/09/12 15:01:26,-7.33,-7.37,69.80
52,05/09/12 15:31:26,-7.85,-7.69,69.30
53,05/09/12 16:01:26,-7.33,-7.37,71.30
54,05/09/12 16:31:26,-7.85,-7.79,71.80
55,05/09/12 17:01:26,-7.85,-8.02,72.80
56,05/09/12 17:31:26,-8.38,-8.25,74.70
57,05/09/12 18:01:26,-8.38,-8.35,74.70
58,05/09/12 18:31:26,-8.38,-8.32,72.80
59,05/09/12 19:01:26,-8.91,-9.09,74.30
60,05/09/12 19:31:26,-10.01,-10.18,74.70
61,05/09/12 20:01:26,-10.56,-10.50,74.70
62,05/09/12 20:31:26,-13.49,-13.22,76.20
63,05/09/12 21:01:26,-12.88,-12.81,80.00
64,05/09/12 21:31:26,-14.10,-13.87,79.60
65,05/09/12 22:01:26,-14.10,-14.22,81.40
66,05/09/12 22:31:26,-15.36,-15.21,79.60
67,05/09/12 23:01:26,-15.36,-15.25,79.60
68,05/09/12 23:31:26,-14.73,-14.93,80.00
69,05/10/12 00:01:26,-14.73,-14.81,78.60
70,05/10/12 00:31:26,-14.10,-14.22,76.20
71,05/10/12 01:01:26,-13.49,-13.56,78.60
72,05/10/12 01:31:26,-12.88,-13.07,75.20
73,05/10/12 02:01:26,-13.49,-13.64,76.70
74,05/10/12 02:31:26,-13.49,-13.34,78.60
75,05/10/12 03:01:26,-12.88,-12.77,77.70
76,05/10/12 03:31:26,-13.49,-13.18,76.20
77,05/10/12 04:01:26,-12.88,-12.77,73.30
78,05/10/12 04:31:26,-12.88,-12.62,73.30
79,05/10/12 05:01:26,-12.88,-13.07,72.30
80,05/10/12 05:31:26,-12.88,-13.00,75.20
81,05/10/12 06:01:26,-14.10,-14.03,77.20
82,05/10/12 06:31:26,-11.70,-11.81,74.70
83,05/10/12 07:01:26,-11.70,-11.53,75.70
84,05/10/12 07:31:26,-12.29,-12.18,78.10
