Plot Title: N08H02				
#	"Date Time, GMT+00:00"	"H08 Temp., °C"	"H08 High Res. Temp., °C"	"GCap. RH, %"
1	05/08/2012 14:01	-9.46	-9.19	78.6
2	05/08/2012 14:31	-9.46	-9.39	78.6
3	05/08/2012 15:01	-8.91	-9.15	77.2
4	05/08/2012 15:31	-9.46	-9.39	78.1
5	05/08/2012 16:01	-9.46	-9.56	78.6
6	05/08/2012 16:31	-9.46	-9.39	80
7	05/08/2012 17:01	-9.46	-9.56	79.6
8	05/08/2012 17:31	-10.01	-9.77	81.4
9	05/08/2012 18:01	-10.01	-10.01	83.7
10	05/08/2012 18:31	-10.01	-10.04	80.5
11	05/08/2012 19:01	-10.01	-10.25	82.8
12	05/08/2012 19:31	-10.56	-10.43	81.9
13	05/08/2012 20:01	-10.56	-10.64	80.5
14	05/08/2012 20:31	-11.13	-10.85	83.3
15	05/08/2012 21:01	-11.13	-11.02	84.2
16	05/08/2012 21:31	-11.13	-11.24	87.7
17	05/08/2012 22:01	-11.13	-11.35	87.7
18	05/08/2012 22:31	-11.7	-11.45	88.6
19	05/08/2012 23:01	-11.7	-11.49	87.7
20	05/08/2012 23:31	-11.7	-11.63	88.2
21	05/09/2012 0:01	-11.7	-11.74	89
22	05/09/2012 0:31	-11.7	-11.78	89
23	05/09/2012 1:01	-11.7	-11.81	89.5
24	05/09/2012 1:31	-11.7	-11.96	90.7
25	05/09/2012 2:01	-11.7	-11.96	90.7
26	05/09/2012 2:31	-12.29	-12.03	90.7
27	05/09/2012 3:01	-12.29	-12.07	90.7
28	05/09/2012 3:31	-12.29	-12.07	90.7
29	05/09/2012 4:01	-12.29	-12.14	90.7
30	05/09/2012 4:31	-12.29	-12.14	90.7
31	05/09/2012 5:01	-12.29	-12.11	90.7
32	05/09/2012 5:31	-12.29	-12.11	90.7
33	05/09/2012 6:01	-12.29	-12.07	90.7
34	05/09/2012 6:31	-12.29	-12.11	90.7
35	05/09/2012 7:01	-12.29	-12	90.7
36	05/09/2012 7:31	-11.7	-11.89	91.1
37	05/09/2012 8:01	-11.7	-11.81	90.7
38	05/09/2012 8:31	-11.13	-11.38	90.7
39	05/09/2012 9:01	-11.13	-10.99	90.7
40	05/09/2012 9:31	-9.46	-9.29	90.3
41	05/09/2012 10:01	-7.33	-7.33	90.3
42	05/09/2012 10:31	-7.33	-7.37	87.7
43	05/09/2012 11:01	-8.91	-9.09	86.9
44	05/09/2012 11:31	-8.91	-8.65	84.2
45	05/09/2012 12:01	-8.38	-8.42	83.7
46	05/09/2012 12:31	-7.85	-7.59	79.1
47	05/09/2012 13:01	-6.82	-6.88	75.2
48	05/09/2012 13:31	-7.33	-7.46	73.3
49	05/09/2012 14:01	-6.31	-6.53	71.3
50	05/09/2012 14:31	-7.33	-7.08	67.2
51	05/09/2012 15:01	-7.33	-7.37	69.8
52	05/09/2012 15:31	-7.85	-7.69	69.3
53	05/09/2012 16:01	-7.33	-7.37	71.3
54	05/09/2012 16:31	-7.85	-7.79	71.8
55	05/09/2012 17:01	-7.85	-8.02	72.8
56	05/09/2012 17:31	-8.38	-8.25	74.7
57	05/09/2012 18:01	-8.38	-8.35	74.7
58	05/09/2012 18:31	-8.38	-8.32	72.8
59	05/09/2012 19:01	-8.91	-9.09	74.3
60	05/09/2012 19:31	-10.01	-10.18	74.7
61	05/09/2012 20:01	-10.56	-10.5	74.7
62	05/09/2012 20:31	-13.49	-13.22	76.2
63	05/09/2012 21:01	-12.88	-12.81	80
64	05/09/2012 21:31	-14.1	-13.87	79.6
65	05/09/2012 22:01	-14.1	-14.22	81.4
66	05/09/2012 22:31	-15.36	-15.21	79.6
67	05/09/2012 23:01	-15.36	-15.25	79.6
68	05/09/2012 23:31	-14.73	-14.93	80
69	05/10/2012 0:01	-14.73	-14.81	78.6
70	05/10/2012 0:31	-14.1	-14.22	76.2
71	05/10/2012 1:01	-13.49	-13.56	78.6
72	05/10/2012 1:31	-12.88	-13.07	75.2
73	05/10/2012 2:01	-13.49	-13.64	76.7
74	05/10/2012 2:31	-13.49	-13.34	78.6
75	05/10/2012 3:01	-12.88	-12.77	77.7
76	05/10/2012 3:31	-13.49	-13.18	76.2
77	05/10/2012 4:01	-12.88	-12.77	73.3
78	05/10/2012 4:31	-12.88	-12.62	73.3
79	05/10/2012 5:01	-12.88	-13.07	72.3
80	05/10/2012 5:31	-12.88	-13	75.2
81	05/10/2012 6:01	-14.1	-14.03	77.2
82	05/10/2012 6:31	-11.7	-11.81	74.7
83	05/10/2012 7:01	-11.7	-11.53	75.7
84	05/10/2012 7:31	-12.29	-12.18	78.1
85	05/10/2012 8:01	-11.7	-11.71	74.3
86	05/10/2012 8:31	-11.13	-11.31	70.8
87	05/10/2012 9:01	-10.01	-9.97	66.7
88	05/10/2012 9:31	-10.01	-9.97	69.3
89	05/10/2012 10:01	-9.46	-9.56	75.2
90	05/10/2012 10:31	-9.46	-9.53	89
91	05/10/2012 11:01	-8.91	-8.85	90.7
92	05/10/2012 11:31	-8.38	-8.28	91.9
93	05/10/2012 12:01	-7.85	-7.92	92.7
94	05/10/2012 12:31	-7.33	-7.53	92.3
95	05/10/2012 13:01	-6.82	-6.92	93.1
96	05/10/2012 13:31	-6.82	-6.76	92.7
97	05/10/2012 14:01	-6.82	-6.98	92.7
98	05/10/2012 14:31	-6.82	-6.69	92.3
99	05/10/2012 15:01	-6.31	-6.34	92.3
100	05/10/2012 15:31	-6.82	-6.82	92.7
101	05/10/2012 16:01	-6.31	-6.37	91.9
102	05/10/2012 16:31	-6.31	-6.44	91.9
103	05/10/2012 17:01	-6.82	-6.85	91.9
104	05/10/2012 17:31	-6.82	-6.98	91.1
105	05/10/2012 18:01	-7.33	-7.24	90.3
106	05/10/2012 18:31	-7.33	-7.4	91.5
107	05/10/2012 19:01	-7.33	-7.53	91.1
108	05/10/2012 19:31	-7.85	-7.72	90.7
109	05/10/2012 20:01	-7.85	-7.85	91.1
110	05/10/2012 20:31	-7.85	-7.95	91.9
111	05/10/2012 21:01	-7.85	-7.99	91.1
112	05/10/2012 21:31	-8.38	-8.15	91.1
113	05/10/2012 22:01	-8.38	-8.32	91.1
114	05/10/2012 22:31	-8.38	-8.32	90.7
115	05/10/2012 23:01	-8.38	-8.32	90.7
116	05/10/2012 23:31	-8.38	-8.25	90.3
117	05/11/2012 0:01	-8.38	-8.35	90.3
118	05/11/2012 0:31	-8.38	-8.28	90.3
119	05/11/2012 1:01	-8.38	-8.28	90.3
120	05/11/2012 1:31	-7.85	-7.82	89
121	05/11/2012 2:01	-8.38	-8.38	90.3
122	05/11/2012 2:31	-8.38	-8.42	91.5
123	05/11/2012 3:01	-8.38	-8.48	92.7
124	05/11/2012 3:31	-8.38	-8.18	93.1
125	05/11/2012 4:01	-7.85	-7.92	93.9
126	05/11/2012 4:31	-7.85	-7.72	93.5
127	05/11/2012 5:01	-7.85	-7.82	93.9
128	05/11/2012 5:31	-7.85	-8.05	93.9
129	05/11/2012 6:01	-7.85	-8.05	93.9
130	05/11/2012 6:31	-8.38	-8.22	93.9
131	05/11/2012 7:01	-7.85	-8.08	93.5
132	05/11/2012 7:31	-8.38	-8.15	93.1
133	05/11/2012 8:01	-8.38	-8.58	93.9
134	05/11/2012 8:31	-8.91	-8.65	93.9
135	05/11/2012 9:01	-8.38	-8.58	93.9
136	05/11/2012 9:31	-8.38	-8.28	93.9
137	05/11/2012 10:01	-8.38	-8.25	93.9
138	05/11/2012 10:31	-7.85	-8.08	93.9
139	05/11/2012 11:01	-7.33	-7.46	94.3
140	05/11/2012 11:31	-6.82	-6.88	94.3
141	05/11/2012 12:01	-6.82	-6.6	93.9
142	05/11/2012 12:31	-5.81	-5.81	93.1
143	05/11/2012 13:01	-5.31	-5.28	92.3
144	05/11/2012 13:31	-5.81	-5.62	91.5
145	05/11/2012 14:01	-5.81	-5.84	88.6
146	05/11/2012 14:31	-5.81	-5.62	86.4
147	05/11/2012 15:01	-5.81	-5.65	86
148	05/11/2012 15:31	-5.81	-5.9	88.2
149	05/11/2012 16:01	-5.31	-5.53	87.7
150	05/11/2012 16:31	-5.31	-5.44	87.7
151	05/11/2012 17:01	-5.81	-5.72	86.4
152	05/11/2012 17:31	-5.31	-5.47	85.1
153	05/11/2012 18:01	-5.31	-5.37	82.8
154	05/11/2012 18:31	-5.81	-5.62	82.8
155	05/11/2012 19:01	-5.81	-5.84	85.1
156	05/11/2012 19:31	-5.81	-5.97	86.9
157	05/11/2012 20:01	-6.31	-6.28	88.6
158	05/11/2012 20:31	-6.31	-6.34	88.6
159	05/11/2012 21:01	-6.31	-6.41	86.4
160	05/11/2012 21:31	-6.82	-6.63	86.9
161	05/11/2012 22:01	-6.82	-6.66	84.6
162	05/11/2012 22:31	-7.33	-7.14	85.5
163	05/11/2012 23:01	-7.33	-7.11	84.2
164	05/11/2012 23:31	-7.33	-7.17	83.7
165	05/12/2012 0:01	-7.33	-7.11	82.4
166	05/12/2012 0:31	-6.82	-7.01	80.5
167	05/12/2012 1:01	-7.33	-7.27	84.2
168	05/12/2012 1:31	-7.33	-7.24	87.3
169	05/12/2012 2:01	-7.85	-7.59	86.4
170	05/12/2012 2:31	-7.33	-7.53	83.7
171	05/12/2012 3:01	-7.33	-7.5	84.2
172	05/12/2012 3:31	-7.85	-7.72	84.6
173	05/12/2012 4:01	-7.33	-7.53	86.4
174	05/12/2012 4:31	-7.33	-7.43	82.8
175	05/12/2012 5:01	-7.33	-7.27	81
176	05/12/2012 5:31	-7.33	-7.2	80.5
177	05/12/2012 6:01	-7.33	-7.43	78.6
178	05/12/2012 6:31	-7.85	-7.59	80.5
179	05/12/2012 7:01	-7.33	-7.56	80
180	05/12/2012 7:31	-7.33	-7.4	82.8
181	05/12/2012 8:01	-7.33	-7.27	86.4
182	05/12/2012 8:31	-7.33	-7.33	90.7
183	05/12/2012 9:01	-7.33	-7.4	93.1
184	05/12/2012 9:31	-7.33	-7.43	93.5
185	05/12/2012 10:01	-7.85	-7.59	93.1
186	05/12/2012 10:31	-7.85	-7.76	88.2
187	05/12/2012 11:01	-7.85	-7.76	88.6
188	05/12/2012 11:31	-7.33	-7.5	85.5
189	05/12/2012 12:01	-7.33	-7.37	85.5
190	05/12/2012 12:31	-7.33	-7.3	86
191	05/12/2012 13:01	-7.33	-7.3	86
192	05/12/2012 13:31	-7.33	-7.17	84.2
193	05/12/2012 14:01	-6.82	-7.01	85.1
194	05/12/2012 14:31	-6.82	-6.82	84.2
195	05/12/2012 15:01	-6.82	-6.76	89.5
196	05/12/2012 15:31	-6.82	-6.66	86.9
197	05/12/2012 16:01	-6.82	-6.66	86
198	05/12/2012 16:31	-6.82	-6.69	87.7
199	05/12/2012 17:01	-6.82	-6.72	90.7
200	05/12/2012 17:31	-6.82	-6.69	92.7
201	05/12/2012 18:01	-6.31	-6.5	89.5
202	05/12/2012 18:31	-7.33	-7.08	91.5
203	05/12/2012 19:01	-7.33	-7.27	87.7
204	05/12/2012 19:31	-7.85	-7.69	86.4
205	05/12/2012 20:01	-7.33	-7.37	81
206	05/12/2012 20:31	-7.33	-7.46	70.8
207	05/12/2012 21:01	-8.38	-8.18	81.4
208	05/12/2012 21:31	-9.46	-9.25	76.2
209	05/12/2012 22:01	-8.91	-9.05	69.3
210	05/12/2012 22:31	-9.46	-9.29	74.7
211	05/12/2012 23:01	-9.46	-9.63	80.5
212	05/12/2012 23:31	-9.46	-9.49	79.1
213	05/13/12 00:01:26	-9.46	-9.66	81.9
214	05/13/12 00:31:26	-10.01	-10.25	90.7
215	05/13/12 01:01:26	-10.56	-10.78	89
216	05/13/12 01:31:26	-11.13	-10.92	86.9
217	05/13/12 02:01:26	-11.13	-11.17	83.7
218	05/13/12 02:31:26	-11.13	-11.31	82.4
219	05/13/12 03:01:26	-11.7	-11.49	85.5
220	05/13/12 03:31:26	-11.7	-11.71	83.7
221	05/13/12 04:01:26	-12.29	-12.22	82.8
222	05/13/12 04:31:26	-12.88	-12.77	79.6
223	05/13/12 05:01:26	-12.29	-12.36	78.6
224	05/13/12 05:31:26	-12.29	-12	74.7
225	05/13/12 06:01:26	-12.29	-12.07	75.2
226	05/13/12 06:31:26	-11.7	-11.78	74.7
227	05/13/12 07:01:26	-12.29	-12.33	78.1
228	05/13/12 07:31:26	-11.7	-11.85	77.2
229	05/13/12 08:01:26	-12.29	-12	79.1
230	05/13/12 08:31:26	-11.7	-11.92	78.6
231	05/13/12 09:01:26	-11.7	-11.67	76.7
232	05/13/12 09:31:26	-11.7	-11.45	74.3
233	05/13/12 10:01:26	-11.13	-10.92	73.8
234	05/13/12 10:31:26	-10.56	-10.39	70.3
235	05/13/12 11:01:26	-10.01	-10.15	69.8
236	05/13/12 11:31:26	-10.56	-10.36	68.3
237	05/13/12 12:01:26	-10.56	-10.36	68.8
238	05/13/12 12:31:26	-10.01	-9.77	67.7
239	05/13/12 13:01:26	-9.46	-9.63	70.3
240	05/13/12 13:31:26	-7.85	-8.08	65.2
