"Plot Title: N08H02"
"#","Date Time, GMT+00:00","H08 Temp., °C","H08 High Res. Temp., °C","GCap. RH, %"
1,07/10/12 16:01:26,-3.85,-4.06,76.20
2,07/10/12 16:31:26,-4.33,-4.12,77.70
3,07/10/12 17:01:26,-4.33,-4.18,79.60
4,07/10/12 17:31:26,-4.33,-4.15,79.10
5,07/10/12 18:01:26,-4.33,-4.24,79.10
6,07/10/12 18:31:26,-4.82,-4.61,81.00
7,07/10/12 19:01:26,-4.82,-4.82,84.20
8,07/10/12 19:31:26,-4.82,-5.04,87.30
9,07/10/12 20:01:26,-5.31,-5.22,89.90
10,07/10/12 20:31:26,-5.31,-5.22,89.00
11,07/10/12 21:01:26,-5.31,-5.16,86.90
12,07/10/12 21:31:26,-5.31,-5.07,84.60
13,07/10/12 22:01:26,-5.31,-5.10,85.10
14,07/10/12 22:31:26,-4.82,-5.00,84.60
15,07/10/12 23:01:26,-4.82,-4.85,82.40
16,07/10/12 23:31:26,-4.82,-4.91,83.30
17,07/11/12 00:01:26,-4.82,-4.88,81.90
18,07/11/12 00:31:26,-4.82,-5.00,81.90
19,07/11/12 01:01:26,-5.31,-5.07,80.50
20,07/11/12 01:31:26,-5.81,-5.84,83.30
21,07/11/12 02:01:26,-6.31,-6.25,81.00
22,07/11/12 02:31:26,-5.31,-5.07,81.40
23,07/11/12 03:01:26,-4.82,-4.91,81.90
24,07/11/12 03:31:26,-4.82,-5.00,82.80
25,07/11/12 04:01:26,-5.31,-5.10,84.20
26,07/11/12 04:31:26,-5.31,-5.34,85.50
27,07/11/12 05:01:26,-5.31,-5.28,84.20
28,07/11/12 05:31:26,-5.81,-5.72,83.70
29,07/11/12 06:01:26,-5.81,-5.87,84.20
30,07/11/12 06:31:26,-5.81,-5.62,83.70
31,07/11/12 07:01:26,-5.81,-5.56,82.40
32,07/11/12 07:31:26,-5.81,-6.00,83.30
33,07/11/12 08:01:26,-7.33,-7.17,82.80
34,07/11/12 08:31:26,-5.81,-5.87,77.70
35,07/11/12 09:01:26,-4.33,-4.30,72.30
36,07/11/12 09:31:26,-3.85,-3.64,69.30
37,07/11/12 10:01:26,-2.90,-2.96,69.30
38,07/11/12 10:31:26,-1.97,-2.12,65.70
39,07/11/12 11:01:26,-0.61,-0.44,57.40
40,07/11/12 11:31:26,-0.16,-0.08,61.60
41,07/11/12 12:01:26,-0.16,-0.19,60.60
42,07/11/12 12:31:26,0.29,0.34,57.40
43,07/11/12 13:01:26,0.29,0.42,52.20
44,07/11/12 13:31:26,0.73,0.81,47.10
45,07/11/12 14:01:26,1.17,0.97,52.20
46,07/11/12 14:31:26,1.60,1.71,47.60
47,07/11/12 15:01:26,1.17,1.00,43.40
48,07/11/12 15:31:26,1.60,1.65,40.40
49,07/11/12 16:01:26,1.60,1.44,44.50
50,07/11/12 16:31:26,2.46,2.46,41.90
51,07/11/12 17:01:26,2.03,1.90,43.40
52,07/11/12 17:31:26,1.60,1.68,48.60
53,07/11/12 18:01:26,1.60,1.71,50.20
54,07/11/12 18:31:26,2.03,1.90,53.30
55,07/11/12 19:01:26,2.03,1.87,49.10
56,07/11/12 19:31:26,1.17,1.33,54.80
57,07/11/12 20:01:26,1.17,1.25,53.30
58,07/11/12 20:31:26,-0.16,-0.21,58.50
59,07/11/12 21:01:26,-0.16,-0.30,57.40
60,07/11/12 21:31:26,-0.61,-0.69,59.50
61,07/11/12 22:01:26,-0.61,-0.75,58.50
62,07/11/12 22:31:26,-1.06,-1.20,61.60
63,07/11/12 23:01:26,-1.06,-0.83,58.00
64,07/11/12 23:31:26,-0.61,-0.58,55.40
65,07/12/12 00:01:26,-0.61,-0.52,53.30
66,07/12/12 00:31:26,-1.97,-1.74,59.50
67,07/12/12 01:01:26,-1.06,-1.20,56.90
68,07/12/12 01:31:26,-1.06,-1.14,56.90
69,07/12/12 02:01:26,0.29,0.29,53.80
70,07/12/12 02:31:26,-0.16,-0.02,56.90
71,07/12/12 03:01:26,0.73,0.73,55.90
72,07/12/12 03:31:26,0.73,0.73,56.90
73,07/12/12 04:01:26,0.29,0.09,61.10
74,07/12/12 04:31:26,-0.16,-0.19,60.60
75,07/12/12 05:01:26,1.17,0.97,54.80
76,07/12/12 05:31:26,-0.16,-0.21,59.00
77,07/12/12 06:01:26,0.29,0.20,55.40
78,07/12/12 06:31:26,-0.16,-0.05,55.40
79,07/12/12 07:01:26,0.29,0.20,54.80
80,07/12/12 07:31:26,0.29,0.09,55.90
81,07/12/12 08:01:26,0.73,0.64,55.40
82,07/12/12 08:31:26,2.03,1.95,54.30
83,07/12/12 09:01:26,2.03,1.90,58.50
84,07/12/12 09:31:26,1.60,1.41,62.10
85,07/12/12 10:01:26,2.03,2.17,58.00
86,07/12/12 10:31:26,2.89,2.89,55.40
87,07/12/12 11:01:26,2.89,3.07,50.20
88,07/12/12 11:31:26,2.89,2.99,52.20
89,07/12/12 12:01:26,2.89,2.91,54.30
90,07/12/12 12:31:26,2.89,2.91,56.90
91,07/12/12 13:01:26,2.89,2.86,56.90
92,07/12/12 13:31:26,2.89,2.84,59.50
93,07/12/12 14:01:26,2.46,2.54,63.10
94,07/12/12 14:31:26,2.46,2.49,66.70
95,07/12/12 15:01:26,2.46,2.49,68.80
96,07/12/12 15:31:26,2.46,2.65,68.30
97,07/12/12 16:01:26,2.89,2.86,68.30
98,07/12/12 16:31:26,3.31,3.21,66.20
99,07/12/12 17:01:26,2.89,2.99,69.30
100,07/12/12 17:31:26,2.46,2.41,76.20
101,07/12/12 18:01:26,2.89,3.02,71.30
102,07/12/12 18:31:26,2.89,2.70,72.30
103,07/12/12 19:01:26,2.89,2.73,74.30
104,07/12/12 19:31:26,2.89,2.78,74.30
105,07/12/12 20:01:26,3.31,3.13,73.30
106,07/12/12 20:31:26,3.31,3.13,74.30
107,07/12/12 21:01:26,3.31,3.31,72.80
108,07/12/12 21:31:26,3.31,3.18,75.20
109,07/12/12 22:01:26,3.31,3.42,74.70
110,07/12/12 22:31:26,2.89,2.89,78.10
111,07/12/12 23:01:26,2.03,2.19,81.90
112,07/12/12 23:31:26,2.89,2.97,77.20
113,07/13/12 00:01:26,2.89,2.99,76.20
114,07/13/12 00:31:26,2.46,2.54,78.60
115,07/13/12 01:01:26,2.03,2.14,81.90
116,07/13/12 01:31:26,2.46,2.57,75.20
117,07/13/12 02:01:26,2.89,2.73,73.80
118,07/13/12 02:31:26,2.89,2.78,72.80
119,07/13/12 03:01:26,2.46,2.57,73.80
120,07/13/12 03:31:26,2.03,2.19,77.70
121,07/13/12 04:01:26,2.46,2.41,77.70
122,07/13/12 04:31:26,2.03,2.22,78.60
123,07/13/12 05:01:26,1.60,1.65,82.40
124,07/13/12 05:31:26,2.46,2.30,78.10
125,07/13/12 06:01:26,1.17,1.33,83.70
126,07/13/12 06:31:26,1.60,1.74,80.50
127,07/13/12 07:01:26,1.60,1.49,82.40
128,07/13/12 07:31:26,2.03,2.19,78.10
129,07/13/12 08:01:26,2.89,2.81,75.20
130,07/13/12 08:31:26,1.60,1.79,80.50
131,07/13/12 09:01:26,2.03,1.87,80.50
132,07/13/12 09:31:26,2.46,2.27,78.10
133,07/13/12 10:01:26,2.03,1.95,81.00
134,07/13/12 10:31:26,2.03,2.17,79.60
135,07/13/12 11:01:26,2.03,2.06,81.00
136,07/13/12 11:31:26,2.89,2.70,77.20
137,07/13/12 12:01:26,3.74,3.76,72.80
138,07/13/12 12:31:26,4.15,4.23,69.30
139,07/13/12 13:01:26,4.57,4.60,68.30
140,07/13/12 13:31:26,3.74,3.63,72.80
141,07/13/12 14:01:26,4.15,4.07,69.30
142,07/13/12 14:31:26,3.74,3.55,72.80
143,07/13/12 15:01:26,3.74,3.76,71.80
144,07/13/12 15:31:26,4.15,4.26,68.30
145,07/13/12 16:01:26,4.15,4.00,70.30
146,07/13/12 16:31:26,4.15,4.05,69.30
147,07/13/12 17:01:26,4.15,3.97,69.30
148,07/13/12 17:31:26,3.31,3.47,75.20
149,07/13/12 18:01:26,3.74,3.76,71.80
150,07/13/12 18:31:26,3.74,3.65,71.80
151,07/13/12 19:01:26,4.15,4.23,70.30
152,07/13/12 19:31:26,3.74,3.79,72.80
153,07/13/12 20:01:26,2.89,2.94,74.30
154,07/13/12 20:31:26,2.46,2.41,78.10
155,07/13/12 21:01:26,1.60,1.60,81.90
156,07/13/12 21:31:26,1.60,1.76,82.40
