"Plot Title: GL1_H04"
"#","Date Time, GMT+00:00","H08 Temp., °C","H08 High Res. Temp., °C","GCap. RH, %"
1,05/11/12 16:35:10,-10.01,-9.94,91.30
2,05/11/12 17:05:10,-10.01,-10.22,90.50
3,05/11/12 17:35:10,-10.56,-10.46,92.10
4,05/11/12 18:05:10,-10.01,-10.25,92.10
5,05/11/12 18:35:10,-10.01,-10.22,91.70
6,05/11/12 19:05:10,-10.01,-10.15,91.70
7,05/11/12 19:35:10,-10.01,-10.01,92.10
8,05/11/12 20:05:10,-10.01,-10.01,92.90
9,05/11/12 20:35:10,-10.01,-10.08,93.30
10,05/11/12 21:05:10,-10.01,-10.15,93.30
11,05/11/12 21:35:10,-10.01,-10.15,92.50
12,05/11/12 22:05:10,-10.01,-10.15,91.70
13,05/11/12 22:35:10,-10.01,-10.22,90.50
14,05/11/12 23:05:10,-10.01,-10.25,90.50
15,05/11/12 23:35:10,-10.56,-10.39,90.90
16,05/12/12 00:05:10,-10.56,-10.53,91.70
17,05/12/12 00:35:10,-10.56,-10.60,91.30
18,05/12/12 01:05:10,-10.56,-10.67,91.70
19,05/12/12 01:35:10,-10.56,-10.71,91.70
20,05/12/12 02:05:10,-10.56,-10.74,91.30
21,05/12/12 02:35:10,-10.56,-10.50,90.10
22,05/12/12 03:05:10,-10.56,-10.57,89.20
23,05/12/12 03:35:10,-11.13,-10.85,90.50
24,05/12/12 04:05:10,-10.56,-10.71,89.20
25,05/12/12 04:35:10,-11.13,-10.88,90.90
26,05/12/12 05:05:10,-10.56,-10.71,89.70
27,05/12/12 05:35:10,-10.56,-10.57,88.40
28,05/12/12 06:05:10,-10.56,-10.78,88.80
29,05/12/12 06:35:10,-10.56,-10.60,88.80
30,05/12/12 07:05:10,-11.13,-10.85,90.50
31,05/12/12 07:35:10,-10.56,-10.74,91.70
32,05/12/12 08:05:10,-10.56,-10.81,93.30
33,05/12/12 08:35:10,-10.56,-10.53,93.30
34,05/12/12 09:05:10,-10.56,-10.50,92.50
35,05/12/12 09:35:10,-10.56,-10.43,92.90
36,05/12/12 10:05:10,-10.56,-10.50,92.50
37,05/12/12 10:35:10,-10.56,-10.81,92.10
38,05/12/12 11:05:10,-11.13,-10.88,92.10
39,05/12/12 11:35:10,-10.56,-10.81,92.10
40,05/12/12 12:05:10,-10.56,-10.74,91.70
41,05/12/12 12:35:10,-10.56,-10.50,91.70
42,05/12/12 13:05:10,-10.56,-10.50,91.70
43,05/12/12 13:35:10,-10.56,-10.46,91.70
44,05/12/12 14:05:10,-10.56,-10.39,91.70
45,05/12/12 14:35:10,-10.01,-10.25,92.10
46,05/12/12 15:05:10,-10.01,-10.15,92.10
47,05/12/12 15:35:10,-10.01,-10.01,92.50
48,05/12/12 16:05:10,-10.01,-10.01,92.10
49,05/12/12 16:35:10,-10.01,-9.97,92.50
50,05/12/12 17:05:10,-10.01,-10.01,92.50
51,05/12/12 17:35:10,-10.01,-10.18,92.10
52,05/12/12 18:05:10,-10.56,-10.32,92.50
53,05/12/12 18:35:10,-10.56,-10.50,92.50
54,05/12/12 19:05:10,-10.56,-10.74,92.50
55,05/12/12 19:35:10,-11.13,-10.88,92.10
56,05/12/12 20:05:10,-11.13,-10.99,91.30
