"TOA5","5264","CR1000","5264","CR1000.Std.10","CRD:KLRS_AWS_AUG_2012.CR1","34827","FiveMin"
"TIMESTAMP","RECORD","WS_ms_S_WVT","WindDir_D1_WVT","WindDir_SD1_WVT","WS_ms_Max","AirTC_Avg","NR_Wm2_Avg","RH_Avg"
"TS","RN","meters/second","Deg","Deg","meters/second","Deg C","W/m²","%"
"","","WVc","WVc","WVc","Max","Avg","Avg","Avg"
"2012-08-04 17:10:00",0,0.693,241.3,11.43,1.297,14.6,175.8,0.685
"2012-08-04 17:15:00",1,1.249,262.6,14.55,1.8,14.62,175.1,0.685
"2012-08-04 17:20:00",2,1.477,251.7,17.74,1.846,14.41,177.9,0.685
"2012-08-04 17:25:00",3,1.592,264,11.91,2.215,14.3,164,0.685
"2012-08-04 17:30:00",4,1.834,268.1,9.17,2.43,14.27,171.7,0.685
"2012-08-04 17:35:00",5,1.947,262.7,16.22,2.44,14.3,156.5,0.685
"2012-08-04 17:40:00",6,2.059,253.1,21.51,2.43,14.41,165.4,0.685
"2012-08-04 17:45:00",7,1.752,236.8,10.75,2.022,14.45,155,0.685
"2012-08-04 17:50:00",8,1.679,255.9,18.99,2.434,14.43,161.4,0.685
"2012-08-04 17:55:00",9,2.016,253.1,15.03,2.737,14.53,151.2,0.685
"2012-08-04 18:00:00",10,2.16,250.6,14.98,2.786,14.53,140.4,0.685
"2012-08-04 18:05:00",11,1.669,254.5,16.04,1.996,14.23,139.4,0.685
"2012-08-04 18:10:00",12,1.656,239.2,21.35,2.136,14.12,158.3,0.685
"2012-08-04 18:15:00",13,1.893,264.4,16.88,2.257,14.1,138.5,0.685
"2012-08-04 18:20:00",14,1.258,268.4,20.01,1.643,14.96,109.8,0.685
"2012-08-04 18:25:00",15,1.086,261.3,25.89,2.218,15.48,107.9,0.685
"2012-08-04 18:30:00",16,0.894,270.8,21.5,1.183,14.57,135.6,0.685
"2012-08-04 18:35:00",17,1.136,247.4,19.56,1.803,14.3,141.7,0.685
"2012-08-04 18:40:00",18,0.407,237.3,30.03,0.947,14.37,161,0.685
"2012-08-04 18:45:00",19,1.97,249.8,25.43,2.532,14.57,179.9,0.685
"2012-08-04 18:50:00",20,2.493,250,9.39,3.152,14.33,163.5,0.685
"2012-08-04 18:55:00",21,1.181,262.9,22,1.891,14.17,120.2,0.685
"2012-08-04 19:00:00",22,0.975,301.7,20.11,1.852,14.08,92.2,0.685
"2012-08-04 19:05:00",23,0.811,285.9,35.35,1.49,14.12,87.3,0.685
"2012-08-04 19:10:00",24,0.633,301,38.95,1.356,14.51,96.7,0.685
"2012-08-04 19:15:00",25,0.736,280.7,26.6,1.055,14.6,95.1,0.685
"2012-08-04 19:20:00",26,1.096,252.3,20.54,1.597,14.37,79.12,0.685
"2012-08-04 19:25:00",27,1.456,274.8,13.27,2.149,14.28,65.57,0.685
"2012-08-04 19:30:00",28,1.34,264.7,15.63,1.95,13.89,58.87,0.685
"2012-08-04 19:35:00",29,1.089,281.7,22.06,1.532,14,62.57,0.685
"2012-08-04 19:40:00",30,0.998,296.3,24.82,1.532,14.23,70.5,0.685
"2012-08-04 19:45:00",31,0.646,294.1,43.41,1.258,14.17,65.42,0.685
"2012-08-04 19:50:00",32,1.148,269.4,23.11,1.421,13.97,62.59,0.685
"2012-08-04 19:55:00",33,1.402,251,18.27,1.911,13.89,67.46,0.685
"2012-08-04 20:00:00",34,0.951,275.7,12.41,1.238,13.97,69.01,0.685
"2012-08-04 20:05:00",35,1.31,278.5,25.57,2.225,14.01,64.34,0.685
"2012-08-04 20:10:00",36,1.167,265.1,12.77,1.963,14.02,54.19,0.685
"2012-08-04 20:15:00",37,1.451,262.4,16.46,2.045,14.12,46.85,0.685
"2012-08-04 20:20:00",38,1.069,252.9,25.15,1.784,14.03,49.67,0.685
"2012-08-04 20:25:00",39,1.116,268.3,32.86,1.477,13.93,48.83,0.685
"2012-08-04 20:30:00",40,0.533,196.8,70.66,1.297,13.85,43.29,0.685
"2012-08-04 20:35:00",41,0.751,18.44,28.22,0.973,13.95,33.47,0.685
"2012-08-04 20:40:00",42,1.289,2.713,18.47,2.084,13.94,29.79,0.685
"2012-08-04 20:45:00",43,0.804,22.75,18.86,1.45,13.91,26.89,0.685
"2012-08-04 20:50:00",44,0.485,345.2,46.77,1.584,13.99,16.68,0.685
"2012-08-04 20:55:00",45,0.927,304,51.66,1.447,14.03,2.463,0.685
"2012-08-04 21:00:00",46,0.518,340.1,26.26,0.921,13.88,-12.75,0.685
