"TOA5","5264","CR1000","5264","CR1000.Std.10","CRD:KLRS_May2013.CR1","36023","FiveMin"
"TIMESTAMP","RECORD","WS_ms_S_WVT","WindDir_D1_WVT","WindDir_SD1_WVT","WS_ms_Max","AirTC_Avg","NR_Wm2_Avg","RH_Avg"
"TS","RN","meters/second","Deg","Deg","meters/second","Deg C","W/m²","%"
"","","WVc","WVc","WVc","Max","Avg","Avg","Avg"
"2013-05-26 14:30:00",0,1.794,217.2,9.69,3.094,17.48,555.4,33.17
"2013-05-26 14:35:00",1,2.79,252.2,14.82,3.322,17.2,555.9,34.27
"2013-05-26 14:40:00",2,3.332,245.6,17.59,3.77,17.16,539.4,34.15
"2013-05-26 14:45:00",3,3.145,257.2,11.36,3.675,17.43,543.9,33.5
"2013-05-26 14:50:00",4,2.676,253.6,13.92,3.071,17.87,548.3,32.35
"2013-05-26 14:55:00",5,2.317,268.8,20.62,3.201,17.81,545.5,31.64
"2013-05-26 15:00:00",6,2.521,255.3,20.23,3.178,17.2,543.8,32.61
"2013-05-26 15:05:00",7,2.149,250.4,19.39,2.796,17.59,522,31.75
"2013-05-26 15:10:00",8,1.582,268.1,18.91,2.613,18.27,503,30.64
"2013-05-26 15:15:00",9,1.637,265.2,18.71,3.515,18.59,520.5,30.06
"2013-05-26 15:20:00",10,2.888,268.5,24.71,3.868,18.34,514.6,30.74
"2013-05-26 15:25:00",11,2.618,252.9,28.34,3.035,18.07,511.6,31.36
"2013-05-26 15:30:00",12,2.819,236.5,28.06,4.181,18.97,519.8,28.62
"2013-05-26 15:35:00",13,2.615,191.9,34.33,3.855,19.64,527.9,25.2
"2013-05-26 15:40:00",14,1.521,271.4,73.33,3.129,20,479.2,25.49
"2013-05-26 15:45:00",15,1.765,269.8,33.19,3.12,19.24,468.6,29.59
"2013-05-26 15:50:00",16,2.512,255.7,12.92,3.035,18.71,477.8,29.89
"2013-05-26 15:55:00",17,2.807,249.7,10.38,3.551,18.83,485.6,28.49
"2013-05-26 16:00:00",18,2.621,247.3,12.6,3.237,19.14,478.5,27.89
"2013-05-26 16:05:00",19,2.536,246.1,15.55,3.312,18.95,479.4,28.53
"2013-05-26 16:10:00",20,2.397,260.3,14.34,2.94,18.96,468.6,29.15
"2013-05-26 16:15:00",21,1.961,255.7,19.59,2.483,19.26,466.8,28.78
"2013-05-26 16:20:00",22,1.427,229.4,29.5,2.231,19.42,467.3,27.9
"2013-05-26 16:25:00",23,1.476,226.5,77.03,2.868,19.86,432,24.95
"2013-05-26 16:30:00",24,3.545,111.9,26.69,5.449,20.1,452.8,22.69
"2013-05-26 16:35:00",25,3.717,142.5,10.62,5.968,19.95,451.7,23.33
"2013-05-26 16:40:00",26,2.372,161.7,32.67,3.28,20.01,270.4,22.88
"2013-05-26 16:45:00",27,3.047,131,31.34,5.129,20.07,449,22.01
"2013-05-26 16:50:00",28,4.69,98.9,18.79,5.841,19.98,413.8,22.08
"2013-05-26 16:55:00",29,4.185,101,25.56,5.344,19.83,296.4,22.05
"2013-05-26 17:00:00",30,3.363,120.3,13.44,4.472,19.2,172.9,22.84
"2013-05-26 17:05:00",31,3.139,111.6,21.01,5.152,19.35,406.2,23.11
"2013-05-26 17:10:00",32,3.485,118.2,21.49,4.544,19.65,316.4,21.23
"2013-05-26 17:15:00",33,3.127,134.3,28.81,3.675,19.57,178.8,22.33
"2013-05-26 17:20:00",34,3.256,123.4,22.07,4.534,19.52,239.1,22.09
"2013-05-26 17:25:00",35,3.459,114.6,21.06,4.469,19.53,248.4,22.09
"2013-05-26 17:30:00",36,2.011,149.7,26.61,4.521,19.57,172.3,21.63
"2013-05-26 17:35:00",37,2.121,127.9,27.83,3.423,19.6,285.8,21.34
"2013-05-26 17:40:00",38,3.199,116.8,18.62,4.991,19.67,136.4,20.83
"2013-05-26 17:45:00",39,2.487,124.1,25.95,3.668,19.99,363.9,20.93
"2013-05-26 17:50:00",40,1.878,144.2,30.67,2.623,20.76,348.1,19.2
"2013-05-26 17:55:00",41,2.689,155.8,36.99,4.613,21.03,348.8,18.67
"2013-05-26 18:00:00",42,1.606,219.9,70.74,4.691,20.72,338.3,18.89
"2013-05-26 18:05:00",43,1.57,136.8,52.3,2.862,20.81,328.3,18.36
"2013-05-26 18:10:00",44,1.043,315.4,37.94,1.65,20.75,323,18.39
"2013-05-26 18:15:00",45,2.03,194.9,65.79,3.339,21.08,329,18.6
"2013-05-26 18:20:00",46,1.511,266.7,65.54,2.551,20.79,303.9,19.65
