"TOA5","5264","CR1000","5264","CR1000.Std.10","CRD:KLRS_May2013.CR1","36023","HalfHour"
"TIMESTAMP","RECORD","DT","BP","Rain_mm_Tot"
"TS","RN","m","hPa(mb)","mm"
"","","Smp","Smp","Tot"
"2013-05-26 14:30:00",0,"NAN",919,0
"2013-05-26 15:00:00",1,"NAN",919,0
"2013-05-26 15:30:00",2,"NAN",919,0
"2013-05-26 16:00:00",3,"NAN",919,0
"2013-05-26 16:30:00",4,"NAN",919,0
"2013-05-26 17:00:00",5,"NAN",919,0
"2013-05-26 17:30:00",6,"NAN",919,0
"2013-05-26 18:00:00",7,"NAN",919,0
"2013-05-26 18:30:00",8,"NAN",919,0
"2013-05-26 19:00:00",9,"NAN",919,0
"2013-05-26 19:30:00",10,"NAN",919,0
"2013-05-26 20:00:00",11,"NAN",919,0
"2013-05-26 20:30:00",12,"NAN",919,0
"2013-05-26 21:00:00",13,"NAN",919,0
"2013-05-26 21:30:00",14,"NAN",919,0
"2013-05-26 22:00:00",15,"NAN",919,0
"2013-05-26 22:30:00",16,"NAN",920,0
"2013-05-26 23:00:00",17,"NAN",920,0
"2013-05-26 23:30:00",18,"NAN",920,0
"2013-05-27 00:00:00",19,"NAN",920,0
"2013-05-27 00:30:00",20,"NAN",921,0
"2013-05-27 01:00:00",21,"NAN",921,0
"2013-05-27 01:30:00",22,"NAN",921,0
"2013-05-27 02:00:00",23,"NAN",921,0
"2013-05-27 02:30:00",24,"NAN",921,0
"2013-05-27 03:00:00",25,"NAN",921,0
"2013-05-27 03:30:00",26,"NAN",921,0
"2013-05-27 04:00:00",27,"NAN",921,0
"2013-05-27 04:30:00",28,"NAN",921,0
"2013-05-27 05:00:00",29,"NAN",921,0
"2013-05-27 05:30:00",30,"NAN",921,0
"2013-05-27 06:00:00",31,"NAN",922,0
"2013-05-27 06:30:00",32,"NAN",922,0
"2013-05-27 07:00:00",33,"NAN",922,0
"2013-05-27 07:30:00",34,"NAN",922,0
"2013-05-27 08:00:00",35,"NAN",922,0
"2013-05-27 08:30:00",36,"NAN",922,0
"2013-05-27 09:00:00",37,"NAN",922,0
"2013-05-27 09:30:00",38,"NAN",921,0
"2013-05-27 10:00:00",39,"NAN",921,0
"2013-05-27 10:30:00",40,"NAN",921,0
"2013-05-27 11:00:00",41,"NAN",921,0
"2013-05-27 11:30:00",42,"NAN",920,0
"2013-05-27 12:00:00",43,"NAN",920,0
"2013-05-27 12:30:00",44,"NAN",920,0
"2013-05-27 13:00:00",45,"NAN",919,0
"2013-05-27 13:30:00",46,"NAN",919,0
"2013-05-27 14:00:00",47,"NAN",919,0
"2013-05-27 14:30:00",48,"NAN",919,0
"2013-05-27 15:00:00",49,"NAN",918,0
"2013-05-27 15:30:00",50,"NAN",918,0
"2013-05-27 16:00:00",51,"NAN",918,0
"2013-05-27 16:30:00",52,"NAN",917,0
"2013-05-27 17:00:00",53,"NAN",917,0
"2013-05-27 17:30:00",54,"NAN",917,0
"2013-05-27 18:00:00",55,"NAN",917,0
"2013-05-27 18:30:00",56,"NAN",916,0
"2013-05-27 19:00:00",57,"NAN",916,0
"2013-05-27 19:30:00",58,"NAN",916,0
"2013-05-27 20:00:00",59,"NAN",916,0
"2013-05-27 20:30:00",60,"NAN",916,0
"2013-05-27 21:00:00",61,"NAN",916,0
"2013-05-27 21:30:00",62,"NAN",916,0
"2013-05-27 22:00:00",63,"NAN",916,0
"2013-05-27 22:30:00",64,"NAN",916,0
"2013-05-27 23:00:00",65,"NAN",916,0
"2013-05-27 23:30:00",66,"NAN",916,0
"2013-05-28 00:00:00",67,"NAN",916,0
"2013-05-28 00:30:00",68,"NAN",917,0
"2013-05-28 01:00:00",69,"NAN",916,0
"2013-05-28 01:30:00",70,"NAN",917,0
"2013-05-28 02:00:00",71,"NAN",917,0
"2013-05-28 02:30:00",72,"NAN",917,0
"2013-05-28 03:00:00",73,"NAN",917,0
"2013-05-28 03:30:00",74,"NAN",917,0
"2013-05-28 04:00:00",75,"NAN",917,0
"2013-05-28 04:30:00",76,"NAN",917,0
"2013-05-28 05:00:00",77,"NAN",917,0
"2013-05-28 05:30:00",78,"NAN",916,0
"2013-05-28 06:00:00",79,"NAN",916,0
"2013-05-28 06:30:00",80,"NAN",916,0
"2013-05-28 07:00:00",81,"NAN",917,0
"2013-05-28 07:30:00",82,"NAN",916,0
"2013-05-28 08:00:00",83,"NAN",916,0
"2013-05-28 08:30:00",84,"NAN",916,0
"2013-05-28 09:00:00",85,"NAN",916,0
"2013-05-28 09:30:00",86,"NAN",916,0
"2013-05-28 10:00:00",87,"NAN",916,0
"2013-05-28 10:30:00",88,"NAN",916,0
"2013-05-28 11:00:00",89,"NAN",916,0
"2013-05-28 11:30:00",90,"NAN",916,0
"2013-05-28 12:00:00",91,"NAN",916,0
"2013-05-28 12:30:00",92,"NAN",916,0
"2013-05-28 13:00:00",93,"NAN",915,0
"2013-05-28 13:30:00",94,"NAN",915,0
"2013-05-28 14:00:00",95,"NAN",915,0
"2013-05-28 14:30:00",96,"NAN",915,0
"2013-05-28 15:00:00",97,"NAN",915,0
"2013-05-28 15:30:00",98,"NAN",916,0
"2013-05-28 16:00:00",99,"NAN",917,0
"2013-05-28 16:30:00",100,"NAN",917,0
"2013-05-28 17:00:00",101,"NAN",917,0
"2013-05-28 17:30:00",102,"NAN",917,0
"2013-05-28 18:00:00",103,"NAN",917,0
"2013-05-28 18:30:00",104,"NAN",918,0
"2013-05-28 19:00:00",105,"NAN",918,0
"2013-05-28 19:30:00",106,"NAN",918,0
"2013-05-28 20:00:00",107,"NAN",917,0
"2013-05-28 20:30:00",108,"NAN",917,0
"2013-05-28 21:00:00",109,"NAN",917,0
"2013-05-28 21:30:00",110,"NAN",917,0
"2013-05-28 22:00:00",111,"NAN",917,0
"2013-05-28 22:30:00",112,"NAN",917,0
"2013-05-28 23:00:00",113,"NAN",917,0
"2013-05-28 23:30:00",114,"NAN",917,0
"2013-05-29 00:00:00",115,"NAN",917,0
"2013-05-29 00:30:00",116,"NAN",917,0
"2013-05-29 01:00:00",117,"NAN",917,0
"2013-05-29 01:30:00",118,"NAN",917,0
"2013-05-29 02:00:00",119,"NAN",917,0
"2013-05-29 02:30:00",120,"NAN",917,0
"2013-05-29 03:00:00",121,"NAN",917,0
"2013-05-29 03:30:00",122,"NAN",917,0
"2013-05-29 04:00:00",123,"NAN",917,0
"2013-05-29 04:30:00",124,"NAN",917,0
"2013-05-29 05:00:00",125,"NAN",917,0
"2013-05-29 05:30:00",126,"NAN",917,0
"2013-05-29 06:00:00",127,"NAN",917,0
"2013-05-29 06:30:00",128,"NAN",917,0
"2013-05-29 07:00:00",129,"NAN",917,0
"2013-05-29 07:30:00",130,"NAN",917,0
