"TOA5","5264","CR1000","5264","CR1000.Std.10","CRD:KLRS_AWS_Sept_2012.CR1","34827","Health"
"TIMESTAMP","RECORD","Batt_Volt_Max","Batt_Volt_Min","Batt_Volt_TMn","Batt_Volt_Avg","Panel_Temp_Max","Panel_Temp_TMx","Panel_Temp_Min","Panel_Temp_Avg"
"TS","RN","Volts","Volts","Volts","Volts","Deg C","Deg C","Deg C","Deg C"
"","","Max","Min","TMn","Avg","Max","TMx","Min","Avg"
"2012-09-03 00:00:00",0,13.71,12.49,"2012-09-03 00:00:00",13.32,16.51,"2012-09-02 17:14:00",3.784,12.02
"2012-09-04 00:00:00",1,13.99,12.39,"2012-09-03 07:00:00",13.1,16.69,"2012-09-03 19:04:30",-1.864,7.259
"2012-09-05 00:00:00",2,13.83,12.44,"2012-09-04 07:00:00",13.06,17.11,"2012-09-04 16:19:30",4.127,9.73
"2012-09-06 00:00:00",3,13.77,12.44,"2012-09-05 08:00:00",12.99,19.94,"2012-09-05 16:47:00",4.213,11.17
"2012-09-07 00:00:00",4,13.82,12.43,"2012-09-06 07:30:00",13.06,15.46,"2012-09-06 16:51:00",3.377,9.63
"2012-09-08 00:00:00",5,13.87,12.41,"2012-09-07 08:00:00",13.03,7.663,"2012-09-07 17:52:30",0.691,4.534
"2012-09-09 00:00:00",6,13.9,12.41,"2012-09-08 08:00:00",13.1,7.774,"2012-09-08 14:35:30",2.033,4.227
"2012-09-10 00:00:00",7,13.96,12.42,"2012-09-09 08:00:00",13.03,3.764,"2012-09-09 00:00:30",1.712,2.647
"2012-09-11 00:00:00",8,13.99,12.4,"2012-09-10 08:00:00",13.1,6.156,"2012-09-10 18:33:30",-0.158,2.254
"2012-09-12 00:00:00",9,14.09,12.37,"2012-09-11 07:30:00",13.15,9.62,"2012-09-11 19:06:30",-4.462,2.394
"2012-09-13 00:00:00",10,14.02,12.38,"2012-09-12 07:30:00",13.06,11.79,"2012-09-12 18:51:00",-2.549,3.75
"2012-09-14 00:00:00",11,14.04,12.38,"2012-09-13 07:30:00",13.07,12.58,"2012-09-13 17:49:30",-2.314,4.989
"2012-09-15 00:00:00",12,13.99,12.4,"2012-09-14 07:30:00",13.11,11.66,"2012-09-14 17:55:00",-1.586,6.209
"2012-09-16 00:00:00",13,13.89,12.4,"2012-09-15 08:30:00",13,10.58,"2012-09-15 19:32:30",-0.075,5.337
"2012-09-17 00:00:00",14,13.79,12.44,"2012-09-16 08:00:00",13,16.29,"2012-09-16 17:11:00",5.743,9.81
"2012-09-18 00:00:00",15,13.86,12.42,"2012-09-17 07:30:00",13.02,15.02,"2012-09-17 15:43:00",2.523,8.85
"2012-09-19 00:00:00",16,13.94,12.39,"2012-09-18 08:00:00",13.02,14.18,"2012-09-18 17:48:00",-0.734,5.545
"2012-09-20 00:00:00",17,14,12.38,"2012-09-19 08:00:00",13.05,17.62,"2012-09-19 17:30:30",-1.758,7.782
"2012-09-21 00:00:00",18,13.7,12.46,"2012-09-20 07:00:00",12.95,23.7,"2012-09-20 15:38:30",8.5,14.73
"2012-09-22 00:00:00",19,13.69,12.45,"2012-09-21 08:00:00",12.94,19.23,"2012-09-21 15:58:00",6.766,13.26
"2012-09-23 00:00:00",20,13.88,12.42,"2012-09-22 07:30:00",12.98,18.43,"2012-09-22 17:18:00",2.033,10.7
"2012-09-24 00:00:00",21,13.74,12.44,"2012-09-23 08:00:00",13.02,15.43,"2012-09-23 16:33:00",5.377,10.49
"2012-09-25 00:00:00",22,13.87,12.4,"2012-09-24 08:30:00",12.95,13.82,"2012-09-24 16:48:30",1.012,6.17
"2012-09-26 00:00:00",23,14.02,12.37,"2012-09-25 08:30:00",13.02,8.86,"2012-09-25 14:45:30",-2.763,3.367
"2012-09-27 00:00:00",24,13.96,12.4,"2012-09-26 08:00:00",13.01,7.598,"2012-09-26 15:08:30",0.33,4.201
"2012-09-28 00:00:00",25,13.98,12.38,"2012-09-27 08:30:00",13.07,8.48,"2012-09-27 16:41:30",-0.267,3.337
"2012-09-29 00:00:00",26,13.96,12.4,"2012-09-28 08:30:00",13.02,10.79,"2012-09-28 14:50:00",0.522,4.32
"2012-09-30 00:00:00",27,14,12.4,"2012-09-29 08:30:00",13.04,6.678,"2012-09-29 16:30:30",-0.224,2.713
"2012-10-01 00:00:00",28,13.99,12.37,"2012-09-30 08:00:00",13.02,6.59,"2012-09-30 16:46:30",-2.978,1.51
"2012-10-02 00:00:00",29,13.98,12.37,"2012-10-01 06:30:00",12.89,4.236,"2012-10-01 17:18:30",-5.504,-0.29
"2012-10-03 00:00:00",30,14.19,12.32,"2012-10-02 08:00:00",13.08,4.213,"2012-10-02 16:33:30",-8.17,-2.381
"2012-10-04 00:00:00",31,14.18,12.33,"2012-10-03 08:30:00",13.08,7.159,"2012-10-03 16:27:00",-7.017,-0.228
"2012-10-05 00:00:00",32,13.89,12.38,"2012-10-04 08:30:00",12.91,13.33,"2012-10-04 17:29:30",-0.33,5.163
"2012-10-06 00:00:00",33,13.89,12.42,"2012-10-05 08:30:00",12.94,18.25,"2012-10-05 16:48:30",1.861,9.41
"2012-10-07 00:00:00",34,13.74,12.44,"2012-10-06 08:00:00",12.95,16.54,"2012-10-06 15:14:00",6.33,10.29
"2012-10-08 00:00:00",35,13.94,12.41,"2012-10-07 08:30:00",13,12.91,"2012-10-07 17:56:30",0.436,7.062
"2012-10-09 00:00:00",36,14.01,12.37,"2012-10-08 08:30:00",13,11.49,"2012-10-08 16:42:00",-1.672,3.819
"2012-10-10 00:00:00",37,13.86,12.39,"2012-10-09 05:30:00",12.87,5.96,"2012-10-09 16:05:30",-1.864,3.089
"2012-10-11 00:00:00",38,14.01,12.38,"2012-10-10 08:30:00",12.91,2.311,"2012-10-10 13:21:30",-1.95,0.154
