"TOA5","5264","CR1000","5264","CR1000.Std.10","CRD:KLRS_CMA6_28Apr2014.CR1","35202","FiveMin"
"TIMESTAMP","RECORD","WS_ms_S_WVT","WindDir_D1_WVT","WindDir_SD1_WVT","WS_ms_Max","AirTC_Avg","NR_Wm2_Avg","RH_Avg","SWin_Wm2_Avg","SWout_Wm2_Avg"
"TS","RN","meters/second","Deg","Deg","meters/second","Deg C","W/m²","%","W/m²","W/m²"
"","","WVc","WVc","WVc","Max","Avg","Avg","Avg","Avg","Avg"
"2014-05-06 09:50:00",0,2.177,159,4.959,4.018,9.19,243.8,43.39,104,56.61
"2014-05-06 09:55:00",1,1.222,178.5,35.91,2.068,9.29,252.5,42.56,227.6,57.72
"2014-05-06 10:00:00",2,1.269,257,37.44,2.225,9.19,251.3,42.39,161.7,58.71
"2014-05-06 10:05:00",3,1.828,281.2,15.69,2.907,8.21,210.2,47.57,162.6,51.26
"2014-05-06 10:10:00",4,1.581,259.3,21.6,2.146,8.12,197.4,48.33,161.5,49.45
"2014-05-06 10:15:00",5,1.346,289.6,19.66,1.663,8.37,241.8,47.24,204.6,57.97
"2014-05-06 10:20:00",6,1.06,290.2,23.07,1.33,8.86,246.5,46.61,394.2,57.82
"2014-05-06 10:25:00",7,1.831,273.4,20.66,2.6,8.89,268.6,46.2,462,61.46
"2014-05-06 10:30:00",8,2.863,248.1,10.34,3.224,8.33,286.1,49.71,500.3,64.23
"2014-05-06 10:35:00",9,2.335,241.5,10.67,3.071,8.4,323.7,50.26,539.7,67.46
"2014-05-06 10:40:00",10,2.558,233.6,9.7,2.832,8.75,305.5,48.35,516.9,64.1
"2014-05-06 10:45:00",11,2.595,245.6,21.13,3.466,8.78,312.7,48.92,523.4,65.04
"2014-05-06 10:50:00",12,2.66,244.8,17.67,3.548,8.98,287.4,46.78,498.7,61.77
"2014-05-06 10:55:00",13,2.812,240.7,12.15,3.446,8.91,283.8,46.07,487.8,60.93
"2014-05-06 11:00:00",14,2.297,247.3,17.49,2.698,9.16,314.9,45.1,531.8,64.9
"2014-05-06 11:05:00",15,1.84,232.2,13.91,2.796,9.24,351.8,45.44,576.2,69.44
"2014-05-06 11:10:00",16,2.2,248.6,16.96,2.917,9.66,354,45.52,589.1,70.11
"2014-05-06 11:15:00",17,2.796,253.5,17.77,3.642,9.45,348.9,44.76,575.7,68.76
"2014-05-06 11:20:00",18,2.439,248.6,10.5,3.734,9.47,355.5,45.94,591.5,70.14
"2014-05-06 11:25:00",19,2.763,243.9,13.09,3.358,9.42,375.3,45.71,608.7,72.38
"2014-05-06 11:30:00",20,2.757,243.2,8.91,3.414,9.74,375.2,45.46,607.6,71.98
"2014-05-06 11:35:00",21,2.872,234.8,13.12,3.701,9.83,380,46.82,621.6,73.52
"2014-05-06 11:40:00",22,2.984,239.1,12.44,3.949,9.96,378.5,45.27,617.9,73.27
"2014-05-06 11:45:00",23,2.039,249.2,15,2.6,10.08,379.4,43.57,619.6,72.69
"2014-05-06 11:50:00",24,2.051,239.8,17.96,2.741,10.22,400.4,43.15,647.8,75.82
"2014-05-06 11:55:00",25,2.155,240.4,17.43,2.764,10.26,421.2,42.72,670.7,78.95
"2014-05-06 12:00:00",26,1.928,249.4,24.89,2.587,10.54,428.5,43.1,686.4,80.4
"2014-05-06 12:05:00",27,2.424,252.3,13.31,2.999,10.53,415.9,40.98,669.9,79.08
"2014-05-06 12:10:00",28,2.237,257.4,17.38,2.969,10.38,442.1,42.36,700.1,82.6
"2014-05-06 12:15:00",29,2.963,247.5,11.33,3.629,10.62,440.4,41.63,711.8,84
"2014-05-06 12:20:00",30,2.845,262.5,14.65,4.315,10.64,446.9,41.1,715.7,84.4
"2014-05-06 12:25:00",31,2.302,235.3,13.77,2.982,10.87,460.8,40.94,714.7,83
"2014-05-06 12:30:00",32,2.454,208.1,9.8,3.646,10.97,454.2,40.98,719.7,83.7
"2014-05-06 12:35:00",33,1.532,211.4,19.85,2.042,11.49,460.8,39.57,739.3,84.6
"2014-05-06 12:40:00",34,1.674,147.1,54.54,2.737,11.95,465.1,34.72,730.3,83.7
"2014-05-06 12:45:00",35,3.108,96.4,18.86,4.188,12.61,474.3,32.38,737.3,85.8
"2014-05-06 12:50:00",36,3.943,101.3,18.57,4.861,12.39,483.1,31.91,740.5,88
"2014-05-06 12:55:00",37,3.303,94.8,19.45,4.848,12.46,473.6,32.14,741.9,87.6
"2014-05-06 13:00:00",38,3.89,103.2,15.26,5.413,12.58,477.8,32,738.8,87.8
"2014-05-06 13:05:00",39,3.172,108.1,24.45,4.283,12.96,477.4,31.24,740.6,88.1
"2014-05-06 13:10:00",40,3.182,95.9,30.51,4.511,12.81,477.7,31.47,748.5,89.8
"2014-05-06 13:15:00",41,3.206,85.7,24.68,4.727,12.95,477.2,32.14,756.3,89.3
"2014-05-06 13:20:00",42,2.7,236.8,36.52,3.476,12.77,485.7,34.31,770.9,91.9
"2014-05-06 13:25:00",43,2.237,235.8,30.46,3.012,11.92,494.6,35.97,775.5,92.8
"2014-05-06 13:30:00",44,0.523,234.9,66.78,1.032,12.07,490.6,36.58,770.2,89.7
"2014-05-06 13:35:00",45,1.572,312.1,34.24,2.381,12.37,484,36.19,766.7,90.9
"2014-05-06 13:40:00",46,2.427,277.3,17.21,3.028,11.74,478.5,36.04,775.6,94
"2014-05-06 13:45:00",47,2.203,276.6,11.02,2.953,11.49,477.6,38.49,776.6,93.9
"2014-05-06 13:50:00",48,1.946,282.8,17.82,3.031,11.35,493.1,38.82,778.5,93.9
"2014-05-06 13:55:00",49,2.842,266.8,13.93,3.714,12.11,462,37.8,774.9,93.5
"2014-05-06 14:00:00",50,3.026,266.9,11.57,3.629,12.13,475.5,35.33,769,94.2
"2014-05-06 14:05:00",51,2.433,267.1,14.16,3.361,12.28,470.4,36.67,763.1,92.9
