"TOA5","5264","CR1000","5264","CR1000.Std.10","CRD:KLRS_CMA6_28Apr2014.CR1","35202","HalfHour"
"TIMESTAMP","RECORD","DT","BP","Rain_mm_Tot"
"TS","RN","m","hPa(mb)","mm"
"","","Smp","Smp","Tot"
"2014-05-06 10:00:00",0,1.603,919,0
"2014-05-06 10:30:00",1,1.606,919,0
"2014-05-06 11:00:00",2,1.601,919,0
"2014-05-06 11:30:00",3,1.602,919,0
"2014-05-06 12:00:00",4,1.599,918,0
"2014-05-06 12:30:00",5,1.598,918,0
"2014-05-06 13:00:00",6,1.589,918,0
"2014-05-06 13:30:00",7,1.588,917,0
"2014-05-06 14:00:00",8,1.593,917,0
"2014-05-06 14:30:00",9,1.589,917,0
"2014-05-06 15:00:00",10,1.587,916,0
"2014-05-06 15:30:00",11,1.585,916,0
"2014-05-06 16:00:00",12,1.586,916,0
"2014-05-06 16:30:00",13,1.586,915,0
"2014-05-06 17:00:00",14,1.585,915,1.2
"2014-05-06 17:30:00",15,1.593,915,0
"2014-05-06 18:00:00",16,1.595,914,0
"2014-05-06 18:30:00",17,1.595,914,0
"2014-05-06 19:00:00",18,1.6,914,0
"2014-05-06 19:30:00",19,1.606,914,0
"2014-05-06 20:00:00",20,1.601,914,0
"2014-05-06 20:30:00",21,1.605,914,0
"2014-05-06 21:00:00",22,1.611,914,0
"2014-05-06 21:30:00",23,1.61,914,0
"2014-05-06 22:00:00",24,1.612,914,0
"2014-05-06 22:30:00",25,1.615,914,0
"2014-05-06 23:00:00",26,1.614,914,0
"2014-05-06 23:30:00",27,1.614,914,0
"2014-05-07 00:00:00",28,1.614,914,0
"2014-05-07 00:30:00",29,1.613,914,0
"2014-05-07 01:00:00",30,1.613,914,0
"2014-05-07 01:30:00",31,1.618,915,0
"2014-05-07 02:00:00",32,1.617,915,0
"2014-05-07 02:30:00",33,1.625,915,0
"2014-05-07 03:00:00",34,1.623,915,0
"2014-05-07 03:30:00",35,1.623,915,0
"2014-05-07 04:00:00",36,1.626,915,0
"2014-05-07 04:30:00",37,1.629,915,0
"2014-05-07 05:00:00",38,1.632,915,0
"2014-05-07 05:30:00",39,1.632,916,0
"2014-05-07 06:00:00",40,1.628,916,0
"2014-05-07 06:30:00",41,1.632,916,0
"2014-05-07 07:00:00",42,1.633,916,0
"2014-05-07 07:30:00",43,1.627,916,0
"2014-05-07 08:00:00",44,1.622,917,0
"2014-05-07 08:30:00",45,1.62,917,0
"2014-05-07 09:00:00",46,1.62,917,0
"2014-05-07 09:30:00",47,1.616,917,0
"2014-05-07 10:00:00",48,1.614,917,0
"2014-05-07 10:30:00",49,1.609,916,0
"2014-05-07 11:00:00",50,1.61,916,0
"2014-05-07 11:30:00",51,1.605,916,0
"2014-05-07 12:00:00",52,1.606,916,0
"2014-05-07 12:30:00",53,1.604,916,0
"2014-05-07 13:00:00",54,1.605,915,0
"2014-05-07 13:30:00",55,1.596,915,0
"2014-05-07 14:00:00",56,1.602,915,0
"2014-05-07 14:30:00",57,1.599,914,0
"2014-05-07 15:00:00",58,1.593,914,0
"2014-05-07 15:30:00",59,1.599,914,0
"2014-05-07 16:00:00",60,1.589,914,0
"2014-05-07 16:30:00",61,1.595,913,0
"2014-05-07 17:00:00",62,1.588,913,0
"2014-05-07 17:30:00",63,1.591,913,0
"2014-05-07 18:00:00",64,1.596,913,0
"2014-05-07 18:30:00",65,1.596,913,0
"2014-05-07 19:00:00",66,1.595,913,0
"2014-05-07 19:30:00",67,1.596,913,0
"2014-05-07 20:00:00",68,1.596,913,0
"2014-05-07 20:30:00",69,1.596,913,0
"2014-05-07 21:00:00",70,1.598,913,0
"2014-05-07 21:30:00",71,1.601,913,0
"2014-05-07 22:00:00",72,1.601,913,0
"2014-05-07 22:30:00",73,1.605,913,0
"2014-05-07 23:00:00",74,1.611,913,0
"2014-05-07 23:30:00",75,1.62,914,0
"2014-05-08 00:00:00",76,1.623,914,0
"2014-05-08 00:30:00",77,1.621,914,0
"2014-05-08 01:00:00",78,1.628,914,0
"2014-05-08 01:30:00",79,1.629,914,0
"2014-05-08 02:00:00",80,1.627,914,0
"2014-05-08 02:30:00",81,1.63,914,0
"2014-05-08 03:00:00",82,1.626,914,0
"2014-05-08 03:30:00",83,1.627,914,0
"2014-05-08 04:00:00",84,1.627,914,0
"2014-05-08 04:30:00",85,1.627,914,0
"2014-05-08 05:00:00",86,1.631,914,0
"2014-05-08 05:30:00",87,1.631,914,0
"2014-05-08 06:00:00",88,1.625,914,0
"2014-05-08 06:30:00",89,1.625,914,0
"2014-05-08 07:00:00",90,1.626,914,0
"2014-05-08 07:30:00",91,1.626,914,0
"2014-05-08 08:00:00",92,1.619,914,0
"2014-05-08 08:30:00",93,1.62,914,0
"2014-05-08 09:00:00",94,1.617,914,0
"2014-05-08 09:30:00",95,1.618,914,0
"2014-05-08 10:00:00",96,1.611,914,0
"2014-05-08 10:30:00",97,1.616,914,0
"2014-05-08 11:00:00",98,1.611,914,0
"2014-05-08 11:30:00",99,1.617,914,0
"2014-05-08 12:00:00",100,1.612,914,0
"2014-05-08 12:30:00",101,1.604,914,0
"2014-05-08 13:00:00",102,1.608,914,0
"2014-05-08 13:30:00",103,1.601,914,0
"2014-05-08 14:00:00",104,1.606,914,0
"2014-05-08 14:30:00",105,1.599,913,0
"2014-05-08 15:00:00",106,1.592,913,0
"2014-05-08 15:30:00",107,1.594,913,0
"2014-05-08 16:00:00",108,1.593,913,0
"2014-05-08 16:30:00",109,1.601,913,0
"2014-05-08 17:00:00",110,1.599,913,0
"2014-05-08 17:30:00",111,1.598,913,0
"2014-05-08 18:00:00",112,1.591,913,0
"2014-05-08 18:30:00",113,1.594,913,0
"2014-05-08 19:00:00",114,1.59,913,0
"2014-05-08 19:30:00",115,1.595,913,0
"2014-05-08 20:00:00",116,1.601,913,0
"2014-05-08 20:30:00",117,1.6,914,0
"2014-05-08 21:00:00",118,1.601,914,0
"2014-05-08 21:30:00",119,1.61,914,0
"2014-05-08 22:00:00",120,1.61,914,0
"2014-05-08 22:30:00",121,1.617,915,0
"2014-05-08 23:00:00",122,1.614,915,0
"2014-05-08 23:30:00",123,1.615,915,0
"2014-05-09 00:00:00",124,1.617,916,0
"2014-05-09 00:30:00",125,1.617,916,0
"2014-05-09 01:00:00",126,1.611,916,0
"2014-05-09 01:30:00",127,1.615,916,0
"2014-05-09 02:00:00",128,1.614,917,0
"2014-05-09 02:30:00",129,1.615,917,0
"2014-05-09 03:00:00",130,1.617,917,0
"2014-05-09 03:30:00",131,1.617,917,0
"2014-05-09 04:00:00",132,1.619,918,0
"2014-05-09 04:30:00",133,1.621,918,0
"2014-05-09 05:00:00",134,1.621,918,0
"2014-05-09 05:30:00",135,1.621,918,0
