"TOA5","5264","CR1000","5264","CR1000.Std.10","CRD:KLRS_CMA6_28Apr2014.CR1","35202","Health"
"TIMESTAMP","RECORD","Batt_Volt_Max","Batt_Volt_Min","Batt_Volt_TMn","Batt_Volt_Avg","Panel_Temp_Max","Panel_Temp_TMx","Panel_Temp_Min","Panel_Temp_Avg"
"TS","RN","Volts","Volts","Volts","Volts","Deg C","Deg C","Deg C","Deg C"
"","","Max","Min","TMn","Avg","Max","TMx","Min","Avg"
"2014-05-07 00:00:00",0,13.74,12.5,"2014-05-07 00:00:00",13.45,16.29,"2014-05-06 17:05:00",5.097,12.21
"2014-05-08 00:00:00",1,13.98,12.41,"2014-05-07 06:30:00",13.19,15.34,"2014-05-07 17:56:00",-1.01,7.527
"2014-05-09 00:00:00",2,13.93,12.41,"2014-05-08 06:30:00",13.21,15.48,"2014-05-08 18:35:00",-0.181,7.285
"2014-05-10 00:00:00",3,13.89,12.44,"2014-05-09 06:00:00",13.29,7.028,"2014-05-09 00:00:30",2.95,5.138
"2014-05-11 00:00:00",4,13.89,12.43,"2014-05-10 06:30:00",13.19,13,"2014-05-10 15:03:30",3.165,7.023
"2014-05-12 00:00:00",5,13.85,12.44,"2014-05-11 06:00:00",13.21,15.07,"2014-05-11 17:36:30",3.807,9.39
"2014-05-13 00:00:00",6,14.01,12.38,"2014-05-12 06:00:00",13.23,16.94,"2014-05-12 17:55:00",-3.794,7.242
"2014-05-14 00:00:00",7,13.87,12.41,"2014-05-13 06:00:00",13.16,20.21,"2014-05-13 16:38:30",0.309,10.55
"2014-05-15 00:00:00",8,13.98,12.42,"2014-05-14 06:00:00",13.26,10.22,"2014-05-14 18:48:30",0.415,5.147
"2014-05-16 00:00:00",9,14.11,12.35,"2014-05-15 05:30:00",13.22,17.04,"2014-05-15 18:50:30",-6.753,6.309
"2014-05-17 00:00:00",10,14.06,12.38,"2014-05-16 06:00:00",13.23,17.59,"2014-05-16 18:38:30",-3.642,7.268
"2014-05-18 00:00:00",11,13.79,12.43,"2014-05-17 06:00:00",13.15,18.71,"2014-05-17 17:31:00",1.692,11.55
"2014-05-19 00:00:00",12,13.83,12.46,"2014-05-18 06:00:00",13.28,11.93,"2014-05-18 18:22:30",3.334,8.31
"2014-05-20 00:00:00",13,13.99,12.4,"2014-05-19 06:00:00",13.35,3.978,"2014-05-19 18:02:30",0.565,2.087
"2014-05-21 00:00:00",14,14.02,12.4,"2014-05-20 06:00:00",13.36,5.506,"2014-05-20 17:56:30",0.054,2.176
"2014-05-22 00:00:00",15,14.04,12.39,"2014-05-21 05:30:00",13.32,8.5,"2014-05-21 14:14:00",-2.955,3.271
"2014-05-23 00:00:00",16,13.96,12.41,"2014-05-22 05:30:00",13.3,8.44,"2014-05-22 13:03:30",1.032,4.419
"2014-05-24 00:00:00",17,13.93,12.41,"2014-05-23 05:30:00",13.3,11.4,"2014-05-23 14:50:30",0.117,6.611
"2014-05-25 00:00:00",18,13.95,12.43,"2014-05-24 05:30:00",13.25,17.46,"2014-05-24 17:33:00",-0.138,8.81
"2014-05-26 00:00:00",19,13.96,12.39,"2014-05-25 05:30:00",13.23,17.34,"2014-05-25 16:58:00",-1.672,8.84
"2014-05-27 00:00:00",20,13.94,12.42,"2014-05-26 05:30:00",13.21,19.78,"2014-05-26 18:19:00",0.33,10.65
"2014-05-28 00:00:00",21,13.93,12.41,"2014-05-27 05:30:00",13.24,17.56,"2014-05-27 18:03:00",0.246,9.75
"2014-05-29 00:00:00",22,13.89,12.42,"2014-05-28 06:00:00",13.23,15.12,"2014-05-28 18:49:30",3.486,8.16
"2014-05-30 00:00:00",23,13.98,12.39,"2014-05-29 05:30:00",13.2,20.72,"2014-05-29 17:16:30",-1.864,10.28
"2014-05-31 00:00:00",24,13.87,12.44,"2014-05-30 05:00:00",13.24,16.41,"2014-05-30 15:54:00",3.249,10.66
"2014-06-01 00:00:00",25,13.75,12.44,"2014-05-31 05:30:00",13.19,17.56,"2014-05-31 17:02:00",4.902,11.98
"2014-06-02 00:00:00",26,13.93,12.41,"2014-06-01 05:30:00",13.26,15.46,"2014-06-01 16:26:00",-1.119,8.57
"2014-06-03 00:00:00",27,13.91,12.42,"2014-06-02 06:00:00",13.25,12.28,"2014-06-02 13:47:30",2.907,7.36
"2014-06-04 00:00:00",28,13.9,12.41,"2014-06-03 06:30:00",13.27,12.77,"2014-06-03 18:35:00",3.506,7.233
"2014-06-05 00:00:00",29,13.94,12.4,"2014-06-04 05:30:00",13.25,16.14,"2014-06-04 17:48:00",-1.735,9.33
"2014-06-06 00:00:00",30,13.84,12.43,"2014-06-05 05:30:00",13.22,18.97,"2014-06-05 16:45:30",2.93,11.49
"2014-06-07 00:00:00",31,13.88,12.41,"2014-06-06 05:00:00",13.25,18.53,"2014-06-06 19:01:00",0.458,11.03
"2014-06-08 00:00:00",32,13.89,12.41,"2014-06-07 05:00:00",13.26,17.89,"2014-06-07 17:39:00",1.075,10.89
"2014-06-09 00:00:00",33,13.8,12.45,"2014-06-08 05:30:00",13.27,15.41,"2014-06-08 20:45:00",6.635,10.95
"2014-06-10 00:00:00",34,13.91,12.4,"2014-06-09 05:00:00",13.25,18.66,"2014-06-09 17:58:00",-1.311,10.46
"2014-06-11 00:00:00",35,13.87,12.41,"2014-06-10 05:00:00",13.24,19.28,"2014-06-10 18:05:30",0.714,11.44
"2014-06-12 00:00:00",36,13.92,12.39,"2014-06-11 05:30:00",13.21,21.04,"2014-06-11 18:14:30",-0.628,11.14
"2014-06-13 00:00:00",37,13.83,12.44,"2014-06-12 05:30:00",13.25,14.78,"2014-06-12 17:03:30",5.982,10.57
"2014-06-14 00:00:00",38,13.9,12.41,"2014-06-13 05:00:00",13.31,13.4,"2014-06-13 13:46:30",0.117,8.68
