"TOA5","5264","CR1000","5264","CR1000.Std.10","CRD:KLRS_CMA6_8AUG2013.CR1","35202","HalfHour"
"TIMESTAMP","RECORD","DT","BP","Rain_mm_Tot"
"TS","RN","m","hPa(mb)","mm"
"","","Smp","Smp","Tot"
"2013-08-08 12:30:00",0,1.593,600,0
"2013-08-08 13:00:00",1,1.587,920,0
"2013-08-08 13:30:00",2,1.592,920,0
"2013-08-08 14:00:00",3,1.593,920,0
"2013-08-08 14:30:00",4,1.589,920,0
"2013-08-08 15:00:00",5,1.583,920,0
"2013-08-08 15:30:00",6,1.584,920,0
"2013-08-08 16:00:00",7,1.585,920,0
"2013-08-08 16:30:00",8,1.581,920,0
"2013-08-08 17:00:00",9,1.583,920,0
"2013-08-08 17:30:00",10,1.584,919,0
"2013-08-08 18:00:00",11,1.584,920,0
"2013-08-08 18:30:00",12,1.583,920,0
"2013-08-08 19:00:00",13,1.582,920,0
"2013-08-08 19:30:00",14,1.581,920,0
"2013-08-08 20:00:00",15,1.579,920,0
"2013-08-08 20:30:00",16,1.583,920,0
"2013-08-08 21:00:00",17,1.588,920,0
"2013-08-08 21:30:00",18,1.591,920,0
"2013-08-08 22:00:00",19,1.594,920,0
"2013-08-08 22:30:00",20,1.595,921,0
"2013-08-08 23:00:00",21,1.599,921,0
"2013-08-08 23:30:00",22,1.597,921,0
"2013-08-09 00:00:00",23,1.609,921,0
"2013-08-09 00:30:00",24,1.598,922,0
"2013-08-09 01:00:00",25,1.614,922,0
"2013-08-09 01:30:00",26,1.62,922,0
"2013-08-09 02:00:00",27,1.617,922,0
"2013-08-09 02:30:00",28,1.618,922,0
"2013-08-09 03:00:00",29,1.612,922,0
"2013-08-09 03:30:00",30,1.618,922,0
"2013-08-09 04:00:00",31,1.618,922,0
"2013-08-09 04:30:00",32,1.619,922,0
"2013-08-09 05:00:00",33,1.618,922,0
"2013-08-09 05:30:00",34,1.619,922,0
"2013-08-09 06:00:00",35,1.621,922,0
"2013-08-09 06:30:00",36,1.62,922,0
"2013-08-09 07:00:00",37,1.619,922,0
"2013-08-09 07:30:00",38,1.615,922,0
"2013-08-09 08:00:00",39,1.608,922,0
"2013-08-09 08:30:00",40,1.603,922,0
"2013-08-09 09:00:00",41,1.6,922,0
"2013-08-09 09:30:00",42,1.598,922,0
"2013-08-09 10:00:00",43,1.595,922,0
"2013-08-09 10:30:00",44,1.591,922,0
"2013-08-09 11:00:00",45,1.594,922,0
"2013-08-09 11:30:00",46,1.588,921,0
"2013-08-09 12:00:00",47,1.589,921,0
"2013-08-09 12:30:00",48,1.584,921,0
"2013-08-09 13:00:00",49,1.583,921,0
"2013-08-09 13:30:00",50,1.587,921,0
"2013-08-09 14:00:00",51,1.582,921,0
"2013-08-09 14:30:00",52,1.585,921,0
"2013-08-09 15:00:00",53,1.582,920,0
"2013-08-09 15:30:00",54,1.584,920,0
"2013-08-09 16:00:00",55,1.577,920,0
"2013-08-09 16:30:00",56,1.579,920,0
"2013-08-09 17:00:00",57,1.581,920,0
"2013-08-09 17:30:00",58,1.58,920,0
"2013-08-09 18:00:00",59,1.579,920,0
"2013-08-09 18:30:00",60,1.581,920,0
"2013-08-09 19:00:00",61,1.583,920,0
"2013-08-09 19:30:00",62,1.583,920,0
"2013-08-09 20:00:00",63,1.587,920,0
"2013-08-09 20:30:00",64,1.591,920,0
"2013-08-09 21:00:00",65,1.59,920,0
"2013-08-09 21:30:00",66,1.589,920,0
"2013-08-09 22:00:00",67,1.591,920,0
"2013-08-09 22:30:00",68,1.592,920,0
"2013-08-09 23:00:00",69,1.592,920,0
"2013-08-09 23:30:00",70,1.593,920,0
"2013-08-10 00:00:00",71,1.594,920,0
"2013-08-10 00:30:00",72,1.595,920,0
"2013-08-10 01:00:00",73,1.596,921,0
"2013-08-10 01:30:00",74,1.599,921,0
"2013-08-10 02:00:00",75,1.596,921,0
"2013-08-10 02:30:00",76,1.595,921,0
"2013-08-10 03:00:00",77,1.599,921,0
"2013-08-10 03:30:00",78,1.596,921,0
"2013-08-10 04:00:00",79,1.598,922,0
"2013-08-10 04:30:00",80,1.603,922,0
"2013-08-10 05:00:00",81,1.602,922,0
"2013-08-10 05:30:00",82,1.606,922,0
"2013-08-10 06:00:00",83,1.611,922,0
"2013-08-10 06:30:00",84,1.613,923,0
"2013-08-10 07:00:00",85,1.61,923,0
"2013-08-10 07:30:00",86,1.605,923,0
"2013-08-10 08:00:00",87,1.602,923,0
"2013-08-10 08:30:00",88,1.598,923,0
"2013-08-10 09:00:00",89,1.595,923,0
"2013-08-10 09:30:00",90,1.595,923,0
"2013-08-10 10:00:00",91,1.592,923,0
"2013-08-10 10:30:00",92,1.59,923,0
"2013-08-10 11:00:00",93,1.587,923,0
"2013-08-10 11:30:00",94,1.59,923,0
"2013-08-10 12:00:00",95,1.591,923,0
"2013-08-10 12:30:00",96,1.588,923,0
"2013-08-10 13:00:00",97,1.59,922,0
"2013-08-10 13:30:00",98,1.583,922,0
"2013-08-10 14:00:00",99,1.58,922,0
"2013-08-10 14:30:00",100,1.578,922,0
"2013-08-10 15:00:00",101,1.58,922,0
"2013-08-10 15:30:00",102,1.579,922,0
"2013-08-10 16:00:00",103,1.572,921,0
"2013-08-10 16:30:00",104,1.579,921,0
"2013-08-10 17:00:00",105,1.574,921,0
"2013-08-10 17:30:00",106,1.573,921,0
"2013-08-10 18:00:00",107,1.574,921,0
"2013-08-10 18:30:00",108,1.574,921,0
"2013-08-10 19:00:00",109,1.575,921,0
"2013-08-10 19:30:00",110,1.574,921,0
"2013-08-10 20:00:00",111,1.576,921,0
"2013-08-10 20:30:00",112,1.575,921,0
"2013-08-10 21:00:00",113,1.578,921,0
"2013-08-10 21:30:00",114,1.58,922,0
"2013-08-10 22:00:00",115,1.584,922,0
"2013-08-10 22:30:00",116,1.587,923,0
"2013-08-10 23:00:00",117,1.593,923,0
"2013-08-10 23:30:00",118,1.594,923,0
"2013-08-11 00:00:00",119,1.594,924,0
"2013-08-11 00:30:00",120,1.6,924,0
"2013-08-11 01:00:00",121,1.605,924,0
"2013-08-11 01:30:00",122,1.608,924,0
"2013-08-11 02:00:00",123,1.607,925,0
"2013-08-11 02:30:00",124,1.609,925,0
"2013-08-11 03:00:00",125,1.611,925,0
"2013-08-11 03:30:00",126,1.607,925,0
"2013-08-11 04:00:00",127,1.611,925,0
"2013-08-11 04:30:00",128,1.615,926,0
"2013-08-11 05:00:00",129,1.61,926,0
"2013-08-11 05:30:00",130,1.617,926,0
"2013-08-11 06:00:00",131,1.615,926,0
"2013-08-11 06:30:00",132,1.617,926,0
"2013-08-11 07:00:00",133,1.613,926,0
"2013-08-11 07:30:00",134,1.609,927,0
"2013-08-11 08:00:00",135,1.605,926,0
