"TOA5","5264","CR1000","5264","CR1000.Std.10","CRD:KLRS_CMA6_8AUG2013.CR1","35202","Health"
"TIMESTAMP","RECORD","Batt_Volt_Max","Batt_Volt_Min","Batt_Volt_TMn","Batt_Volt_Avg","Panel_Temp_Max","Panel_Temp_TMx","Panel_Temp_Min","Panel_Temp_Avg"
"TS","RN","Volts","Volts","Volts","Volts","Deg C","Deg C","Deg C","Deg C"
"","","Max","Min","TMn","Avg","Max","TMx","Min","Avg"
"2013-08-09 00:00:00",0,13.62,12.51,"2013-08-09 00:00:00",13.26,20.13,"2013-08-08 16:53:30",11.2,17.16
"2013-08-10 00:00:00",1,13.76,12.4,"2013-08-09 06:00:00",13.07,19.28,"2013-08-09 15:10:30",4.021,12.34
"2013-08-11 00:00:00",2,13.71,12.43,"2013-08-10 06:30:00",13.05,22.78,"2013-08-10 18:45:30",7.51,15.54
"2013-08-12 00:00:00",3,13.7,12.41,"2013-08-11 06:30:00",13.03,23.35,"2013-08-11 18:00:30",5.16,15.23
"2013-08-13 00:00:00",4,13.63,12.43,"2013-08-12 07:00:00",13.01,24.51,"2013-08-12 17:32:00",9.17,17.06
"2013-08-14 00:00:00",5,13.63,12.44,"2013-08-13 06:30:00",13.02,24.1,"2013-08-13 18:29:30",8.77,17.31
"2013-08-15 00:00:00",6,13.71,12.41,"2013-08-14 06:30:00",13.02,25.46,"2013-08-14 17:52:30",5.485,15.2
"2013-08-16 00:00:00",7,13.7,12.42,"2013-08-15 06:30:00",13.03,23.35,"2013-08-15 18:25:00",6.852,15.67
"2013-08-17 00:00:00",8,13.76,12.42,"2013-08-16 07:00:00",13.06,20.8,"2013-08-16 18:11:30",5.009,14.16
"2013-08-18 00:00:00",9,13.72,12.43,"2013-08-17 06:30:00",13.07,14.13,"2013-08-17 12:52:00",6.005,11.17
"2013-08-19 00:00:00",10,13.81,12.39,"2013-08-18 06:30:00",13.01,18.3,"2013-08-18 15:02:00",2.865,10.74
"2013-08-20 00:00:00",11,13.8,12.4,"2013-08-19 07:00:00",13.08,14.44,"2013-08-19 18:58:00",5.96,9.23
"2013-08-21 00:00:00",12,13.87,12.37,"2013-08-20 07:00:00",13.09,18.05,"2013-08-20 18:04:00",0.628,9.77
"2013-08-22 00:00:00",13,13.75,12.42,"2013-08-21 06:30:00",13.06,13.49,"2013-08-21 19:04:00",5.939,9.7
"2013-08-23 00:00:00",14,13.91,12.36,"2013-08-22 06:30:00",13.09,18.1,"2013-08-22 18:21:00",0.479,9.08
"2013-08-24 00:00:00",15,13.87,12.38,"2013-08-23 06:30:00",13.09,12.77,"2013-08-23 16:44:30",2.46,7.92
"2013-08-25 00:00:00",16,13.81,12.41,"2013-08-24 07:00:00",13.06,11.36,"2013-08-24 13:16:30",6.156,8.36
"2013-08-26 00:00:00",17,13.85,12.39,"2013-08-25 07:30:00",13.06,11.43,"2013-08-25 14:27:00",4.859,7.373
"2013-08-27 00:00:00",18,13.78,12.39,"2013-08-26 07:00:00",13,13.3,"2013-08-26 14:49:00",3.206,8.46
"2013-08-28 00:00:00",19,13.73,12.42,"2013-08-27 07:00:00",13.03,17.62,"2013-08-27 19:08:00",6.983,11.59
"2013-08-29 00:00:00",20,13.83,12.39,"2013-08-28 06:30:00",13.05,18.79,"2013-08-28 16:19:30",3.099,10.9
"2013-08-30 00:00:00",21,13.88,12.38,"2013-08-29 07:00:00",13.04,19.15,"2013-08-29 17:44:30",2.011,10.63
"2013-08-31 00:00:00",22,13.89,12.37,"2013-08-30 07:30:00",13.03,20.31,"2013-08-30 18:35:00",0.608,10.81
"2013-09-01 00:00:00",23,13.75,12.41,"2013-08-31 07:30:00",13.01,13.82,"2013-08-31 16:06:30",5.765,10.05
"2013-09-02 00:00:00",24,13.76,12.43,"2013-09-01 07:00:00",13.02,13.14,"2013-09-01 19:28:00",6.308,9.75
"2013-09-03 00:00:00",25,13.84,12.4,"2013-09-02 07:30:00",13.07,17.41,"2013-09-02 15:20:00",3.698,10.1
"2013-09-04 00:00:00",26,13.71,12.43,"2013-09-03 04:00:00",13.01,19.02,"2013-09-03 16:54:00",6.59,12.27
"2013-09-05 00:00:00",27,13.74,12.41,"2013-09-04 07:30:00",13.01,21.23,"2013-09-04 15:25:30",5.851,13.35
"2013-09-06 00:00:00",28,13.89,12.38,"2013-09-05 07:00:00",13.06,17.41,"2013-09-05 17:33:00",1.755,9.82
"2013-09-07 00:00:00",29,13.85,12.38,"2013-09-06 07:00:00",13.04,16.36,"2013-09-06 17:43:00",2.288,9.51
"2013-09-08 00:00:00",30,13.8,12.41,"2013-09-07 07:30:00",13.03,18.56,"2013-09-07 12:41:30",3.721,11.89
"2013-09-09 00:00:00",31,13.7,12.43,"2013-09-08 07:30:00",13.02,18.12,"2013-09-08 15:31:30",5.291,12.36
"2013-09-10 00:00:00",32,13.97,12.35,"2013-09-09 07:30:00",13.07,15.53,"2013-09-09 18:43:30",-0.628,7.237
"2013-09-11 00:00:00",33,13.9,12.37,"2013-09-10 06:00:00",13.04,17.14,"2013-09-10 17:51:00",-0.138,8.34
"2013-09-12 00:00:00",34,13.73,12.41,"2013-09-11 08:00:00",13.02,15.65,"2013-09-11 14:11:30",5.637,10.54
"2013-09-13 00:00:00",35,13.95,12.36,"2013-09-12 07:30:00",13.06,14.88,"2013-09-12 17:00:00",-0.118,7.688
"2013-09-14 00:00:00",36,13.99,12.35,"2013-09-13 06:30:00",13.07,13.94,"2013-09-13 17:59:30",-1.01,6.462
"2013-09-15 00:00:00",37,13.81,12.4,"2013-09-14 07:30:00",12.99,10.58,"2013-09-14 18:08:00",5.311,7.725
"2013-09-16 00:00:00",38,13.81,12.42,"2013-09-15 08:30:00",12.88,8.3,"2013-09-15 01:23:30",5.268,7.312
