TOA5,5264,CR1000,5264,CR1000.Std.10,CRD:KLRS_CMA6_13JULY2015.CR1,35202,FiveMin,,,
TIMESTAMP,RECORD,WS_ms_S_WVT,WindDir_D1_WVT,WindDir_SD1_WVT,WS_ms_Max,AirTC_Avg,NR_Wm2_Avg,RH_Avg,SWin_Wm2_Avg,SWout_Wm2_Avg
TS,RN,meters/second,Deg,Deg,meters/second,Deg C,W/m²,%,W/m²,W/m²
,,WVc,WVc,WVc,Max,Avg,Avg,Avg,Avg,Avg
15-07-20 16:25,0,0.967,351.5,0,1.934,14.48,386.4,62.02,644.4,81.2
15-07-20 16:30,1,2.218,13.1,19.35,3.263,14.8,570.3,60.47,856,111
15-07-20 16:35,2,1.932,339.6,28.67,2.228,15.55,483,58.61,726,92.2
15-07-20 16:40,3,2.368,9.83,17.33,3.456,15.19,176.6,56.01,336.8,42.14
15-07-20 16:45,4,1.733,350.7,23.54,2.571,14.59,152,57.65,310.2,39.86
15-07-20 16:50,5,2.103,328,12.23,2.803,14.17,105.5,58.29,253.6,32.85
15-07-20 16:55,6,2.881,332.8,14.95,3.688,13.8,107.4,59.55,260.8,34.94
15-07-20 17:00,7,2.77,336.8,10.92,3.08,13.65,170.4,60.37,342.9,44.97
15-07-20 17:05,8,2.5,328.4,22.66,3.002,14.09,339.8,59.37,569.7,75.38
15-07-20 17:10,9,2.453,337.2,9.03,3.11,14.56,352.8,58.14,603.7,79.73
15-07-20 17:15,10,2.488,334.5,15.21,3.08,14.85,370.1,56.21,611,80.6
15-07-20 17:20,11,1.841,337.1,20.75,2.476,15.17,418.1,56.73,693.1,92.7
15-07-20 17:25,12,1.983,345.2,30.89,2.849,15.58,407.7,57.35,682.9,90.7
15-07-20 17:30,13,2.499,3.809,14.54,3.525,15.26,405.3,58.78,677.1,91.2
15-07-20 17:35,14,2.096,345.6,27.21,3.486,15.22,358.4,58.66,620.2,82.9
15-07-20 17:40,15,2.431,329,21.68,3.381,14.97,224.9,55.82,433.2,59.49
15-07-20 17:45,16,2.512,328.3,11.29,3.165,14.48,363.2,57.93,623.7,88
15-07-20 17:50,17,2.336,328.7,19.87,3.064,15,405,55.13,676.9,94.5
15-07-20 17:55,18,2.378,347.2,25.23,3.185,15.33,355.2,55.71,609.2,84.1
15-07-20 18:00,19,1.818,346.3,21.18,2.084,14.95,132.9,55.97,313.4,42.23
15-07-20 18:05,20,2.079,329.1,16.72,2.773,14.95,362.3,56.56,613.7,87.1
15-07-20 18:10,21,1.748,337,24.42,2.414,15.05,266.9,57.15,490.4,68.18
15-07-20 18:15,22,1.907,357.4,16.02,2.434,15.2,218.2,57.18,428.9,58.77
15-07-20 18:20,23,1.853,310.2,10.33,2.166,14.37,143.5,60.69,315.7,44.83
15-07-20 18:25,24,1.457,334,12.47,2.153,13.9,67.37,62.37,212.3,28.94
15-07-20 18:30,25,1.402,328.5,27.26,1.686,13.82,238.8,63.38,444.7,64.02
15-07-20 18:35,26,1.729,324.6,17.96,2.202,14.52,320.7,60.42,570.3,82.6
15-07-20 18:40,27,1.891,324.3,20.47,2.404,14.9,287.5,57.68,528.6,76.72
15-07-20 18:45,28,1.801,331.5,25.7,2.486,15.04,279.2,57.62,526,76.89
15-07-20 18:50,29,1.903,353.3,28.67,2.525,15.32,280.1,55.84,527.4,76.86
15-07-20 18:55,30,1.793,321.6,16.59,2.672,15.37,273,56.44,521,77.69
15-07-20 19:00,31,1.956,332,13.86,2.512,14.92,273.8,58.2,510.8,76.42
15-07-20 19:05,32,2.202,330.5,13.25,2.982,14.38,-5.229,59.25,112.1,15.28
15-07-20 19:10,33,1.702,340.2,18.89,2.394,13.46,-28.02,61.99,83.1,12.04
15-07-20 19:15,34,1.365,324.1,24.05,1.852,13.35,17.46,63.5,149,21.86
15-07-20 19:20,35,1.404,346,17.06,1.865,13.22,-15.15,64.17,94.7,12.84
15-07-20 19:25,36,1.666,334.5,12.69,2.306,13.2,-6.016,63.4,100.3,13.75
15-07-20 19:30,37,1.305,332.8,13.75,1.699,13.19,25.61,64.15,136,18.98
15-07-20 19:35,38,1.194,337.4,28.67,1.885,13.4,61.33,62.78,176.1,24.03
15-07-20 19:40,39,1.433,326.9,40.17,2.071,13.8,105.2,60.75,226.8,31.27
15-07-20 19:45,40,0.752,332.7,14.02,1.294,14.12,93.1,59.63,195.2,25.36
15-07-20 19:50,41,0.966,332.3,22,1.581,14.16,87.1,60.63,187.9,24.32
15-07-20 19:55,42,0.554,320.2,36.29,0.99,13.98,132.3,63.49,266.2,38.78
