TOA5,5264,CR1000,5264,CR1000.Std.10,CRD:KLRS_CMA6_13JULY2015.CR1,35202,HalfHour
TIMESTAMP,RECORD,DT,BP,Rain_mm_Tot,,,
TS,RN,m,hPa(mb),mm,,,
,,Smp,Smp,Tot,,,
15-07-20 16:30,0,1.547,926,0,,,
15-07-20 17:00,1,1.578,925,0,,,
15-07-20 17:30,2,1.58,925,0,,,
15-07-20 18:00,3,1.577,925,0,,,
15-07-20 18:30,4,1.571,925,0,,,
15-07-20 19:00,5,1.568,925,0,,,
15-07-20 19:30,6,1.573,925,0,,,
15-07-20 20:00,7,1.562,924,0,,,
15-07-20 20:30,8,1.579,925,0,,,
15-07-20 21:00,9,1.569,924,0,,,
15-07-20 21:30,10,1.581,924,0,,,
15-07-20 22:00,11,1.579,924,0,,,
15-07-20 22:30,12,1.581,925,0,,,
15-07-20 23:00,13,1.579,925,0,,,
15-07-20 23:30,14,1.56,924,0,,,
15-07-21 0:00,15,1.557,925,0,,,
15-07-21 0:30,16,1.541,925,0,,,
15-07-21 1:00,17,1.556,925,0,,,
15-07-21 1:30,18,1.553,925,0,,,
15-07-21 2:00,19,1.546,925,0,,,
15-07-21 2:30,20,1.573,924,0,,,
15-07-21 3:00,21,1.579,924,0,,,
15-07-21 3:30,22,1.592,924,0,,,
15-07-21 4:00,23,1.581,924,0,,,
15-07-21 4:30,24,1.591,924,0,,,
15-07-21 5:00,25,1.584,924,0,,,
15-07-21 5:30,26,1.58,924,0,,,
15-07-21 6:00,27,1.59,924,0,,,
15-07-21 6:30,28,1.593,924,0,,,
15-07-21 7:00,29,1.583,924,0,,,
15-07-21 7:30,30,1.589,924,0,,,
15-07-21 8:00,31,1.582,923,0,,,
15-07-21 8:30,32,1.584,923,0,,,
15-07-21 9:00,33,1.585,923,0,,,
15-07-21 9:30,34,1.57,923,0,,,
15-07-21 10:00,35,1.56,922,0,,,
15-07-21 10:30,36,1.572,922,0,,,
15-07-21 11:00,37,1.572,922,0,,,
15-07-21 11:30,38,1.568,922,0,,,
15-07-21 12:00,39,1.562,921,0,,,
15-07-21 12:30,40,1.573,921,0,,,
15-07-21 13:00,41,1.571,921,0,,,
15-07-21 13:30,42,1.572,920,0,,,
15-07-21 14:00,43,1.556,920,0,,,
15-07-21 14:30,44,1.55,919,0,,,
15-07-21 15:00,45,1.56,919,0,,,
15-07-21 15:30,46,1.564,919,0,,,
15-07-21 16:00,47,1.542,918,0,,,
15-07-21 16:30,48,1.555,918,0,,,
15-07-21 17:00,49,1.523,918,0,,,
15-07-21 17:30,50,1.522,917,0,,,
15-07-21 18:00,51,1.511,917,0,,,
15-07-21 18:30,52,1.54,917,0,,,
15-07-21 19:00,53,1.555,917,0,,,
15-07-21 19:30,54,1.554,916,0,,,
15-07-21 20:00,55,1.569,916,0,,,
15-07-21 20:30,56,1.524,916,0,,,
15-07-21 21:00,57,1.536,916,0,,,
15-07-21 21:30,58,1.531,916,0,,,
15-07-21 22:00,59,1.53,916,0,,,
15-07-21 22:30,60,1.539,917,0,,,
15-07-21 23:00,61,1.546,917,0,,,
15-07-21 23:30,62,1.552,917,0,,,
15-07-22 0:00,63,1.566,917,0,,,
15-07-22 0:30,64,1.56,918,0,,,
15-07-22 1:00,65,1.556,918,0,,,
15-07-22 1:30,66,1.559,918,0,,,
15-07-22 2:00,67,1.57,918,0,,,
15-07-22 2:30,68,1.572,918,0,,,
15-07-22 3:00,69,1.567,918,0,,,
15-07-22 3:30,70,1.57,918,0,,,
15-07-22 4:00,71,1.58,918,0,,,
15-07-22 4:30,72,1.58,918,0,,,
15-07-22 5:00,73,1.58,918,0,,,
15-07-22 5:30,74,1.583,918,0,,,
15-07-22 6:00,75,1.585,918,0,,,
15-07-22 6:30,76,1.581,918,0,,,
15-07-22 7:00,77,1.579,918,0,,,
15-07-22 7:30,78,1.577,917,0,,,
15-07-22 8:00,79,1.574,917,0,,,
15-07-22 8:30,80,1.568,917,0,,,
15-07-22 9:00,81,1.567,917,0,,,
15-07-22 9:30,82,1.567,917,0,,,
15-07-22 10:00,83,1.566,917,0,,,
15-07-22 10:30,84,1.562,917,0,,,
15-07-22 11:00,85,1.56,917,0,,,
15-07-22 11:30,86,1.565,917,0,,,
15-07-22 12:00,87,1.561,916,0,,,
15-07-22 12:30,88,1.569,916,0,,,
15-07-22 13:00,89,1.561,916,0,,,
15-07-22 13:30,90,1.558,915,0,,,
15-07-22 14:00,91,1.567,915,0,,,
15-07-22 14:30,92,1.565,914,0,,,
15-07-22 15:00,93,1.566,914,0,,,
15-07-22 15:30,94,1.566,913,0,,,
15-07-22 16:00,95,1.578,913,0,,,
15-07-22 16:30,96,1.561,913,0.1,,,
15-07-22 17:00,97,1.547,913,0,,,
15-07-22 17:30,98,1.563,913,0,,,
15-07-22 18:00,99,1.564,913,0,,,
15-07-22 18:30,100,1.539,912,0,,,
15-07-22 19:00,101,1.548,912,0,,,
15-07-22 19:30,102,1.569,912,0,,,
15-07-22 20:00,103,1.574,912,0,,,
15-07-22 20:30,104,1.565,912,0,,,
15-07-22 21:00,105,1.551,912,0,,,
15-07-22 21:30,106,1.554,912,0,,,
15-07-22 22:00,107,1.549,912,0,,,
15-07-22 22:30,108,1.578,912,0,,,
15-07-22 23:00,109,1.554,912,0,,,
15-07-22 23:30,110,1.556,912,0,,,
15-07-23 0:00,111,1.56,912,0,,,
15-07-23 0:30,112,1.564,912,0,,,
15-07-23 1:00,113,1.593,912,0,,,
15-07-23 1:30,114,1.562,912,0,,,
15-07-23 2:00,115,1.568,912,0,,,
15-07-23 2:30,116,1.569,912,0,,,
15-07-23 3:00,117,1.571,912,0,,,
15-07-23 3:30,118,1.57,912,0,,,
15-07-23 4:00,119,1.564,912,0,,,
15-07-23 4:30,120,1.564,911,0,,,
15-07-23 5:00,121,1.567,911,0,,,
15-07-23 5:30,122,1.562,912,0,,,
15-07-23 6:00,123,1.562,912,0,,,
15-07-23 6:30,124,1.561,911,0,,,
15-07-23 7:00,125,1.564,911,0,,,
15-07-23 7:30,126,1.559,911,0,,,
15-07-23 8:00,127,1.577,911,0,,,
15-07-23 8:30,128,1.567,911,0,,,
15-07-23 9:00,129,1.567,911,0,,,
15-07-23 9:30,130,1.574,911,0,,,
15-07-23 10:00,131,1.543,911,0,,,
15-07-23 10:30,132,1.543,911,0,,,
15-07-23 11:00,133,1.55,911,0,,,
15-07-23 11:30,134,1.535,911,0,,,
15-07-23 12:00,135,1.542,911,0,,,
15-07-23 12:30,136,1.548,911,0,,,
15-07-23 13:00,137,1.539,910,0,,,
15-07-23 13:30,138,1.562,910,0,,,
15-07-23 14:00,139,1.539,910,0,,,
15-07-23 14:30,140,1.545,910,0,,,
15-07-23 15:00,141,1.553,910,0,,,
15-07-23 15:30,142,1.567,910,0,,,
15-07-23 16:00,143,1.573,910,0,,,
15-07-23 16:30,144,1.549,910,0,,,
15-07-23 17:00,145,1.535,910,0,,,
15-07-23 17:30,146,1.565,910,0,,,
15-07-23 18:00,147,1.56,910,0,,,
15-07-23 18:30,148,1.57,910,0,,,
15-07-23 19:00,149,1.562,910,0,,,
15-07-23 19:30,150,1.569,910,0,,,
15-07-23 20:00,151,1.561,910,0,,,
15-07-23 20:30,152,1.576,910,0,,,
15-07-23 21:00,153,1.529,911,0,,,
15-07-23 21:30,154,1.585,911,0.2,,,
15-07-23 22:00,155,1.512,911,0.1,,,
15-07-23 22:30,156,1.513,912,0,,,
15-07-23 23:00,157,1.51,912,0,,,
15-07-23 23:30,158,1.498,912,0,,,
15-07-24 0:00,159,1.499,912,0,,,
