TOA5,5264,CR1000,5264,CR1000.Std.10,CRD:KLRS_CMA6_13JULY2015.CR1,35202,Health,,
TIMESTAMP,RECORD,Batt_Volt_Max,Batt_Volt_Min,Batt_Volt_TMn,Batt_Volt_Avg,Panel_Temp_Max,Panel_Temp_TMx,Panel_Temp_Min,Panel_Temp_Avg
TS,RN,Volts,Volts,Volts,Volts,Deg C,Deg C,Deg C,Deg C
,,Max,Min,TMn,Avg,Max,TMx,Min,Avg
15-07-21 0:00,0,13.6,12.61,15-07-21 0:00,13.38,16.89,15-07-20 16:41,10.77,14.95
15-07-22 0:00,1,13.67,12.44,15-07-21 6:00,13.14,20.5,15-07-21 18:13,8.39,14.66
15-07-23 0:00,2,13.75,12.42,15-07-22 6:00,13.14,19.6,15-07-22 18:50,6.025,13.24
15-07-24 0:00,3,13.77,12.41,15-07-23 6:00,13.16,16.98,15-07-23 17:19,5.831,12.04
15-07-25 0:00,4,13.66,12.44,15-07-24 7:00,13.06,17.01,15-07-24 19:46,9.55,12.35
15-07-26 0:00,5,13.79,12.41,15-07-25 6:00,13.11,23.72,15-07-25 17:29,4.322,14.26
15-07-27 0:00,6,13.74,12.43,15-07-26 6:00,13.21,17.04,15-07-26 18:05,6.766,11.87
15-07-28 0:00,7,13.78,12.42,15-07-27 6:00,13.18,19.42,15-07-27 16:29,5.203,12.76
15-07-29 0:00,8,13.75,12.43,15-07-28 6:00,13.15,17.74,15-07-28 18:58,7.464,12.25
15-07-30 0:00,9,13.77,12.41,15-07-29 6:00,13.17,15.87,15-07-29 13:55,4.322,11.12
15-07-31 0:00,10,13.81,12.42,15-07-30 5:30,13.27,10.88,15-07-30 12:45,6.678,8.62
15-08-01 0:00,11,13.73,12.42,15-07-31 6:00,13.18,16.71,15-07-31 16:54,7.51,11.55
15-08-02 0:00,12,13.74,12.43,15-08-01 6:00,13.14,20.77,15-08-01 17:40,7.421,13.2
15-08-03 0:00,13,13.74,12.42,15-08-02 6:00,13.18,13.78,15-08-02 20:15,6.177,10.64
15-08-04 0:00,14,13.69,12.42,15-08-03 6:30,13.12,21.72,15-08-03 18:07,7.049,14.52
15-08-05 0:00,15,13.74,12.39,15-08-04 6:00,13.08,25.43,15-08-04 18:35,2.779,14.98
15-08-06 0:00,16,13.67,12.44,15-08-05 6:30,13.07,25.13,15-08-05 17:37,9.62,17.08
15-08-07 0:00,17,13.64,12.45,15-08-06 6:00,13.08,14.61,15-08-06 0:00,11.08,13
15-08-08 0:00,18,13.72,12.43,15-08-07 7:00,13.12,19.15,15-08-07 18:57,8.41,12.87
15-08-09 0:00,19,13.79,12.4,15-08-08 6:30,13.1,22.45,15-08-08 18:23,4.665,13.78
15-08-10 0:00,20,13.78,12.4,15-08-09 6:30,13.11,20.64,15-08-09 17:21,5.311,12.55
15-08-11 0:00,21,13.75,12.41,15-08-10 6:30,13.11,20.5,15-08-10 16:21,5.117,13.45
15-08-12 0:00,22,13.7,12.44,15-08-11 7:00,13.16,16.89,15-08-11 20:39,9.5,12.71
15-08-13 0:00,23,13.81,12.4,15-08-12 8:00,13.08,11.91,15-08-12 17:02,5.334,8.67
15-08-14 0:00,24,13.88,12.37,15-08-13 6:30,13.11,20.31,15-08-13 18:57,-0.052,10.46
15-08-15 0:00,25,13.81,12.39,15-08-14 6:00,13.09,22.14,15-08-14 19:36,3.079,12.47
15-08-16 0:00,26,13.77,12.4,15-08-15 6:30,13.08,22.08,15-08-15 17:36,4.236,13.29
15-08-17 0:00,27,13.74,12.41,15-08-16 7:00,13.09,20,15-08-16 18:56,5.657,13.35
15-08-18 0:00,28,13.77,12.41,15-08-17 7:00,13.13,15.97,15-08-17 17:08,5.851,11.51
15-08-19 0:00,29,13.64,12.43,15-08-18 6:00,13.01,21.86,15-08-18 14:41,7.882,13.51
15-08-20 0:00,30,13.71,12.43,15-08-19 5:30,13.01,15.95,15-08-19 17:20,7.421,10.34
15-08-21 0:00,31,13.76,12.42,15-08-20 7:30,13.07,14.35,15-08-20 19:23,3.655,9.38
15-08-22 0:00,32,13.89,12.38,15-08-21 6:30,13.13,16.66,15-08-21 17:41,0.565,8.64
15-08-23 0:00,33,13.76,12.41,15-08-22 8:30,13.07,13.47,15-08-22 17:58,6.766,9.59
15-08-24 0:00,34,13.78,12.42,15-08-23 7:00,13.09,11.54,15-08-23 18:31,5.591,8.39
15-08-25 0:00,35,13.77,12.41,15-08-24 7:00,13.07,13.87,15-08-24 18:06,5.009,9.04
15-08-26 0:00,36,13.92,12.37,15-08-25 7:00,13.1,18.79,15-08-25 18:16,0.054,10.08
15-08-27 0:00,37,13.8,12.39,15-08-26 6:30,13.06,16.84,15-08-26 15:12,4.728,10.73
15-08-28 0:00,38,13.8,12.41,15-08-27 7:00,13.14,10.61,15-08-27 0:00,4.665,7.79
