TOA5,5264,CR1000,5264,CR1000.Std.10,CRD:KLRS_CMA6_Sept2014.CR1,35202,Health,,
TIMESTAMP,RECORD,Batt_Volt_Max,Batt_Volt_Min,Batt_Volt_TMn,Batt_Volt_Avg,Panel_Temp_Max,Panel_Temp_TMx,Panel_Temp_Min,Panel_Temp_Avg
TS,RN,Volts,Volts,Volts,Volts,Deg C,Deg C,Deg C,Deg C
,,Max,Min,TMn,Avg,Max,TMx,Min,Avg
14-09-08 0:00,0,13.85,12.56,14-09-08 0:00,13.31,7.18,14-09-07 18:22,4.107,6.032
14-09-09 0:00,1,13.85,12.4,14-09-08 7:30,13.07,12.7,14-09-08 18:17,3.635,6.811
14-09-10 0:00,2,14,12.35,14-09-09 7:30,13.11,14.21,14-09-09 17:54,-1.48,6.297
14-09-11 0:00,3,13.82,12.4,14-09-10 7:30,13.03,15.65,14-09-10 18:09,4.213,9.11
14-09-12 0:00,4,13.81,12.4,14-09-11 8:00,13,16.71,14-09-11 17:44,3.978,8.86
14-09-13 0:00,5,13.83,12.39,14-09-12 6:30,13.01,12.09,14-09-12 17:24,2.822,7.494
14-09-14 0:00,6,13.81,12.4,14-09-13 8:00,12.99,20.8,14-09-13 16:51,3.655,11.17
14-09-15 0:00,7,13.76,12.4,14-09-14 8:00,13,18.92,14-09-14 15:56,4.279,11.15
14-09-16 0:00,8,13.87,12.39,14-09-15 8:00,13.03,19.52,14-09-15 17:13,2.503,10.96
14-09-17 0:00,9,13.97,12.35,14-09-16 7:30,13.04,17.19,14-09-16 17:28,-1.139,8.14
14-09-18 0:00,10,13.99,12.34,14-09-17 8:00,13.06,12.6,14-09-17 16:38,-1.245,5.482
14-09-19 0:00,11,14.02,12.34,14-09-18 7:30,13.06,13.4,14-09-18 16:23,-2.205,6.574
14-09-20 0:00,12,13.79,12.4,14-09-19 8:00,13.04,15.43,14-09-19 15:01,4.557,9.35
14-09-21 0:00,13,13.85,12.38,14-09-20 8:30,13,11.79,14-09-20 17:50,1.053,5.968
14-09-22 0:00,14,13.95,12.34,14-09-21 7:30,12.87,4.451,14-09-21 15:30,-1.821,1.816
14-09-23 0:00,15,13.88,12.37,14-09-22 9:00,12.99,7.882,14-09-22 16:05,0.734,4.221
14-09-24 0:00,16,14.03,12.37,14-09-23 8:00,13.11,10.81,14-09-23 17:47,-2.506,4.461
14-09-25 0:00,17,13.91,12.38,14-09-24 5:00,13.01,9.75,14-09-24 17:29,-2.036,3.879
14-09-26 0:00,18,13.89,12.39,14-09-25 7:30,13.02,9.21,14-09-25 17:31,-3.213,4.357
14-09-27 0:00,19,14.13,12.3,14-09-26 8:00,13.11,5.743,14-09-26 18:33,-5.678,0.256
14-09-28 0:00,20,13.87,12.38,14-09-27 8:30,12.98,9.52,14-09-27 16:28,1.841,5.208
14-09-29 0:00,21,13.89,12.39,14-09-28 7:30,13.02,5.765,14-09-28 17:13,2.652,4.209
14-09-30 0:00,22,13.91,12.38,14-09-29 8:30,13.01,4.728,14-09-29 16:27,2.352,3.538
14-10-01 0:00,23,14.01,12.35,14-09-30 7:30,13.05,2.48,14-09-30 0:00,-0.798,0.17
14-10-02 0:00,24,13.99,12.36,14-10-01 8:30,13.1,5.548,14-10-01 16:36,-5.004,1.012
14-10-03 0:00,25,14.2,12.28,14-10-02 8:00,13.06,0.82,14-10-02 14:58,-8.15,-3.622
14-10-04 0:00,26,14.02,12.32,14-10-03 8:00,12.95,1.457,14-10-03 14:45,-3.235,-1.159
14-10-05 0:00,27,14.02,12.34,14-10-04 8:30,13,11.56,14-10-04 15:22,-2.483,3.442
