,5264,CR1000,5264,CR1000.Std.10,CRD:KLRS_CMA6_30JULY2016.CR1,35202,Health,,
TIMESTAMP,RECORD,Batt_Volt_Max,Batt_Volt_Min,Batt_Volt_TMn,Batt_Volt_Avg,Panel_Temp_Max,Panel_Temp_TMx,Panel_Temp_Min,Panel_Temp_Avg
TS,RN,Volts,Volts,Volts,Volts,Deg C,Deg C,Deg C,Deg C
,,Max,Min,TMn,Avg,Max,TMx,Min,Avg
16-07-23 0:00,0,13.57,12.61,16-07-23 0:00,13.36,18.33,16-07-22 14:37,12.23,16.67
16-07-24 0:00,1,13.73,12.53,16-07-23 6:00,13.24,12.23,16-07-23 0:00,7.29,9.65
16-07-25 0:00,2,13.74,12.52,16-07-24 6:00,13.17,19.28,16-07-24 17:48,7.905,13
16-07-26 0:00,3,13.71,12.52,16-07-25 6:00,13.16,21.29,16-07-25 16:38,8.21,14.09
16-07-27 0:00,4,13.73,12.51,16-07-26 6:30,13.18,18.82,16-07-26 18:05,8.08,13.39
16-07-28 0:00,5,13.74,12.5,16-07-27 6:00,13.19,20.91,16-07-27 18:12,5.874,13.33
16-07-29 0:00,6,13.68,12.52,16-07-28 5:00,13.13,22.67,16-07-28 16:04,9.28,15.46
16-07-30 0:00,7,13.73,12.5,16-07-29 6:00,13.14,19.97,16-07-29 18:17,7.18,13.81
16-07-31 0:00,8,13.78,12.48,16-07-30 6:00,13.18,18.77,16-07-30 20:13,4.193,12.52
16-08-01 0:00,9,13.78,12.47,16-07-31 6:00,13.15,20.42,16-07-31 18:06,2.801,12.81
16-08-02 0:00,10,13.7,12.51,16-08-01 6:00,13.11,24.01,16-08-01 18:29,8.92,15.63
16-08-03 0:00,11,13.77,12.49,16-08-02 6:00,13.15,18.89,16-08-02 19:23,6.025,13.2
16-08-04 0:00,12,13.7,12.49,16-08-03 7:30,13.1,17.31,16-08-03 18:47,8.06,11.95
16-08-05 0:00,13,13.74,12.47,16-08-04 6:30,13.11,21.53,16-08-04 19:05,3.807,13.65
16-08-06 0:00,14,13.77,12.48,16-08-05 6:30,13.15,19.78,16-08-05 17:18,5.268,12.71
16-08-07 0:00,15,13.62,12.51,16-08-06 6:30,13.08,24.25,16-08-06 16:58,8.75,16.73
16-08-08 0:00,16,13.67,12.49,16-08-07 6:00,13.06,24.16,16-08-07 16:46,6.156,15.88
16-08-09 0:00,17,13.63,12.52,16-08-08 6:30,13.07,23.29,16-08-08 16:13,12.14,16.92
16-08-10 0:00,18,13.76,12.47,16-08-09 6:30,13.12,20.24,16-08-09 17:10,5.031,13.73
16-08-11 0:00,19,13.76,12.46,16-08-10 6:30,13.1,22.08,16-08-10 18:26,4.213,13.21
16-08-12 0:00,20,13.78,12.47,16-08-11 6:30,13.12,20.1,16-08-11 15:34,4.728,13.02
16-08-13 0:00,21,13.68,12.49,16-08-12 7:00,13.1,19.76,16-08-12 16:49,9.59,13.91
16-08-14 0:00,22,13.67,12.5,16-08-13 7:30,13.06,20,16-08-13 19:01,9.06,13.59
16-08-15 0:00,23,13.7,12.47,16-08-14 6:00,13.1,16.98,16-08-14 16:09,6.199,12.17
16-08-16 0:00,24,13.79,12.46,16-08-15 6:30,13.12,16.79,16-08-15 16:10,3.956,10.98
16-08-17 0:00,25,13.78,12.47,16-08-16 6:30,13.08,20.64,16-08-16 18:48,5.614,12.68
16-08-18 0:00,26,13.77,12.45,16-08-17 7:00,13.07,21.23,16-08-17 18:10,4.042,12.59
16-08-19 0:00,27,13.71,12.48,16-08-18 6:30,13.04,14.92,16-08-18 18:07,7.686,11.4
16-08-20 0:00,28,13.81,12.46,16-08-19 6:30,13.13,18.2,16-08-19 18:43,3.292,11.54
16-08-21 0:00,29,13.75,12.47,16-08-20 6:30,13.08,18.56,16-08-20 16:42,7.575,12.27
16-08-22 0:00,30,13.8,12.45,16-08-21 6:30,13.08,21.07,16-08-21 18:35,3.741,12.18
16-08-23 0:00,31,13.82,12.45,16-08-22 7:00,13.09,20.72,16-08-22 17:29,3.721,11.99
16-08-24 0:00,32,13.7,12.48,16-08-23 6:30,13.07,22.56,16-08-23 18:01,8.5,14.36
16-08-25 0:00,33,13.76,12.45,16-08-24 7:00,13.05,21.72,16-08-24 18:44,5.463,13.59
16-08-26 0:00,34,13.69,12.47,16-08-25 7:00,13.03,22.75,16-08-25 15:38,7.862,15.09
16-08-27 0:00,35,13.69,12.48,16-08-26 6:00,13.02,14.52,16-08-26 16:47,9.82,11.54
