TOA5,5264,CR1000,5264,CR1000.Std.10,CRD:KLRS_CMA6_30JULY2016.CR1,35202,FiveMin,,,
TIMESTAMP,RECORD,WS_ms_S_WVT,WindDir_D1_WVT,WindDir_SD1_WVT,WS_ms_Max,AirTC_Avg,NR_Wm2_Avg,RH_Avg,SWin_Wm2_Avg,SWout_Wm2_Avg
TS,RN,meters/second,Deg,Deg,meters/second,Deg C,W/m²,%,W/m²,W/m²
,,WVc,WVc,WVc,Max,Avg,Avg,Avg,Avg,Avg
16-07-22 12:50,0,2.557,239.2,10.11,3.476,14.63,209.9,61.83,365.6,45.77
16-07-22 12:55,1,3.422,250.8,10.58,4.025,14.68,491.8,62.55,735.4,90.6
16-07-22 13:00,2,3.299,277.9,16.84,3.861,15.02,648.4,60.46,941,115.7
16-07-22 13:05,3,3.312,268.9,22.69,3.78,15.02,649.1,61,947,116.5
16-07-22 13:10,4,2.424,255.4,17.43,3.129,15.49,616.7,61.69,915,111.7
16-07-22 13:15,5,3.27,251.8,17.06,3.763,15.63,534.7,60.45,788.2,96.6
16-07-22 13:20,6,2.905,268.5,9.87,3.521,15.15,298.2,60.32,496.1,61.57
16-07-22 13:25,7,2.971,262.3,14.07,3.531,15.24,548.6,61.57,817,101.3
16-07-22 13:30,8,2.922,271.2,17.27,3.884,15.61,465.4,61,724,88.1
16-07-22 13:35,9,2.549,278.5,15.65,3.437,15.55,363.6,57.92,570.3,70.14
16-07-22 13:40,10,2.421,276.9,19.15,3.381,15.48,546.8,59.95,802,97.8
16-07-22 13:45,11,2.334,283.3,9.86,3.136,15.86,583.7,60.71,868,105.5
16-07-22 13:50,12,2.261,319.9,10.35,2.911,16.09,446.6,57.66,685.4,83.1
16-07-22 13:55,13,1.999,295.7,21.83,2.92,15.96,326,57.29,537.2,65.68
16-07-22 14:00,14,1.957,288.3,15.66,2.486,15.89,349.1,57.19,570.1,70.1
16-07-22 14:05,15,2.009,275.4,19.14,2.506,15.97,294,56.62,494.3,61.45
16-07-22 14:10,16,2.462,274.8,11.92,3.368,16.21,414.3,57.05,640.2,79.03
16-07-22 14:15,17,2.375,265.2,14.78,3.035,16.05,348,57.97,554,68.8
16-07-22 14:20,18,1.901,291.3,23.06,3.113,16.1,335.3,56.21,524.6,64.93
16-07-22 14:25,19,0.784,273.6,37.45,2.114,16.45,423.8,57.32,642.2,76.74
16-07-22 14:30,20,1.63,302.1,30.31,2.215,16.7,375.1,54,594.1,72.53
16-07-22 14:35,21,1.521,281.3,40.73,2.721,16.65,358.4,53.2,567.1,68.2
16-07-22 14:40,22,1.628,267.4,26.63,2.92,16.52,212.9,53.53,382,46.91
16-07-22 14:45,23,2.002,265.5,15.21,2.486,16.26,225.3,56.63,391,49.09
16-07-22 14:50,24,2.116,268.5,11.78,2.947,16.18,241.1,58.48,411.4,51.43
16-07-22 14:55,25,2.243,266.7,25.72,3.28,16.38,226.2,55.18,392.1,49
16-07-22 15:00,26,1.923,266.1,17.11,2.528,16.26,202.6,58.3,363.5,45.83
16-07-22 15:05,27,2.039,268.1,26.02,3.26,16.32,198.6,56.15,355.9,44.71
16-07-22 15:10,28,1.059,245.7,67.83,2.058,16.37,211.2,55.42,364.3,45.07
16-07-22 15:15,29,1.426,291.7,29.62,2.029,16.58,210.8,55.59,370.8,45.91
16-07-22 15:20,30,1.506,289.6,22.26,2.104,16.62,218.6,56.21,373.9,46.45
16-07-22 15:25,31,1.836,281.6,20.96,2.584,16.62,215,55.82,370,46.16
16-07-22 15:30,32,1.923,282.5,14.24,2.381,16.53,231,54.74,388.9,48.96
16-07-22 15:35,33,1.91,273.5,19.62,2.362,16.74,272.5,54.94,447.2,55.51
16-07-22 15:40,34,2.238,272.5,18.05,3.009,16.86,266.8,52.32,452.7,56.24
16-07-22 15:45,35,2.154,284.2,16.72,2.734,16.81,250.4,53.04,423.3,52.87
16-07-22 15:50,36,2.229,283.8,18.92,3.074,16.85,223.3,52.46,392.1,49.05
16-07-22 15:55,37,2.152,303.9,14.69,2.643,16.73,214.5,52.02,367,46.08
16-07-22 16:00,38,2.05,317.4,12.13,2.773,16.57,188.8,52.76,328.5,41.25
16-07-22 16:05,39,1.754,302.4,22.76,2.241,16.71,173.8,53.38,313.8,39.13
16-07-22 16:10,40,2.099,323.7,33.7,3.005,16.74,191.5,52.09,334.9,41.96
16-07-22 16:15,41,2.505,313.9,22.44,3.437,16.89,320.8,52.82,506.3,63.05
16-07-22 16:20,42,2.424,320.7,17.7,3.466,17.25,282.2,50.86,455.8,54.95
