TOA5,5264,CR1000,5264,CR1000.Std.10,CRD:KLRS_CMA6_30JULY2016.CR1,35202,HalfHour
TIMESTAMP,RECORD,DT,BP,Rain_mm_Tot,,,
TS,RN,m,hPa(mb),mm,,,
,,Smp,Smp,Tot,,,
16-07-22 13:00,0,1.463,915,0,,,
16-07-22 13:30,1,1.476,915,0,,,
16-07-22 14:00,2,1.47,915,0,,,
16-07-22 14:30,3,1.467,914,0,,,
16-07-22 15:00,4,1.473,914,0,,,
16-07-22 15:30,5,1.476,914,0,,,
16-07-22 16:00,6,1.473,913,0,,,
16-07-22 16:30,7,1.467,913,0,,,
16-07-22 17:00,8,1.486,913,0,,,
16-07-22 17:30,9,1.503,913,0,,,
16-07-22 18:00,10,1.513,913,0,,,
16-07-22 18:30,11,1.495,913,0,,,
16-07-22 19:00,12,1.508,913,0,,,
16-07-22 19:30,13,1.5,913,0,,,
16-07-22 20:00,14,1.5,913,0,,,
16-07-22 20:30,15,1.501,913,0,,,
16-07-22 21:00,16,1.505,913,0,,,
16-07-22 21:30,17,1.505,913,0,,,
16-07-22 22:00,18,1.514,913,0,,,
16-07-22 22:30,19,1.514,913,0,,,
16-07-22 23:00,20,1.513,914,0,,,
16-07-22 23:30,21,1.514,914,0,,,
16-07-23 0:00,22,1.518,914,0,,,
16-07-23 0:30,23,1.517,914,0,,,
16-07-23 1:00,24,1.521,914,0,,,
16-07-23 1:30,25,1.521,914,0,,,
16-07-23 2:00,26,1.522,914,0,,,
16-07-23 2:30,27,1.524,914,0,,,
16-07-23 3:00,28,1.525,914,0,,,
16-07-23 3:30,29,1.524,913,0,,,
16-07-23 4:00,30,1.524,913,0,,,
16-07-23 4:30,31,1.525,913,0,,,
16-07-23 5:00,32,1.527,913,0,,,
16-07-23 5:30,33,1.525,912,0,,,
16-07-23 6:00,34,1.527,912,0,,,
16-07-23 6:30,35,1.527,912,0,,,
16-07-23 7:00,36,1.525,912,0,,,
16-07-23 7:30,37,1.524,912,0,,,
16-07-23 8:00,38,1.524,911,0,,,
16-07-23 8:30,39,1.523,911,0,,,
16-07-23 9:00,40,1.523,911,0,,,
16-07-23 9:30,41,1.514,911,0.2,,,
16-07-23 10:00,42,1.506,911,0.4,,,
16-07-23 10:30,43,1.514,911,0.6,,,
16-07-23 11:00,44,1.516,911,0.2,,,
16-07-23 11:30,45,1.514,911,1.2,,,
16-07-23 12:00,46,1.524,911,0.6,,,
16-07-23 12:30,47,1.512,910,0.4,,,
16-07-23 13:00,48,1.526,910,0.2,,,
16-07-23 13:30,49,1.515,910,0.3,,,
16-07-23 14:00,50,1.52,910,0.2,,,
16-07-23 14:30,51,1.524,910,0.1,,,
16-07-23 15:00,52,1.522,910,0,,,
16-07-23 15:30,53,1.54,910,0.3,,,
16-07-23 16:00,54,1.513,910,0.4,,,
16-07-23 16:30,55,1.516,910,0.3,,,
16-07-23 17:00,56,1.514,910,0.1,,,
16-07-23 17:30,57,1.513,910,0,,,
16-07-23 18:00,58,1.512,910,0,,,
16-07-23 18:30,59,1.515,910,0,,,
16-07-23 19:00,60,1.518,910,0.1,,,
16-07-23 19:30,61,1.513,910,0.2,,,
16-07-23 20:00,62,1.511,910,0.3,,,
16-07-23 20:30,63,1.535,910,0.2,,,
16-07-23 21:00,64,1.522,911,0.6,,,
16-07-23 21:30,65,1.519,911,0.7,,,
16-07-23 22:00,66,1.546,911,0.7,,,
16-07-23 22:30,67,1.508,912,0.6,,,
16-07-23 23:00,68,1.51,912,0.2,,,
16-07-23 23:30,69,1.516,912,0.2,,,
16-07-24 0:00,70,1.528,913,0.1,,,
16-07-24 0:30,71,1.519,913,0.1,,,
16-07-24 1:00,72,1.513,913,0.2,,,
16-07-24 1:30,73,1.527,913,0,,,
16-07-24 2:00,74,1.532,914,0.1,,,
16-07-24 2:30,75,1.53,914,0,,,
16-07-24 3:00,76,1.531,914,0,,,
16-07-24 3:30,77,1.526,914,0,,,
16-07-24 4:00,78,1.526,914,0,,,
16-07-24 4:30,79,1.528,914,0,,,
16-07-24 5:00,80,1.53,914,0,,,
16-07-24 5:30,81,1.527,915,0,,,
16-07-24 6:00,82,1.522,915,0,,,
16-07-24 6:30,83,1.521,915,0,,,
16-07-24 7:00,84,1.526,915,0,,,
16-07-24 7:30,85,1.513,915,0,,,
16-07-24 8:00,86,1.494,915,0,,,
16-07-24 8:30,87,1.514,915,0,,,
16-07-24 9:00,88,1.477,915,0,,,
16-07-24 9:30,89,1.503,915,0,,,
16-07-24 10:00,90,1.51,915,0,,,
16-07-24 10:30,91,1.511,915,0,,,
16-07-24 11:00,92,1.518,915,0,,,
16-07-24 11:30,93,1.523,915,0,,,
16-07-24 12:00,94,1.524,915,0,,,
16-07-24 12:30,95,1.518,915,0,,,
16-07-24 13:00,96,1.515,915,0,,,
16-07-24 13:30,97,1.517,915,0,,,
16-07-24 14:00,98,1.524,915,0,,,
16-07-24 14:30,99,1.504,915,0,,,
16-07-24 15:00,100,1.521,915,0,,,
16-07-24 15:30,101,1.506,915,0,,,
16-07-24 16:00,102,1.507,914,0,,,
16-07-24 16:30,103,1.508,914,0,,,
16-07-24 17:00,104,1.522,914,0,,,
16-07-24 17:30,105,1.508,914,0,,,
16-07-24 18:00,106,1.507,914,0,,,
16-07-24 18:30,107,1.509,914,0,,,
16-07-24 19:00,108,1.524,914,0,,,
16-07-24 19:30,109,1.512,915,0,,,
16-07-24 20:00,110,1.518,915,0,,,
16-07-24 20:30,111,1.527,915,0,,,
16-07-24 21:00,112,1.522,916,0,,,
16-07-24 21:30,113,1.521,916,0,,,
16-07-24 22:00,114,1.535,916,0,,,
16-07-24 22:30,115,1.533,916,0,,,
16-07-24 23:00,116,1.539,916,0,,,
16-07-24 23:30,117,1.527,917,0,,,
16-07-25 0:00,118,1.531,917,0,,,
16-07-25 0:30,119,1.531,917,0,,,
16-07-25 1:00,120,1.534,917,0,,,
16-07-25 1:30,121,1.534,917,0,,,
16-07-25 2:00,122,1.522,917,0,,,
16-07-25 2:30,123,1.537,918,0,,,
16-07-25 3:00,124,1.533,918,0,,,
16-07-25 3:30,125,1.523,918,0,,,
16-07-25 4:00,126,1.529,918,0,,,
16-07-25 4:30,127,1.53,918,0,,,
16-07-25 5:00,128,1.532,918,0,,,
16-07-25 5:30,129,1.522,918,0,,,
16-07-25 6:00,130,1.534,918,0,,,
16-07-25 6:30,131,1.539,918,0,,,
16-07-25 7:00,132,1.51,919,0,,,
16-07-25 7:30,133,1.513,919,0,,,
16-07-25 8:00,134,1.509,919,0,,,
16-07-25 8:30,135,1.508,919,0,,,
16-07-25 9:00,136,1.518,920,0,,,
16-07-25 9:30,137,1.514,920,0,,,
16-07-25 10:00,138,1.504,920,0,,,
16-07-25 10:30,139,1.498,920,0,,,
16-07-25 11:00,140,1.517,920,0,,,
16-07-25 11:30,141,1.505,920,0,,,
16-07-25 12:00,142,1.51,920,0,,,
16-07-25 12:30,143,1.497,920,0,,,
16-07-25 13:00,144,1.512,920,0,,,
16-07-25 13:30,145,1.507,920,0,,,
16-07-25 14:00,146,1.508,920,0,,,
16-07-25 14:30,147,1.506,920,0,,,
16-07-25 15:00,148,1.511,920,0,,,
16-07-25 15:30,149,1.511,920,0,,,
16-07-25 16:00,150,1.51,920,0,,,
16-07-25 16:30,151,1.499,920,0,,,
16-07-25 17:00,152,1.499,920,0,,,
16-07-25 17:30,153,1.511,919,0,,,
16-07-25 18:00,154,1.514,919,0,,,
16-07-25 18:30,155,1.521,920,0,,,
16-07-25 19:00,156,1.509,920,0,,,
16-07-25 19:30,157,1.52,920,0,,,
